courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
Introduction To Financial Accounting,Acct 2301,"(None, None)",Accounting,,
Introduction To Managerial Accounting,Acct 2302,"(None, None)",Accounting,,
Intermediate Accounting I,Acct 3321,"(None, None)",Accounting,,
Intermediate Accounting II,Acct 3322,"(None, None)",Accounting,,
Income Taxation,Acct 3323,"(None, None)",Accounting,,
Cost Accounting and Management,Acct 3324,"(None, None)",Accounting,,
Governmental and Not-for-Profit Accounting,Acct 3325,"(None, None)",Accounting,,
Accounting Information Systems,Acct 3326,"(None, None)",Accounting,,
Fraud Examination and Forensic Accounting,Acct 3327,"(None, None)",Accounting,,
Intermediate Accounting III,Acct 4323,"(None, None)",Accounting,,
Auditing,Acct 4327,"(None, None)",Accounting,,
Accounting Research,Acct 4332,"(None, None)",Accounting,,
Advanced Income Taxation,Acct 4333,"(None, None)",Accounting,,
Accounting Data Analytics,Acct 4336,"(None, None)",Accounting,,
Accounting Internship,Acct 4345,"(None, None)",Accounting,,
Managerial Accounting Internship,Acct 4346,"(None, None)",Accounting,,
Special Topics In Accounting,Acct 4348,"(None, None)",Accounting,,
Advanced International Accounting,Acct 4355,"(None, None)",Accounting,,
Introduction to Addiction Studies,Adst 2321,"(None, None)",Addiction Studies,,
Case Management in Addiction Studies,Adst 3303,"(None, None)",Addiction Studies,,
Intermediate Aspects of Addiction Studies,Adst 3340,"(None, None)",Addiction Studies,,
Prevention of Addictive Behaviors,Adst 3350,"(None, None)",Addiction Studies,,
Current Issues in Addiction Studies,Adst 3380,"(None, None)",Addiction Studies,,
Assessment in Addiction Studies,Adst 4301,"(None, None)",Addiction Studies,,
Job Placement in Addiction Studies,Adst 4302,"(None, None)",Addiction Studies,,
Case Management II in Addiction Studies,Adst 4303,"(None, None)",Addiction Studies,,
Special Populations in Addiction Studies,Adst 4320,"(None, None)",Addiction Studies,,
Practicum I in Addiction Studies,Adst 4330,"(None, None)",Addiction Studies,,
Clinical Issues in Addiction Studies,Adst 4340,"(None, None)",Addiction Studies,,
Culture and Family in Addiction Studies,Adst 4345,"(None, None)",Addiction Studies,,
Principles of Addiction Counseling,Adst 4365,"(None, None)",Addiction Studies,,
Addiction Counseling Skills,Adst 4370,"(None, None)",Addiction Studies,,
Practicum II in Addiction Studies,Adst 4602,"(None, None)",Addiction Studies,,
Human Cultures in World Prehistory,Anth 1302,"(None, None)",Anthropology,,
Human Evolution,Anth 1324,"(None, None)",Anthropology,,
The Anthropology of Expressive Culture,Anth 1354,"(None, None)",Anthropology,,
Introduction to Archeology,Anth 2302,"(None, None)",Anthropology,,
Global Health and Social Justice  Interdisciplinary Approaches to Illness and Inequality,Anth 2311,"(None, None)",Anthropology,,
Introduction to Cultural Anthropology,Anth 2351,"(None, None)",Anthropology,,
Museum Studies Internship,Anth 3343,"(None, None)",Anthropology,,
Archive Studies Internship,Anth 3344,"(None, None)",Anthropology,,
Anthropology Community Internship,Anth 3345,"(None, None)",Anthropology,,
Forensic Anthropology,Anth 4303,"(None, None)",Anthropology,,
Indians of North America,Anth 4304,"(None, None)",Anthropology,,
Great Discoveries in Archaeology,Anth 4305,"(None, None)",Anthropology,,
Anthropology of Borders,Anth 4306,"(None, None)",Anthropology,,
"Shipwrecks, Pirates, and Sea  Maritime Archaeology and History",Anth 4307,"(None, None)",Anthropology,,
Anthropology of Sex & Gender,Anth 4309,"(None, None)",Anthropology,,
Food and Culture,Anth 4310,"(None, None)",Anthropology,,
Medical Anthropology,Anth 4311,"(None, None)",Anthropology,,
Political and Legal Anthropology,Anth 4312,"(None, None)",Anthropology,,
Environmental Anthropology,Anth 4314,"(None, None)",Anthropology,,
Discovering the Rio Grande Valley,Anth 4315,"(None, None)",Anthropology,,
Open Source GIS for Cultural Resources,Anth 4316,"(None, None)",Anthropology,,
Field Experience Borderlands,Anth 4317,"(None, None)",Anthropology,,
Anthropology of Conflict and Human Rights,Anth 4320,"(None, None)",Anthropology,,
Human Skeletal Anatomy,Anth 4321,"(None, None)",Anthropology,,
Ancient Diseases in Modern Bodies,Anth 4322,"(None, None)",Anthropology,,
Mexican American Culture,Anth 4323,"(None, None)",Anthropology,,
Anthropological Theory and Method,Anth 4345,"(None, None)",Anthropology,,
Peoples and Cultures of Mexico,Anth 4348,"(None, None)",Anthropology,,
Mexican American Folk Medicine,Anth 4350,"(None, None)",Anthropology,,
Global Health  Critical Perspectives,Anth 4351,"(None, None)",Anthropology,,
Historical Archaeology,Anth 4361,"(None, None)",Anthropology,,
Interpreting the Past  Theory and Method in Archaeology,Anth 4363,"(None, None)",Anthropology,,
Religion in Society,Anth 4364,"(None, None)",Anthropology,,
Archaeology of South America,Anth 4365,"(None, None)",Anthropology,,
Ecuadorian Archaeology,Anth 4366,"(None, None)",Anthropology,,
Archaeology of Mexico and Central America,Anth 4369,"(None, None)",Anthropology,,
Texas Archaeology,Anth 4370,"(None, None)",Anthropology,,
Archaeology of North America,Anth 4374,"(None, None)",Anthropology,,
Global Cultural Heritage Issues and Debates,Anth 4377,"(None, None)",Anthropology,,
Topics in Anthropology,Anth 4385,"(None, None)",Anthropology,,
Directed Studies,Anth 4390,"(None, None)",Anthropology,,
Fieldwork in Anthropology,Anth 4395,"(None, None)",Anthropology,,
Beginning Arabic I,Arab 1311,"(None, None)",Arabic,,
Beginning Arabic II,Arab 1312,"(None, None)",Arabic,,
Art Appreciation,Arts 1301,"(None, None)",Arts,,
"Art History I, Prehistoric to the 14th-Century",Arts 1303,"(None, None)",Arts,,
"Art History II, 14th-Century to the Present",Arts 1304,"(None, None)",Arts,,
2D Foundations,Arts 1311,"(None, None)",Arts,,
3D Foundations,Arts 1312,"(None, None)",Arts,,
Drawing I,Arts 1316,"(None, None)",Arts,,
Drawing II,Arts 1317,"(None, None)",Arts,,
Design Communications I,Arts 2313,"(None, None)",Arts,,
Design Communications II,Arts 2314,"(None, None)",Arts,,
Painting I,Arts 2316,"(None, None)",Arts,,
Sculpture I,Arts 2326,"(None, None)",Arts,,
Sculpture II,Arts 2327,"(None, None)",Arts,,
Visual Communication Design I,Arts 2331,"(None, None)",Arts,,
Printmaking I,Arts 2333,"(None, None)",Arts,,
Beginning Jewelry/Metalworking,Arts 2341,"(None, None)",Arts,,
Ceramics I,Arts 2346,"(None, None)",Arts,,
Photography I,Arts 2356,"(None, None)",Arts,,
Analog Photography I,Arts 2358,"(None, None)",Arts,,
Typography I,Arts 2363,"(None, None)",Arts,,
Intermediate Jewelry/Metalworking,Arts 3303,"(None, None)",Arts,,
Intermediate Drawing,Arts 3311,"(None, None)",Arts,,
