courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 5003,Financial Accounting Concepts,"(3, 3)",Accounting,Graduate,
ACC 5023,Accounting Analysis for Decision Making,"(3, 3)",Accounting,Graduate,
ACC 5163,Ethics and Accountant's Professional Responsibility,"(3, 3)",Accounting,Graduate,
ACC 5513,Fundamentals of Information Assurance,"(3, 3)",Accounting,Graduate,
ACC 5813,Advanced Auditing,"(3, 3)",Accounting,Graduate,
ACC 5823,Governmental and Not-for-Profit Accounting,"(3, 3)",Accounting,Graduate,
ACC 5833,Internal Auditing,"(3, 3)",Accounting,Graduate,
ACC 5863,Advanced Financial Accounting,"(3, 3)",Accounting,Graduate,
ACC 5883,Fraud Examination and Forensic Accounting,"(3, 3)",Accounting,Graduate,
ACC 5913,Corporate Valuation,"(3, 3)",Accounting,Graduate,
ACC 5943,Financial Statement Analysis,"(3, 3)",Accounting,Graduate,
ACC 5973,Technology for Accountants,"(3, 3)",Accounting,Graduate,
ACC 5993,Data Analytics for Accountants,"(3, 3)",Accounting,Graduate,
ACC 6003,Management Control Systems,"(3, 3)",Accounting,Graduate,
ACC 6013,Financial Accounting Theory,"(3, 3)",Accounting,Graduate,
ACC 6043,Tax Research,"(3, 3)",Accounting,Graduate,
ACC 6073,Advanced Federal Income Taxation,"(3, 3)",Accounting,Graduate,
ACC 6083,Special Topics in Tax Practice,"(3, 3)",Accounting,Graduate,
ACC 6103,International Taxation,"(3, 3)",Accounting,Graduate,
ACC 6703,Introduction to Data Mining,"(3, 3)",Accounting,Graduate,
ACC 6783,Accounting for Healthcare Organizations,"(3, 3)",Accounting,Graduate,
ACC 6943,Accounting Internship,"(3, 3)",Accounting,Graduate,
ACC 6953,Independent Study,"(3, 3)",Accounting,Graduate,
ACC 6961,Comprehensive Examination,"(1, 1)",Accounting,Graduate,
ACC 6973,Special Problems,"(3, 3)",Accounting,Graduate,
ACC 7013,Seminar in Empirical Research in Accounting,"(3, 3)",Accounting,Graduate,
ACC 7043,Archival-Based Research Methods in Accounting,"(3, 3)",Accounting,Graduate,
ACC 7053,Current Topics in Accounting Research,"(3, 3)",Accounting,Graduate,
ACC 7113,Seminar in Financial Accounting Theory,"(3, 3)",Accounting,Graduate,
ACC 7123,Seminar in Managerial Accounting Theory,"(3, 3)",Accounting,Graduate,
ACC 7211,Doctoral Research,"(1, 1)",Accounting,Graduate,
ACC 7213,Doctoral Research,"(3, 3)",Accounting,Graduate,
ACC 7214,Doctoral Research,"(4, 4)",Accounting,Graduate,
ACC 7216,Doctoral Research,"(6, 6)",Accounting,Graduate,
ACC 7311,Doctoral Dissertation,"(1, 1)",Accounting,Graduate,
ACC 7313,Doctoral Dissertation,"(3, 3)",Accounting,Graduate,
ACC 7314,Doctoral Dissertation,"(4, 4)",Accounting,Graduate,
ACC 7316,Doctoral Dissertation,"(6, 6)",Accounting,Graduate,
ACC 7983,Special Topics in Accounting,"(3, 3)",Accounting,Graduate,
MATE 5103,"Principles of Materials Engineering: Fundamentals of Structure, Chemistry, and Physical Properties","(3, 3)",Advanced Materials Engineering,Graduate,
MATE 5113,"Functions, Evaluations and Synthesis Technology of Advanced Materials","(3, 3)",Advanced Materials Engineering,Graduate,
MATE 5213,Sensing and Sensor Materials,"(3, 3)",Advanced Materials Engineering,Graduate,
MATE 5223,Structure-Chemistry-Property Relations in Materials Science and Engineering,"(3, 3)",Advanced Materials Engineering,Graduate,
MATE 5233,Anisotropy and Crystalline Materials,"(3, 3)",Advanced Materials Engineering,Graduate,
MATE 5243,Optic and Nonlinear Optical Materials,"(3, 3)",Advanced Materials Engineering,Graduate,
MATE 5253,Magnetic Materials and Electromagnetic Engineering,"(3, 3)",Advanced Materials Engineering,Graduate,
MATE 5393,Topics in Advanced Materials Engineering,"(3, 3)",Advanced Materials Engineering,Graduate,
MATE 5493,Topics in Materials Engineering and Application,"(3, 3)",Advanced Materials Engineering,Graduate,
