courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 2110,Principles of Accounting I,"(3, 3)",Accounting,,
ACC 2120,Principles of Accounting II,"(3, 3)",Accounting,,
ACC 2125,Introduction to the Accounting Profession,"(1, 1)",Accounting,,
ACC 2250,Small Business Accounting,"(3, 3)",Accounting,,
ACC 2500,Data Analytics in Accounting,"(3, 3)",Accounting,,
ACC 2600,Business Law and Ethics,"(3, 3)",Accounting,,
ACC 3000,Financial Managerial and Cost Accounting Concepts,"(3, 3)",Accounting,,
ACC 3010,Intermediate Accounting I,"(3, 3)",Accounting,,
ACC 3020,Intermediate Accounting II,"(3, 3)",Accounting,,
ACC 3030,Intermediate Accounting for Non-Accounting Majors,"(3, 3)",Accounting,,
ACC 3120,Internal Auditing,"(3, 3)",Accounting,,
ACC 3120G,International Internal Auditing,"(3, 3)",Accounting,,
ACC 3300,Cost Management,"(3, 3)",Accounting,,
ACC 3400,Fundamentals of Taxation,"(3, 3)",Accounting,,
ACC 3510,Accounting Information Systems,"(3, 3)",Accounting,,
ACC 4030,Governmental and Not For Profit Accounting,"(3, 3)",Accounting,,
ACC 4050,Financial Statement Analysis,"(3, 3)",Accounting,,
ACC 4110,Auditing,"(3, 3)",Accounting,,
ACC 4310,Advanced Management Accounting,"(3, 3)",Accounting,,
ACC 4400,Advanced Fundamentals of Taxation,"(3, 3)",Accounting,,
ACC 4510,Artificial Intelligence and Data Analytics in Accounting,"(3, 3)",Accounting,,
ACC 4700R,Current Topics in Accounting,"(1, 3)",Accounting,,
ACC 4810R,Internship,"(2, 8)",Accounting,,
ACC 4910R,Independent Study,"(1, 4)",Accounting,,
ACC 5020,Advanced Financial Accounting,"(3, 3)",Accounting,,
ACC 5140,Fraud Examination,"(3, 3)",Accounting,,
ACC 6020,Advanced Financial Accounting Applications,"(3, 3)",Accounting,,
ACC 6060,Professionalism and Leadership,"(3, 3)",Accounting,,
ACC 6140,Fraud Examination and Forensic Accounting,"(3, 3)",Accounting,,
ACC 6150,Information Systems Auditing,"(3, 3)",Accounting,,
ACC 6250,Financial Reporting and Analysis,"(3, 3)",Accounting,,
ACC 6300,Advanced Data Analytics in Accounting,"(3, 3)",Accounting,,
ACC 6350,Management Control Systems,"(3, 3)",Accounting,,
ACC 6400,Taxation of Business Entities,"(3, 3)",Accounting,,
ACC 6410,Tax Research and Procedure,"(3, 3)",Accounting,,
ACC 6420,Principles of Corporate Tax,"(3, 3)",Accounting,,
ACC 6430,Advanced Corporate Tax,"(3, 3)",Accounting,,
ACC 6440,Partnership Tax,"(3, 3)",Accounting,,
ACC 6450,Advanced Taxation of Business Entities,"(3, 3)",Accounting,,
ACC 6460,Estate and Gift Tax,"(3, 3)",Accounting,,
ACC 6500,Advanced Accounting Information Systems,"(3, 3)",Accounting,,
ACC 6510,Financial Auditing,"(3, 3)",Accounting,,
ACC 6560,Financial Accounting Theory and Research I,"(3, 3)",Accounting,,
ACC 6580,Financial Accounting Theory and Research II,"(3, 3)",Accounting,,
ACC 6600,Business Law for Accountants,"(3, 3)",Accounting,,
ACC 6790R,Special Topics in Accounting,"(3, 3)",Accounting,,
AERO 1000,Leadership Laboratory 1A,"(0, 0)",Aerospace Studies,,
AERO 1010,Leadership Laboratory 1B,"(0, 0)",Aerospace Studies,,
AERO 1100,Department of the Air Force--DAF Professionalism A,"(1, 1)",Aerospace Studies,,
AERO 1110,Department of the Air Force--DAF Professionalism B,"(1, 1)",Aerospace Studies,,
AERO 1430R,Air Force Physical Training,"(0, 0)",Aerospace Studies,,
AERO 2000,Leadership Laboratory 2A,"(0, 0)",Aerospace Studies,,
AERO 2010,Leadership Laboratory 2B,"(0, 0)",Aerospace Studies,,
AERO 2100,Team and Leadership Fundamentals A,"(1, 1)",Aerospace Studies,,
AERO 2110,Team and Leadership Fundamentals B,"(1, 1)",Aerospace Studies,,
AERO 3000,Leadership Laboratory 3A,"(0, 0)",Aerospace Studies,,
AERO 3010,Leadership Laboratory 3B,"(0, 0)",Aerospace Studies,,
AERO 3050R,Leadership Laboratory Honor Guard,"(1, 1)",Aerospace Studies,,
AERO 3100,Leading People and Effective Communication A,"(3, 3)",Aerospace Studies,,
AERO 3110,Leading People and Effective Communication B,"(3, 3)",Aerospace Studies,,
AERO 3200,Jet Pilot Introduction,"(2, 2)",Aerospace Studies,,
AERO 3990R,Academic Internship  Leadership Intern Program,"(4, 4)",Aerospace Studies,,
AERO 4000R,Leadership Laboratory 4A,"(0, 0)",Aerospace Studies,,
AERO 4010R,Leadership Laboratory 4B,"(0, 0)",Aerospace Studies,,
AERO 4100,National Security - Leadership Responsibilities and Commissioning Preparation A,"(3, 3)",Aerospace Studies,,
AERO 4110,National Security - Leadership Responsibilities and Commissioning Preparation B,"(3, 3)",Aerospace Studies,,
AIST 1800G,Introduction to American Indian Studies,"(3, 3)",American Indian Studies,,
AIST 3270G,Indians of Utah,"(3, 3)",American Indian Studies,,
AIST 3360,American Indian Education Policy,"(3, 3)",American Indian Studies,,
AIST 3580G,American Indian Health Policy,"(3, 3)",American Indian Studies,,
AIST 3590,American Indian Law,"(3, 3)",American Indian Studies,,
AIST 3600,American Indian Policy and Tribal Government,"(3, 3)",American Indian Studies,,
AIST 3810,Precolumbian America,"(3, 3)",American Indian Studies,,
AIST 3830,Indians of the Great Plains,"(3, 3)",American Indian Studies,,
AIST 4600,Contemporary American Indian Political and Social Issues,"(3, 3)",American Indian Studies,,
AIST 4900R,Special Topics in American Indian Studies,"(3, 3)",American Indian Studies,,
ASL 1000,Introduction to the Deaf World,"(3, 3)",American Sign Language,,
ASL 1010,Beginning American Sign Language I,"(4, 4)",American Sign Language,,
ASL 1020,Beginning American Sign Language II,"(4, 4)",American Sign Language,,
ASL 1150R,ASL Conversation I,"(1, 1)",American Sign Language,,
ASL 2010,Intermediate American Sign Language I,"(4, 4)",American Sign Language,,
ASL 2020G,Intermediate American Sign Language II,"(4, 4)",American Sign Language,,
ASL 2030,Fingerspelling in American Sign Language,"(1, 1)",American Sign Language,,
ASL 2040,Numbers in American Sign Language,"(1, 1)",American Sign Language,,
ASL 2050,Advanced ASL Grammar,"(3, 3)",American Sign Language,,
ASL 2150R,ASL Conversation II,"(1, 1)",American Sign Language,,
ASL 3000,Technology for Deaf Studies,"(3, 3)",American Sign Language,,
ASL 3050,Advanced American Sign Language,"(3, 3)",American Sign Language,,
ASL 3060,American Sign Language Proficiency,"(1, 1)",American Sign Language,,
