courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AFRAM 101,Introduction to African American Studies,"(5, 5)",African American Studies,,
AFRAM 102,Advanced Placement,"(None, None)",African American Studies,,
AFRAM 150,Introduction to African American History,"(5, 5)",African American Studies,,
AFRAM 214,Introduction African American Literature,"(5, 5)",African American Studies,,
AFRAM 220,African American Film Studies,"(5, 5)",African American Studies,,
AFRAM 241,The United States During the Era of Civil War and Reconstruction,"(5, 5)",African American Studies,,
AFRAM 246,African American Politics,"(5, 5)",African American Studies,,
AFRAM 260,African American Family,"(5, 5)",African American Studies,,
AFRAM 261,The African American Experience through Literature,"(5, 5)",African American Studies,,
AFRAM 270,The Jazz Age,"(5, 5)",African American Studies,,
AFRAM 272,History of the South Since the Civil War,"(5, 5)",African American Studies,,
AFRAM 315,Black Identities and Political Power,"(5, 5)",African American Studies,,
AFRAM 318,Black Literary Genres,"(5, 5)",African American Studies,,
AFRAM 320,Black Women in Drama,"(5, 5)",African American Studies,,
AFRAM 321,History of African American Women and the Feminist Movement,"(5, 5)",African American Studies,,
AFRAM 330,"Music, Folklore, and Performance in Black Society","(5, 5)",African American Studies,,
AFRAM 334,Civil Rights and Black Power in the United States,"(5, 5)",African American Studies,,
AFRAM 337,"Popular Music, Race, Identity, and Social Change","(5, 5)",African American Studies,,
AFRAM 340,The Harlem Renaissance: A Literary Study,"(5, 5)",African American Studies,,
AFRAM 350,Black Aesthetics,"(5, 5)",African American Studies,,
AFRAM 358,African American Literature,"(5, 5)",African American Studies,,
AFRAM 360,Black Digital Studies,"(5, 5)",African American Studies,,
AFRAM 370,African American Political Thought,"(5, 5)",African American Studies,,
AFRAM 404,Advanced African American Studies in Humanities,"(5, 5)",African American Studies,,
AFRAM 405,Advanced African American Studies in Social Science,"(5, 5)",African American Studies,,
AFRAM 437,Blacks in American Law,"(5, 5)",African American Studies,,
AFRAM 498,Special Topics in African American Studies,"(3, 5)",African American Studies,,
AFRAM 499,Independent Study and Research,"(1, 5)",African American Studies,,
AES 150,"In-Justice for All: Intersection of Race, Ethnicity, Class, and Gender in the United States","(5, 5)",American Ethnic Studies,,
AES 151,"Identities, Cultures, and Power Across American Ethnic Groups","(5, 5)",American Ethnic Studies,,
AES 211,Environmental Justice,"(5, 5)",American Ethnic Studies,,
AES 212,Comparative American Ethnic Literature,"(5, 5)",American Ethnic Studies,,
AES 220,Comparative American Ethnic Cinema,"(5, 5)",American Ethnic Studies,,
AES 250,Race in the American University,"(5, 5)",American Ethnic Studies,,
AES 312,Race and the Radical Imagination,"(5, 5)",American Ethnic Studies,,
AES 322,"Gender, Race, and Class in Social Stratification","(5, 5)",American Ethnic Studies,,
AES 333,Race and Ethnicity in the U.S. Military,"(5, 5)",American Ethnic Studies,,
AES 335,History of African Americans and Sports,"(5, 5)",American Ethnic Studies,,
AES 340,"Race, Ethnicity, and Education","(5, 5)",American Ethnic Studies,,
AES 345,Ethnographies of School Inequalities,"(5, 5)",American Ethnic Studies,,
AES 361,"Ethnicity, Business, Unions, and Society","(5, 5)",American Ethnic Studies,,
AES 370,"Race, Gender, and Class in the Global Economy: Asian and Latina Workers","(5, 5)",American Ethnic Studies,,
