courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACG 2021,Principles of Financial Accounting,,ACG: Accounting: General Courses,,
ACG 2071,Principles of Managerial Accounting,,ACG: Accounting: General Courses,,
ACG 3082,Accounting for Non-Majors,,ACG: Accounting: General Courses,,
ACG 3101,Intermediate Financial Accounting I,,ACG: Accounting: General Courses,,
ACG 3111,Intermediate Financial Accounting II,,ACG: Accounting: General Courses,,
ACG 3343,Cost Accounting,,ACG: Accounting: General Courses,,
ACG 3401,Accounting Information Systems,,ACG: Accounting: General Courses,,
ACG 3905,Directed Study,,ACG: Accounting: General Courses,,
ACG 4151,Accounting Theory,,ACG: Accounting: General Courses,,
ACG 4180,Financial Statement Analysis,,ACG: Accounting: General Courses,,
ACG 4201,Advanced Financial Accounting,,ACG: Accounting: General Courses,,
ACG 4501,Governmental and Non-Profit Accounting,,ACG: Accounting: General Courses,,
ACG 4651,Auditing,,ACG: Accounting: General Courses,,
ACG 4682,Forensic Accounting,,ACG: Accounting: General Courses,,
ACG 4905,Directed Study,,ACG: Accounting: General Courses,,
ACG 4941,Accounting Internship,,ACG: Accounting: General Courses,,
ACG 5185,Financial Statement Analysis,,ACG: Accounting: General Courses,,
ACG 5205,Advanced Financial Accounting,,ACG: Accounting: General Courses,,
ACG 5658,Governmental and Non-Profit Accounting,,ACG: Accounting: General Courses,,
ACG 5905,Directed Study,,ACG: Accounting: General Courses,,
ACG 5931,CPA Examination Review Financial Accounting and Reporting,,ACG: Accounting: General Courses,,
ACG 5932,CPA Examination Review of Regulation,,ACG: Accounting: General Courses,,
ACG 5933,CPA Examination Review of Auditing and Attestation,,ACG: Accounting: General Courses,,
ACG 5936,CPA Examination Review Business Analysis and Reporting,,ACG: Accounting: General Courses,,
ACG 5937,CPA Examination Review Information Systems and Controls,,ACG: Accounting: General Courses,,
ACG 5938,CPA Examination Review Tax Compliance and Planning,,ACG: Accounting: General Courses,,
ACG 6177,Accounting Data Analytics,,ACG: Accounting: General Courses,,
ACG 6308,Advanced Managerial Accounting,,ACG: Accounting: General Courses,,
ACG 6309,Accounting for Decision Making,,ACG: Accounting: General Courses,,
ACG 6405,Advanced Accounting Information Systems,,ACG: Accounting: General Courses,,
ACG 6805,Contemporary Accounting Thought,,ACG: Accounting: General Courses,,
ACG 6856,Advanced Auditing,,ACG: Accounting: General Courses,,
ACG 6905,Directed Study,,ACG: Accounting: General Courses,,
ADV 3101,Creative Strategy & Tactics I,,ADV: Advertising Courses,,
ADV 3213,Advertising Graphics II,,ADV: Advertising Courses,,
ADV 3216,Advertising Graphics I,,ADV: Advertising Courses,,
ADV 3300,Advertising Media Strategy & Planning,,ADV: Advertising Courses,,
ADV 3905,Directed Study,,ADV: Advertising Courses,,
ADV 4802,Advertising Campaigns,,ADV: Advertising Courses,,
ADV 4905,Directed Study,,ADV: Advertising Courses,,
ADV 6215,Emerging Topics in Advertising,,ADV: Advertising Courses,,
ADV 6905,Directed Study,,ADV: Advertising Courses,,
AFH 4503,Africans in the Atlantic World,,AFH: African History Courses,,
AFR 1101,Department of the Air Force Professionalism,,AFR: Air Force: Aerospace Studies Courses,,
AFR 1101L,Department of the Air Force Professionalism Lab,,AFR: Air Force: Aerospace Studies Courses,,
AFR 1112,Competition and Security,,AFR: Air Force: Aerospace Studies Courses,,
AFR 1112L,Competition and Security Lab,,AFR: Air Force: Aerospace Studies Courses,,
AFR 2130,Team and Leadership Fundamentals I,,AFR: Air Force: Aerospace Studies Courses,,
AFR 2130L,Team and Leadership Fundamentals I Lab,,AFR: Air Force: Aerospace Studies Courses,,
AFR 2132,Team and Leadership Fundamentals II,,AFR: Air Force: Aerospace Studies Courses,,
AFR 2132L,Team and Leadership Fundamentals II Lab,,AFR: Air Force: Aerospace Studies Courses,,
