courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACTSCI 290,Introduction to Actuarial Science,"(3, 3)",Actuarial Science,Undergraduate,
ACTSCI 391,Investment Mathematics I,"(4, 4)",Actuarial Science,Undergraduate,
ACTSCI 490,Introduction to Actuarial Practice,"(1, 1)",Actuarial Science,Undergraduate,
ACTSCI 491,Actuarial Workshop FM,"(1, 1)",Actuarial Science,Undergraduate,
ACTSCI 492,Actuarial Workshop P,"(1, 1)",Actuarial Science,Undergraduate,
ACTSCI 590,Actuarial Internship,"(1, 6)",Actuarial Science,Undergraduate,
ACTSCI 591,Investment Mathematics II,"(3, 3)",Actuarial Science,Undergraduate,
ACTSCI 593,Actuarial Models I,"(3, 3)",Actuarial Science,Undergraduate,
ACTSCI 594,Actuarial Models II,"(3, 3)",Actuarial Science,Undergraduate,
ACTSCI 596,Actuarial Statistics I,"(3, 3)",Actuarial Science,Undergraduate,
ACTSCI 597,Actuarial Statistics II,"(3, 3)",Actuarial Science,Undergraduate,
ACTSCI 599,Capstone Experience,"(1, 1)",Actuarial Science,Undergraduate,
ACTSCI 790,Actuarial Internship,"(1, 6)",Actuarial Science,Graduate,
ACTSCI 791,Investment Mathematics II,"(3, 3)",Actuarial Science,Graduate,
ACTSCI 793,Actuarial Models I,"(3, 3)",Actuarial Science,Graduate,
ACTSCI 794,Actuarial Models II,"(3, 3)",Actuarial Science,Graduate,
ACTSCI 796,Actuarial Statistics I,"(3, 3)",Actuarial Science,Graduate,
ACTSCI 797,Actuarial Statistics II,"(3, 3)",Actuarial Science,Graduate,
ACTSCI 891,Actuarial Risk Theory,"(3, 3)",Actuarial Science,Graduate,
ACTSCI 895,Topics in Actuarial Science:,"(3, 3)",Actuarial Science,Graduate,
AD LDSP 297,Study Abroad:,"(1, 12)",Administrative Leadership,Undergraduate,
AD LDSP 497,Study Abroad:,"(1, 12)",Administrative Leadership,Undergraduate/Graduate,
AD LDSP 497G,Study Abroad:,"(1, 12)",Administrative Leadership,Undergraduate/Graduate,
AD LDSP 507,Introduction to Group Leadership,"(3, 3)",Administrative Leadership,Undergraduate/Graduate,
AD LDSP 507G,Introduction to Group Leadership,"(3, 3)",Administrative Leadership,Undergraduate/Graduate,
AD LDSP 517,Introduction to Adult Education Practice,"(3, 3)",Administrative Leadership,Undergraduate/Graduate,
AD LDSP 517G,Introduction to Adult Education Practice,"(3, 3)",Administrative Leadership,Undergraduate/Graduate,
AD LDSP 537,Leadership and Management of Volunteer Programs,"(3, 3)",Administrative Leadership,Undergraduate/Graduate,
