courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACG 2021C,Principles Of Financial Accounting,3,Accounting-General,,
ACG 2030C,Capstone Review Course Of Accounting Principles,3,Accounting-General,,
ACG 2071C,Principles Of Managerial Accounting,3,Accounting-General,,
ACG 2100C,Intermediate Accounting I,3,Accounting-General,,
ACG 2110C,Intermediate Accounting Ii,3,Accounting-General,,
ACG 2360C,Cost Accounting,3,Accounting-General,,
ACG 2450C,Computer Accounting,3,Accounting-General,,
ACG 2460C,Spreadsheets For Accounting,3,Accounting-General,,
ACG 3024,Accounting And Financial Analysis For Managers,3,Accounting-General,,
AFA 2000,Introduction To The African-American Experience,3,Afro-American Studies,,
AMH 2010,United States History To 1877,3,American History,,
AMH 2010H,United States History To 1877 - Honors,3,American History,,
AMH 2020,U.S. History 1877 To Present,3,American History,,
AMH 2020H,United States History 1877 To Present - Honors,3,American History,,
AML 2011,Survey In American Literature Colonial Period To Civil War,3,American Literature,,
AML 2011H,Survey In American Literature: Colonial Period To Civil War-Honors,3,American Literature,,
AML 2021,Survey In American Literature: Civil War To Present,3,American Literature,,
ANT 2000,Introductory Anthropology,3,Anthropology,,
ANT 2000H,Introductory Anthropology - Honors,3,Anthropology,,
ANT 2140,Intro To Archaeology,3,Anthropology,,
ANT 2410,Cultural Anthropology,3,Anthropology,,
ANT 2410H,Cultural Anthropology Honors,3,Anthropology,,
ANT 2930,Selected Topics In Anthropology,1-3,Anthropology,,
ANT 2941,Internship Exploration In Anthropology,1-4,Anthropology,,
AOM 1050C,Introduction To Organic Farming And Gardening Technician,3,Agricult Operations Mngt,,
AOM 1465C,Introduction To Sustainable Agriculture,3,Agricult Operations Mngt,,
AOM 2012C,Types & Systems Of Agriculture Operations,3,Agricult Operations Mngt,,
APA 1111C,College Accounting,3,Applied Accounting,,
APA 2501,Payroll Accounting,3,Applied Accounting,,
APA 2934,Selected Topics In Accounting,1-3,Applied Accounting,,
APA 2941,Internship Exploration In Accounting,1-4,Applied Accounting,,
APA 2942,Internship In Accounting,1-4,Applied Accounting,,
ARA 1120,Elementary Arabic I,4,Arabic,,
ARA 1121,Elementary Arabic Ii,4,Arabic,,
ARC 1201C,Theory Of Architecture,2,Architecture,,
ARC 1301C,Architectural Design I,4,Architecture,,
ARC 1302C,Architectural Design Ii,4,Architecture,,
ARC 1701,History Of Architecture I,3,Architecture,,
ARC 1701C,History Of Architecture I,3,Architecture,,
ARC 2180C,Introduction To Digital Architecture,3,Architecture,,
ARC 2303C,Architectural Design Iii,5,Architecture,,
ARC 2304C,Architectural Design Iv,5,Architecture,,
ARC 2461,Materials And Methods Of Construction,4,Architecture,,
ARC 2702,History Of Architecture Ii,3,Architecture,,
ARE 2000,Art And Creativity,3,Art Education,,
ARH 1000,Art Appreciation,3,Art History,,
ARH 1000H,Art Appreciation - Honors,3,Art History,,
ARH 2050,Introduction To Art History I,3,Art History,,
ARH 2051,Introduction To Art History Ii,3,Art History,,
ARH 2930,Selected Topics In Art,1-3,Art History,,
ART 1152C,Metal Casting,3,Art,,
ART 1201C,Design I,3,Art,,
ART 1203C,Design Ii,3,Art,,
ART 1300C,Drawing I,3,Art,,
ART 1301C,Drawing Ii,3,Art,,
ART 2330C,Life Drawing,3,Art,,
ART 2400C,Printmaking I,3,Art,,
ART 2401C,Printmaking Ii,3,Art,,
ART 2500C,Painting I (Formerly Art 2510C),3,Art,,
ART 2501C,Painting Ii,3,Art,,
ART 2701C,Sculpture I,3,Art,,
ART 2702C,Sculpture Ii,3,Art,,
ART 2750C,Ceramics I (Formerly Art 2110C),3,Art,,
ART 2751C,Ceramics Ii (Formerly Art 2111C),3,Art,,
ART 2774L,Explorations In Clay,1,Art,,
ART 2930C,Selected Topics In Art,1-3,Art,,
ART 2941,Internship Exploration In Art And Fine Arts,1-4,Art,,
ASC 2870,Aviation Safety Management Systems And Operational Risk,3,Aviation Science,,
ASL 2140,American Sign Language I,4,American Sign Language,,
ASL 2150,American Sign Language Ii,4,American Sign Language,,
ASL 2160,American Sign Language Iii,4,American Sign Language,,
ASL 2200,American Sign Language Iv,4,American Sign Language,,
ASL 2300,Structure Of American Sign Language,3,American Sign Language,,
ASL 2430,Fingerspelling,2,American Sign Language,,
ASL 2510,Deaf Culture,3,American Sign Language,,
ASL 2600,Methods Of Teaching American Sign Language,3,American Sign Language,,
ASL 2601,1St And 2Nd Language Acquisition In American Sign Language,3,American Sign Language,,
ASL 2701,American Sign Language Literature,3,American Sign Language,,
AST 1002,Descriptive Astronomy,3,Astronomy,,
AST 1002H,Descriptive Astronomy - Honors,3,Astronomy,,
AVM 1010,Aviation Maintenance And Business Operations,6,Aviation Management,,
BCN 1272,Contstruction Blueprint Reading,3,Building Construction,,
BCN 1303C,Building Information Modeling (Revit W/ Dynamo),3,Building Construction,,
BCN 2405,Statics And Strength Of Materials,3,Building Construction,,
BCN 2563,Building Systems & Management,3,Building Construction,,
