courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 202,Accounting for Non-business Majors,"(3, 3)",Accounting,,
ACCT 203,Introduction to Accounting I,"(3, 3)",Accounting,,
ACCT 204,Introduction to Accounting II,"(3, 3)",Accounting,,
ACCT 205,Introductory Accounting Survey,"(3, 3)",Accounting,,
ACCT 291,Topics in Accounting,"(1, 3)",Accounting,,
ACCT 301,Federal Income Taxation for Individuals,"(3, 3)",Accounting,,
ACCT 303,Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 304,Intermediate Accounting II,"(3, 3)",Accounting,,
ACCT 305,Intermediate Accounting III,"(3, 3)",Accounting,,
ACCT 306,Cost Accounting,"(3, 3)",Accounting,,
ACCT 307,Accounting Systems,"(3, 3)",Accounting,,
ACCT 401,Governmental and Not-for-profit Accounting,"(3, 3)",Accounting,,
ACCT 402,Advanced Cost Accounting,"(3, 3)",Accounting,,
ACCT 403,Management Control Systems,"(3, 3)",Accounting,,
ACCT 404,Introduction to Forensic Accounting and Fraud Examination,"(3, 3)",Accounting,,
ACCT 406,Auditing,"(3, 3)",Accounting,,
ACCT 408,Data Analytics for Accountants,"(3, 3)",Accounting,,
ACCT 409,Research and Communication for Accountants,"(3, 3)",Accounting,,
ACCT 410,Advanced Tax Accounting,"(3, 3)",Accounting,,
ACCT 491,Topics in Accounting,"(1, 3)",Accounting,,
ACCT 492,Independent Study,"(1, 1)",Accounting,,
ACCT 493,Internship in Accounting,"(3, 3)",Accounting,,
ACCT 497,Guided Study in Accounting,"(1, 3)",Accounting,,
ACCT 507,Fundamentals of Accounting,"(3, 3)",Accounting,,
ACCT 591,Topics in Accounting,"(1, 3)",Accounting,,
ACCT 604,Advanced Auditing,"(3, 3)",Accounting,,
ACCT 608,Managerial Accounting Concepts,"(3, 3)",Accounting,,
ACCT 610,Forensic Accounting,"(3, 3)",Accounting,,
ACCT 620,Accounting Research,"(3, 3)",Accounting,,
ACCT 621,Accounting Analytics,"(3, 3)",Accounting,,
ACCT 662,Advanced Topics in Accounting Information Systems,"(3, 3)",Accounting,,
ACCT 680,Tax Research and Planning,"(3, 3)",Accounting,,
ACCT 681,Tax Administration,"(3, 3)",Accounting,,
ACCT 682,Corporate Taxation,"(3, 3)",Accounting,,
ACCT 697,Guided Study in Accounting,"(1, 3)",Accounting,,
ACCT 790,Research Methods Seminar,"(3, 3)",Accounting,,
ACCT 791,Managerial Accounting Seminar,"(3, 3)",Accounting,,
ACCT 792,Financial Accounting Seminar,"(3, 3)",Accounting,,
ACCT 793,International Accounting Seminar,"(3, 3)",Accounting,,
ACCT 794,Behavioral Research Seminar,"(3, 3)",Accounting,,
ACCT 795,Auditing Seminar,"(3, 3)",Accounting,,
ACCT 797,Guided Study in Accounting,"(6, 6)",Accounting,,
ACCT 898,Dissertation Research,"(1, 12)",Accounting,,
ADMS 157,Educational Leadership  Civil Rights in,"(3, 3)",Administration And Supervision,,
ADMS 255,Student and Community Centered Education Policy,"(3, 3)",Administration And Supervision,,
ADMS 256,"Human Dimensions of Leadership: Empathy, Trust and Care in Organizations","(3, 3)",Administration And Supervision,,
ADMS 258,Community-based Participatory Action Research,"(3, 3)",Administration And Supervision,,
ADMS 500,Workshops in Education,"(1, 3)",Administration And Supervision,,
ADMS 600,Public School Administration,"(3, 3)",Administration And Supervision,,
ADMS 601,Processes of Instructional Leadership,"(3, 3)",Administration And Supervision,,
ADMS 602,Seminar in Elementary School Administration,"(3, 3)",Administration And Supervision,,
ADMS 603,Seminar in Secondary School Administration,"(3, 3)",Administration And Supervision,,
ADMS 605,"Organizational Theory, Structure and Culture in Educational Settings","(3, 3)",Administration And Supervision,,
ADMS 606,Organizational Behavior and Change in Educational Settings,"(3, 3)",Administration And Supervision,,
ADMS 607,Principles of Educational Leadership,"(3, 3)",Administration And Supervision,,
ADMS 610,School and Community Relations,"(3, 3)",Administration And Supervision,,
ADMS 611,School Law,"(3, 3)",Administration And Supervision,,
ADMS 612,Diversity in Higher Education,"(3, 3)",Administration And Supervision,,
ADMS 615,Developmental Theories in Higher Education,"(3, 3)",Administration And Supervision,,
ADMS 616,"Higher Education Policy, Law and Finance","(3, 3)",Administration And Supervision,,
ADMS 618,Leadership for Change and Improvement,"(3, 3)",Administration And Supervision,,
ADMS 619,Higher Education Administration,"(3, 3)",Administration And Supervision,,
ADMS 620,Improving School Programs and Performance,"(3, 3)",Administration And Supervision,,
ADMS 621,Management of School Operations and Support Programs,"(3, 3)",Administration And Supervision,,
ADMS 622,Understanding Diversity and Leading for Social Justice,"(3, 3)",Administration And Supervision,,
ADMS 624,Principals as Human Resource Agents,"(3, 3)",Administration And Supervision,,
ADMS 625,Leadership for Individualized Learning,"(3, 3)",Administration And Supervision,,
ADMS 627,Enhancing and Supporting Instruction,"(3, 3)",Administration And Supervision,,
ADMS 629,The Business of Schools,"(3, 3)",Administration And Supervision,,
ADMS 630,Understanding and Engaging School Communities,"(3, 3)",Administration And Supervision,,
ADMS 632,Administration and Supervision of Special Education,"(3, 3)",Administration And Supervision,,
ADMS 633,Multiple Dimensions of Leadership,"(3, 3)",Administration And Supervision,,
ADMS 634,College Environments,"(3, 3)",Administration And Supervision,,
ADMS 635,Critical Issues in Urban Higher Education,"(3, 3)",Administration And Supervision,,
ADMS 636,Crisis Leadership in Higher Education,"(3, 3)",Administration And Supervision,,
ADMS 637,Special Mission Institutions,"(3, 3)",Administration And Supervision,,
ADMS 638,Community Colleges,"(3, 3)",Administration And Supervision,,
ADMS 639,Enrollment Management in Higher Education,"(3, 3)",Administration And Supervision,,
ADMS 640,Human Resource and Fiscal Management,"(3, 3)",Administration And Supervision,,
ADMS 641,School Personnel Administration,"(3, 3)",Administration And Supervision,,
ADMS 643,The Community School,"(3, 3)",Administration And Supervision,,
ADMS 647,Educational Technology for School Leaders,"(3, 3)",Administration And Supervision,,
ADMS 651,Topics in Education,"(1, 3)",Administration And Supervision,,
ADMS 655,Student-Centered Policy and Collaboration,"(3, 3)",Administration And Supervision,,
ADMS 656,"Human Dimensions of Leadership: Empathy, Trust and Care in Organizations","(3, 3)",Administration And Supervision,,
ADMS 657,Educational Leadership and Civil Rights,"(3, 3)",Administration And Supervision,,
ADMS 658,Community-Based Action Research for Education Stakeholders,"(3, 3)",Administration And Supervision,,
ADMS 659,Leadership in the “New Demography”: Immigration Theory and Politics,"(3, 3)",Administration And Supervision,,
ADMS 660,Higher Education Internship,"(3, 3)",Administration And Supervision,,
ADMS 670,Administrative Internship I,"(1, 1)",Administration And Supervision,,
ADMS 671,Administrative Internship II,"(1, 1)",Administration And Supervision,,
ADMS 672,Principalship Seminar and Internship,"(3, 3)",Administration And Supervision,,
ADMS 675,Administrative Internship III,"(1, 1)",Administration And Supervision,,
ADMS 700,Externship,"(1, 6)",Administration And Supervision,,
ADMS 701,Education Policy Research,"(3, 3)",Administration And Supervision,,
ADMS 702,Educational Administration: Contemporary Theory and Practice,"(3, 3)",Administration And Supervision,,
ADMS 703,Leadership for Social Justice and Equity in Education,"(3, 3)",Administration And Supervision,,
ADMS 704,Education Finance Policy and the Equitable Distribution of Resources,"(3, 3)",Administration And Supervision,,
ADMS 705,Planning Educational Facilities,"(3, 3)",Administration And Supervision,,
ADMS 706,Leadership Perspectives on Learning,"(3, 3)",Administration And Supervision,,
ADMS 707,The Politics of Education,"(3, 3)",Administration And Supervision,,
ADMS 708,Equal Educational Opportunity in the 21st Century Metropolis: Toward a Policy Framework,"(3, 3)",Administration And Supervision,,
ADMS 709,U,"(3, 3)",Administration And Supervision,,
ADMS 710,Current Topics in Educational Leadership and Policy,"(3, 3)",Administration And Supervision,,
ADLT 300,Introduction to Human and Organizational Development,"(3, 3)",Adult Education,,
ADLT 301,Adult Learning Theory and Practice,"(3, 3)",Adult Education,,
ADLT 302,Basics of Instructional Design for Adult Learners,"(3, 3)",Adult Education,,
ADLT 303,Facilitation Skills for Human and Organizational Development,"(2, 2)",Adult Education,,
ADLT 304,Designing Online Learning for Adult Learners,"(3, 3)",Adult Education,,
ADLT 305,Technology for Learning and Development,"(3, 3)",Adult Education,,
ADLT 400,"Developing Intercultural Competencies in the Workplace: Diversity, Inclusion and Equity","(3, 3)",Adult Education,,
ADLT 401,Organizational Development and Change,"(3, 3)",Adult Education,,
ADLT 404,Team Learning and Development,"(3, 3)",Adult Education,,
