courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ISWG 2010,Principles of Financial Accounting,"(3, 3)",Other Courses,,
ISWH 1030,Western Heritage of Politics ? Ancient and Medieval,"(3, 3)",Other Courses,,
ISWM 1180,Elementary Probability and Statistics,"(3, 3)",Other Courses,,
ISWN 1010,Principles of Biology,"(3, 3)",Other Courses,,
ISWN 1011,Principles of Biology Laboratory,"(1, 1)",Other Courses,,
ISWS 1100,Introductory Psychology,"(3, 3)",Other Courses,,
ISWS 2050,Microeconomic Principles,"(3, 3)",Other Courses,,
ISWS 2060,Macroeconomic Principles,"(3, 3)",Other Courses,,
ISWS 3953,Twentieth Century Global History Through Film,"(3, 3)",Other Courses,,
MALA 1010,Introductory Malagasy Language I,"(3, 3)",Other Courses,,
MALA 1020,Introductory Malagasy Language II,"(3, 3)",Other Courses,,
ACCT 2010,Introductory Accounting I,"(3, 3)",Accounting,,
ACCT 2020,Introductory Accounting II,"(3, 3)",Accounting,,
ACCT 3010,Introductory Financial Accounting,"(3, 3)",Accounting,,
ACCT 3020,Introductory Managerial Accounting,"(3, 3)",Accounting,,
ACCT 3110,Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 3120,Intermediate Accounting II,"(3, 3)",Accounting,,
ACCT 3140,Cost Accounting,"(3, 3)",Accounting,,
ACCT 4450,Federal Taxation I,"(3, 3)",Accounting,,
ACCT 4700,Federal Accounting,"(3, 3)",Accounting,,
AFFL 1001,Degree Conferral in Absentia,"(0, 0)",Affiliated Status,,
AFFL 1002,External Internship/Study,"(0, 0)",Affiliated Status,,
AAS 1010,Introduction to African-American and African Studies I,"(4, 4)",American And African Studies,,
AAS 1020,Introduction to African-American and African Studies II,"(4, 4)",American And African Studies,,
AAS 1559,New Course in African and African American Studies,"(1, 4)",American And African Studies,,
AAS 1559,New Course in African and African American Studies,"(1, 4)",American And African Studies,,
AAS 2210,Introduction to African Literatures & Cultures,"(3, 3)",American And African Studies,,
AAS 2220,"Introduction to Race, Class, Politics & the Environment","(3, 3)",American And African Studies,,
AAS 2224,Black Femininities and Masculinities in the US Media,"(3, 3)",American And African Studies,,
AAS 2225,Black Love: Media Representations vs. Reality,"(3, 3)",American And African Studies,,
AAS 2230,African Refugees Cultures & Stories,"(3, 3)",American And African Studies,,
AAS 2240,Africans in America,"(3, 3)",American And African Studies,,
AAS 2263,UVA in Kenya - Swahili Cultures: Then & Now,"(3, 3)",American And African Studies,,
AAS 2450,The Health of Black Folks,"(3, 3)",American And African Studies,,
AAS 2500,Topics Course in Africana Studies,"(3, 3)",American And African Studies,,
AAS 2500,Topics Course in Africana Studies,"(3, 3)",American And African Studies,,
AAS 2559,New Course in African and African American Studies,"(3, 3)",American And African Studies,,
AAS 2559,New Course in African and African American Studies,"(3, 3)",American And African Studies,,
AAS 2657,"Routes, Writing, Reggae","(3, 3)",American And African Studies,,
AAS 2710,Introduction to Afro-Latin America,"(3, 3)",American And African Studies,,
AAS 2740,Peoples and Cultures of Africa,"(3, 3)",American And African Studies,,
AAS 2751,African History through the Novel,"(3, 3)",American And African Studies,,
