courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAD 1004,"Exploring Architecture, Arts, and Design","(None, None)",,,
AAD 1204,Thinking Globally,"(None, None)",,,
AAD 1214,Acting Locally,"(None, None)",,,
AAD 1984,Special Study,"(None, None)",,,
AAD 2974,Independent Study,"(None, None)",,,
AAD 2984,Special Study,"(None, None)",,,
AAD 3900,Bridge Experience,"(None, None)",,,
AAD 3954,Study Abroad,"(None, None)",,,
AAD 3974,Independent Study,"(None, None)",,,
AAD 3984,Special Study,"(None, None)",,,
AAD 3984L,Special Study,"(None, None)",,,
AAD 3984M,Special Study,"(None, None)",,,
AAD 4234,Capstone Collaborations: Cross-Disciplinary Teams,"(None, None)",,,
AAD 4954,Study Abroad,"(None, None)",,,
AAD 5954,Study Abroad,"(None, None)",,,
AAEC 1005,Economics of the Food and Fiber System,"(None, None)",,,
AAEC 1006,Economics of the Food and Fiber System,"(None, None)",,,
AAEC 2104,Personal Financial Planning,"(None, None)",,,
AAEC 2434,Foundations of Agribusiness,"(None, None)",,,
AAEC 2974,Independent Study,"(None, None)",,,
AAEC 2984,Special Study,"(None, None)",,,
AAEC 3004,Agricultural Production and Consumption Economics,"(None, None)",,,
AAEC 3014,Analytical Methods in Applied Economics,"(None, None)",,,
AAEC 3015,Internship in Agricultural and Applied Economics,"(None, None)",,,
AAEC 3024,Monetary and Global Issues in Applied Economics,"(None, None)",,,
AAEC 3204,International Agricultural Development and Trade,"(None, None)",,,
AAEC 3314,Environmental Law,"(None, None)",,,
AAEC 3324,Environment and Sustainable Development Economics,"(None, None)",,,
AAEC 3424,Value-Based Management in Agribusiness,"(None, None)",,,
AAEC 3454,Small Business Management and Entrepreneurship,"(None, None)",,,
AAEC 3504,Marketing Agricultural Products,"(None, None)",,,
AAEC 3514,Agricultural Futures and Options,"(None, None)",,,
AAEC 3604,Agricultural Law,"(None, None)",,,
AAEC 3900,Bridge Experience,"(None, None)",,,
AAEC 3954,Study Abroad,"(None, None)",,,
AAEC 3974,Independent Study,"(None, None)",,,
AAEC 3984,Special Study,"(None, None)",,,
AAEC 4135,International Economics,"(None, None)",,,
AAEC 4136,International Economics,"(None, None)",,,
AAEC 4204,Food and Agricultural Policy,"(None, None)",,,
AAEC 4314,Environmental Economic Analysis and Management,"(None, None)",,,
AAEC 4324,Rural and Regional Development Policy,"(None, None)",,,
AAEC 4334,Applications Rural Development,"(None, None)",,,
AAEC 4344,Sustainable Development Economics,"(None, None)",,,
AAEC 4354,Energy Economics,"(None, None)",,,
AAEC 4404,Agricultural Management and Problem-solving,"(None, None)",,,
AAEC 4414,Applied Economic Problem-Solving,"(None, None)",,,
AAEC 4424,Ag Financial Management,"(None, None)",,,
AAEC 4434,Commodity Investing by Students,"(None, None)",,,
