courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 3010,Introduction to Financial Accounting,0-3,Accounting,,
ACC 3020,Introduction to Managerial Accounting,3,Accounting,,
ACC 4500,Business Co-op Assignment,0,Accounting,,
ACC 5100,Intermediate Financial Accounting I,3,Accounting,,
ACC 5110,Intermediate Financial Accounting II,3,Accounting,,
ACC 5115,Intermediate Financial Accounting III,3,Accounting,,
ACC 5120,Advanced Accounting,3,Accounting,,
ACC 5130,Accounting Systems Design and Control,3,Accounting,,
ACC 5160,Managerial Accounting,3,Accounting,,
ACC 5170,Introduction to Taxation: Individuals,3,Accounting,,
ACC 5180,Governmental and Not-for-Profit Accounting,3,Accounting,,
ACC 5200,ERP Systems: Concepts and Practice,3,Accounting,,
ACC 5210,Blockchain Fundamentals for Accounting and Business,3,Accounting,,
ACC 5220,Data Analytics and Technologies for Accounting,3,Accounting,,
ACC 5250,Introduction to Internal Auditing,3,Accounting,,
ACC 5270,Introduction to Taxation: Business Entities,3,Accounting,,
ACC 5890,Internship in Accounting or Tax Practice,3,Accounting,,
ACC 5990,Directed Study in Accounting,1-3,Accounting,,
ACC 5996,"Auditing, Assurance and Attestation",3,Accounting,,
ACC 6000,Introduction to Accounting and Financial Reporting,3,Accounting,,
ACC 7000,Managerial Accounting,3,Accounting,,
ACC 7100,Financial Accounting for Decision Making,3,Accounting,,
ACC 7115,Financial Statement Analysis,3,Accounting,,
ACC 7120,Introduction to Taxation: Individuals,3,Accounting,,
ACC 7122,Advanced Accounting I,3,Accounting,,
ACC 7130,Intermediate Managerial Accounting,3,Accounting,,
ACC 7145,Accounting Systems: Design and Controls,3,Accounting,,
ACC 7148,ERP Systems and Business Integration,3,Accounting,,
ACC 7155,Forensic Accounting,3,Accounting,,
ACC 7165,Internal Audit I,3,Accounting,,
ACC 7170,International Accounting,3,Accounting,,
ACC 7180,Auditing,3,Accounting,,
ACC 7188,Governmental and Not-for-Profit Accounting,3,Accounting,,
ACC 7280,Accounting Data Analytics,3,Accounting,,
ACC 7290,Blockchain: An Accounting and Business Perspective,3,Accounting,,
ACC 7300,Accounting and Tax Research and Professional Communications,3,Accounting,,
ACC 7310,Business and Professional Ethics for Managers and Accountants,3,Accounting,,
ACC 7320,Introduction to Taxation: Business Entities,3,Accounting,,
ACC 7325,Advanced Tax Research and IRS Procedures,3,Accounting,,
ACC 7335,Taxation of Corporations and Shareholders,3,Accounting,,
ACC 7340,Taxation of Pass-Through Entities,3,Accounting,,
ACC 7400,Taxation of International Business and Multinational Transactions,3,Accounting,,
ACC 7450,Taxes and Business Strategy,3,Accounting,,
ACC 7600,CPA Preparatory Course - Financial Accounting and Reporting,3,Accounting,,
ACC 7990,Internship in Accounting or Tax Practice,1-3,Accounting,,
ACC 7995,Directed Study in Accounting,1-3,Accounting,,
ACC 7998,Seminar in Tax and Accounting Policy,3,Accounting,,
AFS 1010,Introduction to African American Studies,3,African American Studies,,
AFS 2010,African American Culture,4,African American Studies,,
AFS 2210,Black Social and Political Thought,4,African American Studies,,
AFS 2245,Blacks and Sport in the United States,3,African American Studies,,
AFS 2250,AfroLatino/a History and Culture,3,African American Studies,,
AFS 2350,Black Detroit,3,African American Studies,,
AFS 2390,Introduction to African-American Literature: Writing about Texts,3,African American Studies,,
AFS 2600,Race and Racism in America,3,African American Studies,,
AFS 3140,African American History I: 1400-1865,3-4,African American Studies,,
AFS 3150,African American History II: 1865-1968,3-4,African American Studies,,
AFS 3155,African American History III: 1968 - Present,3-4,African American Studies,,
AFS 3160,Black Urban History,4,African American Studies,,
AFS 3170,Ethnicity and Race in American Life,3-4,African American Studies,,
AFS 3175,Labor and Racial Capitalism,3,African American Studies,,
AFS 3180,Black Social Movements,4,African American Studies,,
AFS 3190,"Race, Policing, and Warfare",3,African American Studies,,
AFS 3200,The African-American Film Experience,4,African American Studies,,
AFS 3250,Politics and Culture in Anglophone Caribbean,3,African American Studies,,
AFS 3300,Black Women Writers,3,African American Studies,,
AFS 3350,Black Women and Labor from the &#39;Nadir&#39; to Black Power,3,African American Studies,,
AFS 3360,Black Workers in American History,4,African American Studies,,
AFS 3420,Pan Africanism: Politics of the Black Diaspora,4,African American Studies,,
AFS 3430,"Race, Revolution, and Counterrevolution",3,African American Studies,,
AFS 3500,"Special Topics: Literacy, Race, and Urban Society",3,African American Studies,,
AFS 3610,Interdisciplinary Perspectives on Foreign Culture: The Africans,4,African American Studies,,
AFS 3750,African American Art and Design,3,African American Studies,,
AFS 3800,Hip-Hop History and Culture,3,African American Studies,,
AFS 4100,Research Methods in African American Studies,4,African American Studies,,
AFS 4240,African Americans in Television,4,African American Studies,,
AFS 5030,African American Politics,4,African American Studies,,
AFS 5050,Topics in African American Cinema,4,African American Studies,,
AFS 5110,Black Women in America,3,African American Studies,,
AFS 5220,Black Dramatic Literature and Performance,3,African American Studies,,
AFS 5310,Special Topics in African American Studies,3-4,African American Studies,,
AFS 5580,Law and the African American Experience,4,African American Studies,,
AFS 5700,The Psychology of African Americans,4,African American Studies,,
AFS 5991,Field Work in the Black Community,3-8,African American Studies,,
AFS 5993,Writing Intensive Course in African American Studies,0,African American Studies,,
AFS 6990,Directed Study,3-8,African American Studies,,
AET 5110,Fundamental Fuel Cell Systems,4,Alternative Energy Technology,,
AET 5120,Fundamentals of Alternative Energy Technology,3,Alternative Energy Technology,,
AET 5250,Alternative Energy Technology System and Design,4,Alternative Energy Technology,,
AET 5310,Fundamentals of Battery Systems for Electric and Hybrid Vehicles,4,Alternative Energy Technology,,
AET 5410,"Energy, Emissions, Environment (E3) Design",3,Alternative Energy Technology,,
AET 5600,Integrated Product Development,3,Alternative Energy Technology,,
AET 5800,Charging Infrastructures for Electric Vehicles,3,Alternative Energy Technology,,
AET 5810,Power Management for Advanced Energy Storage Systems and its Applications,4,Alternative Energy Technology,,
AET 7990,Directed Study,1-4,Alternative Energy Technology,,
AET 7991,Internship in Industry,1-4,Alternative Energy Technology,,
AET 8996,Directed Research,1-4,Alternative Energy Technology,,
AET 8999,Master&#39;s Thesis Research and Direction,1-8,Alternative Energy Technology,,
ANA 6050,Biology of the Eye,3,Anatomy and Cell Biology,,
AN 3000,Introduction to Nurse Anesthesia,2,Anesthesia,,
AN 7010,Advanced Health Assessment and Clinical Diagnosis,4,Anesthesia,,
AN 7020,Practicum and Simulation I,2,Anesthesia,,
AN 7030,Advanced Clinical Practicum II,2,Anesthesia,,
AN 7040,Clinical Anesthesia Practicum III,2,Anesthesia,,
AN 7050,Clinical Anesthesia Practicum IV,2,Anesthesia,,
AN 7060,Clinical Anesthesia Practicum V,3,Anesthesia,,
AN 7070,Clinical Anesthesia Practicum VI,3,Anesthesia,,
AN 7080,Clinical Anesthesia Practicum VII,3,Anesthesia,,
AN 7090,Clinical Anesthesia Practicum VIII,3,Anesthesia,,
AN 7100,Advanced Pharmacology I,3,Anesthesia,,
AN 7110,Advanced Pharmacology II,3,Anesthesia,,
AN 7150,Principles of Anesthesia I,3,Anesthesia,,
AN 7160,Principles of Anesthesia II,3,Anesthesia,,
AN 7170,Principles of Anesthesia III,3,Anesthesia,,
AN 7181,Advanced Principles of Anesthesia IV,4,Anesthesia,,
AN 7220,Advanced Physiology I,3,Anesthesia,,
AN 7240,Advanced Physiology II,3,Anesthesia,,
AN 7241,Pathophysiology,3,Anesthesia,,
AN 7500,"Physics, Equipment, and Safety for Anesthesia",2,Anesthesia,,
AN 7600,Regional Anesthesia,4,Anesthesia,,
AN 7640,Research and Statistics,3,Anesthesia,,
AN 7780,Professional Dimensions,2,Anesthesia,,
AN 7880,Anesthesia Seminar,1,Anesthesia,,
AN 7890,DNAP Project Proposal,1,Anesthesia,,
AN 7891,Advanced Clinical Application I,2,Anesthesia,,
AN 7892,Advanced Clinical Application II,3,Anesthesia,,
AN 7900,Advanced Pediatric Topics,2,Anesthesia,,
AN 7901,Leadership in Nurse Anesthesia Practice,3,Anesthesia,,
AN 7902,Ethics and Health Care,3,Anesthesia,,
AN 7903,Health Care Policy,3,Anesthesia,,
AN 7910,Special Topics in Pediatric Anesthesia,2,Anesthesia,,
AN 7920,Case Presentations,2,Anesthesia,,
AN 7990,Nurse Anesthesia Studies Directed Study Remediation,1,Anesthesia,,
AN 8000,DNAP Project I,1,Anesthesia,,
AN 8001,DNAP Project II,1,Anesthesia,,
AN 8002,DNAP Project III,1,Anesthesia,,
AN 8003,DNAP Project IV,2,Anesthesia,,
AN 8004,DNAP Project Completion,2,Anesthesia,,
ANT 1100,Introduction to Anthropology,3,Anthropology,,
ANT 1110,Work and Democracy: An Introduction,3,Anthropology,,
ANT 2020,Global Detroit,3,Anthropology,,
ANT 2050,Anthropology of Business,3,Anthropology,,
ANT 2110,Introduction to Biological Anthropology,3,Anthropology,,
ANT 2130,Introduction to Forensic Anthropology and Human Rights,3,Anthropology,,
ANT 2200,Lost Cities and Ancient Civilizations,3,Anthropology,,
ANT 2300,Material Culture and Meaning in East Asia,3,Anthropology,,
ANT 2400,Food and Culture,3,Anthropology,,
ANT 2500,Archaeology of the Great Lakes,3,Anthropology,,
ANT 3020,Introduction to Archaeology,3,Anthropology,,
ANT 3030,History of Anthropology,3,Anthropology,,
ANT 3100,World Cultures,3,Anthropology,,
ANT 3111,Digital Storytelling and Ethnic Detroit,3,Anthropology,,
ANT 3220,The Inca and their Ancestors,3,Anthropology,,
ANT 3310,Language and Culture,3,Anthropology,,
