courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ABC 191,Brass Class,0.5,ABC: Brass,,
ABC 192,French Horn Class (Music Education),0.5,ABC: Brass,,
ABC 193,Trombone Class (Music Education),0.5,ABC: Brass,,
ACC 199,Accounting Transfer Credits,1-10,ACC: Accounting,,
ACC 201,Financial Accounting,3,ACC: Accounting,,
ACC 202,Managerial Accounting,3,ACC: Accounting,,
ACC 250,Business Skill Sets,2,ACC: Accounting,,
ACC 300,Fraud Examination for Managers,3,ACC: Accounting,,
ACC 301,Intermediate Accounting I,3,ACC: Accounting,,
ACC 302,Intermediate Accounting II,3,ACC: Accounting,,
ACC 303,Cost Accounting I,3,ACC: Accounting,,
ACC 305,Intermediate Accounting III,3,ACC: Accounting,,
ACC 313,Case Studies in Financial Fraud,3,ACC: Accounting,,
ACC 320,Accounting Information Systems,3,ACC: Accounting,,
ACC 330,Accounting Data Analytics,3,ACC: Accounting,,
ACC 399,Accounting Transfer Elective Upper Level,1-10,ACC: Accounting,,
ACC 400,Internship,3-6,ACC: Accounting,,
ACC 401,Auditing,3,ACC: Accounting,,
ACC 403,Federal Taxation I,3,ACC: Accounting,,
ACC 404,Federal Taxation II,3,ACC: Accounting,,
ACC 405,Advanced Accounting,3,ACC: Accounting,,
ACC 407,Not-For-Profit &amp; Governmental Accounting,3,ACC: Accounting,,
ACC 410,Directed Studies in Accounting,1-3,ACC: Accounting,,
ACC 415,Professional Accounting,3,ACC: Accounting,,
ACC 690,Special Topics in Accounting,3,ACC: Accounting,,
ACC 999,Accounting Transfer Credits (Graduate),3-9,ACC: Accounting,,
AEB 101,Elementary Band,0.5,AEB: Band,,
AEB 199,Band Transfer Credits,1-10,AEB: Band,,
AEO 101,Elementary Orchestra,0.5,AEO: Orchestra,,
AEO 199,Orchestra Transfer Credits,0.5-10,AEO: Orchestra,,
AES 111,Brass Ensemble,0.5-1,AES: Music Ensemble,,
AES 121,Percussion Ensemble,0.5-1,AES: Music Ensemble,,
AES 122,Steel Drum Ensemble,0.5-1,AES: Music Ensemble,,
AES 131,String Ensemble,0.5-1,AES: Music Ensemble,,
AES 141,Woodwind Ensemble,0.5-1,AES: Music Ensemble,,
AES 199,Music Ensemble Transfer Credits,0.5-3,AES: Music Ensemble,,
AES 511,Chamber Recital,2,AES: Music Ensemble,,
AES 512,Instrumental Ensemble,1,AES: Music Ensemble,,
AIC 512,Advanced Instrumental Conducting,2,AIC: Conducting,,
AIM 311,Marching Band Techniques,1,AIM: Topics-Instrumental Music,,
AIM 429,Special Subjects Seminar,1-3,AIM: Topics-Instrumental Music,,
AIM 679,Special Subjects Seminar,1-3,AIM: Topics-Instrumental Music,,
AIM 681,Independent Study In Music,1,AIM: Topics-Instrumental Music,,
AIM 682,Independent Study In Music,2,AIM: Topics-Instrumental Music,,
AIM 683,Independent Study In Music,3,AIM: Topics-Instrumental Music,,
AIM 691,Research Seminar In Music,2,AIM: Topics-Instrumental Music,,
AIM 692,Research Seminar In Music,1,AIM: Topics-Instrumental Music,,
AIM 696,Recital Instrument,1,AIM: Topics-Instrumental Music,,
AIM 697,Recital Instrumental,2,AIM: Topics-Instrumental Music,,
AJZ 199,Jazz Transfer Credits,1-15,AJZ: Jazz,,
AJZ 331,Electronic Instruments,2,AJZ: Jazz,,
AJZ 361,Jazz Musicianship and Improvisation I,3,AJZ: Jazz,,
AJZ 362,Jazz Musicianship and Improvisation II,3,AJZ: Jazz,,
AJZ 365,Jazz Ensemble Techniques,0.5,AJZ: Jazz,,
ALC 312,Brass Literature I,1,ALC: Instrumental Literature,,
ALC 313,Brass Literature II,1,ALC: Instrumental Literature,,
ALC 314,Brass Literature III,1,ALC: Instrumental Literature,,
ALC 322,Guitar Literature,1,ALC: Instrumental Literature,,
ALC 323,Guitar Literature II,1,ALC: Instrumental Literature,,
ALC 324,Guitar Literature III,1,ALC: Instrumental Literature,,
ALC 332,String Literature I,1,ALC: Instrumental Literature,,
ALC 333,String Literature II,1,ALC: Instrumental Literature,,
ALC 334,String Literature III,1,ALC: Instrumental Literature,,
ALC 342,Woodwind Literature I,1,ALC: Instrumental Literature,,
ALC 343,Woodwind Literature II,1,ALC: Instrumental Literature,,
ALC 344,Woodwind Literature III,1,ALC: Instrumental Literature,,
ALC 352,Percussion Literature I,1,ALC: Instrumental Literature,,
ALC 353,Percussion Literature II,1,ALC: Instrumental Literature,,
ALC 354,Percussion Literature III,1,ALC: Instrumental Literature,,
ALC 511,Brass Literature,3,ALC: Instrumental Literature,,
ALC 512,Brass Literature I,1,ALC: Instrumental Literature,,
ALC 513,Brass Literature II,1,ALC: Instrumental Literature,,
ALC 514,Brass Literature III,1,ALC: Instrumental Literature,,
ALC 522,Guitar Literature,1,ALC: Instrumental Literature,,
ALC 524,Guitar Literature III,1,ALC: Instrumental Literature,,
ALC 532,String Literature I,1,ALC: Instrumental Literature,,
ALC 533,String Literature II,1,ALC: Instrumental Literature,,
ALC 534,String Literature III,1,ALC: Instrumental Literature,,
ALC 542,Woodwind Literature I,1,ALC: Instrumental Literature,,
ALC 543,Woodwind Literature II,1,ALC: Instrumental Literature,,
ALC 544,Woodwind Literature III,1,ALC: Instrumental Literature,,
ALC 551,Instrumental Literature,3,ALC: Instrumental Literature,,
ALC 552,Percussion Literature I,1,ALC: Instrumental Literature,,
ALC 553,Percussion Literature II,1,ALC: Instrumental Literature,,
ALC 554,Percussion Literature III,1,ALC: Instrumental Literature,,
AMA 352,Performance in the Arts,3,AMA: Applied Music Arts,,
AMF 251,Foundations of Music Performance I,3,AMF: Music Foundations-Minors,,
AMF 252,Foundations of Music Performance II,3,AMF: Music Foundations-Minors,,
AML 351,Understanding Live Music Performance,3,AML: Live Performance Music,,
AMS 199,American Studies Transfer Credit Electives,1-15,AMS: American Studies,,
AMS 200,American Civilization,3,AMS: American Studies,,
AMS 367,American Material Culture,3,AMS: American Studies,,
AMS 399,Topics in American Studies,3,AMS: American Studies,,
AMS 400,Senior Thesis or Project,3,AMS: American Studies,,
AMS 401,Independent Study,1-3,AMS: American Studies,,
AMS 415,American Studies Internship,1-15,AMS: American Studies,,
ANT 101,Introduction to Biological Anthropology,3,ANT: Anthropology,,
ANT 101L,Introduction to Biological Anthropology Lab,0,ANT: Anthropology,,
ANT 102,Introduction to Cultural Anthropology,3,ANT: Anthropology,,
ANT 103,Introduction to Archaeology,3,ANT: Anthropology,,
ANT 199,Anthropology Transfer Credits,1-10,ANT: Anthropology,,
ANT 210,Introduction to Forensic Anthropology,3,ANT: Anthropology,,
ANT 213,Archaeological Field Techniques,3,ANT: Anthropology,,
ANT 220,Cultures of Ethnic Groups in America,3,ANT: Anthropology,,
ANT 224,Native People of South America,3,ANT: Anthropology,,
ANT 230,Introduction to Primatology,3,ANT: Anthropology,,
ANT 260,Artifacts and Culture,3,ANT: Anthropology,,
ANT 277,Sustainable Food Systems,3,ANT: Anthropology,,
ANT 310,Human Paleontology,3,ANT: Anthropology,,
ANT 312,Medical Anthropology,3,ANT: Anthropology,,
ANT 314,Biocultural Perspectives on Food and Nutrition,3,ANT: Anthropology,,
ANT 321,American Indian Today,3,ANT: Anthropology,,
ANT 322,Ethnology of Central America,3,ANT: Anthropology,,
ANT 324,Native People of the Andes,3,ANT: Anthropology,,
ANT 327,Cultures &amp; Peoples of India,3,ANT: Anthropology,,
ANT 330,Professionalization in Anthropology,1,ANT: Anthropology,,
ANT 344,"Magic, Religion &amp; Witchcraft",3,ANT: Anthropology,,
ANT 347,The Cultures of Cities,3,ANT: Anthropology,,
ANT 348,Dimensions of Ethnographic Film/Video,3,ANT: Anthropology,,
ANT 349,Ethnographic Research Methods,3,ANT: Anthropology,,
ANT 352,Cultural Heritage: Creating and Preserving the Past,3,ANT: Anthropology,,
ANT 355,Anthropology of Tourism,3,ANT: Anthropology,,
ANT 360,Historical Archaeology,3,ANT: Anthropology,,
ANT 361,Community and Public Archaeology,3,ANT: Anthropology,,
ANT 362,Archaeology of Central America,3,ANT: Anthropology,,
