courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACTG 1010,Practical Accounting &amp; Taxes,3,Accounting,,
ACTG 2010,Survey of Accounting I,3,Accounting,,
ACTG 2020,Survey of Accounting II,3,Accounting,,
ACTG 2891,Co-op Work Experience,1,Accounting,,
ACTG 2892,Co-op Work Experience,2,Accounting,,
ACTG 2893,Co-op Work Experience,3,Accounting,,
ACTG 2921,Workshop,1,Accounting,,
ACTG 2922,Workshop,2,Accounting,,
ACTG 2923,Workshop,3,Accounting,,
ACTG 3110,Intermediate Financial Acct I,3,Accounting,,
ACTG 3120,Intermediate Financial Acct II,3,Accounting,,
ACTG 3130,Accounting Data Analytics,3,Accounting,,
ACTG 3300,Cost Accounting,3,Accounting,,
ACTG 3400,Taxation of Individuals,3,Accounting,,
ACTG 3500,International Accounting,3,Accounting,,
ACTG 3750,Accounting &amp; Info Systems,3,Accounting,,
ACTG 4130,Advanced Accounting,3,Accounting,,
ACTG 4440,Taxation of Business Entities,3,Accounting,,
ACTG 4801,Individual Study,1,Accounting,,
ACTG 4802,Individual Study,2,Accounting,,
ACTG 4803,Individual Study,3,Accounting,,
ACTG 4850,Accounting Study Abroad,1-3,Accounting,,
ACTG 4891,Accounting Internship,1-3,Accounting,,
ACTG 4892,Accounting Internship,1-3,Accounting,,
ACTG 4893,INT Accounting Internship,1-3,Accounting,,
ACTG 4921,Workshop,1,Accounting,,
ACTG 4922,Workshops,2,Accounting,,
ACTG 4923,Workshop,3,Accounting,,
ACTG 5140,Global and Complex Entities,3,Accounting,,
ACTG 5150,Accounting Research,3,Accounting,,
ACTG 5510,Auditing,3,Accounting,,
ACTG 5700,CPA Examination Review: FAR,3,Accounting,,
AERO 1010,Foundations of USAF I,1,Aerospace,,
AERO 1011,Foundations of USAF II,1,Aerospace,,
AERO 1110,General Military Leadership Lab 1,1,Aerospace,,
AERO 1111,Gen Military Leadership Lab II,1,Aerospace,,
AERO 2010,Team &amp; Leadership Fund DAF I,1,Aerospace,,
AERO 2011,Team &amp; Leadership Fund DAF II,1,Aerospace,,
AERO 2110,Gen Military Leadrship Lab III,1,Aerospace,,
AERO 2111,Gen Military Leadership Lab IV,1,Aerospace,,
AERO 2830,Directed Studies,1-3,Aerospace,,
AERO 3000,Field Training,1-4,Aerospace,,
AERO 3010,Leadership Studies I,3,Aerospace,,
AERO 3011,Leadership Studies II,3,Aerospace,,
AERO 3110,Leadership Lab I,1,Aerospace,,
AERO 3111,Leadership Lab II,1,Aerospace,,
AERO 4010,Security Affairs I,3,Aerospace,,
AERO 4011,Security Affairs II,3,Aerospace,,
AERO 4110,Leadership Lab III,1,Aerospace,,
AERO 4111,Leadership Lab IV,1,Aerospace,,
AERO 4830,Directed Studies,1-5,Aerospace,,
ASL 1010,First Semester ASL,3,American Sign Language,,
ASL 1020,Second Semester ASL,3,American Sign Language,,
ASL 2010,Third Semester ASL,3,American Sign Language,,
ASL 2020,HU-Fourth Semester ASL,3,American Sign Language,,
ASL 2021,Second Year II,3,American Sign Language,,
ASL 2030,Second Year Language Review,3,American Sign Language,,
ASL 3000,Proficiency Development,3,American Sign Language,,
ASL 3550,Cultural Heritage I,3,American Sign Language,,
ASL 3570,Special Topics in Culture,3,American Sign Language,,
ASL 4920,Workshop,1-6,American Sign Language,,
ANTH 1000,SS/CC Intro to Anthropology,3,Anthropology,,
ANTH 1020,LS/SUS Biological Anthro,3,Anthropology,,
ANTH 1040,HU/CC Language and Culture,3,Anthropology,,
ANTH 2010,SS/CC Peoples &amp;Cultures World,3,Anthropology,,
ANTH 2030,SS/CC Princ of Archaeology,3,Anthropology,,
ANTH 2220,Forensic Anthropology,3,Anthropology,,
ANTH 2920,Workshop,1-6,Anthropology,,
ANTH 2950,Elementary Anthro Field Trip,1-3,Anthropology,,
ANTH 2990,Special Topics in Anthropology,1-3,Anthropology,,
ANTH 3100,North American Archaeology,3,Anthropology,,
ANTH 3150,Archaeology of the Great Basin,3,Anthropology,,
ANTH 3200,Archaeology Early Civilization,3,Anthropology,,
ANTH 3250,Human Osteology,3,Anthropology,,
ANTH 3300,Archaeological Field Technique,3-6,Anthropology,,
ANTH 3400,CRE Archaeological Lab Tech,3,Anthropology,,
ANTH 3500,Advncd Culture Anthropology,3,Anthropology,,
ANTH 3600,Culture Area Studies,1-3,Anthropology,,
ANTH 3900,Anthropology of Religion,3,Anthropology,,
ANTH 4100,Archaeological Method &amp; Mngmnt,3,Anthropology,,
ANTH 4150,Tech Skills in Anthropology,3,Anthropology,,
ANTH 4200,Anthropological Theory,3,Anthropology,,
ANTH 4220,Forensic Anthropology,3,Anthropology,,
ANTH 4300,CRE Anth Research Methods,3,Anthropology,,
ANTH 4830,INT Readings and/or Projects,1-3,Anthropology,,
ANTH 4890,INT Internship in Anthropology,1-3,Anthropology,,
ANTH 4900,CRE Senior Capstone Seminar,3,Anthropology,,
ANTH 4920,Workshop,1-6,Anthropology,,
ANTH 4950,Advanced Anthro Field Trip,1-3,Anthropology,,
ANTH 4990,Seminar In Anthropology,1-3,Anthropology,,
APPE 1010,Intro to Appl. Pols Phil Econ,3,Applied Philosophy politics ec,,
APPE 4900,APPE Capstone,3,Applied Philosophy politics ec,,
ARAB 1010,First Year Arabic I,3,Arabic,,
ARAB 1020,First Year Arabic II,3,Arabic,,
ARAB 2010,Second Year Arabic I,3,Arabic,,
ARAB 2020,HU Second Year Arabic II,3,Arabic,,
ARAB 2021,Second Year II,3,Arabic,,
ARAB 2030,Second Year Language Review,3,Arabic,,
ARAB 2700,Intro to Arabic Literature,3,Arabic,,
ARCH 1040,CA Intro to Architecture,3,Architectural Design,,
ARCH 1350,Architectural Design Comms 1,3,Architectural Design,,
ARCH 2000,Architectural Comms ll,3,Architectural Design,,
ARCH 2830,Directed Readings,3,Architectural Design,,
ARCH 3000,SUS Sustainable Buildg Des/Con,3,Architectural Design,,
ARCH 3100,Residential Design Studio,3,Architectural Design,,
ARCH 3200,Commercial Design Studio,3,Architectural Design,,
ARCH 3500,Architec Rendering &amp; Animation,3,Architectural Design,,
ARCH 3660,Structure for Architects,3,Architectural Design,,
ARCH 3810,Student Competition,1-6,Architectural Design,,
ARCH 4350,BIM Management &amp; Coordination,3,Architectural Design,,
ARCH 4600,SUS Senior Project,3,Architectural Design,,
ARCH 4830,Directed Studies,1-3,Architectural Design,,
ARCH 4920,Workshop,1-6,Architectural Design,,
ART 1010,CA Introduction to Visual Arts,3,Art,,
ART 1030,CA Studio Art for NonArt Major,3,Art,,
ART 1040,Orientation to Visual Studies,3,Art,,
ART 1110,CA Drawing I,3,Art,,
ART 1120,Design Concepts,3,Art,,
ART 1130,"Approach Surface, Shape, Form",3,Art,,
ART 1135,"Materials, Space and Time",3,Art,,
ART 2015,Drawing on the Land,3,Art,,
ART 2200,SUS Intro to Printmaking,3,Art,,
ART 2250,Photography-Black White/Analog,3,Art,,
ART 2310,Ceramics I,3,Art,,
ART 2350,Small Metals/Jewelry I,3,Art,,
ART 2420A,Bitmap Imaging,1,Art,,
ART 2420B,Vector Drawing,1,Art,,
ART 2420C,Digital Page Composition,1,Art,,
ART 2420D,Design for the Internet,1,Art,,
ART 2430,Introduction to Graphic Design,3,Art,,
ART 2435,Graphic Design Practice,3,Art,,
ART 2450,CA Photography:Color/Digital,3,Art,,
ART 2600,Painting I,3,Art,,
ART 2700,Sculpture I,3,Art,,
ART 2750,Foundations of Video Art,3,Art,,
ART 2810,Experimental,1-6,Art,,
ART 2810B,Performance as Art,3,Art,,
ART 2810C,Figure Painting,3,Art,,
ART 2830,Directed Readings,1-3,Art,,
ART 2850,Furniture Design,3,Art,,
ART 2890,INT Coop Work Experience,1-2,Art,,
ART 2920,Workshop,1-6,Art,,
ART 3040,Modern Art,4,Art,,
ART 3085,Critical Issues in Art,3,Art,,
