courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AFAM101,Introduction to Africana Studies: Black Radical Thought and Praxis,,2026-2027 Edition,,
AFAM112F,Reading Black Culture (FYS),,2026-2027 Edition,,
AFAM115F,Freedom School (FYS),,2026-2027 Edition,,
AFAM116F,The Black Radical Tradition (or Black Radicalism) (FYS),,2026-2027 Edition,,
AFAM141F,"The Revolutionary Rupture: Slavery, Latifundio & Rev. in Caribbean & Lat. Amer. Lit. & Cinema (FYS)",,2026-2027 Edition,,
AFAM152F,Staging America: Modern American Drama (FYS),,2026-2027 Edition,,
AFAM171F,"The Prison State: Race, Law, and Mass Incarceration in U.S. History (FYS)",,2026-2027 Edition,,
AFAM175F,"The Black Atlantic, A Religious Interpretation (FYS)",,2026-2027 Edition,,
AFAM177,Introduction to Black Religions in the Americas,,2026-2027 Edition,,
AFAM177F,August Wilson (FYS),,2026-2027 Edition,,
AFAM179F,"Not Like Us: Religion, Race, Pop Culture (FYS)",,2026-2027 Edition,,
AFAM189F,"LGBTQ, or LGBT Who? Race, Sexuality, and Community in 20th-century U.S. History (FYS)",,2026-2027 Edition,,
AFAM201,Introduction to Ethnic Studies,,2026-2027 Edition,,
AFAM202,Introduction to African American Literature,,2026-2027 Edition,,
AFAM203,"African American History, 1444-1877",,2026-2027 Edition,,
AFAM204,Introduction to Modern African American History,,2026-2027 Edition,,
AFAM208,History of African American Art,,2026-2027 Edition,,
AFAM209,Digital and Visual Storytelling,,2026-2027 Edition,,
AFAM210,Black Women and the Sacred,,2026-2027 Edition,,
AFAM211,Critical Philosophy of Race,,2026-2027 Edition,,
AFAM212,Modern Africa,,2026-2027 Edition,,
AFAM213,Abolition Geographies,,2026-2027 Edition,,
AFAM214,Postcolonial Religion: Pentecostalism and the Global South,,2026-2027 Edition,,
AFAM216,A Small Place,,2026-2027 Edition,,
AFAM217,"Empires, Slavery, and Revolution: Africa to 1800",,2026-2027 Edition,,
AFAM218,Literary Genres of Black History,,2026-2027 Edition,,
AFAM219,"""The History that Hurts"": Reading Saidiya Hartman",,2026-2027 Edition,,
AFAM220,Poetics of Blackness,,2026-2027 Edition,,
AFAM221,The African Novel,,2026-2027 Edition,,
AFAM222,Literature and Black Feminism: The Dramas of Black Capital,,2026-2027 Edition,,
AFAM223,Anthropology and (Anti)-Blackness,,2026-2027 Edition,,
AFAM228Z,"Thinking with Octavia Butler's ""Wild Seed""",,2026-2027 Edition,,
AFAM229,Reading Toni Morrison: Blackness and the Literary Imagination,,2026-2027 Edition,,
AFAM230F,Marxism and Abolitionism (FYS),,2026-2027 Edition,,
AFAM231,Latinx and Caribbean Sexual Cultures,,2026-2027 Edition,,
AFAM232,Black and Indigenous Foundations of U.S. Society,,2026-2027 Edition,,
