courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAS 100,Introduction to African American and African Studies. (3 h),,Wake Forest University,,
AAS 103,Introduction to Jazz. (3 h),,Wake Forest University,,
AAS 105,Africa in World History. (3 h),,Wake Forest University,,
AAS 106,Atlantic World since 1500. (3 h),,Wake Forest University,,
AAS 110,Introduction to Africana Philosophy. (3 h),,Wake Forest University,,
AAS 115,Introduction to the Civil Rights Movement. (3 h),,Wake Forest University,,
AAS 120,Introduction to Black Women's Studies. (3 h),,Wake Forest University,,
AAS 130,Black Queer Studies. (3 h),,Wake Forest University,,
AAS 140,Introduction to Black Religion. (3 h),,Wake Forest University,,
AAS 170,African Diaspora Studies. (3 h),,Wake Forest University,,
AAS 190,Mixed Race Studies. (3 h),,Wake Forest University,,
AAS 200,Theories and Methods in African American and African Studies. (3 h),,Wake Forest University,,
AAS 202,"Policing, Politics, and Prison. (3 h)",,Wake Forest University,,
AAS 205,Black Cultural Studies. (3 h),,Wake Forest University,,
AAS 206,Introduction to Hip Hop. (3 h),,Wake Forest University,,
AAS 207,Black Popular Culture. (3 h),,Wake Forest University,,
AAS 210,African American Intellectual Traditions. (3 h),,Wake Forest University,,
AAS 220,African American Cultural Criticism. (3 h),,Wake Forest University,,
AAS 230,Black Expressive Cultures in the Americas. (3 h),,Wake Forest University,,
AAS 235,Black Cinema. (3 h),,Wake Forest University,,
AAS 240,Black Theology and Black Power. (3 h),,Wake Forest University,,
AAS 266,The History of the Slave South. (3 h),,Wake Forest University,,
AAS 271,African American History to 1870. (3 h),,Wake Forest University,,
AAS 272,African American History since 1870. (3 h),,Wake Forest University,,
AAS 273,Race and the City. (3 h),,Wake Forest University,,
AAS 274,Black Business and Economics. (3 h),,Wake Forest University,,
AAS 280,"Race, Environment, and Justice. (3 h)",,Wake Forest University,,
AAS 285,Women and Work in the U.S. (3 h),,Wake Forest University,,
AAS 290,Black Autobiography and Memoir. (3 h),,Wake Forest University,,
