courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AFT 2,Accreditation Audit,"(None, None)",,,
AIT 2,Organic Chemistry,"(None, None)",,,
AMT 2,Service Line Development,"(None, None)",,,
AOA 2,Number Sense and Functions,"(None, None)",,,
ASA 1,Assessment Theory and Practice,"(None, None)",,,
AUA 2,"Graphing, Proportional Reasoning and Equations/Inequalities","(None, None)",,,
AVA 2,Geometry and Statistics,"(None, None)",,,
BVT 1,Physical Chemistry,"(None, None)",,,
BVT 2,Physical Chemistry,"(None, None)",,,
BWT 1,Inorganic Chemistry,"(None, None)",,,
BWT 2,Inorganic Chemistry,"(None, None)",,,
BYT 1,Physics: Mechanics,"(None, None)",,,
BYT 2,Physics: Mechanics,"(None, None)",,,
BZT 1,Physics: Waves and Optics,"(None, None)",,,
BZT 2,Physics: Waves and Optics,"(None, None)",,,
C 100,Introduction to Humanities,"(None, None)",,,
C 121,Survey of United States History,"(None, None)",,,
C 165,Integrated Physical Sciences,"(None, None)",,,
C 168,Critical Thinking and Logic,"(None, None)",,,
C 172,Network and Security,"(None, None)",,,
C 175,Data Management,"(None, None)",,,
C 179,Business of IT,"(None, None)",,,
C 180,Introduction to Psychology,"(None, None)",,,
C 182,Introduction to IT,"(None, None)",,,
C 190,Introduction to Biology,"(None, None)",,,
C 200,Managing Organizations and Leading People,"(None, None)",,,
C 201,Business Acumen,"(None, None)",,,
C 202,Managing Human Capital,"(None, None)",,,
C 203,Becoming an Effective Leader,"(None, None)",,,
C 204,Management Communication,"(None, None)",,,
C 205,Leading Teams,"(None, None)",,,
C 206,Ethical Leadership,"(None, None)",,,
C 207,Data,"(None, None)",,,
C 208,Change Management and Innovation,"(None, None)",,,
C 209,Strategic Management,"(None, None)",,,
C 210,Management and Leadership Capstone,"(None, None)",,,
C 211,Global Economics for Managers,"(None, None)",,,
C 212,Marketing,"(None, None)",,,
C 213,Accounting for Decision Makers,"(None, None)",,,
C 214,Financial Management,"(None, None)",,,
C 215,Operations Management,"(None, None)",,,
C 216,MBA Capstone,"(None, None)",,,
C 218,"MBA, Information Technology Management Capstone","(None, None)",,,
C 219,"MBA, Healthcare Management Capstone","(None, None)",,,
C 224,Research Foundations,"(None, None)",,,
C 225,Research Questions and Literature Review,"(None, None)",,,
C 226,Research Design and Analysis,"(None, None)",,,
C 227,Research Proposals,"(None, None)",,,
C 232,Introduction to Human Resource Management,"(None, None)",,,
C 233,Employment Law,"(None, None)",,,
C 234,Workforce Planning: Recruitment and Selection,"(None, None)",,,
C 236,Compensation and Benefits,"(None, None)",,,
C 237,Taxation I,"(None, None)",,,
C 263,The Ocean Systems,"(None, None)",,,
C 264,Climate Change,"(None, None)",,,
C 266,The Ocean Systems,"(None, None)",,,
C 267,Climate Change,"(None, None)",,,
C 268,Spreadsheets,"(None, None)",,,
C 273,Introduction to Sociology,"(None, None)",,,
C 277,Finite Mathematics,"(None, None)",,,
C 278,College Algebra,"(None, None)",,,
C 280,Probability and Statistics I,"(None, None)",,,
C 282,Calculus I,"(None, None)",,,
C 283,Calculus II,"(None, None)",,,
C 284,Mathematics Learning and Teaching,"(None, None)",,,
C 285,Mathematics History and Technology,"(None, None)",,,
C 339,Cohort Seminar,"(None, None)",,,
C 341,Cohort Seminar,"(None, None)",,,
C 347,Professional Portfolio,"(None, None)",,,
C 360,Teacher Work Sample in English Language Learning,"(None, None)",,,
C 362,Calculus I,"(None, None)",,,
C 363,Calculus I,"(None, None)",,,
C 371,Concepts in Science,"(None, None)",,,
C 373,General Chemistry I with Lab,"(None, None)",,,
C 374,General Chemistry II with Lab,"(None, None)",,,
C 388,"Science, Technology, and Society","(None, None)",,,
C 389,"Science, Technology, and Society","(None, None)",,,
C 396,English Pedagogy,"(None, None)",,,
C 455,English Composition I,"(None, None)",,,
C 456,English Composition II,"(None, None)",,,
C 458,"Health, Fitness, and Wellness","(None, None)",,,
C 464,Introduction to Communication,"(None, None)",,,
C 483,Principles of Management,"(None, None)",,,
C 484,Organizational Behavior and Leadership,"(None, None)",,,
C 494,Advanced Standing for RN License,"(None, None)",,,
C 498,"MS, Information Technology Management Capstone","(None, None)",,,
C 612,Mathematics: Content Knowledge,"(None, None)",,,
C 613,Middle School Mathematics: Content Knowledge,"(None, None)",,,
C 614,Biology: Content Knowledge,"(None, None)",,,
C 615,Physics: Content Knowledge,"(None, None)",,,
C 616,Middle School Science: Content Knowledge,"(None, None)",,,
C 617,Chemistry: Content Knowledge,"(None, None)",,,
C 618,Earth Science: Content Knowledge,"(None, None)",,,
C 624,Biochemistry,"(None, None)",,,
C 625,Biochemistry,"(None, None)",,,
C 635,"MA, Mathematics Education (K","(None, None)",,,
C 645,Science Methods,"(None, None)",,,
C 646,Trigonometry and Precalculus,"(None, None)",,,
C 647,Trigonometry and Precalculus,"(None, None)",,,
C 649,Geology I: Physical,"(None, None)",,,
C 650,Geology I: Physical,"(None, None)",,,
C 652,Heredity and Genetics,"(None, None)",,,
C 653,Heredity and Genetics,"(None, None)",,,
C 654,Zoology,"(None, None)",,,
C 655,Zoology,"(None, None)",,,
C 656,Calculus III,"(None, None)",,,
C 657,Calculus III,"(None, None)",,,
C 659,Conceptual Physics,"(None, None)",,,
C 670,Concepts in Science,"(None, None)",,,
C 672,General Chemistry I with Lab,"(None, None)",,,
C 673,General Chemistry II with Lab,"(None, None)",,,
C 683,Natural Science Lab,"(None, None)",,,
C 715,Organizational Behavior,"(None, None)",,,
C 716,Business Communication,"(None, None)",,,
C 717,Business Ethics,"(None, None)",,,
C 720,Operations and Supply Chain Management,"(None, None)",,,
C 721,Change Management,"(None, None)",,,
C 722,Project Management,"(None, None)",,,
C 723,Quantitative Analysis For Business,"(None, None)",,,
C 724,Information Systems Management,"(None, None)",,,
C 728,Secondary Disciplinary Literacy,"(None, None)",,,
C 730,Secondary Reading Instruction and Interventions,"(None, None)",,,
C 736,Evolution,"(None, None)",,,
C 737,Evolution,"(None, None)",,,
C 738,"Space, Time and Motion","(None, None)",,,
C 739,"Space, Time and Motion","(None, None)",,,
C 769,IT Capstone Written Project,"(None, None)",,,
C 773,User Interface Design,"(None, None)",,,
C 777,Web Development Applications,"(None, None)",,,
C 783,Project Management,"(None, None)",,,
C 784,Applied Healthcare Statistics,"(None, None)",,,
C 790,Foundations in Nursing Informatics,"(None, None)",,,
C 792,Data Modeling and Database Management Systems,"(None, None)",,,
C 797,Data Science and Analytics,"(None, None)",,,
C 798,Informatics System Analysis and Design,"(None, None)",,,
C 799,Healthcare Ecosystems,"(None, None)",,,
C 801,Health Information Law and Regulations,"(None, None)",,,
C 802,Foundations in Healthcare Information Management,"(None, None)",,,
C 803,Data Analytics and Information Governance,"(None, None)",,,
C 804,Medical Terminology,"(None, None)",,,
C 805,Pathophysiology,"(None, None)",,,
C 807,Healthcare Compliance,"(None, None)",,,
C 808,Classification Systems,"(None, None)",,,
C 810,Foundations in Healthcare Data Management,"(None, None)",,,
C 811,Healthcare Financial Resource Management,"(None, None)",,,
C 812,Healthcare Reimbursement,"(None, None)",,,
C 813,Healthcare Statistics and Research,"(None, None)",,,
C 815,Quality and Performance Management and Methods,"(None, None)",,,
C 816,Healthcare System Applications,"(None, None)",,,
C 832,Chemistry with Lab,"(None, None)",,,
C 833,Chemistry with Lab,"(None, None)",,,
C 841,Legal Issues in Information Security,"(None, None)",,,
C 843,Managing Information Security,"(None, None)",,,
C 844,Emerging Technologies in Cybersecurity,"(None, None)",,,
C 845,Information Systems Security,"(None, None)",,,
C 850,Emerging Technologies,"(None, None)",,,
C 853,Teacher Performance Assessment in English,"(None, None)",,,
C 854,Nursing Informatics Field Experience,"(None, None)",,,
C 855,Nursing Informatics Capstone,"(None, None)",,,
C 867,Scripting and Programming,"(None, None)",,,
C 870,Human Anatomy and Physiology,"(None, None)",,,
C 871,"MA, Science Education Teacher Performance Assessment","(None, None)",,,
C 874,"MA, Mathematics Education (5","(None, None)",,,
C 875,Human Anatomy and Physiology,"(None, None)",,,
C 876,Conceptual Physics,"(None, None)",,,
C 877,Mathematical Modeling and Applications,"(None, None)",,,
C 878,Mathematical Modeling and Applications,"(None, None)",,,
C 879,Algebra for Secondary Mathematics Teaching,"(None, None)",,,
C 880,Algebra for Secondary Mathematics Teaching,"(None, None)",,,
C 881,Geometry for Secondary Mathematics Teaching,"(None, None)",,,
C 882,Geometry for Secondary Mathematics Teaching,"(None, None)",,,
C 883,Statistics and Probability for Secondary Mathematics Teaching,"(None, None)",,,
C 884,Statistics and Probability for Secondary Mathematics Teaching,"(None, None)",,,
C 885,Advanced Calculus,"(None, None)",,,
C 886,Advanced Calculus,"(None, None)",,,
C 887,"MA, Mathematics Education (5","(None, None)",,,
C 888,Molecular and Cellular Biology,"(None, None)",,,
C 889,Molecular and Cellular Biology,"(None, None)",,,
C 890,Ecology and Environmental Science,"(None, None)",,,
C 891,Ecology and Environmental Science,"(None, None)",,,
C 892,Geology II: Earth Systems,"(None, None)",,,
C 893,Geology II: Earth Systems,"(None, None)",,,
C 894,Astronomy,"(None, None)",,,
C 895,Astronomy,"(None, None)",,,
C 897,Mathematics: Content Knowledge,"(None, None)",,,
C 898,Earth Science: Content Knowledge,"(None, None)",,,
C 900,Biology: Content Knowledge,"(None, None)",,,
C 901,Physics: Content Knowledge,"(None, None)",,,
C 902,Middle School Science: Content Knowledge,"(None, None)",,,
C 903,Middle School Mathematics: Content Knowledge,"(None, None)",,,
C 904,Teacher Performance Assessment in Science,"(None, None)",,,
C 907,Introduction to Biology,"(None, None)",,,
C 908,Integrated Physical Sciences,"(None, None)",,,
C 912,College Algebra,"(None, None)",,,
C 914,Teacher Performance Assessment in Mathematics Education,"(None, None)",,,
C 915,Chemistry: Content Knowledge,"(None, None)",,,
C 918,Evolving Roles of Nurse Educators in Diverse Environments,"(None, None)",,,
C 919,Facilitation of Context,"(None, None)",,,
C 920,Contemporary Curriculum Design and Development in Nursing Education,"(None, None)",,,
C 921,Assessment and Evaluation Strategies for Measuring Student Learning,"(None, None)",,,
C 922,Emerging Trends and Challenges in 21st Century Nursing Education,"(None, None)",,,
C 925,Earth: Inside and Out,"(None, None)",,,
C 926,Earth: Inside and Out,"(None, None)",,,
C 927,Managing Technology Operations and Innovation,"(None, None)",,,
C 928,Financial Management for IT Professionals,"(None, None)",,,
C 929,IT Sourcing and Development in a Global Economy,"(None, None)",,,
C 930,Preclinical Experiences in Mathematics,"(None, None)",,,
C 931,Preclinical Experiences in Mathematics,"(None, None)",,,
C 932,Preclinical Experiences in Mathematics,"(None, None)",,,
C 933,Preclinical Experiences in Mathematics,"(None, None)",,,
C 937,Preclinical Experiences in Science,"(None, None)",,,
C 938,Preclinical Experiences in Science,"(None, None)",,,
C 940,Science Methods—Secondary Biology,"(None, None)",,,
C 941,Science Methods—Secondary Chemistry,"(None, None)",,,
C 942,Science Methods—Secondary Earth Science,"(None, None)",,,
C 943,Science Methods—Secondary Physics,"(None, None)",,,
C 945,Preclinical Experiences in English,"(None, None)",,,
C 946,Nursing Education Field Experience,"(None, None)",,,
C 947,Nursing Education Capstone,"(None, None)",,,
C 948,Technical Communication,"(None, None)",,,
C 949,Data Structures and Algorithms I,"(None, None)",,,
C 950,Data Structures and Algorithms II,"(None, None)",,,
C 952,Computer Architecture,"(None, None)",,,
C 954,Information Technology Management,"(None, None)",,,
C 955,Applied Probability and Statistics,"(None, None)",,,
C 957,Applied Algebra,"(None, None)",,,
C 958,Calculus I,"(None, None)",,,
C 959,Discrete Mathematics I,"(None, None)",,,
C 960,Discrete Mathematics II,"(None, None)",,,
C 962,Current and Emerging Technology,"(None, None)",,,
C 963,American Politics and the US Constitution,"(None, None)",,,
C 965,Teaching in the Middle School,"(None, None)",,,
C 966,Teaching in the Middle School,"(None, None)",,,
C 968,Software I – C#,"(None, None)",,,
C 969,Software II – Advanced C#,"(None, None)",,,
C 971,Mobile Application Development Using C#,"(None, None)",,,
C 972,College Geometry,"(None, None)",,,
C 974,Science Methods—Middle Grades General Science,"(None, None)",,,
C 975,Science Methods—Middle Grades General Science,"(None, None)",,,
C 976,Science Methods—Secondary Biology,"(None, None)",,,
C 977,Science Methods—Secondary Chemistry,"(None, None)",,,
C 978,Science Methods—Secondary Earth Science,"(None, None)",,,
C 979,Science Methods—Secondary Physics,"(None, None)",,,
C 992,College Geometry,"(None, None)",,,
CQC 2,Calculus II,"(None, None)",,,
CUA 1,Culture,"(None, None)",,,
D 016,Leadership Foundations and Ethics,"(None, None)",,,
D 017,School Law,"(None, None)",,,
D 018,Leading Inclusive Schools,"(None, None)",,,
D 019,Data Literacy and Evidence,"(None, None)",,,
D 022,People and Talent in Educational Leadership,"(None, None)",,,
D 023,School Financial Leadership,"(None, None)",,,
D 024,Professional Presence and Influence,"(None, None)",,,
D 025,Essentials of Advanced Nursing Roles and Interprofessional Practice,"(None, None)",,,
D 026,Quality Outcomes in a Culture of Value,"(None, None)",,,
D 027,Advanced Pathopharmacological Foundations,"(None, None)",,,
D 028,Advanced Health Assessment for Patients and Populations,"(None, None)",,,
D 029,Informatics for Transforming Nursing Care,"(None, None)",,,
D 030,Leadership and Management in Complex Healthcare Systems,"(None, None)",,,
D 031,Advancing Evidence,"(None, None)",,,
D 033,Healthcare Information Systems Management,"(None, None)",,,
D 034,Systems Management and School Operations,"(None, None)",,,
D 035,Educational Inquiry,"(None, None)",,,
D 036,Practicum in Educational Leadership,"(None, None)",,,
D 037,Practicum in Educational Leadership,"(None, None)",,,
D 038,Educational Leadership Capstone,"(None, None)",,,
D 072,Fundamentals for Success in Business,"(None, None)",,,
D 075,Information Technology Management Essentials,"(None, None)",,,
D 076,Finance Skills for Managers,"(None, None)",,,
D 077,"Concepts in Marketing, Sales, and Customer Contact","(None, None)",,,
D 078,Business Environment Applications I: Business Structures and Legal Environment,"(None, None)",,,
D 079,"Business Environment Applications II: Process, Logistics, and Operations","(None, None)",,,
D 080,Managing in a Global Business Environment,"(None, None)",,,
D 081,Innovative and Strategic Thinking,"(None, None)",,,
D 082,Emotional and Cultural Intelligence,"(None, None)",,,
D 089,Principles of Economics,"(None, None)",,,
D 090,The School as a Community of Care,"(None, None)",,,
D 091,"Introduction to Curriculum, Instruction, and Assessment","(None, None)",,,
D 092,Educational Technology for Teaching and Learning,"(None, None)",,,
D 093,Assessing Impact on Student Learning,"(None, None)",,,
D 094,Educational Psychology and Development of Children and Adolescents,"(None, None)",,,
D 095,Managing Engaging Learning Environments,"(None, None)",,,
D 096,Fundamentals of Diverse Learners,"(None, None)",,,
D 097,Educational Foundations,"(None, None)",,,
D 098,Digital Marketing,"(None, None)",,,
D 099,Sales Management,"(None, None)",,,
D 100,Introduction to Spreadsheets,"(None, None)",,,
D 101,Cost and Managerial Accounting,"(None, None)",,,
D 102,Financial Accounting,"(None, None)",,,
D 103,Intermediate Accounting I,"(None, None)",,,
D 104,Intermediate Accounting II,"(None, None)",,,
D 105,Intermediate Accounting III,"(None, None)",,,
D 115,Advanced Pathophysiology for the Advanced Practice Nurse,"(None, None)",,,
D 116,Advanced Pharmacology for the Advanced Practice Nurse,"(None, None)",,,
D 117,Advanced Health Assessment for the Advanced Practice Nurse,"(None, None)",,,
D 118,Adult Primary Care for the Advanced Practice Nurse,"(None, None)",,,
D 119,Pediatric Primary Care for the Advanced Practice Nurse,"(None, None)",,,
D 120,Special Populations Primary Care for the Advanced Practice Nurse,"(None, None)",,,
D 121,Health Promotion of Patients and Populations Across the Lifespan,"(None, None)",,,
D 122,Family Nurse Practitioner Clinical Internship I,"(None, None)",,,
D 123,Family Nurse Practitioner Clinical Internship II,"(None, None)",,,
D 124,Family Nurse Practitioner Clinical Internship III,"(None, None)",,,
D 148,Teacher Performance Assessment in Mathematics Education,"(None, None)",,,
D 150,Teacher Performance Assessment in Science,"(None, None)",,,
D 151,Professional Portfolio,"(None, None)",,,
D 155,Leading with Personal Mastery,"(None, None)",,,
D 156,Business Case Analysis for Healthcare Improvement,"(None, None)",,,
D 157,Managing Resources in an Era of Disruption,"(None, None)",,,
D 158,Strategically Planning the Execution of a Healthcare Improvement Project,"(None, None)",,,
D 159,Evidence,"(None, None)",,,
D 160,Nursing Leadership and Management Field Experience,"(None, None)",,,
D 161,Nursing Leadership and Management Capstone,"(None, None)",,,
D 162,Secondary Disciplinary Literacy,"(None, None)",,,
D 163,Secondary Reading Instruction and Interventions,"(None, None)",,,
D 166,Foundations of Education,"(None, None)",,,
D 168,Schools as Communities of Care,"(None, None)",,,
D 169,Essential Practices for Supporting Diverse Learners,"(None, None)",,,
D 170,Creating and Managing Engaging Learning Environments,"(None, None)",,,
D 171,"Curriculum, Instruction, and Assessment","(None, None)",,,
D 172,Assessing Student Learning,"(None, None)",,,
D 173,Using Educational Technology for Teaching and Learning,"(None, None)",,,
D 174,Marketing Management,"(None, None)",,,
D 175,Consumer Behavior,"(None, None)",,,
D 176,Content Marketing,"(None, None)",,,
D 177,Brand Management,"(None, None)",,,
D 178,Marketing Strategy and Analytics,"(None, None)",,,
D 179,Data,"(None, None)",,,
D 180,Educational Research,"(None, None)",,,
D 181,MSCIN Capstone,"(None, None)",,,
D 184,Standards,"(None, None)",,,
D 186,Learning as a Science,"(None, None)",,,
D 187,Differentiated Instruction,"(None, None)",,,
D 188,The Collaborative Leader,"(None, None)",,,
D 190,Introduction to Healthcare IT Systems,"(None, None)",,,
D 196,Principles of Financial and Managerial Accounting,"(None, None)",,,
D 197,Version Control,"(None, None)",,,
D 198,Global Arts and Humanities,"(None, None)",,,
D 199,Introduction to Physical and Human Geography,"(None, None)",,,
D 202,Human Growth and Development,"(None, None)",,,
D 203,Fundamentals of Anatomy and Physiology,"(None, None)",,,
D 215,Auditing,"(None, None)",,,
D 216,Business Law for Accountants,"(None, None)",,,
D 217,Accounting Information Systems,"(None, None)",,,
D 218,Intrapersonal Leadership and Professional Growth,"(None, None)",,,
D 219,Scholarship in Nursing Practice,"(None, None)",,,
D 220,Information Technology in Nursing Practice,"(None, None)",,,
D 221,Organizational Systems and Healthcare Transformation,"(None, None)",,,
D 222,Comprehensive Health Assessment,"(None, None)",,,
D 223,Healthcare Policy and Economics,"(None, None)",,,
D 224,Global and Population Health,"(None, None)",,,
D 225,Emerging Professional Practice,"(None, None)",,,
D 226,BSNU Capstone,"(None, None)",,,
D 235,Interprofessional Communication and Leadership in Healthcare,"(None, None)",,,
D 236,Pathophysiology,"(None, None)",,,
D 246,Influential Communication through Visual Design and Storytelling,"(None, None)",,,
D 250,Governmental and Nonprofit Accounting,"(None, None)",,,
D 251,Advanced Auditing,"(None, None)",,,
D 252,Accounting Research and Critical Thinking,"(None, None)",,,
D 253,Values,"(None, None)",,,
D 255,Professional Practice Experience I: Technical,"(None, None)",,,
D 256,Principles of Management in Health Information Management,"(None, None)",,,
D 257,Healthcare Project Management,"(None, None)",,,
D 258,Organizational Leadership in Healthcare,"(None, None)",,,
D 259,Professional Practice Experience II: Management,"(None, None)",,,
D 260,Health Information Management Capstone,"(None, None)",,,
D 263,Frameworks for Strategic Decision,"(None, None)",,,
D 265,Critical Thinking: Reason and Evidence,"(None, None)",,,
D 266,World History: Diverse Cultures and Global Connections,"(None, None)",,,
D 267,US History: Stories of American Democracy,"(None, None)",,,
D 268,Introduction to Communication: Connecting with Others,"(None, None)",,,
D 269,Composition: Writing with a Strategy,"(None, None)",,,
D 270,Composition: Successful Self,"(None, None)",,,
D 276,Web Development Foundations,"(None, None)",,,
D 277,Front,"(None, None)",,,
D 278,Scripting and Programming,"(None, None)",,,
D 279,User Interface Design,"(None, None)",,,
D 280,JavaScript Programming,"(None, None)",,,
D 281,Linux Foundations,"(None, None)",,,
D 282,Cloud Foundations,"(None, None)",,,
D 284,Software Engineering,"(None, None)",,,
D 286,Java Fundamentals,"(None, None)",,,
D 287,Java Frameworks,"(None, None)",,,
D 288,Back,"(None, None)",,,
D 291,Learning Experience Design Foundations I,"(None, None)",,,
D 292,Learning Experience Design Foundations II,"(None, None)",,,
D 293,Assessment and Learning Analytics,"(None, None)",,,
D 294,Learning Technology,"(None, None)",,,
D 295,Designing and Facilitating E,"(None, None)",,,
D 296,Quality and Impact of K–12 E,"(None, None)",,,
D 297,Designing E,"(None, None)",,,
D 298,Quality and Impact of Adult E,"(None, None)",,,
D 299,Learning Experience Design Lab,"(None, None)",,,
D 300,Identifying Learner Needs and a Research Problem,"(None, None)",,,
D 301,Developing an E,"(None, None)",,,
D 302,Implementing and Evaluating E,"(None, None)",,,
D 303,Azure Fundamentals,"(None, None)",,,
D 304,Azure DevOps Solutions,"(None, None)",,,
D 305,Azure Data Engineer,"(None, None)",,,
D 306,Azure Developer Associate,"(None, None)",,,
