courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ANTH 116,Cultural Anthropology,4,Anthropology,,
ANTH 118,Understanding People,4,Anthropology,,
ANTH 204,"Main Character Energy: Identity, Self and the Real You",2,Anthropology,,
ANTH 284,"Culture, Travel & Tourism",4,Anthropology,,
ANTH 286,Vocation and Calling in Anthropology,4,Anthropology,,
ANTH 319,Colonialism and Redemption: Native American Culture and Theology from 1492 to Wounded Knee,2,Anthropology,,
ANTH 324,Anthropology of Global Christianity,2,Anthropology,,
ANTH 331,Cultural Immersion Experience,0,Anthropology,,
ANTH 341,Consumption and Material Culture,2,Anthropology,,
ANTH 342,"Food, Farms, and Culture",4,Anthropology,,
ANTH 351,"Global Christianity: Mission, Culture & Context",4,Anthropology,,
ANTH 353,Culture and Difference,4,Anthropology,,
ANTH 354,Culture in the Contemporary World,4,Anthropology,,
ANTH 361,Medical Anthropology,2,Anthropology,,
ANTH 364,Linguistic Anthropology,2,Anthropology,,
ANTH 376,Culture Theory,4,Anthropology,,
ANTH 381,Politics of Veiling in the Modern Middle East,2,Anthropology,,
ANTH 382,Man Up!: Masculinity in Cultural Contexts,2,Anthropology,,
ANTH 383,Cities in the Global South,2,Anthropology,,
ANTH 385,Field Research Methods,4,Anthropology,,
ANTH 391,Meanings of Work and Labor,4,Anthropology,,
ANTH 393,Placemaking in Urban Contexts,2,Anthropology,,
ANTH 412,Advanced Topics in Anthropology,2,Anthropology,,
ANTH 414,Advanced Topics in Anthropology,4,Anthropology,,
ANTH 431,"Culture, Economy, and Morality",4,Anthropology,,
ANTH 432,Violence and Peace in Latin America,4,Anthropology,,
ANTH 435,Power and Gender in Southeast Asia,4,Anthropology,,
ANTH 451,African Cultural Anthropology,4,Anthropology,,
ANTH 478,Anthropology Through Film,2,Anthropology,,
ANTH 481,Anthropological Writing: Writing in History and the Social Sciences,2,Anthropology,,
ANTH 482,Ethnographic Theory and Method,4,Anthropology,,
ANTH 485,Social Science Writing for Public Engagement,4,Anthropology,,
ANTH 494,Senior Capstone,4,Anthropology,,
ANTH 495,Independent Study,1 to 4,Anthropology,,
ANTH 496,Internship in Anthropology,2 to 8,Anthropology,,
AQTS 111,Introduction to Urban Leadership,2,Aequitas,,
AQTS 112,Aequitas Urban Leadership Summer Experience,0,Aequitas,,
AQTS 121,Public Humanities and Arts Studio,2,Aequitas,,
AQTS 122,Public Humanities and Arts Experience,2,Aequitas,,
AQTS 131,Introduction to Aequitas Sustainability,2,Aequitas,,
AQTS 141,What is Good Health?,2,Aequitas,,
AQTS 151,Issues in Political Economy,2,Aequitas,,
AQTS 152,Readings in PPE,1,Aequitas,,
AQTS 211,Aequitas Urban Leadership Reading Group,1,Aequitas,,
AQTS 212,Aequitas Urban Leadership Reading Group Semester 2,1,Aequitas,,
AQTS 231,Aequitas Reading Group in Sustainability,1,Aequitas,,
AQTS 251,Advanced Readings in PPE,1,Aequitas,,
AQTS 252,Advanced Readings in PPE II,1,Aequitas,,
AQTS 311,Community-Based Research,2 or 4,Aequitas,,
AQTS 331,Aequitas Cohort Project in Sustainability,1,Aequitas,,
AQTS 332,Service Learning in Sustainability,2,Aequitas,,
AQTS 375,Christian Ethics and the City,2,Aequitas,,
AQTS 411,Aequitas Urban Leadership Final Project 1,2,Aequitas,,
AQTS 412,Aequitas Urban Leadership Final Project 2,0 to 2,Aequitas,,
AQTS 421,Public Humanities and Arts Project,0,Aequitas,,
AQTS 431,Aequitas Leadership in Sustainability,0,Aequitas,,
AQTS 441,Aequitas Global Public Health Field Experience Requirement,0,Aequitas,,
AQTS 451,Aequitas PPE Summer Experience,0,Aequitas,,
AQTS 452,Aequitas PPE Final Project,0,Aequitas,,
AQTS 496,Aequitas Urban Leadership Internship,4 to 8,Aequitas,,
AQTS 497,Aequitas Public Humanities and Arts Internship,0,Aequitas,,
ARCH 211,Old Testament Archaeology,4,Archaeology,,
ARCH 213,New Testament Archaeology,4,Archaeology,,
ARCH 317,Studies in Biblical Lands,4,Archaeology,,
ARCH 325,Archaeological Field Work,4,Archaeology,,
ARCH 326,"Archaeological Field Work: Tel Shimron, Israel",4,Archaeology,,
ARCH 327,Archaeological Science,4,Archaeology,,
ARCH 333,Historical Geography,2,Archaeology,,
ARCH 334,Historical Geography,2,Archaeology,,
ARCH 345,Archaeology of the Classical World,2,Archaeology,,
ARCH 365,Statecraft and International Relations in the Ancient Near East,4,Archaeology,,
ARCH 366,Archaeology of Biblical Lands,4,Archaeology,,
