courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT I S 100,Introductory Financial Accounting,"(3, 3)",Accounting And Information Systems,,
ACCT I S 211,Introductory Managerial Accounting,"(3, 3)",Accounting And Information Systems,,
ACCT I S 300,Accounting Principles,"(3, 3)",Accounting And Information Systems,,
ACCT I S 301,Financial Reporting I,"(3, 3)",Accounting And Information Systems,,
ACCT I S 302,Financial Reporting Ii,"(3, 3)",Accounting And Information Systems,,
ACCT I S 310,Cost Management Systems,"(3, 3)",Accounting And Information Systems,,
ACCT I S 329,Taxation: Concepts For Business And Personal Planning,"(3, 3)",Accounting And Information Systems,,
ACCT I S 340,Accounting Information Systems,"(3, 3)",Accounting And Information Systems,,
ACCT I S 399,Reading And Research-Accounting,"(1, 6)",Accounting And Information Systems,,
ACCT I S 401,Business Organizations And Negotiable Instruments,"(3, 3)",Accounting And Information Systems,,
ACCT I S 406,Accounting And Analysis For Reporting Entities,"(3, 3)",Accounting And Information Systems,,
ACCT I S 600,Professional Experience In Accounting,"(1, 6)",Accounting And Information Systems,,
ACCT I S 601,"Professional Practice Issues In Accounting, Auditing, And Taxation","(3, 3)",Accounting And Information Systems,,
ACCT I S 603,Financial Statement Analysis,"(3, 3)",Accounting And Information Systems,,
ACCT I S 620,Fundamentals Of Taxation,"(3, 3)",Accounting And Information Systems,,
ACCT I S 621,Corporate And Advanced Taxation,"(3, 3)",Accounting And Information Systems,,
ACCT I S 630,Foundations Of Auditing,"(3, 3)",Accounting And Information Systems,,
ACCT I S 640,Foundation In Accounting Analytics,"(3, 3)",Accounting And Information Systems,,
ACCT I S 700,Financial Accounting,"(2, 3)",Accounting And Information Systems,,
ACCT I S 701,Financial Reporting I,"(3, 3)",Accounting And Information Systems,,
ACCT I S 702,Financial Reporting Ii,"(3, 3)",Accounting And Information Systems,,
ACCT I S 710,Managerial Accounting,"(2, 3)",Accounting And Information Systems,,
ACCT I S 722,Analysis Of Taxation For Pass-Through Entities,"(3, 3)",Accounting And Information Systems,,
ACCT I S 724,"Tax Research, Procedure & Analysis","(3, 3)",Accounting And Information Systems,,
ACCT I S 725,Analysis Of International Taxation,"(3, 3)",Accounting And Information Systems,,
ACCT I S 730,"Advanced Auditing: Analysis, Policy, And Judgment","(3, 3)",Accounting And Information Systems,,
ACCT I S 740,"Information Risk, Control, & Forensics","(3, 3)",Accounting And Information Systems,,
ACCT I S 765,Contemporary Topics,"(1, 4)",Accounting And Information Systems,,
ACCT I S 770,Accounting Theory: Reporting Incentives And Consequences,"(3, 3)",Accounting And Information Systems,,
ACCT I S 771,Analysis Of Performance Measurement & Control,"(3, 3)",Accounting And Information Systems,,
ACCT I S 772,Analysis Of Taxes & Business Decisions,"(3, 3)",Accounting And Information Systems,,
ACCT I S/​E P D/​GEN BUS  781,Financial And Business Acumen,"(1, 1)",Accounting And Information Systems,,
ACCT I S 799,Reading And Research-Accounting,"(1, 6)",Accounting And Information Systems,,
