courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AFST 150,First-Year Seminar,4,Africana Studies,Undergraduate,
AFST 205,Introduction to Africana Studies,3,Africana Studies,Undergraduate,
AFST 210,"Medicine, Arts, and Social Justice",3,Africana Studies,Undergraduate,
AFST 218,Introduction to Caribbean Cultures & Identities,3,Africana Studies,Undergraduate,
AFST 251,Soon Come: Caribbean Languages and Identities,3,Africana Studies,Undergraduate,
AFST 280,African Drama,3,Africana Studies,Undergraduate,
AFST 299,Research Methods in Africana Studies,3,Africana Studies,Undergraduate,
AFST 300,Pan-Africanism: History of a Revolutionary Idea,3,Africana Studies,Undergraduate,
AFST 304,Introduction to the African Diaspora,3,Africana Studies,Undergraduate,
AFST 306,Topics in Africana Studies,1-4,Africana Studies,Undergraduate,
AFST 307,Workshop on Black Expressive Culture,3-4,Africana Studies,Undergraduate,
AFST 309,African Economic Development,3,Africana Studies,Undergraduate,
AFST 318,Seminar on Caribbean Diaspora,3,Africana Studies,Undergraduate,
AFST 320,"African Religions, African Lives: Religious Power, Complexity and Change in Africa and the Diaspora",3,Africana Studies,Undergraduate,
AFST 321,Women in Africa and the Diaspora,3,Africana Studies,Undergraduate,
AFST 330,Arts in Africa,3,Africana Studies,Undergraduate,
AFST 335,History of Hip-Hop,3,Africana Studies,Undergraduate,
AFST 350,Introduction to African Studies,3,Africana Studies,Undergraduate,
AFST 351,Introduction to African American Studies,3,Africana Studies,Undergraduate,
AFST 367,Black Nature Writers,3,Africana Studies,Undergraduate,
AFST 371,The Idea of Race,3,Africana Studies,Undergraduate,
AFST 406,Advanced Topics in Africana Studies,3-4,Africana Studies,Undergraduate,
AFST 426,The Rise and Fall of Apartheid,3,Africana Studies,Undergraduate,
AFST 427,History of Modern South Africa,3,Africana Studies,Undergraduate,
AFST 480,Independent Study,1-4,Africana Studies,Undergraduate,
AFST 481,Africana House Living and Learning Community,1,Africana Studies,Undergraduate,
AFST 495,Senior Honors,3,Africana Studies,Undergraduate,
AFST 496,Honors,3,Africana Studies,Undergraduate,
AFST 498,Internship,3,Africana Studies,Undergraduate,
AFST 499,Senior Project in Africana Studies,2-4,Africana Studies,Undergraduate,
AMST 150,First-Year Seminar,4,American Studies,Undergraduate,
AMST 200,"Rethinking America: Questions, Debates, Futures",4,American Studies,Undergraduate,
AMST 200D,Rethinking America,0,American Studies,Undergraduate,
AMST 202,Cinema & the Modernization of US Culture,4,American Studies,Undergraduate,
AMST 203,Introduction to American Studies: American Medicine: A Social and Cultural History,4,American Studies,Undergraduate,
AMST 204,The American Way of War,3,American Studies,Undergraduate,
AMST 205,Sexuality in America,4,American Studies,Undergraduate,
AMST 207,Black Movement and Migrations,3,American Studies,Undergraduate,
AMST 209,"Race, Literature and the Law: Interracialism",4,American Studies,Undergraduate,
AMST 210,Utopia in the Americas,4,American Studies,Undergraduate,
AMST 211,"The Age of Soul: Jazz, R&B, Rock n Roll in American Life",4,American Studies,Undergraduate,
AMST 290,Introductory Topics in American Studies,1-4,American Studies,Undergraduate,
AMST 343,American Ethnic Literature and Culture,3,American Studies,Undergraduate,
AMST 350,Topics in American Culture,1-4,American Studies,Undergraduate,
AMST 353,Health Inequality,3,American Studies,Undergraduate,
AMST 370,Junior Seminar: America and the Americas,4,American Studies,Undergraduate,
AMST 390,Topics in American Studies,1-4,American Studies,Undergraduate,
AMST 410,Williamsburg Documentary Project,4,American Studies,Undergraduate,
AMST 445,The Making of a Region: Southern Literature and Culture,3,American Studies,Undergraduate,
