courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCTG 220,Introductory Accounting for Non-Business Majors,"(3, 3)",,,
ACCTG 230,Introduction to Financial Accounting,"(3, 3)",,,
ACCTG 231,Introduction to Managerial Accounting,"(3, 3)",,,
ACCTG 298,Introduction to Financial and Managerial Accounting - Honors,"(4, 4)",,,
ACCTG 320,Taxing Ourselves,"(3, 3)",,,
ACCTG 330,Intermediate Accounting I,"(3, 3)",,,
ACCTG 331,Intermediate Accounting II,"(3, 3)",,,
ACCTG 335,Taxation of Business Entities and Individuals,"(3, 3)",,,
ACCTG 338,Cost Accounting,"(3, 3)",,,
ACCTG 420,Accounting and Culture,"(3, 3)",,,
ACCTG 430,Advanced Accounting,"(3, 3)",,,
ACCTG 433,[M] Accounting Systems and Auditing,"(3, 3)",,,
ACCTG 435,Individual Income Taxes,"(3, 3)",,,
ACCTG 437,Professional Research,"(3, 3)",,,
ACCTG 438,[M] Advanced Cost Accounting and Management,"(3, 3)",,,
ACCTG 439,[M] Auditing,"(3, 3)",,,
ACCTG 440,Advanced Auditing,"(3, 3)",,,
ACCTG 443,Business Processes and Controls,"(3, 3)",,,
ACCTG 496,Special Topics,"(3, 3)",,,
ACCTG 498,Accounting Internship,"(2, 15)",,,
ACCTG 499,Special Problems,"(1, 4)",,,
ACCTG 533,"Accounting, Performance Measurement and Controls","(3, 3)",,,
ACCTG 543,Special Topics in Accounting,"(3, 3)",,,
ACCTG 544,Advanced Accounting Systems and Auditing,"(3, 3)",,,
ACCTG 550,Introduction to Financial and Managerial Accounting,"(2, 3)",,,
ACCTG 596,Doctoral Topics,"(3, 3)",,,
ACCTG 600,Special Projects or Independent Study,"(1, 18)",,,
ACCTG 702,"Master's Special Problems, Directed Study, and/or Examination","(1, 18)",,,
ACCTG 800,"Doctoral Research, Dissertation, and/or Examination","(1, 18)",,,
AERO 101,Heritage and Values I,"(1, 1)",,,
AERO 102,Heritage and Values II,"(1, 1)",,,
AERO 103,Leadership Laboratory I,"(0, 4)",,,
AERO 201,Team and Leadership Fundamentals I,"(1, 1)",,,
AERO 202,Team and Leadership Fundamentals II,"(1, 1)",,,
AERO 203,Leadership Laboratory II,"(0, 4)",,,
AERO 311,Leading People and Effective Communication I,"(3, 3)",,,
AERO 312,Leading People and Effective Communication II,"(3, 3)",,,
AERO 313,Leadership Laboratory III,"(0, 4)",,,
AERO 411,"National Security, Leadership, and Commissioning Preparation I","(3, 3)",,,
AERO 412,"National Security, Leadership, and Commissioning Preparation II","(3, 3)",,,
AERO 413,Leadership Laboratory IV,"(0, 4)",,,
AERO 499,Special Problems,"(1, 4)",,,
AFS 101,Introduction to Agricultural and Food Systems,"(1, 1)",,,
AFS 102,Professional Development in the Agricultural and Natural Resource Sciences,"(1, 1)",,,
AFS 103,Field Experience in Agricultural and Food Systems,"(1, 1)",,,
AFS 201,Systems Skills for Agricultural and Food Systems,"(3, 3)",,,
AFS 250,Civic Engagement in Sustainable Food Systems,"(2, 2)",,,
AFS 302,[M] Introduction to Agroecology,"(3, 3)",,,
AFS 336,"[SSCI] Agriculture, Environment, and Community","(3, 3)",,,
AFS 350,Food Systems in Western Washington,"(3, 3)",,,
AFS 401,[CAPS] [M] Advanced Systems Analysis and Design in Agricultural and Food Systems,"(3, 3)",,,
AFS 418,Soil Health and Regenerative Agriculture,"(2, 2)",,,
AFS 435,Leadership for Agriculture and Natural Resources Professionals,"(2, 2)",,,
AFS 445,Field Analysis of Sustainable Food Systems,"(3, 3)",,,
AFS 483,Special Topics in Study Abroad,"(2, 6)",,,
AFS 501,Current Research in Organic and Sustainable Agriculture,"(3, 3)",,,
AFS 505,Topics in Computational and Analytical Methods for Scientists,"(1, 6)",,,
AFS 511,Statistical Methods for Graduate Researchers,"(3, 2)",,,
AFS 545,Field Analysis of Sustainable Food Systems,"(3, 3)",,,
AFS 590,Sociology of Agriculture and Food Systems,"(3, 3)",,,
AG_ED 110,Introduction to Agricultural Education,"(2, 2)",,,
AG_ED 407,[CAPS] Student Teaching in Agricultural Education,"(4, 16)",,,
AG_ED 430,Reinforcing Core Academics in Agricultural Education,"(3, 3)",,,
AG_ED 431,Applied Instructional Strategies in Agricultural Education,"(2, 6)",,,
AG_ED 440,[M] Principles of Career and Technical Education,"(2, 3)",,,
AG_ED 450,"Planning, Curriculum, and Techniques in Ag Ed","(3, 3)",,,
AG_ED 471,Student Organizations in Agricultural Education,"(2, 2)",,,
AG_ED 497,Internship in Agricultural Education,"(2, 12)",,,
AG_ED 499,Special Problems,"(1, 4)",,,
AG_ED 504,Special Topics in Vocational Education,"(1, 3)",,,
