courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
BSDC 8000,Introduction to Advanced Research,,Brown School,,
BSDC 8001,Conceptual Foundations of Social Science Research,,Brown School,,
BSDC 8002,Seminar in Social Work Theory and Knowledge,,Brown School,,
BSDC 8003,Foundations of Data Analysis,,Brown School,,
BSDC 8004,Foundations of Data Management,,Brown School,,
BSDC 8005,Applied Linear Regression Analysis,,Brown School,,
BSDC 8006,Generalized Linear Models,,Brown School,,
BSDC 8008,Structural Equation Modeling,,Brown School,,
BSDC 8009,Interpretive Methodology in Social Research,,Brown School,,
BSDC 8010,Multilevel and Longitudinal Modeling,,Brown School,,
BSDC 8011,Propensity Score Analysis,,Brown School,,
BSDC 8017,Mixed Methods Research: Foundations and Applications,,Brown School,,
BSDC 8018,"Designing for Dissemination, Implementation & Sustainability: How to Maximize Impact & Equity",,Brown School,,
BSDC 8020,Issues and Directions in Intervention Research,,Brown School,,
BSDC 8021,T32 Seminar in Mental Health and Addictions Services Research,,Brown School,,
BSDC 8022,Mental Health Services Research,,Brown School,,
BSDC 8023,Introduction to Agent-Based Modeling,,Brown School,,
BSDC 8024,Introduction to Dissemination & Implementation Science,,Brown School,,
BSDC 8025,Survival Analysis,,Brown School,,
BSDC 8026,Developing and Evaluating Implementation Strategies in Health and Social Services,,Brown School,,
BSDC 8027,Foundations of Qualitative Methods,,Brown School,,
BSDC 8500,Independent Study I,,Brown School,,
BSDC 8501,Independent Study II,,Brown School,,
BSDC 8502,Independent Study III,,Brown School,,
BSDC 8800,Professional Development Seminar I,,Brown School,,
BSDC 8801,Professional Development Seminar II,,Brown School,,
BSDC 9000,Practicum in Research I,,Brown School,,
BSDC 9001,Practicum in Research II,,Brown School,,
BSDC 9002,Practicum in Research III,,Brown School,,
BSDC 9003,Practicum in Teaching I,,Brown School,,
BSDC 9004,Practicum in Teaching II,,Brown School,,
BSDC 9005,Practicum in Teaching III,,Brown School,,
BSDC 9500,Mentored Assistant Teaching Experience,,Brown School,,
BSDC 9501,Mentored Independent Teaching Experience,,Brown School,,
BSDC 9502,Area Statement and Qualifying Exam,,Brown School,,
BSDC 9900,Doctoral Research,,Brown School,,
BSDC 9901,Doctoral Nonresident,,Brown School,,
SPGN 5009,Foundations of Field Education - MSP,,Brown School,,
SPGN 6014,Policy and Advocacy in the Three Branches of Government,,Brown School,,
SPGN 6016,Benefit-Cost Analysis,,Brown School,,
SPGN 6019,Political Negotiation and Strategy,,Brown School,,
SPGN 6021,Economics of Social Welfare,,Brown School,,
SPGN 6022,MSP Internship I,,Brown School,,
SPGN 6025,Statistical Analysis for Social Policy,,Brown School,,
SPGN 6026,Management and Leadership for Policy and Practice,,Brown School,,
SPGN 6028,The Politics of Food: A Policy Ecosystem Approach,,Brown School,,
SWCP 6000,MSW Concentration Practicum I,,Brown School,,
SWCP 6001,MSW Concentration Practicum II,,Brown School,,
SWCP 6002,MSW Concentration Practicum III,,Brown School,,
SWCP 6003,MSW Concentration Practicum IV,,Brown School,,
SWCP 6004,MSW Elective Concentration Practicum I,,Brown School,,
SWCP 6005,MSW Elective Concentration Practicum II,,Brown School,,
SWCP 6006,MSW Elective Concentration Practicum III,,Brown School,,
SWCP 6007,MSW Concentration Practicum V,,Brown School,,
SWEL 8000,Independent Study I,,Brown School,,
SWEL 8001,Independent Study II,,Brown School,,
SWEV 6000,Social Policy Analysis and Evaluation,,Brown School,,
SWEV 6001,Evaluation of Programs and Services,,Brown School,,
SWEV 6002,Human Services: Design and Evaluation for Impact,,Brown School,,
SWFN 5001,Research Methods with Statistical Applications,,Brown School,,
SWFN 5002,Human Behavior,,Brown School,,
SWFN 5003,"Social, Economic and Political Environment",,Brown School,,
SWFN 5004,Social Justice and Human Diversity,,Brown School,,
SWFN 5005,"Social Work Practice with Individuals, Families and Groups",,Brown School,,
SWFN 5006,Social Work Practice with Organizations and Communities,,Brown School,,
SWFN 5007,Social Welfare Policies and Services,,Brown School,,
SWFN 5008,BSW Intensive: Bridge to Brown,,Brown School,,
SWFN 5050,MSW Foundations of Field Education,,Brown School,,
SWFN 5051,MSW Foundation Practicum I,,Brown School,,
SWFN 5052,MSW Integrative Foundation Field Seminar,,Brown School,,
SWFN 5053,MSW Foundation Practicum II,,Brown School,,
SWFN 5054,MSW Foundation Practicum III,,Brown School,,
SWLM 6000,Management & Leadership of Organizations,,Brown School,,
SWPM 6001,Addressing and Preventing Intimate Partner Violence in Practice,,Brown School,,
SWPM 6002,Child Maltreatment Prevention,,Brown School,,
SWPM 6003,Clinical Interventions in Health and Integrated Health Settings,,Brown School,,
SWPM 6004,Cognitive Behavior Therapy,,Brown School,,
SWPM 6005,Dialectical Behavior Therapy,,Brown School,,
SWPM 6006,Interpersonal Psychotherapy,,Brown School,,
SWPM 6007,Applied Group Work Practice,,Brown School,,
SWPM 6008,Principles of Clinical Interventions in Behavioral Health,,Brown School,,
SWPM 6009,Principles and Practices of Differential Diagnosis,,Brown School,,
SWPM 6010,Harm Reduction Community Practice,,Brown School,,
SWPM 6011,Global Mental Health,,Brown School,,
SWPM 6012,Contemporary Family Therapy,,Brown School,,
SWPM 6013,Social Work Practice in Early and Middle Childhood,,Brown School,,
SWPM 6014,Social Work Practice with Youth in Families,,Brown School,,
SWPM 6015,"Social Work Practice in Suicide Prevention, Intervention and Postvention",,Brown School,,
SWPM 6017,International Child Welfare,,Brown School,,
SWPM 6018,"Principles, Practices and Services in Substance Use Disorder Treatment",,Brown School,,
SWPM 6020,Indigenous Mental Health Practice,,Brown School,,
SWPM 6022,Practice with Refugees and Immigrants,,Brown School,,
SWPM 6023,Intervention Approaches to Address Gender-Based Violence,,Brown School,,
SWPM 6026,"Sex, Society and Social Work: Issues and Interventions",,Brown School,,
SWPM 6027,Sexual Health Across the Life Course,,Brown School,,
SWPM 6029,Designing Sexual Health Education Curriculum,,Brown School,,
SWPM 6035,Core Components and Skills for Trauma-Informed Practice,,Brown School,,
SWPM 6037,Social Work Practice with LGBTQIA+ Populations,,Brown School,,
SWPM 6038,"Leading and Managing Employees, Volunteers and Teams",,Brown School,,
SWPM 6039,Financial Management,,Brown School,,
SWPM 6040,Special Topics: Brown Consulting,,Brown School,,
SWPM 6043,Leadership and Management of Human Service Organizations,,Brown School,,
SWPM 6044,Social Entrepreneurship,,Brown School,,
SWPM 6046,Social Innovation,,Brown School,,
SWPM 6049,Developing Programs in Health and Social Service Settings,,Brown School,,
SWPM 6050,Revenue Development and Communication,,Brown School,,
SWPM 6052,Community Development Practice: Basic Concepts and Methods,,Brown School,,
SWPM 6053,State Level Lobbying,,Brown School,,
SWPM 6054,Community Development with American Indian and Other Indigenous Communities,,Brown School,,
SWPM 6056,Fundamentals of Community Organizing,,Brown School,,
SWPM 6057,Financial Capabilities and Consumer Protections,,Brown School,,
SWPM 6059,Development Practice in International Settings,,Brown School,,
SWPM 6060,"Social & Economic Development, Redevelopment: East St. Louis Seminar",,Brown School,,
SWPM 6063,"Race, Inequality and Social Justice in American K-12 Education",,Brown School,,
SWPM 6066,Equitable Economic Development,,Brown School,,
SWPM 6074,Community Based System Dynamics,,Brown School,,
SWPM 6076,Foundations of Geographic Information Systems (GIS) for the Applied Social Sciences,,Brown School,,
SWPM 6077,System Dynamics Modeling for Strategic Design,,Brown School,,
SWPM 6078,"Social Work Practice Across Systems Serving Children, Youth and Families",,Brown School,,
SWPM 6081,Foundations of Psychedelic Healing in Clinical Social Work,,Brown School,,
SWPM 6082,Psychedelic Assisted Therapy,,Brown School,,
SWPM 6083,Environmental Justice & Macro Mental Health,,Brown School,,
SWSL 6000,Skill Lab: Grant Writing: Foundation Grants,,Brown School,,
SWSL 6001,Skill Lab: Grant Writing: Government Grants,,Brown School,,
SWSL 6003,Skill Lab: Motivational Interviewing Fundamentals,,Brown School,,
SWSL 6004,Skill Lab: Cognitive Processing Therapy,,Brown School,,
SWSL 6008,Skill Lab: Prolonged Exposure Therapy,,Brown School,,
SWSL 6010,Skill Lab: Exposure and Response Prevention Therapy,,Brown School,,
SWSL 6011,Skill Lab: Acceptance and Commitment Therapy,,Brown School,,
SWSL 6014,Skill Lab: Self-Care for Helping Professionals,,Brown School,,
SWSL 6015,Skill Lab: Managing and Leading Teams and People,,Brown School,,
SWSL 6017,Skill Lab: Program & Project Management,,Brown School,,
SWSL 6019,Skill Lab: Fundraising Design and Management,,Brown School,,
SWSL 6020,Skill Lab: Budget Management,,Brown School,,
SWSL 6023,Skill Lab: Strategic Planning and Execution,,Brown School,,
SWSL 6031,System Dynamics Applied Practice I: Designing Responsive Community Based System Dynamics Approaches,,Brown School,,
