courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
A&VS 591,Advanced Topics,"(1, 6)",,Graduate,
A&VS 592,Directed Study,"(1, 6)",,Graduate,
A&VS 593,Special Topics,"(1, 6)",,Graduate,
A&VS 594,Seminar,"(1, 6)",,Graduate,
A&VS 595,Independent Study,"(1, 9)",,Graduate,
A&VS 690,Teaching Practicum,"(1, 3)",,Graduate,
A&VS 691,Advanced Topics,"(1, 6)",,Graduate,
A&VS 692,Directed Study,"(1, 6)",,Graduate,
A&VS 693,Special Topics,"(1, 6)",,Graduate,
A&VS 694,Seminar,"(1, 6)",,Graduate,
A&VS 695,Independent Study,"(1, 9)",,Graduate,
A&VS 696,Graduate Seminar,"(1, 3)",,Graduate,
A&VS 697,Research,"(1, 9)",,Graduate,
A&VS 698,Thesis or Dissertation,"(1, 6)",,Graduate,
A&VS 699,Graduate Colloquium,"(1, 6)",,Graduate,
A&VS 791,Advanced Topics,"(1, 6)",,Graduate,
A&VS 792,Directed Study,"(1, 6)",,Graduate,
A&VS 793,Special Topics,"(1, 6)",,Graduate,
A&VS 795,Independent Study,"(1, 9)",,Graduate,
A&VS 796,Graduate Seminar,"(1, 3)",,Graduate,
A&VS 797,Research,"(1, 9)",,Graduate,
ACCT 501,Accounting/Economic Decision Making,"(3, 3)",,Graduate,
ACCT 511,Financial Accounting Theory and Practice,"(3, 3)",,Graduate,
ACCT 512,Mergers and Acquisitions,"(3, 3)",,Graduate,
ACCT 520,Advanced Technology for Accounting,"(3, 3)",,Graduate,
ACCT 541,Federal Tax Research and Writing,"(3, 3)",,Graduate,
ACCT 542,Advanced Federal Corporate Tax,"(3, 3)",,Graduate,
ACCT 544,Taxation of Property Transactions,"(3, 3)",,Graduate,
ACCT 561,Governmental and Not-for-Profit Accounting,"(3, 3)",,Graduate,
ACCT 580,Accounting for Forensic and Fraud Investigators,"(3, 3)",,Graduate,
ACCT 581,Fraud Investigation,"(3, 3)",,Graduate,
ACCT 582,Fraud Data Analysis,"(3, 3)",,Graduate,
ACCT 583,Fraud: Criminology/Legal Issues,"(3, 3)",,Graduate,
ACCT 584,Advanced Fraud Investigation,"(3, 3)",,Graduate,
ACCT 585,Forensic and Fraud Examination Advanced Analytical Techniques,"(3, 3)",,Graduate,
ACCT 586,Private Company Valuation,"(3, 3)",,Graduate,
ACCT 591,Advanced Topics,"(1, 6)",,Graduate,
ACCT 592,Directed Study,"(1, 6)",,Graduate,
ACCT 593,Special Topics,"(1, 6)",,Graduate,
ACCT 594,Seminar,"(1, 6)",,Graduate,
ACCT 595,Independent Study,"(1, 9)",,Graduate,
ACCT 691,Advanced Topics,"(1, 6)",,Graduate,
ACCT 692,Directed Study,"(1, 6)",,Graduate,
ACCT 693,Special Topics,"(1, 6)",,Graduate,
ACCT 694,Seminar,"(1, 6)",,Graduate,
ACCT 695,Independent Study,"(1, 9)",,Graduate,
ACCT 696,Graduate Seminar,"(1, 3)",,Graduate,
ACCT 697,Research,"(1, 9)",,Graduate,
ACCT 698,Thesis or Dissertation,"(1, 6)",,Graduate,
ACCT 699,Graduate Colloquium,"(1, 6)",,Graduate,
ACCT 710,Accounting Research Methods Seminar,"(3, 3)",,Graduate,
ACCT 711,Behavioral Accounting Research,"(3, 3)",,Graduate,
ACCT 712,Archival Accounting Research,"(3, 3)",,Graduate,
ACCT 713,Forensic Accounting and Fraud Examination,"(3, 3)",,Graduate,
ACCT 714,Auditing and Assurance,"(3, 3)",,Graduate,
ACCT 793,Special Topics,"(1, 6)",,Graduate,
ACCT 795,Independent Study,"(1, 9)",,Graduate,
ACCT 797,Research,"(1, 9)",,Graduate,
ACE 508,The Profession of Sport Coaching,"(3, 3)",,Graduate,
ACE 510,Training Theories for Coaches,"(3, 3)",,Graduate,
ACE 518,Psychology of Coaching,"(3, 3)",,Graduate,
ACE 522,Motor Behavior for Sport Coaches,"(3, 3)",,Graduate,
ACE 524,Data Analytics in Sport Development & Performance,"(3, 3)",,Graduate,
ACE 525,Talent Development and Identification in Sport,"(3, 3)",,Graduate,
ACE 530,Coaching Education Administration,"(3, 3)",,Graduate,
ACE 539,Create Healthy Competitive Environments,"(3, 3)",,Graduate,
ACE 541,Positive Youth Development in Sport,"(3, 3)",,Graduate,
ACE 568,Sport Movement Analysis,"(3, 3)",,Graduate,
ACE 569,Strength and Conditioning Methods for Coaches,"(3, 3)",,Graduate,
ACE 573,Advanced Strength and Conditioning Coaching Techniques,"(3, 3)",,Graduate,
ACE 580,Evaluation in Coaching,"(1, 1)",,Graduate,
ACE 582,Program Evaluation for Coaches,"(1, 1)",,Graduate,
ACE 584,Evaluation Based Planning for Coaches,"(1, 1)",,Graduate,
ACE 585,Applied Professional Development,"(3, 3)",,Graduate,
ACE 587,Strength and Conditioning Program Design Coach,"(3, 3)",,Graduate,
ACE 591,Advanced Topics,"(1, 6)",,Graduate,
ACE 592,Directed Study,"(1, 6)",,Graduate,
ACE 593,Special Topics,"(1, 6)",,Graduate,
ACE 594,Seminar,"(1, 6)",,Graduate,
ACE 595,Independent Study,"(1, 9)",,Graduate,
ACE 602,Action-based Research for Coaching,"(3, 3)",,Graduate,
ACE 645,Contemporary Issues in Sport,"(3, 3)",,Graduate,
ACE 671,Women in Sport,"(3, 3)",,Graduate,
ACE 682,Program Evaluation for Coaches,"(1, 1)",,Graduate,
ACE 685,Coaching Internship,"(1, 6)",,Graduate,
ACE 688,Coaching Techniques,"(1, 6)",,Graduate,
ACE 691,Advanced Topics,"(1, 6)",,Graduate,
ACE 692,Directed Study,"(1, 6)",,Graduate,
ACE 693,Special Topics,"(1, 6)",,Graduate,
ACE 694,Seminar,"(1, 6)",,Graduate,
ACE 695,Independent Study,"(1, 9)",,Graduate,
ACE 696,Graduate Seminar,"(1, 3)",,Graduate,
ACE 697,Research,"(1, 9)",,Graduate,
ACE 698,Thesis or Dissertation,"(1, 6)",,Graduate,
ACE 699,Graduate Colloquium,"(1, 6)",,Graduate,
ACE 900,Professional Development,"(1, 6)",,Graduate,
ACE 930,Professional Development,"(1, 6)",,Graduate,
ADPR 521S,Audience Insights and Analysis,"(3, 3)",,Graduate,
ADPR 559S,Advertising and Public Relations Campaigns,"(3, 3)",,Graduate,
ADPR 593,Special Topics,"(1, 6)",,Graduate,
ADV 521,Mass Communication Research,"(3, 3)",,Graduate,
ADV 591,Advanced Topics,"(1, 6)",,Graduate,
ADV 592,Directed Study,"(1, 6)",,Graduate,
ADV 593,Special Topics,"(1, 6)",,Graduate,
ADV 594,Seminar,"(1, 6)",,Graduate,
ADV 595,Independent Study,"(1, 9)",,Graduate,
AEM 545,Food Microbiology,"(3, 3)",,Graduate,
AEM 549,Food Microbiology Lab,"(1, 1)",,Graduate,
AEM 591,Advanced Topics,"(1, 6)",,Graduate,
AEM 592,Directed Study,"(1, 6)",,Graduate,
AEM 593,Special Topics,"(1, 6)",,Graduate,
AEM 594,Seminar,"(1, 6)",,Graduate,
AEM 595,Independent Study,"(1, 9)",,Graduate,
AEM 748,Sanitary Microbiology,"(3, 3)",,Graduate,
AEM 750,Current Concepts in Microbial Ecology,"(1, 1)",,Graduate,
AEM 790,Teaching Practicum,"(1, 3)",,Graduate,
AEM 792,Directed Study,"(1, 6)",,Graduate,
AEM 795,Independent Study,"(1, 9)",,Graduate,
AEM 797,Research,"(1, 9)",,Graduate,
AFCS 590,Teaching Practicum,"(1, 3)",,Graduate,
AFCS 591,Advanced Topics,"(1, 6)",,Graduate,
AFCS 592,Directed Study,"(1, 6)",,Graduate,
AFCS 593,Special Topics,"(1, 6)",,Graduate,
AFCS 594,Seminar,"(1, 6)",,Graduate,
AFCS 595,Independent Study,"(1, 9)",,Graduate,
AFCS 690,Teaching Practicum,"(1, 3)",,Graduate,
AFCS 691,Advanced Topics,"(1, 6)",,Graduate,
AFCS 692,Directed Study,"(1, 6)",,Graduate,
AFCS 693,Special Topics,"(1, 6)",,Graduate,
AFCS 694,Seminar,"(1, 6)",,Graduate,
AFCS 695,Independent Study,"(1, 9)",,Graduate,
AFCS 696,Graduate Seminar,"(1, 3)",,Graduate,
AFCS 697,Research,"(1, 9)",,Graduate,
AFCS 698,Thesis or Dissertation,"(1, 6)",,Graduate,
AFCS 699,Graduate Colloquium,"(1, 6)",,Graduate,
AFCS 790,Teaching Practicum,"(1, 3)",,Graduate,
AFCS 791,Advanced Topics,"(1, 6)",,Graduate,
AFCS 792,Directed Study,"(1, 6)",,Graduate,
AFCS 793,Special Topics,"(1, 6)",,Graduate,
AFCS 795,Independent Study,"(1, 9)",,Graduate,
AFCS 796,Graduate Seminar,"(1, 3)",,Graduate,
AFCS 797,Research,"(1, 9)",,Graduate,
AGBI 512,Nutritional Biochemistry,"(3, 3)",,Graduate,
AGBI 512L,Nutritional Biochemistry Laboratory,"(1, 1)",,Graduate,
AGBI 514,Animal Biotechnology,"(4, 4)",,Graduate,
