"course_code","course_title","department","credits","description"
"ACCT 201","Fundamentals of Financial Accounting","Accounting (ACCT)","(3 credits)","Restriction(s):  Accounting majors or Business Administration majors with Finance Concentration or Economics majors with Asset Management Concentration students only.  This is an introductory course in financial accounting from a preparer perspective. The theoretical foundation and basic accounting terminology is addressed. The course will enable the students to perform the entire accounting cycle from analyzing basic accounting transactions to the preparation of the basic financial statements including the balance sheet, income statement, statement of stockholders' equity and statement of cash flows. The course will enable students to critically analyze accounting information."
"ACCT 202","Fundamentals of Managerial Accounting","Accounting (ACCT)","(3 credits)","Prerequisite(s):ACCT 201.  Restriction(s): Accounting Majors only.  The course covers the use of accounting information for internal planning, controlling and decision making.  The course introduces basic concepts of management accounting including cost classifications, product costing, cost-volume-profit analysis, operational budgeting, standard setting and performance evaluation, decentralization, relevant costs and decision making."
"ACCT 204","Fundamentals of Accounting","Accounting (ACCT)","(3 credits)","Restriction(s):Not open to students in BS Accounting and BS Business Administration with Finance Concentration. This course provides a foundation for non-accounting business majors.  Topics covered include both financial and managerial accounting from a user perspective.  Students will be exposed to the four financial statements and ethical issues in accounting along with other accounting reporting issues in the financial accounting phase of the course.  Managerial accounting focuses on generating accounting data for internal business decision-making in today's increasingly competitive and complex business world.  Students need to become familiar with the use of accounting data for both investment and credit decisions as well as strategic decision making for firms' operation.  Major topics covered include financial statement analysis, budgeting, accounting-based decision making, and performance evaluation. Special fee."
"ACCT 301","Intermediate Accounting I","Accounting (ACCT)","(3 credits)","Prerequisite(s):ACCT 201.  Restriction(s): Accounting major students only.  This course builds on material presented in Fundamentals of Financial Accounting.  Students acquire an improved understanding of the composition and significance of various segments of income statements and balance sheet, particularly related to current assets and various income statement revenue and expense items leading to an improved understanding of the preparation of various aspects of the financial statements as well as an enhancement of their ability to critically evaluate financial statements."
"ACCT 302","Intermediate Accounting II","Accounting (ACCT)","(3 credits)","Prerequisite(s):ACCT 301.  Restriction(s): Accounting major students only. Special fee.  Continuation of Intermediate Accounting I.  Students acquire an improved understanding of the composition and significance of various segments of the income statement and the balance sheet, particularly non-current assets, liabilities, owners' equity, and earnings per share leading to an improved understanding of the preparation of various aspects of the financial statements as well as an enhancement of their ability to critically evaluate accounting and its impact to the international community."
"ACCT 304","Contemporary Issues in Intermediate Accounting","Accounting (ACCT)","(3 credits)","Prerequisite(s):ACCT 302(may be taken concurrently with the approval of the Department Chairperson).  Restriction(s): Accounting major students only.  Special fee.  In-depth discussion and analysis of traditional intermediate financial accounting topics as well as recent developments in accounting valuation and reporting practices.  Course builds on topics discussed in Intermediate Accounting I and II leading to an improved understanding of the preparation of various aspects of the financial statements as well as enhancement of their ability to critically evaluate financial reporting.  Meets the Graduation Writing Requirement for majors in Accounting."
"ACCT 305","Taxation for Individuals","Accounting (ACCT)","(3 credits)","Prerequisite(s): ACCT201 for accounting majors and finance concentration students; andACCT 204andFINC 300for all other majors and minors. Restriction(s): Accounting major, Business Administration major, and Finance minor. The purpose of this course is to introduce students to a broad range of tax concepts and types of taxpayers to emphasize the role of taxation in the business decision-making process. Coverage includes the taxation of individuals and a brief introduction to corporate taxation on a broad basis. This course contains required content for both accounting students to sit for the CPA Exam and for students who plan to sit for the CFP (Certified Financial Planner) exam. Special fee."
"ACCT 307","Cost Accounting","Accounting (ACCT)","(3 credits)","Prerequisite(s):ACCT 202.  Restriction(s): Accounting major students only.  This course examines the development of theory, concepts and techniques for providing, using and reporting cost information within the organization. Topics discussed include process costing, activity-based costing and management, cost allocation, inventory management and capacity analysis, Theory of Constraints management and control of quality costs, transfer pricing, profitability analysis, tactical decision making and corporate social responsibility."
"ACCT 309","Accounting Information Systems","Accounting (ACCT)","(3 credits)","Prerequisite(s):INFO 173andACCT 301. Restriction(s): Accounting major students only. Special fee. Accounting information system development will be studied with emphasis on systems analysis and design, form design, internal controls, and proper documentation. The course will expand on several typical AIS application systems including the revenue cycle, the procurement cycle, and others."
"ACCT 310","Taxation of Business Entities and Advanced Tax Concepts","Accounting (ACCT)","(3 credits)","Prerequisite(s):ACCT 305.  Restriction(s): Accounting major students only.  Special fee.  The purpose of this course is to follow theACCT 305tax course, Taxation for Individuals.  This course will introduce students to a broad range of tax concepts dealing with the taxation of corporations, partnerships, and S corporations and will emphasize the role of taxation in the business decision-making process.  Coverage includes on a broad basis the taxation of corporations and their shareholders, the tax treatment of pass through entities such as partnerships and S corporations and their owners, tax consequences influencing the choice of business entity, income taxation of estates and trusts, and estate and gift taxation."
"ACCT 312","Principles of Corporate Controllership","Accounting (ACCT)","(3 credits)","Prerequisite(s):ACCT 302,ACCT 307andFINC 300. Restriction(s): Accounting major students only. Weaving together the Controller's dual roles as the operating officer and management accountant, this course intricately delves into the orchestration of the firm's working capital. Explore the nuances of working capital components, and master the art of steering through the realms of cash management, receivables, payables, and inventory. Immerse yourself in the integration of cash budgeting and short-term financial planning, and learn the delicate task of managing bank relations and cash transactions. Elevate your financial prowess with insights into the fundamental risk management principles of credit and foreign currency. In this course, discover the convergence of strategic financial acumen and operational finesse. Special fee."
