course_code,course_name,subject
AAAS 100,Pathways into AAAS,AAAS - African American and African Studies
AAAS 200,"Black Feminisms: Past, Present, and Futures",AAAS - African American and African Studies
AAAS 201,"Black Sexualities Studies: Past, Present, and Futures",AAAS - African American and African Studies
AAAS 202,"Black Genders Studies: Past, Present, and Futures",AAAS - African American and African Studies
AAAS 300,Communities in Action,AAAS - African American and African Studies
AAAS 301,"Creative Expression, Culture, and Performance",AAAS - African American and African Studies
AAAS 302,"Black Institutions, Sustainability, and Statecraft",AAAS - African American and African Studies
AAAS 303,Black Girlhood Studies,AAAS - African American and African Studies
AAAS 304,Afrofuturism,AAAS - African American and African Studies
AAAS 305,Black People and Land,AAAS - African American and African Studies
AAAS 306,Black Language and Literacy,AAAS - African American and African Studies
AAAS 307,Creative Expression as Craft,AAAS - African American and African Studies
AAAS 308,Black Spirituality and Religion,AAAS - African American and African Studies
AAAS 309,Centering Wellness,AAAS - African American and African Studies
AAAS 390,Special Topics in Black Studies,AAAS - African American and African Studies
AAAS 401,Social Media and New Journalism,AAAS - African American and African Studies
AAAS 402,Producing Culture,AAAS - African American and African Studies
AAAS 403,Institutions and Oppression,AAAS - African American and African Studies
AAAS 404,Black Ecologies and Environmental Justice,AAAS - African American and African Studies
AAAS 405,Black Entrepreneurship and Hustle,AAAS - African American and African Studies
AAAS 406,Pedagogies of Protest,AAAS - African American and African Studies
AAAS 490,Independent Study in African American and African Studies,AAAS - African American and African Studies
AAAS 495,Writing For Our Lives (W),AAAS - African American and African Studies
AAAS 821,"Collaboration, Research and Methodologies",AAAS - African American and African Studies
AAAS 830,Introduction to African American Studies,AAAS - African American and African Studies
AAAS 841,Seminar in Black Feminist Studies,AAAS - African American and African Studies
AAAS 861,Seminar in Black Sexualities Studies,AAAS - African American and African Studies
AAAS 871,Seminar in Black Genders Studies,AAAS - African American and African Studies
AAAS 890,Independent Study in African American and African Studies,AAAS - African American and African Studies
AAAS 891,Special Topics in African American and African Studies,AAAS - African American and African Studies
AAAS 892,Master’s Thesis Planning,AAAS - African American and African Studies
AAAS 893A,Pedagogical Project,AAAS - African American and African Studies
AAAS 894,Master’s Project Planning,AAAS - African American and African Studies
AAAS 898,Master’s Capstone Project,AAAS - African American and African Studies
AAAS 899,Master's Thesis Research,AAAS - African American and African Studies
AAAS 999,Doctoral Dissertation Research,AAAS - African American and African Studies
AAE 220,English Grammar and Composition for Non-Native Speakers of English,AAE - Advanced Academic English
AAE 221,English Composition for Non-Native Speakers of English,AAE - Advanced Academic English
AAE 222,Listening and Speaking for Academic Purposes for Non-Native Speakers of English,AAE - Advanced Academic English
AAE 223,Reading for Academic Purposes for Non-Native Speakers of English,AAE - Advanced Academic English
AAE 291,Special Topics in Academic English,AAE - Advanced Academic English
AAE 451,Effective Oral Communication for International Teaching Assistants,AAE - Advanced Academic English
AAE 452,Language of the American Classroom for International Teaching Assistants,AAE - Advanced Academic English
AAE 453,Support for In-service International Teaching Assistants,AAE - Advanced Academic English
AAE 491,Advanced Special Topics in Academic English,AAE - Advanced Academic English
ACC 201,Principles of Financial Accounting,ACC - Accounting
ACC 202,Principles of Management Accounting,ACC - Accounting
ACC 230,Survey of Accounting Concepts,ACC - Accounting
ACC 250,Preparing for an Accounting Career,ACC - Accounting
ACC 293,Cooperative Education for Business Students,ACC - Accounting
ACC 300,Intermediate Financial Accounting I,ACC - Accounting
ACC 301,Intermediate Financial Accounting II,ACC - Accounting
ACC 305,Intermediate Accounting for Finance Majors,ACC - Accounting
ACC 308,Governmental and Not-for-Profit Accounting,ACC - Accounting
ACC 321,Accounting Information Systems,ACC - Accounting
ACC 331,Federal Income Tax Accounting,ACC - Accounting
ACC 341,Accounting for Management Decision Making,ACC - Accounting
ACC 393,Introduction to International Business,ACC - Accounting
ACC 411,Auditing,ACC - Accounting
ACC 490,Independent Study,ACC - Accounting
ACC 491,Special Topics in Accounting and Information Systems,ACC - Accounting
ACC 493,Internship,ACC - Accounting
ACC 807,Using Financial Statement Data for Decision-Making - An Analytics Approach,ACC - Accounting
ACC 808,Analyzing Financial Reporting Decisions,ACC - Accounting
ACC 814,Advanced Auditing,ACC - Accounting
ACC 821,Enterprise Database Systems,ACC - Accounting
ACC 822,Information Systems Project Management,ACC - Accounting
ACC 823,Advanced Enterprise Database Systems,ACC - Accounting
ACC 824,Information Systems Security and Assurance,ACC - Accounting
ACC 825,Object-Oriented Business Information Systems,ACC - Accounting
ACC 826,Enterprise Information Systems,ACC - Accounting
