"course_code","course_title","department","credits","description"
"ACCT 530-0","Special Topics in Empirical Accounting Research","Accounting and Information Systems (ACCT)","1 Unit",""
"ACCT 540-1","Empirical Research in Accounting I","Accounting and Information Systems (ACCT)","1 Unit",""
"ACCT 540-2","Empirical Research in Accounting II","Accounting and Information Systems (ACCT)","1 Unit",""
"ACCT 540-3","Empirical Research in Accounting III","Accounting and Information Systems (ACCT)","1 Unit",""
"ACCT 550-1","Research in Accounting Theory I","Accounting and Information Systems (ACCT)","1 Unit",""
"ACCT 550-2","Research in Accounting Theory II","Accounting and Information Systems (ACCT)","1 Unit",""
"ACCT 590-0","Research","Accounting and Information Systems (ACCT)","3 Units",""
"AFST 390-0","Topics in African Studies","African Studies (AFST)","1 Unit",""
"AFST 483-0","African Studies Seminar","African Studies (AFST)","1 Unit",""
"ANTHRO 306-0","Evolution of Life Histories","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 312-0","Human Population Biology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 314-0","Human Growth & Development","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 315-0","Medical Anthropology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 317-0","Human Evolution","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 318-0","Material Worlds of the Middle Ages","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 319-0","Material Life & Culture in Europe, 1500-1800","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 320-0","Peoples of Africa","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 321-0","Archaeological Field Methods","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 322-0","Introduction to Archaeology Research Design & Methods","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 325-0","Archaeological Methods Laboratory","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 326-0","Archaeologies of Sustainability and Collapse","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 327-0","Historical Archaeology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 330-0","Peoples of the World","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 332-0","The Anthropology of Reproduction","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 334-0","The Anthropology of HIV/AIDS: Ethnographies","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 339-0","Material Culture","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 341-0","Economic Anthropology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 350-0","Anthropology of Religion","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 351-0","Hope and Futurity","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 354-0","Gender and Anthropology","Anthropology (ANTHRO)","1 Unit",""
