"course_code","course_title","department","credits","description"
"BUSCOM 430K","Microeconomics Analysis (Kellogg)","BUSCOM - Business and Commercial Law","2.5 Credit Hours","Among the topics this core course addresses are economic analysis and optimal decisions, consumer choice and the demand for products, production functions and cost curves, market structures and strategic interactions, and pricing and non-price concepts. Cases and problems are used to understand economic tools and their potential for solving real-world problems.   Grading system:  This courses uses the Kellogg School of Management grading system of A, B, C, D, F.  This course is offered on the quarter calendar on the Chicago campus.  The class meets in Wieboldt Hall."
"BUSCOM 431","Business Strategy (Law)","BUSCOM - Business and Commercial Law","2.5 Credit Hours","Strategy is the set of objectives, policies and resource commitments that collectively determine how a business positions itself to create wealth for its owners. This course introduces students to principles and conceptual frameworks for evaluating and formulating business strategy. Topics include the boundaries of the firm, the analysis of industry economics, strategic positioning and competitive advantage, and the role of resources and capabilities in shaping and sustaining competitive advantages.    Law students will gain insight into clients' business models and strategies as well as the operation of markets in which transactions and disputes occur."
"BUSCOM 431K","Business Strategy (Kellogg)","BUSCOM - Business and Commercial Law","2.5 Credit Hours","Strategy is the set of objectives, policies and resource commitments that collectively determine how a business positions itself to create wealth for its owners. This course introduces students to principles and conceptual frameworks for evaluating and formulating business strategy. Topics include the boundaries of the firm, the analysis of industry economics, strategic positioning and competitive advantage, and the role of resources and capabilities in shaping and sustaining competitive advantages.   Grading system:  This courses uses the Kellogg School of Management grading system of A, B, C, D, F.  This course is offered on the quarter calendar on the Chicago campus.    Classroom:  The class meets in Wieboldt Hall.  Class assignments are posted at the entrances to Wieboldt Hall at the beginning of the term."
"BUSCOM 431SF","High-Tech Business Strategy","BUSCOM - Business and Commercial Law","1.25 Credit Hours","Strategy is the set of objectives, policies and resource commitments that collectively determine how a high-tech business positions itself to create wealth for its owners. This course introduces students to principles and conceptual frameworks for evaluating and formulating high-tech business strategy. Topics include the boundaries of the firm, the analysis of industry economics, strategic positioning and competitive advantage, and the role of resources and capabilities in shaping and sustaining competitive advantages."
"BUSCOM 432","Business Analytics","BUSCOM - Business and Commercial Law","2.5 Credit Hours","Analytics is the discovery and communication of meaningful patterns in data. This course begins by providing students with an analytics toolkit, reinforcing basic probability and statistics while emphasizing the value and pitfalls of reasoning with data. Then the course extends the statistical techniques to allow for the exploration of relations between variables, primarily through multivariate regression.   In addition to learning basic regression skills, including modeling and estimation, students will deepen their understanding of hypothesis testing and how to make inferences and predictions from data. Students will also learn new principles such as identification and robustness. The course has an intense focus on managerially relevant applications, cases, and interpretations, with an emphasis on connections among analytical tools, data, and decision-making.  Law students will gain insight into the analytic methods used by their clients, and in significant commercial transactions and litigation -- ranging from financial industries, antitrust, class actions, to government regulation."
"BUSCOM 433","Leadership in Organizations","BUSCOM - Business and Commercial Law","2.5 Credit Hours","This course provides students with the social science tools needed to solve organizational problems and influence the actions of individuals, groups and organizations. It prepares managers to understand how to best organize and motivate the human capital of the firm, manage social networks and alliances, and execute strategic change. This is accomplished through knowledge of competitive decision making, reward system design, team building, strategic negotiation, political dynamics, corporate culture and strategic organizational design.  Law students will gain greater insight into organizations they work with, firms and organizations that they work in, and multidisciplinary teams that form for transactions, litigation, and other problem-solving."
"BUSCOM 510","Contracts","BUSCOM - Business and Commercial Law","3 Credit Hours","Introduction to the nature, functions, processes, and limitations of exchange, contract, and contract law."
"BUSCOM 512","Workshop: Space Commerce Team Project","BUSCOM - Business and Commercial Law","1.5 Credit Hours","In this workshop, you and your classmates, supervised by space law experts, work in three-to-four person teams to take a deep analysis of a business-legal problem particular to space commerce.  After completing this workshop, students should understand key business-legal issues in NewSpace; (2) be able write a white paper for business and legal professionals in the field of space commerce; and (3) be able to demonstrate presentation skills with depth of knowledge for NewSpace business and legal audiences."
"BUSCOM 513","The Business, Law, & Technology of Space Commerce","BUSCOM - Business and Commercial Law","2 Credit Hours","This course introduces the basics of the business, technology and law of space commerce.  We will review the key historical moments of space exploration, the science of space, and the government’s role in promoting space exploration as these factors have influenced the development of the business and law of space commerce.  A deeper exploration of the U.S. law and regulatory frameworks, as well as international treaties, that have developed over the last half century around space exploration informs our understanding of the current space commerce environment.  We also consider the role of national security and the various U.S. agencies involved in space military and commercial activities and how the two are linked."
"BUSCOM 515","In-House Counsel","BUSCOM - Business and Commercial Law","1 Credit Hour","In-house legal roles at high growth technology companies are coveted for a reason. They offer lawyers endless opportunities in a dynamic and exciting environment, often with a front row seat to all facets of the company's growth. However, these environments can be challenging and often confront lawyers with issues not taught in law schools or law firms, like hyper-scaling a legal team, being the first and only lawyer, navigating an engineering culture, figuring out risk tolerance, and learning to influence a founder-led business. In this course, students will get an in-depth view of these challenges, with a focus on leadership, scaling, practical skills, strategic thinking, and stakeholder management."
