"course_code","course_title","department","credits","level"
"AAST 597","Independent Study","AAST - African-American Studies","(1-3 Credit Hours)","Graduate"
"AAST 100S","Introduction to African American Studies","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 105H","Interpreting the African Past","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 201","Introduction to Historical Methods","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 308","Research Design","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 310","Human Rights and Social Change in Africa","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 316","Politics of Africa","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 320","Introduction to Research Methods","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 323","Sociology of Minority Families","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 361","African-American History to 1865","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 368","Internship","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 381","Africa in the 20th Century","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 395","Topics in African American Studies","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 396","Topics in African American Studies","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 410","Africana Intellectual Thought and Economic Development","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 412","Politics of the Civil Rights Movement","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 420W","African American Political and Social Thought","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 426","Minority Group Relations","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 451","Race, Ethnicity, Crime and Justice","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 452","Diversity in Criminal Justice Organizations","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 460","Psychology of African Americans","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 488","Introduction to Critical Race and Media Studies","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 490","Senior Seminar","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 495","Topics in African American Studies","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 497/597","Independent Study","AAST - African-American Studies","(1-3 Credit Hours)","Undergraduate"
"ACCT 505","Accounting and Auditing in the Public/Nonprofit Sector","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 511","Financial Auditing","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 521","Taxation","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 522","Tax Research","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 540","Introduction to Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 550","International and Advanced Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 623","Accounting Analytics and Operational Reviews","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 624","Information Technology Assurance Services","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 625","Fraud Examination and Forensic Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 626","Financial and Global Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 627","Operational Cost Control","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 630","Business Valuations using Financial Statement Analysis","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 640","Professional Ethics and Legal Issues In Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 645","Accounting for Decision Making","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 650","Tax Strategies for Business Decisions","ACCT - Accounting","(3 Credit Hours)","Graduate"
