"subject","course_code","course_name","description","credits"
"","AAS 5400","The Black Child","What does it mean to be a black child in America at the beginning of the 21st century?  We will consider how the meaning of childhood changes over time, place, and social context for African  Americans.  By moving children to the center of focus, we will see that there is no singular definition of African American childhood, but instead many different ways in which African Americans experience childhood and adolescence.  Typically African American children are only studied as victims or perpetrators of social problems, but in this course we will consider African American children in many additional contexts.  We will begin by examining the meaning(s) of childhood and adolescence and how they have changed over time.  Throughout the course we will see how African American children’s lives are shaped by broader systems of inequality.  We will also examine how African American children are active in the construction of their own peer cultures and popular culture, as well as why the relationship between Black youth and popular culture is routinely viewed as problematic, and how African American children are discussed within the popular press.  Finally, we will examine how public policies shaping African Americans children and adolescents’ lives are formulated and how they sometimes serve to replicate various inequalities.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,PR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students should be able to apply a child-centered approach to an analysis of the political and economic policies shaping African American childhood.Students should be able to apply social constructivist frameworks to any analysis of children’s everyday life and the public policy designed to regulate their behavior.Students should be able to discuss and assess the various social constructions of childhood and adolescence in the African American community.","3"
"","AAS 5900","Special Topics in African American Studies","Specific course content will vary with offering.   Requisites:   Repeat/Retake Information: May be repeated.  Lecture/Lab Hours: 1.0 lecture  Grades: Eligible Grades: A-F,CR,PR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will increase their knowledge in African American Studies.","1 - 15"
"","AAS 6900","Special Topics in African American Studies","Specific course content will vary with offering.   Requisites:   Repeat/Retake Information: May be repeated.  Lecture/Lab Hours: 1.0 lecture  Grades: Eligible Grades: A-F,CR,PR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will increase their knowledge in African American Studies.","1 - 15"
"","AAS 6930","Independent Research","For students desiring to pursue independent research projects under supervision of a faculty member and resulting in term paper or equivalent. Usually a sequel to previous subject-matter course.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 9.0 hours.  Lecture/Lab Hours: 3.0 independent study  Grades: Eligible Grades: A-F,PR,WP,WF,WN,FN,AU,I  Learning Outcomes:  To provide graduate students an opportunity to complete a research and writing project under the direction of faculty.","3 - 9"
"","ACCT 5010","Intermediate Accounting Concepts","This course studies the conceptual framework of accounting, disclosure standards for general purpose financial statements, and measurement standards for cash, receivables, inventories, tangible and intangible operating assets, investments, liabilities, and associated revenues and expenses, including application of compound interest techniques. Measurement and reporting standards for contingencies, stockholders’ equity, and special problems associated with revenue recognition are also studied.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to explain the conceptual framework surrounding financial accounting standard setting.Students will be able to identify transactions and their effect on the accounting equation.Students will be able to analyze and record transactions and build financial statements.Students will be able to utilize revenue recognition principles.","3"
"","ACCT 5020","Advanced Accounting Concepts I","This course studies advanced accounting topics in the following areas: Managerial Accounting, Cost Accounting, Taxation and Accounting Information Systems.   Requisites: ACCT 5010   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Student will be able to identify and analyze complex managerial accounting issues.Students will be able to identify cost accounting systems.Students will be able to construct cost accounting models to facilitate managerial decision making.Students will be able to identify significant tax issues and formulate appropriate tax strategies.Students will able to identify accounting information system issues and develop system solutions.","3"
"","ACCT 5030","Advanced Accounting Concepts II","This course studies advanced accounting topics in the following areas: Auditing, Forensic Accounting and Fraud Examination, Advanced Financial Accounting and Governmental/Not-for-Profit Accounting..   Requisites: ACCT 5010   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to apply basic auditing concepts.Students will be able to identify elements of fraudulent financial reporting.Students will be able to utilize forensic accounting techniques.Students will be able to analyze transactions and construct consolidated financial statements.Students will be able to compare and contrast governmental accounting standards and general corporate accounting standards.","3"
"","ACCT 5900","Special Topics in Accounting","Selected topics of current interest in accounting area. Course will be research based. Deliverables may include exams, research papers, and case studies.   Requisites: Permission required   Repeat/Retake Information: May be repeated for a maximum of 9.0 hours.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Selected topics of current interest in accounting area.","1 - 3"
"","ACCT 5930","Independent Study","Research in selected fields of accounting under direction of faculty member.   Requisites: Admission to COB graduate or certificate program or permission   Repeat/Retake Information: May be repeated for a maximum of 6.0 hours.  Lecture/Lab Hours: 3.0 independent study  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Research in selected fields of accounting under direction of faculty member.","1 - 3"
"","ACCT 6100","Advanced Managerial Accounting and Decision Making","An in-depth study of management accounting techniques and methods needed for effective management of business enterprises. The trade-offs management makes in acquiring and using accounting information for decision-making and control are discussed. Specific topics include cost behavior and estimation, short-term decision-making, budgeting, performance evaluation, cost allocation, and product costing.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to exercise effective problem solving and decision making skills in business situations.Students will be able to identify and apply the appropriate information technology tools to analyze business problems.Students will be able to perform a structured analysis of ethical issues in managerial accounting.Students will be able to use effective communication skills in both oral and written formats.","3"
