"subject","course_code","course_name","description","credits"
"Academic and Global Communication","AGC 1300","Business Relations and Communication Skills","This course is designed to help students develop global citizenship ideals for future success in the ever-shrinking business world. Students strengthen their presentation and intercultural communication skills through project-based teamwork, and feel better equipped to work in a business/entrepreneurial setting.    General Education Code (students who entered prior to Fall 2021-22): 2CP  Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Students will be able to define and describe characteristics of a global citizen and how global citizenship can impact their everyday lives.Students will be able to implement intercultural communication strategies.Students will be able to compare and contrast different types of communication strategies from around the world or from different demographics.Students will be able to analyze project-based data in order to provide recommendations to local businesses and not-for-profit organizations.Students will be able to examine their own strengths or limitations in communicating with peers from different backgrounds, including in unfamiliar scenarios.Students will be able to present in intercultural teams on business-related topics.","3"
"Accounting","ACCT 1000","Financial Accounting for Entrepreneurs","An introductory course in accounting which will include recording, reporting and measuring business transactions, income, assets, liabilities and equities. The course will focus on using accounting information for strategic planning and decision-making in business organizations. Topics covered include preparation and analysis of financial statements, budgeting, break-even analysis, and time value of money.   Requisites: Tier I Quantitative Skills   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Students will learn about financial statement analysis, budgeting, breakeven analysis and the time value of money.Students will learn how to create financial statements.Students will learn how to record business income, expenses, assets, liabilities, and equities.Students will learn how to record, report and measure business transactions.","3"
"Accounting","ACCT 1005","Accounting for Business Activities","This course is designed to be an introduction to accounting principles, terminology, and concepts for non-business majors.  It will expose students to accounting processes, procedures and analytical tools.   Accounting is “The Language of Business” and students need a basic understanding to communicate in the business world.   Requisites: Not COB major and Warning: No credit for this course if taken after ACCT 1010   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 10.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Apply TVM concepts to the accounting for bond instruments.Apply operational budgeting techniques to practical situations.Calculate basic financial ratios and explain their implications for investors and managers.Demonstrate a clear understanding of all components of a Financial Reporting Framework and explain how it used by managersDemonstrate a clear understanding of the impact of decision making, teamwork, motivation, and leadership on the performance of organizations and explain how managers can apply these skills and concepts to affect performance and reach goals.Demonstrate a clear understanding of various methods managers use to create value in an organization.Demonstrate an ability to apply the appropriate application of time value of money (TVM) concepts for real life examples.Demonstrate a clear understanding of major managerial functions and roles.Identify different cost behavior patterns and explain their usefulness to managers.Prepare and interpret basic financial information generated for internal decision making.Prepare and produce financial statements from the accumulation of basic financial transactions and other data.","3"
"Accounting","ACCT 1010","Foundations of Accounting","Introduction to the accounting process, external financial reporting, and analysis. Introduction to compound interest concepts, Financial Literacy concepts and budgeting. Some managerial accounting concepts will be discussed.  This course is required for all College of Business Majors.   Requisites: MATH 1200 or higher or Math Placement Level 1 or higher   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Course Transferability: CTAG course: CTBU010 Introduction to Financial Accounting, TAG course: OBU010 Introduction to Financial Accounting  College Credit Plus: Level 1  Learning Outcomes: Understanding of Generally Accepted Accounting Principles (GAAP), how transactions are recorded, and the resulting effect on financial statements.Understanding of Time Value of Money and Financial Literacy Concepts.Understanding of the Language of Business-Accounting!Understanding of the relationships among the Financial Statements and the importance of the Statement of Cash Flows.Understanding the importance of understanding and using Accounting data for strategic decision making.Understanding various managerial accounting topics such as Break Even Analysis, Contribution Margin, and Budgeting.","3"
"Accounting","ACCT 1010A","Honors Experience in Foundations of Accounting","OHIO Honors curricular experience in Foundations of Accounting   Requisites: OHIO Honors student and ACCT 1010   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: independent study  Grades: Eligible Grades: F,CR,NC,WP,WF,WN,FN,AU,I","0"
"Accounting","ACCT 1020","Decision Making with Accounting","Use of accounting information for making managerial decisions. Study of cost behavior, overhead costs allocation, basic cost accumulation systems, elementary capital budgeting, master and flexible budgets, and cost control.   Requisites: ACCT 1010 and (ECON 1030 or concurrent)   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Course Transferability: CTAG course: CTBU011 Introduction to Managerial Accounting, TAG course: OBU011 Introduction to Managerial Accounting  College Credit Plus: Level 1  Learning Outcomes: Be able to identify and categorize variable and fixed costs in order to prepare a contribution margin income statement.Determine the full cost of a product/service using multiple cost drivers (Activity Based Costing).Evaluate simple investment decisions for investment centers using capital budgeting techniques, including net present value, internal rate of return, and payback period.Identify relevant costs and know how to use them to make managerial decisions, including special order decisions, outsourcing decisions, segment elimination decisions, and replacing equipment decisions.Perform breakeven analysis for single and multiple product firms.Prepare a master budget for a merchandising company, including the sales budget, purchases budget, selling & administrative budget, pro-forma income statement, cash budget, and pro-forma balance sheet.Separate fixed and variable components of a mixed costs using the high-low method.Use of financial statement information for analysis and strategic decision making.","3"
"Accounting","ACCT 2900","Special Topics in Accounting","Specific course content will vary with offering.    Repeat/Retake Information: May be repeated.  Lecture/Lab Hours: 1.0 lecture  Grades: Eligible Grades: A-F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes: Students will increase their knowledge in Accounting.","1 - 15"
"Accounting","ACCT 2910","Internship","Internship experience that provides on-site exposure to general business operations and procedures with some exposure to Accounting for at least three consecutive weeks (120 hours needed to earn 1 credit hour). Intended for experiences following the freshman year.   Requisites: Permission required and 2.5 GPA   OHIO BRICKS: Bridge: Learning and Doing  Repeat/Retake Information: May be repeated for a maximum of 3.0 hours.  Lecture/Lab Hours: 40.0 internship  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes: Internship","1 - 3"
"Accounting","ACCT 3040","Financial Accounting and Reporting I","In-depth study of conceptual framework of accounting, disclosure standards for general purpose financial statements, and measurement standards for cash, receivables, inventories, and associated revenues and expenses, including application of compound interest techniques.  Required for accounting major.   Requisites: ACCT 1020   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Advance critical thinking and analytical skills.Develop life-long research skills and an appreciation for continuous learning.Develop teamwork and interpersonal skills.Enhance ethical sensitivity in order to appreciate the importance of integrity in corporate governance.Foster communication skills development, including both  written and oral.Promote technical competency while completing financial reports and supporting schedules.Simulate the decisions and tasks confronted by accountants.","3"
"Accounting","ACCT 3040A","Honors Experience in Financial Accounting and Reporting I","OHIO Honors Curricular Experience in Financial Accounting and Reporting I   Requisites: Ohio Honors student and ACCT 3040 concurrently   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: independent study  Grades: Eligible Grades: F,CR,NC,WP,WF,WN,FN,AU,I","0"
