course_code,course_title,course_description,course_credits,department
Actg 199,Special Studies,,Credits1-12,Actg - Accounting
Actg 281,Accounting Mechanics: Debits and Credit,,Credits1,Actg - Accounting
Actg 299,Special Studies,,Credits1-12,Actg - Accounting
Actg 310,Professional Accounting Seminar,,Credits2,Actg - Accounting
Actg 335,Accounting Information Systems and Analytic Fundamentals,,Credits4,Actg - Accounting
Actg 360,Management Accounting,,Credits2,Actg - Accounting
Actg 381,Financial Accounting and Reporting I,,Credits4,Actg - Accounting
Actg 382,Financial Accounting and Reporting II,,Credits4,Actg - Accounting
Actg 383,Financial Accounting and Reporting III,,Credits4,Actg - Accounting
Actg 395,Taxation,,Credits4,Actg - Accounting
Actg 399,Special Studies,,Credits1-12,Actg - Accounting
Actg 401,Research,,Credits1-12,Actg - Accounting
Actg 402,Independent Study,,Credits1-12,Actg - Accounting
Actg 403,Thesis,,Credits1-12,Actg - Accounting
Actg 404,Internship,,Credits1-12,Actg - Accounting
Actg 405,Reading and Conference,,Credits1-12,Actg - Accounting
Actg 406,Special Projects,,Credits1-12,Actg - Accounting
Actg 407,Seminar,,Credits1-6,Actg - Accounting
Actg 408,Workshop,,Credits1-12,Actg - Accounting
Actg 409,Practicum,,Credits1-8,Actg - Accounting
Actg 410,Selected Topics,,Credits1-12,Actg - Accounting
Actg 416,"IT, Cybersecurity and Compliance",,Credits4,Actg - Accounting
Actg 422,Advanced Taxation,,Credits4,Actg - Accounting
Actg 430,Governmental Accounting,,Credits2,Actg - Accounting
Actg 431,Not-For-Profit Accounting,,Credits2,Actg - Accounting
Actg 445,Forensic Accounting,,Credits4,Actg - Accounting
Actg 460,Advanced Managerial Accounting,,Credits4,Actg - Accounting
Actg 485,Business Law,,Credits4,Actg - Accounting
Actg 490,Advanced Financial Accounting,,Credits4,Actg - Accounting
Actg 492,Auditing Concepts and Practices,,Credits4,Actg - Accounting
Actg 493,Advanced Auditing,,Credits4,Actg - Accounting
Actg 495,Integrated Accounting Issues,,Credits4,Actg - Accounting
Actg 501,Research,,Credits1-9,Actg - Accounting
Actg 502,Independent Study,,Credits1-9,Actg - Accounting
Actg 503,Thesis,,Credits1-9,Actg - Accounting
Actg 504,Internship,,Credits1-9,Actg - Accounting
Actg 505,Reading and Conference,,Credits1-9,Actg - Accounting
Actg 509,Special Projects,,Credits1-6,Actg - Accounting
Actg 507,Seminar,,Credits1-12,Actg - Accounting
Actg 507S,Seminar,,Credits1-8,Actg - Accounting
Actg 508,Workshop,,Credits1-9,Actg - Accounting
Actg 509,Practicum,,Credits1-9,Actg - Accounting
Actg 510,Selected Topics,,Credits1-9,Actg - Accounting
Actg 511,Financial Reporting,,Credits4,Actg - Accounting
Actg 513,Managerial Accounting and Control,,Credits4,Actg - Accounting
Actg 525,Tax Research Documentation and Procedure,,Credits4,Actg - Accounting
Actg 526,Accounting Methods and Periods,,Credits4,Actg - Accounting
Actg 527,Corporate Taxation I,,Credits4,Actg - Accounting
Actg 528,Corporate Taxation II,,Credits4,Actg - Accounting
Actg 530,Taxation of Property Transactions,,Credits2,Actg - Accounting
Actg 531,Partnership Taxation,,Credits4,Actg - Accounting
Actg 532,S Corporations Taxation,,Credits2,Actg - Accounting
Actg 533,Financial Accounting for Income Taxes,,Credits4,Actg - Accounting
Actg 535,State and Local Taxation,,Credits4,Actg - Accounting
Actg 536,International Taxation,,Credits4,Actg - Accounting
Actg 537,Tax Accounting Capstone Consulting Project,,Credits4,Actg - Accounting
Actg 539,"Trust, Estate & Gift Taxation",,Credits4,Actg - Accounting
Actg 540,Practicum / Internship,,Credits4,Actg - Accounting
Actg 542,Tax Factors in Business Decisions,,Credits4,Actg - Accounting
