"course_code","course_title","department","credits","description"
"DDDD","101  Introduction To 3D Modeling","3D Digital Design (DDDD)","3 Credits",""
"DDDD","102  Introduction To 3D Visual Design","3D Digital Design (DDDD)","3 Credits",""
"DDDD","103  Introduction To 3D Imaging","3D Digital Design (DDDD)","3 Credits",""
"DDDD","104  Introduction To 3D Design Pathways","3D Digital Design (DDDD)","1 Credit",""
"DDDD","201  Modeling Strategies","3D Digital Design (DDDD)","3 Credits",""
"DDDD","202  Layers And Effects","3D Digital Design (DDDD)","3 Credits",""
"DDDD","203  Visual Scripting","3D Digital Design (DDDD)","3 Credits",""
"DDDD","204  Real Time Design","3D Digital Design (DDDD)","3 Credits",""
"DDDD","207  Materials And Surfaces","3D Digital Design (DDDD)","3 Credits",""
"DDDD","208  Anatomical Frameworks For 2D & 3D Applications","3D Digital Design (DDDD)","3 Credits",""
"DDDD","209  Project Pipelines","3D Digital Design (DDDD)","3 Credits",""
"DDDD","301  Professional Practice","3D Digital Design (DDDD)","3 Credits",""
"DDDD","302  History Of 3D Digital Design","3D Digital Design (DDDD)","3 Credits",""
"DDDD","303  Collaboration Project","3D Digital Design (DDDD)","3 Credits",""
"DDDD","304  3D Motion Graphics","3D Digital Design (DDDD)","3 Credits",""
"DDDD","305  3D Interactive Storytelling","3D Digital Design (DDDD)","3 Credits",""
"DDDD","308  Contemporary Practices: Design Technologies","3D Digital Design (DDDD)","1 Credit",""
"DDDD","355  Mini-Experimental Workshop","3D Digital Design (DDDD)","1 Credit",""
"DDDD","399  3D Digital Design Part-Time Co-Op","3D Digital Design (DDDD)","0 Credits",""
"DDDD","400  Senior Capstone","3D Digital Design (DDDD)","3 Credits",""
"DDDD","401  Senior Capstone Test And Documentation","3D Digital Design (DDDD)","3 Credits",""
"DDDD","402  Senior Capstone I","3D Digital Design (DDDD)","3 Credits",""
"DDDD","403  Senior Capstone Ii","3D Digital Design (DDDD)","3 Credits",""
"DDDD","498  3D Digital Design Internship","3D Digital Design (DDDD)","1-6 Credits",""
"DDDD","499  3D Digital Design Co-Op","3D Digital Design (DDDD)","0 Credits",""
"DDDD","516  Advanced Studio: Topic","3D Digital Design (DDDD)","3 Credits",""
"DDDD","517  Experimental Workshop","3D Digital Design (DDDD)","3 Credits",""
"DDDD","521  Character Design And Rigging","3D Digital Design (DDDD)","3 Credits",""
"DDDD","522  Environment Design","3D Digital Design (DDDD)","3 Credits",""
"DDDD","523  Hard Surface Design","3D Digital Design (DDDD)","3 Credits",""
"DDDD","526  Physical Interface Design","3D Digital Design (DDDD)","3 Credits",""
"DDDD","528  Simulating Natural Phenomena","3D Digital Design (DDDD)","3 Credits",""
"DDDD","599  3D Digital Design Independent Study","3D Digital Design (DDDD)","1-6 Credits",""
"DDDD","101  Introduction To 3D Modeling","3D Digital Design (DDDD)","3 Credits",""
"DDDD","102  Introduction To 3D Visual Design","3D Digital Design (DDDD)","3 Credits",""
"DDDD","103  Introduction To 3D Imaging","3D Digital Design (DDDD)","3 Credits",""
"DDDD","104  Introduction To 3D Design Pathways","3D Digital Design (DDDD)","1 Credit",""
"DDDD","201  Modeling Strategies","3D Digital Design (DDDD)","3 Credits",""
"DDDD","202  Layers And Effects","3D Digital Design (DDDD)","3 Credits",""
"DDDD","203  Visual Scripting","3D Digital Design (DDDD)","3 Credits",""
"DDDD","204  Real Time Design","3D Digital Design (DDDD)","3 Credits",""
"DDDD","207  Materials And Surfaces","3D Digital Design (DDDD)","3 Credits",""
"DDDD","208  Anatomical Frameworks For 2D & 3D Applications","3D Digital Design (DDDD)","3 Credits",""
"DDDD","209  Project Pipelines","3D Digital Design (DDDD)","3 Credits",""
"DDDD","301  Professional Practice","3D Digital Design (DDDD)","3 Credits",""
"DDDD","302  History Of 3D Digital Design","3D Digital Design (DDDD)","3 Credits",""
"DDDD","303  Collaboration Project","3D Digital Design (DDDD)","3 Credits",""
"DDDD","304  3D Motion Graphics","3D Digital Design (DDDD)","3 Credits",""
"DDDD","305  3D Interactive Storytelling","3D Digital Design (DDDD)","3 Credits",""
