org,script,args
albany.edu,,"original mihirp11 scrape, 2025; script not preserved"
appstate.edu,,"original mihirp11 scrape, 2025; script not preserved"
arizona.edu,,"original mihirp11 scrape, 2025; script not preserved"
asu.edu,asu.py,2261 2267
auburn.edu,,"original mihirp11 scrape, 2025; script not preserved"
baylor.edu,,"original mihirp11 scrape, 2025; script not preserved"
berkeley.edu,,"original mihirp11 scrape, 2025; script not preserved"
binghamton.edu,,"original mihirp11 scrape, 2025; script not preserved"
brown.edu,fose.py,cab.brown.edu 202510 202520 202610 202620
bsu.edu,,"original mihirp11 scrape, 2025; script not preserved"
bu.edu,,"original mihirp11 scrape, 2025; script not preserved"
buffalo.edu,,"original mihirp11 scrape, 2025; script not preserved"
byu.edu,,"original mihirp11 scrape, 2025; script not preserved"
calpoly.edu,,"original mihirp11 scrape, 2025; script not preserved"
calstatela.edu,,"original mihirp11 scrape, 2025; script not preserved"
charlotte.edu,acalog.py,https://catalog.charlotte.edu/index.php?catoid=42 https://catalog.charlotte.edu/index.php?catoid=43
clemson.edu,,"original mihirp11 scrape, 2025; script not preserved"
colorado.edu,,"original mihirp11 scrape, 2025; script not preserved"
coloradotech.edu,,"original mihirp11 scrape, 2025; script not preserved"
colostate.edu,,"original mihirp11 scrape, 2025; script not preserved"
columbia.edu,,"original mihirp11 scrape, 2025; script not preserved"
cornell.edu,,"original mihirp11 scrape, 2025; script not preserved"
cpp.edu,,"original mihirp11 scrape, 2025; script not preserved"
csuchico.edu,,"original mihirp11 scrape, 2025; script not preserved"
csudh.edu,courseleaf.py,https://catalog.csudh.edu/
csueastbay.edu,acalog.py,https://catalog.csueastbay.edu/
csulb.edu,,"original mihirp11 scrape, 2025; script not preserved"
csun.edu,,"original mihirp11 scrape, 2025; script not preserved"
csus.edu,,"original mihirp11 scrape, 2025; script not preserved"
csusb.edu,,"original mihirp11 scrape, 2025; script not preserved"
csusm.edu,acalog.py,https://catalog.csusm.edu/
cuny.edu,coursedog.py,"hunter-undergraduate.catalog.cuny.edu hunter-graduate.catalog.cuny.edu baruch-undergraduate.catalog.cuny.edu baruch-graduate.catalog.cuny.edu ccny-undergraduate.catalog.cuny.edu ccny-graduate.catalog.cuny.edu qc-undergraduate.catalog.cuny.edu qc-graduate.catalog.cuny.edu (one run per host, merged with campus = college; BMCC from uncleaned/bmcc.csv)"
dallascollege.edu,,"original mihirp11 scrape, 2025; script not preserved"
depaul.edu,,"original mihirp11 scrape, 2025; script not preserved"
drexel.edu,,"original mihirp11 scrape, 2025; script not preserved"
duke.edu,,"original mihirp11 scrape, 2025; script not preserved"
ecu.edu,,"original mihirp11 scrape, 2025; script not preserved"
emory.edu,coursedog.py,catalog.emory.edu
fau.edu,coursedog.py,catalog.fau.edu
fiu.edu,,"original mihirp11 scrape, 2025; script not preserved"
fresnostate.edu,,"original mihirp11 scrape, 2025; script not preserved"
fsu.edu,coursedog.py,bulletin.fsu.edu
fullerton.edu,,"original mihirp11 scrape, 2025; script not preserved"
fullsail.edu,,"original mihirp11 scrape, 2025; script not preserved"
gatech.edu,,"original mihirp11 scrape, 2025; script not preserved"
gcu.edu,,"original mihirp11 scrape, 2025; script not preserved"
georgetown.edu,courseleaf.py,https://bulletin.georgetown.edu/
georgiasouthern.edu,,"original mihirp11 scrape, 2025; script not preserved"
gmu.edu,,"original mihirp11 scrape, 2025; script not preserved"
gsu.edu,,"original mihirp11 scrape, 2025; script not preserved"
gvsu.edu,,"original mihirp11 scrape, 2025; script not preserved"
gwu.edu,,"original mihirp11 scrape, 2025; script not preserved"
harvard.edu,harvard.py,
hccs.edu,acalog.py,https://catalog.hccs.edu/
iastate.edu,,"original mihirp11 scrape, 2025; script not preserved"
illinois.edu,,"original mihirp11 scrape, 2025; script not preserved"
iu.edu,clean_uncleaned.py,"iu (raw file from mihirp11, now removed; see git history)"
ivytech.edu,,"original mihirp11 scrape, 2025; script not preserved"
jhu.edu,,"original mihirp11 scrape, 2025; script not preserved"
jmu.edu,,"original mihirp11 scrape, 2025; script not preserved"
kennesaw.edu,,"original mihirp11 scrape, 2025; script not preserved"
kent.edu,,"original mihirp11 scrape, 2025; script not preserved"
ksu.edu,,"original mihirp11 scrape, 2025; script not preserved"
ku.edu,,"original mihirp11 scrape, 2025; script not preserved"
liberty.edu,courseleaf.py,https://catalog.liberty.edu/
lonestar.edu,,"original mihirp11 scrape, 2025; script not preserved"
louisville.edu,,"original mihirp11 scrape, 2025; script not preserved"
lsu.edu,,"original mihirp11 scrape, 2025; script not preserved"
luc.edu,,"original mihirp11 scrape, 2025; script not preserved"
maricopa.edu,coursedog.py,catalog.maricopa.edu
miami.edu,,"original mihirp11 scrape, 2025; script not preserved"
miamioh.edu,,"original mihirp11 scrape, 2025; script not preserved"
missouri.edu,,"original mihirp11 scrape, 2025; script not preserved"
missouristate.edu,,"original mihirp11 scrape, 2025; script not preserved"
mit.edu,courseleaf.py,https://catalog.mit.edu/
montclair.edu,courseleaf.py,http://catalog.montclair.edu/
msstate.edu,courseleaf.py,https://catalog.msstate.edu/
msu.edu,clean_uncleaned.py,"msu (raw file from mihirp11, now removed; see git history)"
mtsu.edu,acalog.py,https://catalog.mtsu.edu/
ncsu.edu,,"original mihirp11 scrape, 2025; script not preserved"
nd.edu,courseleaf.py,https://catalog.nd.edu/
northeastern.edu,,"original mihirp11 scrape, 2025; script not preserved"
northwestern.edu,clean_uncleaned.py,"northwestern (raw file from mihirp11, now removed; see git history)"
nvcc.edu,clean_uncleaned.py,"nvcc (raw file from mihirp11, now removed; see git history)"
nyu.edu,,"original mihirp11 scrape, 2025; script not preserved"
odu.edu,clean_uncleaned.py,"odu.edu (raw file from mihirp11, now removed; see git history)"
ohio.edu,acalog.py,https://catalogs.ohio.edu/
okstate.edu,,"original mihirp11 scrape, 2025; script not preserved"
olemiss.edu,,"original mihirp11 scrape, 2025; script not preserved"
oregonstate.edu,,"original mihirp11 scrape, 2025; script not preserved"
osu.edu,,"original mihirp11 scrape, 2025; script not preserved"
ou.edu,,"original mihirp11 scrape, 2025; script not preserved"
pdx.edu,clean_uncleaned.py,"pdx (raw file from mihirp11, now removed; see git history)"
pitt.edu,,"original mihirp11 scrape, 2025; script not preserved"
princeton.edu,princeton.py,1252 1254 1262 1264 1272
psu.edu,,"original mihirp11 scrape, 2025; script not preserved"
purdue.edu,acalog.py,https://catalog.purdue.edu/
rice.edu,courseleaf.py,https://ga.rice.edu/
rit.edu,clean_uncleaned.py,"rit (raw file from mihirp11, now removed; see git history)"
rowan.edu,clean_uncleaned.py,"rowan (raw file from mihirp11, now removed; see git history)"
rutgers.edu,,"original mihirp11 scrape, 2025; script not preserved"
sc.edu,,"original mihirp11 scrape, 2025; script not preserved"
sdsu.edu,,"original mihirp11 scrape, 2025; script not preserved"
sfsu.edu,,"original mihirp11 scrape, 2025; script not preserved"
shsu.edu,clean_uncleaned.py,"shsu.edu (raw file from mihirp11, now removed; see git history)"
sjsu.edu,,"original mihirp11 scrape, 2025; script not preserved"
snhu.edu,,"original mihirp11 scrape, 2025; script not preserved"
stanford.edu,coursedog.py,bulletin.stanford.edu
stonybrook.edu,,"original mihirp11 scrape, 2025; script not preserved"
syr.edu,,"original mihirp11 scrape, 2025; script not preserved"
tamu.edu,,"original mihirp11 scrape, 2025; script not preserved"
tccd.edu,coursedog.py,catalog.tccd.edu
temple.edu,,"original mihirp11 scrape, 2025; script not preserved"
towson.edu,clean_uncleaned.py,"towson.edu (raw file from mihirp11, now removed; see git history)"
ttu.edu,,"original mihirp11 scrape, 2025; script not preserved"
tulane.edu,courseleaf.py,https://catalog.tulane.edu/
txstate.edu,,"original mihirp11 scrape, 2025; script not preserved"
ua.edu,,"original mihirp11 scrape, 2025; script not preserved"
uab.edu,clean_uncleaned.py,"uab.edu (raw file from mihirp11, now removed; see git history)"
uark.edu,,"original mihirp11 scrape, 2025; script not preserved"
ucdavis.edu,,"original mihirp11 scrape, 2025; script not preserved"
ucf.edu,,"original mihirp11 scrape, 2025; script not preserved"
uchicago.edu,courseleaf.py,http://collegecatalog.uchicago.edu/
uci.edu,,"original mihirp11 scrape, 2025; script not preserved"
ucla.edu,,"original mihirp11 scrape, 2025; script not preserved"
uconn.edu,,"original mihirp11 scrape, 2025; script not preserved"
ucr.edu,banner.py,https://registrationssb.ucr.edu/StudentRegistrationSsb 202620 202640
ucsb.edu,,"original mihirp11 scrape, 2025; script not preserved"
ucsc.edu,,"original mihirp11 scrape, 2025; script not preserved"
ucsd.edu,,"original mihirp11 scrape, 2025; script not preserved"
udel.edu,,"original mihirp11 scrape, 2025; script not preserved"
ufl.edu,,"original mihirp11 scrape, 2025; script not preserved"
uga.edu,,"original mihirp11 scrape, 2025; script not preserved"
uh.edu,,"original mihirp11 scrape, 2025; script not preserved"
uic.edu,,"original mihirp11 scrape, 2025; script not preserved"
uiowa.edu,,"original mihirp11 scrape, 2025; script not preserved"
uky.edu,,"original mihirp11 scrape, 2025; script not preserved"
umass.edu,clean_uncleaned.py,"umass (raw file from mihirp11, now removed; see git history)"
umd.edu,,"original mihirp11 scrape, 2025; script not preserved"
