"course_code","course_title","department","credits","description"
"ACCT 201","PRINCIPLES OF FINANCIAL ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 202","PRINCIPLES OF MANAGERIAL ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 300","ACCOUNTING INFORMATION SYSTEMS","Accounting (ACCT)","3",""
"ACCT 301","INTERMEDIATE ACCOUNTING I","Accounting (ACCT)","3",""
"ACCT 302","INTERMEDIATE ACCOUNTING II","Accounting (ACCT)","3",""
"ACCT 303","INTERMEDIATE ACCOUNTING III","Accounting (ACCT)","3",""
"ACCT 341","MANAGEMENT ACCOUNTING I","Accounting (ACCT)","3",""
"ACCT 361","TAX ACCOUNTING I","Accounting (ACCT)","3",""
"ACCT 362","TAX ACCOUNTING II","Accounting (ACCT)","3",""
"ACCT 401","AUDITING I","Accounting (ACCT)","3",""
"ACCT 402","AUDITING II","Accounting (ACCT)","3",""
"ACCT 410","GOVERNMENTAL AND NOT-FOR PROFIT ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 412","INTERNATIONAL ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 421","ADVANCED ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 439","FINANCIAL STATEMENT ANALYTICS & VALUATION","Accounting (ACCT)","3",""
"ACCT 442","MANAGEMENT ACCOUNTING II","Accounting (ACCT)","3",""
"ACCT 450","FORENSIC ACCOUNTING AND FRAUD EXAMINATION","Accounting (ACCT)","3",""
"ACCT 470","SPECIAL TOPICS","Accounting (ACCT)","3",""
"ACCT 480","SUSTAINABILITY ACCOUNTING","Accounting (ACCT)","3",""
"ACCT 481","ACCOUNTING SYSTEMS & ANALYSIS","Accounting (ACCT)","3",""
"ACCT 495","INDEPENDENT RESEARCH IN ACCOUNTING","Accounting (ACCT)","1-3",""
"ACCT 497","ACCOUNTING INTERNSHIP","Accounting (ACCT)","1-3",""
"AFST 201","MAIN THEMES IN AFRICAN AND AFRICAN-AMERICAN STUDIES","African and African-American Studies (AFST)","3",""
"AFST 411","TOPICS IN AFRICAN AND AFRICAN AMERICAN STUDIES","African and African-American Studies (AFST)","3",""
"AHLT 200","CCBC-Essex Curriculum","Allied Health (AHLT)","2-36",""
"AHLT 310","MANAGEMENT FOR THE ALLIED HEALTH PROFESSIONAL","Allied Health (AHLT)","3",""
"AHLT 311","HUMAN RESOURCE MANAGEMENT FOR ALLIED HEALTH PROFESSIONALS","Allied Health (AHLT)","3",""
"AHLT 313","CLINICAL PROGRAM PLAN & EVALUATION","Allied Health (AHLT)","3",""
"AHLT 315","FINANCIAL MANAGEMENT FOR THE ALLIED HEALTH PROFESSIONAL","Allied Health (AHLT)","3",""
"AHLT 320","UNDERSTANDING EVIDENCE-BASED PRACTICE","Allied Health (AHLT)","3",""
"AHLT 405","SYSTEMIC DISEASE PROCESSES AND INTERVENTIONS IN RESPIRATORY CARE","Allied Health (AHLT)","3",""
"AHLT 407","NEONATAL AND PEDIATRIC RESPIRATORY","Allied Health (AHLT)","3",""
"AHLT 409","SLEEP DISORDERS AND REHAB SERVICES IN RESPIRATORY CARE","Allied Health (AHLT)","3",""
