"course_code","course_title","department","credits","campus","level","description"
"ACC 298","Financial Accounting","Accounting (ACC)","3 Credit Hours","Dearborn","Undergraduate","The first course, of a two-course sequence, to introduce accounting concepts, principles, financial statement preparation, and the uses of accounting information. Topics include fundamental concepts and procedures of financial accounting including income measurement, asset valuation, financial statement preparation and analysis, and uses of accounting information for decision making."
"ACC 299","Managerial Accounting","Accounting (ACC)","3 Credit Hours","Dearborn","Undergraduate","To introduce managerial accounting concepts and applications. Specific topics include: cost terminology, cost behavior, product costing systems, budgeting, standard costing systems and variance analysis, and cost allocation methods. To connect the materials in this course to concepts covered in the prerequisite course,ACC 299begins with financial statement analysis. Discussion of ethics and globalization issues will be interwoven into the presentation of course materials."
"ACC 355","Cost Accounting and Analysis","Accounting (ACC)","3 Credit Hours","Dearborn","Undergraduate","To study the development, analysis and interpretation of accounting information for planning and controlling costs and revenues. Topics include: cost concepts, cost behavior, product costing systems, cost allocation systems, budgeting, standard costs and variance analysis and performance evaluation techniques."
"ACC 356","Intermediate Financial Accounting 1","Accounting (ACC)","3 Credit Hours","Dearborn","Undergraduate","To study the accounting function in the business environment; review the operations and operating cycles in service, merchandising, and manufacturing industries; the conceptual accounting base of recording revenue and matching expenses at the traditional point of sale or delivery; the current state of the accounting profession; and an overview of financial accounting statements."
"ACC 357","Intermediate Financial Acct 2","Accounting (ACC)","3 Credit Hours","Dearborn","Undergraduate","To study financing and investing issues in today’s international business environment, including financing through various ownership and debt instruments, off-balance-sheet financing and leverage; investing in tangible and intangible operating assets; investing in financial instruments for return and risk management purposes; and investing in financial instruments to influence or control operations of other business units."
"ACC 358","Financial Reporting","Accounting (ACC)","3 Credit Hours","Dearborn","Undergraduate","This course provides an intermediate level analysis of financial accounting focusing on recognition, measurement, and reporting issues associated with assets, liabilities and owner equity in conjunction with related income determination questions. The course is designed for financial statement information users who need a level of sophistication beyond an introductory level, yet not the complete technical expertise of a financial accountant. (YR)."
"ACC 360","Federal Income Taxation","Accounting (ACC)","3 Credit Hours","Dearborn","Undergraduate","To acquaint the student with the federal income tax, tax research, tax planning, and application of tax laws to taxable entities. The course will introduce the student to a broad range of tax concepts within a framework of financial accounting principles. Emphasis will be placed on the taxation of business entities, individual taxpayers, and the differences between financial and tax accounting. The use of technology to research problem assignments will be used to develop students' business communication and problem solving skills."
"ACC 380","Accounting Information Systems","Accounting (ACC)","3 Credit Hours","Dearborn","Undergraduate","To study the concepts, theory, organization and application of accounting information systems and the flow of accounting data through transaction cycles.  Topics include: the principles of accounting systems design, internal control analysis and development and the overall evaluation of networked computer-based accounting systems.  Emphasis is placed on transaction processing systems, internal control systems, and computer-assisted decision making for unstructured problems by employing accounting databases."
"ACC 381","Accounting Info Sys Lab","Accounting (ACC)","1 Credit Hour","Dearborn","Undergraduate","ACC 381is a lab component ofACC 380. Students will complete weekly laboratory assignments to reinforce the concepts ofACC 380to use information technology to solve business problems. In addition, the use of several common applications (e.g., Word, Excel, Access, and PowerPoint) will also be covered at the beginning to advanced levels."
"ACC 416","Intermediate Financial Accounting III","Accounting (ACC)","3 Credit Hours","Dearborn","Undergraduate","To study financial accounting issues surrounding revenue recognition, contingent liabilities, complex earnings per share, derivative instruments, leases, and deferred taxes; as well as a comprehensive review of income statement, balance sheet, and statement of cash flows, the related disclosures, and their information content."
"ACC 417","Advanced Issues in Accounting","Accounting (ACC)","3 Credit Hours","Dearborn","Undergraduate","This course is intended to help students gain expertise in preparing financial statements for complex business organizations. Specific topics include: the preparation of segmental and consolidated financial statements; intricate accounting issues associated with business combinations including but not limited to combinations at the date of acquisition and periods post acquisition; analysis of inter-company transactions such as inventory and asset transfers between parent and subsidiary; reporting for segments of a business as well as interim reporting; foreign exchange issues including inter-period reporting and financial statement translation; international reporting issues associated with all of the above, as well as, other topics. (YR)"
