"course_code","course_title","department","credits","description"
"Acc 512","Theory of Financial Accounting I","Accounting Courses","3","General theory and concepts of financial accounting and the generally accepted principles as applied to assets and related income items. Exposure to related official financial accounting pronouncements. Prerequisite: 3 credits of Financial Accounting."
"Acc 513","Theory of Financial Accounting II","Accounting Courses","3","General theory and concepts of financial accounting and the generally accepted principles as applied to liabilities and related income items. Emphasizes official financial accounting pronouncements. Prerequisite: Students taking this course should have prior knowledge of Financial Accounting I."
"Acc 514","Theory of Financial Accounting III","Accounting Courses","3","General theory and concepts of financial accounting and the generally accepted principles as applied to entities and in respect to financial reporting disclosures. Emphasizes official accounting pronouncements. Prerequisite: Students taking this course should have prior knowledge of Financial Accounting II."
"Acc 518","Accounting for Managers","Accounting Courses","3","At its most fundamental level, accounting is a process of data collection, data storage, and data mining in order to provide the necessary information to various decision-makers both internal and external to the organization. External users will receive this information in the form of financial statements and use it to make investment decisions. Internal users will utilize this information to efficiently utilize the resources entrusted to them to achieve the goals of the organization. Course focuses on complex analytical techniques to extract data and convert them into useful information for financial and managerial reporting purposes. Course also utilizes sophisticated data visualization tools, such as Tableau, to present this information to various users. For MBA students only."
"Acc 519","Data Analytics for Audit and Control","Accounting Courses","3","This course is designed to familiarize students with the concept of audit analytics, the basic audit analytical tools, the trending topics in this field, and the application of different analytical methods in the internal and external audit process. The goal of this course is to enable students to understand and use some of the emerging and important technologies currently used in the audit environment. The emerging technologies explored will include, but are not limited to, Big Data, data analytics, and visualization. There will be a significant hands-on component to familiarize the students with such topics. Prerequisite(s): Students taking this course should have prior knowledge of Financial Accounting I and Accounting Information Systems. Students who have received credit for BACC419 cannot receive credit for this course."
"Acc 522","Data Analytics for Forensic Accounting & Information Assurance","Accounting Courses","3","In this course, we will study accounting data analysis, financial trend analysis, and transaction pattern anomaly detection. The emphasis in the course will be on the use of statistics and application tools for analysis and visualization of organizational financial information which is special interest to auditors, accounting forensic examiners, and internal controls auditors. The course consists of lectures, solution of problems, and discussion of up-to-date issues. Applied statistics is a practical field backed by robust theory. A good understanding of the theory and its use in practice is essential to excel in the field. This is a hands-on course, and you are required to demonstrate competence in the topics covered. Prerequisites: Students taking this course should have prior knowledge of Elementary Statistics."
"Acc 531","Introduction to Cost Analysis","Accounting Courses","3","Analysis of cost behavior, cost-profit volume analysis, budgeting, standard cost, cost control, and process cost accounting. Not open to students with credit in Acc 331 or equivalent. Prerequisite: Students taking this course should have prior knowledge of Financial Accounting I."
"Acc 536"," Technology in Financial Market Regulation","Accounting Courses","3","The development, operation, and regulation of technological systems shape modern financial markets.  These systems are developed and overseen by market centers, clearing organizations, and other market infrastructure organizations, as well as sell-side financial firms, institutional investors and other buy-side participants, corporations, technology providers, and public and private regulators.  Market controls, technological development, and regulation shape this system individually and interactively.  This course examines the central features of technology in financial markets and how market and regulatory controls and social and behavioral conditions produce and interact with them. Recommended Prerequisites: Prior coursework in study of regulation and/or finance. Students who have received credit from BFIN439 cannot receive credit for this course."
"Acc 540","Survey of Taxation","Accounting Courses","3","This course is a comprehensive introduction to the federal income tax system. It provides a conceptual approach to many tax topics and emphasizes the role that income taxes play in the business decision-making process. The course explores the federal tax law as it relates to individuals and businesses and covers the basic gross income rules, the basic deduction rules, and certain property transaction rules. Prerequisites: Students taking this course should have prior knowledge of Financial Accounting. Students who have received credit for BACC440 cannot receive credit for this course."
"Acc 551","Fraud Examination","Accounting Courses","3","This course will cover the principles and methodology of fraud detection and deterrence.  This includes such topics as skimming, cash larceny, billing schemes, check tampering, payroll and expense reimbursement schemes, register disbursement schemes, non-cash asset misappropriations, corruption, accounting principles and fraud, fraudulent financial statements, and interviewing witnesses.  Prerequisite:  Students taking this course should have prior knowledge of Auditing."
