"course_code","course_title","department","credits","description"
"B ACC 211","Financial Accounting","Courses in Accounting","3","A thorough introduction to the basic financial statements including the balance sheet, income statement, and statement of cash flows, with a focus on accounting information that is available to individuals outside an organization. The course provides an introduction to the concepts, terminology and principles of financial accounting. Students learn about accounting as an information development and communication function that supports economic decision-making. The course enables students to analyze financial statements; derive information for personal and organizational decisions from financial statements; and better understand business entities. Only one version of B ACC 211 may be taken for credit. Not open to freshmen. Intended accounting and business majors should enroll in B ACC 211 in the first semester of their sophomore year."
"T ACC 211","Advanced Introduction to Financial Accounting","Courses in Accounting","3","A thorough introduction to the basic financial statements including the balance sheet, income statement, and statement of cash flows, with a focus on accounting information that is available to individuals outside an organization. The course provides an introduction to the concepts, terminology and principles of financial accounting. Students learn about accounting as an information development and communication function that supports economic decision-making. The course enables students to analyze financial statements; derive information for personal and organizational decisions from financial statements; and better understand business entities. T ACC 211 is the Honors College version of B ACC 211; only one version may be taken for credit. Prerequisite(s): open to Honors College students only."
"B ACC 222","Cost Accounting Systems for Managerial Decisions","Courses in Accounting","3","This course will provide an introduction to management accounting. Emphasis will be on how managers use externally reported and internal financial information in the decision making process. Topics include product costing, activity based costing, variable costing, job order costing, budgeting, cost-volume-profit relationships, and performance measurements and evaluation. Prerequisite(s): B ACC 211."
"T ACC 222","Advanced Cost Accounting Systems for Managerial Decisions","Courses in Accounting","3","This course will provide an introduction to management accounting. Emphasis will be on how managers use externally reported and internal financial information in the decision making process. Topics include product costing, activity based costing, variable costing, job order costing, budgeting, cost-volume-profit relationships, and performance measurements and evaluation. T ACC 222 is the Honors College version of B ACC 222; only one version may be taken for credit. Prerequisite(s): B ACC 211 or T ACC 211."
"T ACC 251","Fraud Examination","Courses in Accounting","3","This course will cover fraud schemes as well as the principles and methodology of fraud detection and deterrence. This includes such topics as the fraud environment, cash and non-cash asset misappropriations, corruption, accounting principles and fraud, fraudulent financial statements, the anatomy of a fraud investigation, interviewing witnesses, documentation of the fraud examination and global/cultural factors. Emphasis will be placed on the process of conducting a fraud examination in accordance with procedures that ensure proper evidence gathering and preservation and the process of communicating the results of an investigation in appropriate forensic report form. Prerequisite(s): open to Honors College students only. May not be offered 2024-2025."
"B ACC 301","Financial Accounting Analytics Lab I","Courses in Accounting","1","This course utilizes technologies such as Excel to complement the material covered in B ACC 311. The course provides students with a more thorough understanding of financial accounting theory by engaging students to apply the underlying concepts learned in class to data and exercises. Students will work with larger data sets, accounting subledgers, and more complex calculations that are aimed to support students' learning of how the accounting information exists in a more real-world setting. The logic underlying the analytic techniques encompass transferrable skills that can be utilized across a variety of software platforms. Prerequisite(s): declared School of Business majors. B ACC 211 or equivalent, including prior exposure to journal entries and principles of financial statement preparation is required. Corequisite(s): B ACC 311."
"B ACC 302","Financial Accounting Analytics Lab II","Courses in Accounting","1","The purpose of financial accounting is to provide information to owners of the firm and other stakeholders to serve as the basis for making decisions about that firm. To that end, financial accounting involves identifying information to be reported, measuring that information, and aggregating that information to be communicated to potential users. This course introduces students to analyzing financial accounting data with visualizations generated through user-friendly tools such as Power BI, which partners well with MS Excel. Prerequisites: B ACC 301."
"B ACC 311","Financial Accounting Theory I","Courses in Accounting","3","The first of a two-course sequence in intermediate-level financial accounting, which provides in-depth understanding of US Generally Accepted Accounting Principles. Topical coverage includes an introduction to basic accounting theory, study of the accounting cycle, conceptual framework of accounting, valuation of balance sheet accounts, recognition of revenue and matching expenses, and the reporting of the financial condition, operating results, and cash flows of an entity. This course builds on the framework provided by introductory courses in financial accounting and enables students to develop the ability to prepare, analyze and interpret corporate financial statements. Students must earn a grade of C or higher to enroll in B ACC 312. Prerequisite(s): declared School of Business majors. B ACC 211 or T ACC 211. Prerequisite(s) or corequisite(s): B ACC 222 or T ACC 222."
"B ACC 312","Financial Accounting Theory II","Courses in Accounting","3","Continues the in-depth examination (begun in B ACC 311) of the US Generally Accepted Accounting Principles guiding the preparation of corporate financial statements. The topics addressed include special topics in accounting for Stockholder's Equity, the calculation and disclosure of earnings per share, investments, revenue recognition issues, accounting for income taxes, pensions, leases, and the accounting for and disclosure of accounting changes. Prerequisite(s): declared School of Business majors. Students must earn a grade of C or higher in B ACC 311 to enroll in B ACC 312."
"B ACC 313","Financial Statement Analysis","Courses in Accounting","3","Intensive course in the analysis of financial statements. Topics include, but are not limited to, revenue and expense recognition, the validity of various measures of profit, footnote disclosures, pro forma financial statements, and valuation of balance sheet components. A study of ratio analysis considers the impact of different accounting conventions. Emphasis is on the relevance of financial statements for key stakeholders.  Prerequisite(s): declared School of Business majors. B ACC 211 and B ACC 222 and open only to students whose concentration is Financial Analysis. Not open to students with credit in B ACC 311 and/or B ACC 312."
