"subject","course_code","course_name","description","credits"
"Accounting","ACC 5000","Accounting Research and Data Presentation","When Offered: On Demand  Study of methods used in research and data presentation in accounting; practice in using those methods.","3"
"Accounting","ACC 5050","Intermediate Accounting III","When Offered: Fall, Spring  Integration of the conceptual and computational aspects of income determination, financial statement analysis and preparation, special topics, and current pronouncements in financial accounting.  Prerequisites: ACC 3110 - Intermediate Accounting II with a minimum grade of “C-” (1.7).  [Dual-listed with ACC 4550.]","3) [DL]"
"Accounting","ACC 5080","Taxation of Business Entities","When Offered: Fall, Spring  Examination of the tax system faced by businesses operating in the United States. Business entities covered include C Corporations, S Corporations and partnerships. Topics include business formations, transactions between the entity and the owners, distributions, liquidations and reorganizations. Projects facilitate knowledge development of a variety of professional skills.  Prerequisite: ACC 3580 (Individual Income Taxation) or equivalent with a minimum grade of “C-“.  [Dual-listed with ACC 4580.]","3) [DL]"
"Accounting","ACC 5180","Advanced Issues in Corporate Taxation","When Offered: On Demand  An advanced study of the taxation of corporations and shareholders at the federal level, with emphasis on Subchapter C, and tax planning.  Prerequisite: ACC 3580 (Individual Income Taxation).","3"
"Accounting","ACC 5210","Advanced Management Accounting in a Global Context","When Offered: On Demand  Advanced topics in management accounting, costing and Financial Planning & Analysis in the global environment. Includes management of manufacturing, inventory, quality and performance costs. Discussion of qualitative issues and analysis, ESG and integrated reporting; regulation and ethical issues across the global environment; emerging trends and technologies; and the profession and its changing role in a rapidly-changing, global context.  Prerequisites: ACC 3200 (Cost Accounting) or equivalent with a minimum grade of “C-” (1.7).  [Dual-listed with ACC 4710]","3) [DL]"
"Accounting","ACC 5230","International Accounting","When Offered: On Demand  This course is designed to provide students with a background in international accounting. Emphasis will be placed upon the fact that accounting is not just a doctrine that has been handed down from generation to generation, but is actually the product of the environment in which it is used.","3"
"Accounting","ACC 5240","Sustainability Accounting and Reporting","When Offered: On Demand  This course focuses on the critical role of accounting in helping managers address sustainability issues and measure sustainability performance. Because traditional models in accounting and financial reporting may be difficult to apply when measuring sustainability performance, frameworks such as the Triple Bottom Line concept or the Balanced Scorecard have been developed to accommodate the measurement of a firm’s performance on 3 levels: economic prosperity, environmental impact, and social justice. This course focuses on the challenges faced by managers and accountants in using traditional accounting techniques to measure and report on sustainable activities, and offers guidance on how to overcome these challenges in order to meet the needs of interested stakeholders. The course will examine the current state of sustainability measurement, disclosure, and assurance practices, as well as associated ethical issues, regulatory developments, and reporting standards.  Prerequisite: Permission of the instructor.","3"
"Accounting","ACC 5250","Fundamentals of Business Analytics","When Offered: On Demand  In this course, students will gain the analytics skills that are required to succeed in today’s highly analytical and data- driven economy. The course introduces the basics of data analytics. This includes, identifying the business problem, obtaining data, analyzing data, and reporting the results. This course includes lab work and a real data project to enhance competency of using analytics in real-world scenarios, and to engage in hands-on experience with statistics software to demonstrate capability of the concepts of data analysis.  Prerequisite: Admission to the MS in Accounting, MBA Program, MS in Applied Data Analytics, Business Analytics Certificate Program or permission of the program director.  (Same as MBA 5230  )","3) [CL]"
"Accounting","ACC 5260","Advanced Excel and Enterprise Resource Planning Software Analytics for Business","When Offered: On Demand  An in-depth study of leveraging Enterprise Resource Planning Software (ERP) Business Analytics and key Excel spreadsheet functions that are regularly used in business for data analysis. Development of skills in utilizing ERP analytics module, extracting, loading, and transforming data from an ERP for external analysis, advanced Excel functions, pivot tables, linking to external data, statistics, and visualization.  Prerequisite: Admission to the MS in Accounting Program or permission of the program director.","3"
"Accounting","ACC 5270","Current Issues in Technology and AIS: Innovative AI Solutions for Business and Accounting Professionals","When Offered: On Demand  Explore cutting-edge developments in business technology and accounting information systems, focusing on artificial intelligence and advanced data analytics. Gain hands-on experience with data management, AI-assisted coding, cloud-based machine learning, and business process automation. Equip yourself to lead and innovate using AI technologies.  Prerequisite: Admission to the MBA Program, MS in Applied Data Analytics, MS in Accounting Program, Business Analytics Certificate Program or permission of the program director.  [Cross-listed with MBA 5270  ]","3) [CL]"
"Accounting","ACC 5280","Partnerships and S Corporations","When Offered: Spring  A study of the tax implications of forming and operating conduit type businesses, with emphasis on planning for tax minimization.  Prerequisite or Corequisite: ACC 5080  /ACC 4580 (Taxation of Business Entities) or ACC 5180  , or equivalent, or permission of the instructor.","3"
"Accounting","ACC 5310","Advanced Auditing Topics","When Offered: Fall, Spring  A study of advanced concepts and techniques applied to external financial auditing and other assurance services. Topics may include professional skepticism, auditor judgment and decision making, auditor negotiation, risk assessment, and the current regulatory environment.  Prerequisite: ACC 4560 (Introduction to Auditing) or equivalent.","3"
"Accounting","ACC 5340","Accounting in the Business Environment","When Offered: On Demand  Current behavioral accounting issues are examined, with an emphasis on ethics. Focus is on the roles of accountants in society. Topics are explored in a seminar environment.  Prerequisite: Permission of the instructor.","3"
"Accounting","ACC 5350","Accounting Capstone Seminar","When Offered: On Demand  This course focuses on integrating classroom knowledge to solve accounting-based problems in a capstone experience. Students will complete case studies involving complex decisions, including ethical dilemmas, which require analysis, synthesis, prescription and application of accounting concepts. Domestic and global issues will be explored in a seminar environment with a strong emphasis on research, writing and oral communication.  Prerequisite: Permission of the instructor.","3"
"Accounting","ACC 5370","Analysis and Design of Accounting Systems","When Offered: On Demand  Focus is on the planning, analysis, and design of information systems. Topics include SDLC methodologies; feasibility analysis; project management; information-gathering techniques; use- case, structural, and behavioral modeling; computing architectures; security; user interface design; data storage techniques; and object approaches.","3"
"Accounting","ACC 5380","Multijurisdictional Taxation","When Offered: On Demand  A study of state and local tax laws including income, franchise, property, sales and use and excise taxes. The state and local taxation of individual and business entities is covered and planning opportunities are discussed. Additionally, the course examines the U.S. laws of international taxation as well as tax issues affecting U.S. multinational companies.  Prerequisite: ACC 3580 (Individual Income Taxation) or equivalent.","3"
"Accounting","ACC 5390","Contemporary Issues in Accounting","When Offered: Fall  A seminar approach to exploring contemporary issues facing the accounting profession. Selected topics may include issues related to the current financial reporting environment, regulatory actions impacting the accounting profession, corporate governance, social responsibility, global events, ethical issues and other relevant topics as identified. Students will develop competency in the professional accounting research process, an understanding of applying ethical decision-making frameworks, and improved performance in ethical thinking skills.  Prerequisite: Permission of the instructor.","3"
"Accounting","ACC 5500","Independent Study","When Offered: Fall, Spring","1-4"
"Accounting","ACC 5530","5549 - Selected Topics","When Offered: On Demand","1-4"
"Accounting","ACC 5550","Advanced Governmental and Nonprofit Accounting and Reporting","When Offered: On Demand  Advanced topics in the theory and practice of accounting and financial reporting for state and local governments, colleges and universities, hospitals, and nonprofit organizations. Auditing practices for all these organizations.  Prerequisite: Permission of the instructor.","3"
"Accounting","ACC 5570","Accounting Systems","When Offered: On Demand  A study of emerging issues in accounting information systems. Students will develop competence in understanding and interacting with various systems.  Prerequisite: Permission of the instructor.","3"
