"subject","course_code","course_name","description","credits"
"Accounting","ACC 1050","Survey of Accounting","When Offered: Fall; Spring  An overview of financial and managerial accounting. The course focuses on the analysis of financial data with an emphasis on accounting issues faced by small businesses such as business planning, budgeting, and performance evaluation. This is the ideal course for the business minor and for non-business majors interested in understanding the role of accounting in the business world.  NOTE: NOT AVAILABLE TO BUSINESS MAJORS","3"
"Accounting","ACC 1530","1549 - Selected Topics","When Offered: On Demand","1-4"
"Accounting","ACC 2100","Principles of Accounting I","When Offered: Fall; Spring  The initial course in the theory and practice of financial accounting. Topics emphasized include the preparation, reporting, and analysis of financial data.  Prerequisite: Students must have successfully completed 24 semester hours of college credit. Demonstrated Readiness for College-level Math.","3"
"Accounting","ACC 2110","Principles of Accounting II","When Offered: Fall; Spring  A course dealing with the concepts and development of accounting data for decision making. Topics emphasized include manufacturing cost systems, cost-volume-profit analysis, and budgeting concepts.  Prerequisite: ACC 2100  with a minimum grade of “C-” (1.7). Demonstrated Readiness for College-level Math.","3"
"Accounting","ACC 2500","Independent Study","When Offered: Fall; Spring","1-4"
"Accounting","ACC 2530","2549 - Selected Topics","When Offered: On Demand","1-4"
"Accounting","ACC 3000","Accounting Major and Career Readiness","When Offered: Fall  An introduction to the accounting major and the various careers in the accounting field. This course provides students with a broad overview of the various resources available within the accounting department to help students succeed in the major and the variety of career paths available to students with an accounting major. Topics discussed will include department specific programs for majors, professional certifications and organizations in the accounting field, careers in public accounting, careers in managerial accounting, careers in non-profit and governmental accounting, and accounting specific career readiness tips.  Prerequisites: Students must have successfully completed 45 hours of college credit, be an intended or declared Accounting major, and have a minimum grade of C- (1.7) in ACC 2100  .","1"
"Accounting","ACC 3100","Intermediate Accounting I","When Offered: Fall; Spring  The financial accounting environment and development of accounting theory. Integration of the conceptual and computational aspects of income measurement, valuation, and reporting problems associated with the accounting cycle, statement preparation and asset accounting.  Prerequisites: 54 earned hours and a minimum grade of “C-” (1.7) in ACC 2110  . Demonstrated Readiness for College-level Math.","3"
"Accounting","ACC 3110","Intermediate Accounting II","When Offered: Fall; Spring  A continuation of ACC 3100  . Integration of the conceptual and computational aspects of asset, liability and stockholders’ equity accounting.  Prerequisites: 54 earned hours and a minimum grade of “C-” (1.7) in ACC 3100  . Demonstrated Readiness for College-level Math.","3"
"Accounting","ACC 3150","Financial Statement Preparation and Analysis","When Offered: On Demand  A study of the concepts and current methods used to prepare financial statements. Important off-balance sheet items are examined. This course also examines several methods of analysis of financial statements. Computer applications are covered.  NOTE: NOT AVAILABLE TO ACCOUNTING MAJORSPrerequisites: 54 earned hours andDemonstrated Readiness for College-level Math.","3"
"Accounting","ACC 3160","Introduction to Individual Taxation","When Offered: On Demand  Preparation of state and federal income tax returns. Topics emphasized include gross income, adjusted gross income, deductions and exemptions, capital gains and losses, computation of tax liability, audit of tax returns, tax questions, the IRS and the courts.  NOTE: NOT AVAILABLE TO ACCOUNTING MAJORSPrerequisite: 54 earned hours","1"
"Accounting","ACC 3200","Cost Accounting","When Offered: Fall; Spring  Introduction to cost accounting, definitions and objectives. Topics emphasized include cost-volume-profit relationships, job-order accounting, budgeting, systems design and human motivation, flexible budgets, standard costs, contribution approach to decisions, cost allocation, joint product and by-product costing, process costing.  Prerequisites: 54 earned hours and ACC 2110  with a minimum grade of “C-” (1.7). Demonstrated Readiness for College-level Math.","3"
"Accounting","ACC 3500","Independent Study","When Offered: Fall; Spring  Prerequisite: 54 earned hours","1-4"
"Accounting","ACC 3510","Junior Honors Thesis","When Offered: On Demand  Independent study and research project directed by a departmental faculty advisor on a topic of mutual interest to both student and advisor. The thesis should be completed during the student’s junior and senior years and includes a formal presentation to the college faculty. May be repeated for a total credit of three credit hours.  Prerequisite: 54 earned hours","1-3"
"Accounting","ACC 3520","Instructional Assistance","When Offered: Fall; Spring  A supervised experience in the instructional process on the university level through direct participation in a classroom situation. May be repeated for a total credit of three credit hours. Graded on an S/U basis.  Prerequisite: 54 earned hours","1"
"Accounting","ACC 3530","3549 - Selected Topics","When Offered: On Demand  Prerequisites: 54 earned hours","1-4"
"Accounting","ACC 3555","Accounting Analytics","When Offered: Fall; Spring  This class is an introduction to the analytics tools and methods most often used by professional accountants. The topics covered include the Excel functions and features, visualization tools, and analytics applications most often used by accountants, the accounting analytics process, interpreting and reporting analytics results, and hands-on application of accounting analytics procedures with audit, financial statement, managerial, and tax analytics projects.  Prerequisites: 54 earned hours and a minimum grade of “C-” (1.7) in ACC 2110  .","3"
"Accounting","ACC 3560","Governmental and Nonprofit Accounting and Reporting","When Offered: Fall; Spring  This course focuses on the application of accounting principles and procedures specific to state and local governments and nonprofit organizations. It provides comprehensive coverage of accounting and financial reporting for various public sector entities, including state and local governments, colleges and universities, and healthcare organizations. The course also addresses private sector accounting and reporting topics unique to nonprofit charitable organizations, colleges and universities, and healthcare organizations. Additionally, it explores auditing practices for all of these organizations.  Prerequisites: 54 earned hours and ACC 3100  with a minimum grade of “C-” (1.7). Demonstrated Readiness for College-level Math.","3"
"Accounting","ACC 3570","Accounting Systems and Internal Control","When Offered: Fall; Spring  An in-depth treatment of internal control and related accounting procedures; authorization and documentation; flowcharting, data flow diagrams, and scheduling. Design of information systems that process financial transactions for financial and management accounting, and to meet legal requirements for adequacy of accounting records and internal controls. Development of skills and expertise required for the study of contemporary accounting systems and internal auditing. Knowledge of a computer programming language is desirable but not essential.  Prerequisites: 54 earned hours and ACC 3100  with a minimum grade of “C-” (1.7).","3"
"Accounting","ACC 3580","Individual Income Taxation","When Offered: Fall; Spring  Concepts and methods of determining federal income tax liability for individuals. Topics emphasized include personal deductions, tax credits, capital gain and loss provisions and accounting methods. Emphasis is also placed on research methodology and individual tax planning.  Prerequisites: 54 earned hours and ACC 2110  with a minimum grade of “C-” (1.7). Demonstrated Readiness for College-level Math.","3"
"Accounting","ACC 3585","Issues in International Taxation","When Offered: On Demand  A study of selected issues in international taxation, with a focus on U.S. taxation applied to economic activity with an international element. As the course satisfies the College of Business’ global requirement, several non-tax topics dealing with foreign countries and their residents are covered. Topics discussed will include US income taxation of foreign transactions, tax treatises, residency status, foreign tax credit, visas, sourcing of income, US taxation of nonresident aliens and foreign corporations, comparison of US international tax law with the tax system of other countries, multi-jurisdictional concepts.  Prerequisites: 54 earned hours and a minimum grade of C- (1.7) in ACC 3580  .","3"
"Accounting","ACC 3590","Assessing Sustainability in a Global Business Environment","When Offered: On Demand  This course explores the process of measuring and reporting on the performance of business operations from three different sustainability perspectives: economic prosperity, environmental quality, and social justice. These three perspectives make up the conceptual “triple bottom line”, a generally accepted term for assessing sustainability performance, which indicates the ability of a company to be viable using available financial, natural, and social resources. A primary objective in this course is to develop an understanding of the concept of sustainability as it applies to businesses, and how global differences in economic conditions, cultures, codes of ethical conduct, environmental conditions, natural resources, human resource management, social issues, and other factors can impact sustainability performance assessment. This course will also incorporate an international perspective and will meet the “Global Issues” requirement for the Bachelor of Science in Business Administration degree.  Prerequisite: 54 earned hours","3"
"Accounting","ACC 3900","Internship","When Offered: Fall; Spring; Summer Session  A work situation for accounting majors providing in-depth exposure in accounting practices. Nine semester credit hours granted for a total 600 hour internship, six credit hours granted for a total 400 hour internship or three credit hours granted for a total 200 hour internship.  The student must report on her/his experiences and will participate in individual conferences and/or seminars related to the experience.   Graded on an S/U basis.Prerequisite: 54 earned hours, admission to the Walker College of Business and permission of the departmental internship coordinator.","3, 6 or 9"
"Accounting","ACC 4500","Independent Study","When Offered: Fall; Spring  Prerequisites: 84 earned hours and a minimum grade of “C” (2.0) in any Writing in the Discipline (WID) course.","1-4"
"Accounting","ACC 4510","Senior Honors Thesis","When Offered: On Demand  Independent study and research project directed by a departmental faculty advisor on a topic of mutual interest to both student and advisor. The thesis should be completed during the student’s junior and senior years and includes a formal presentation to the college faculty. May be repeated for a total credit of three credit hours.  Prerequisites: 84 earned hours and a minimum grade of “C” (2.0) in any Writing in the Discipline (WID) course.","1-3"
"Accounting","ACC 4530","4549 - Selected Topics","When Offered: On Demand  Prerequisites: 84 earned hours and a minimum grade of “C” (2.0) in any Writing in the Discipline (WID) course.","1-4"
"Accounting","ACC 4550","Intermediate Accounting III","When Offered: Fall; Spring  Integration of the conceptual and computational aspects of income determination, financial statement analysis and preparation, special topics, and current pronouncements in financial accounting.  Prerequisites: Any Writing in the Discipline (WID) course with a minimum grade of “C” (2.0); ACC 3110  with a minimum grade of “C-” (1.7); senior standing; Demonstrated Readiness for College-level Math.    [Dual-listed with ACC 5050.] Dual-listed courses require senior standing; juniors may enroll with permission of the department.","3"
"Accounting","ACC 4560","Introduction to Auditing","When Offered: Fall; Spring  Topics include selected auditing standards, processes for conducting an audit, types of services, analysis of reports, ethics, internal control considerations, and data analytics used in the auditing profession.  Prerequisites: 84 earned hours, a minimum grade of “C” (2.0) in any Writing in the Discipline (WID) course, and ACC 3100  with a minimum grade of “C-” (1.7).","3"
