subject,code,title,hours
ACC - Accounting,ACC 2301,Survey of Accounting,(3)
ACC - Accounting,ACC 2301,Survey of Accounting,(3)
ACC - Accounting,ACC 2301,Survey of Accounting,(3)
ACC - Accounting,ACC 2303,Financial Accounting,(3)
ACC - Accounting,ACC 2304,Managerial Accounting,(3)
ACC - Accounting,ACC 2313,Accounting Principles for BASE Program,(3)
ACC - Accounting,ACC 3101,Accounting Career Management Seminar,(1)
ACC - Accounting,ACC 3301,Financial Accounting and Reporting I,(3)
ACC - Accounting,ACC 3302,Financial Accounting and Reporting II,(3)
ACC - Accounting,ACC 3303,Accounting Information Systems,(3)
ACC - Accounting,ACC 3305,Intermediate Accounting I,(3)
ACC - Accounting,ACC 3306,Intermediate Accounting II,(3)
ACC - Accounting,ACC 3310,Accounting Research and Communication,(3)
ACC - Accounting,ACC 4308,Advanced Managerial Accounting,(3)
ACC - Accounting,ACC 4310,Energy Accounting and Law,(3)
ACC - Accounting,ACC 4320,Not-for-Profit and Governmental Accounting,(3)
ACC - Accounting,ACC 4330,"Auditing, Attestation and Assurance Services",(3)
ACC - Accounting,ACC 4340,Advanced Accounting,(3)
ACC - Accounting,ACC 4350,Business and Professional Ethics for Accountants,(3)
ACC - Accounting,ACC 4377,Personal and Business Tax Planning,(3)
ACC - Accounting,ACC 4378,International Accounting,(3)
ACC - Accounting,ACC 4396,Internship in Accounting,(3)
ACC - Accounting,ACC 4V98,Special Studies in Accounting,(1-6)
ACC - Accounting,ACC 4V9R,Undergraduate Research in Accounting and Business Law,(3)
ACC - Accounting,ACC 5121,Accounting Planning,(1)
ACC - Accounting,ACC 5122,Accounting Implementation,(1)
ACC - Accounting,ACC 5123,Accounting in a Changing Environment,(1)
ACC - Accounting,ACC 5300,Accounting Tools for Management Decision Making,(3)
ACC - Accounting,ACC 5301,Business Foundations - Accounting,(3)
ACC - Accounting,ACC 5305,Fundamentals of Financial Reporting and Analysis,(3)
ACC - Accounting,ACC 5308,Management Accounting Seminar,(3)
ACC - Accounting,ACC 5311,Energy Accounting and Law,(3)
ACC - Accounting,ACC 5312,Data and Analytics in Accounting,(3)
ACC - Accounting,ACC 5317,Information Systems Auditing,(3)
ACC - Accounting,ACC 5320,Managerial Accounting,(3)
ACC - Accounting,ACC 5325,Governmental and Nonprofit Accounting,(3)
ACC - Accounting,ACC 5327,Impacting the Community Through the Profession,(3)
ACC - Accounting,ACC 5330,Seminar in Auditing and Assurance Services,(3)
ACC - Accounting,ACC 5331,Fraud Examination,(3)
ACC - Accounting,ACC 5335,Business and Professional Ethics for Accountants,(3)
ACC - Accounting,ACC 5340,Tax Considerations in Business Decisions,(3)
ACC - Accounting,ACC 5350,Advanced Accounting Analytics,(3)
ACC - Accounting,ACC 5352,Decision Making in Accounting Using Excel,(3)
ACC - Accounting,ACC 5355,Cases in Accounting,(3)
ACC - Accounting,ACC 5361,Corporate Taxation,(3)
ACC - Accounting,ACC 5362,Partnership and S Corporation Taxation,(3)
ACC - Accounting,ACC 5365,Advanced Individual Taxation,(3)
ACC - Accounting,ACC 5378,Seminar in International Accounting,(3)
ACC - Accounting,ACC 5380,Advanced Financial Accounting Topics,(3)
ACC - Accounting,ACC 5385,Financial Statement Analysis,(3)
ACC - Accounting,ACC 5390,Accounting Research and Pedagogy,(3)
ACC - Accounting,ACC 5395,Internship in Accounting,(3)
ADM - Apparel Des & Merchandising,ADM 1300,Fashion Theory and Consumption Behavior,(3)
ADM - Apparel Des & Merchandising,ADM 1300,Fashion Theory and Consumption Behavior,(3)
ADM - Apparel Des & Merchandising,ADM 1300,Fashion Theory and Consumption Behavior,(3)
ADM - Apparel Des & Merchandising,ADM 1311,Apparel Design Construction,(3)
ADM - Apparel Des & Merchandising,ADM 1321,Apparel Design & Development,(3)
ADM - Apparel Des & Merchandising,ADM 1341,Apparel Aesthetics,(3)
ADM - Apparel Des & Merchandising,ADM 1391,Introduction to the Apparel Industry,(3)
ADM - Apparel Des & Merchandising,ADM 1V9R,Research,(3)
ADM - Apparel Des & Merchandising,ADM 2310,Textile Science,(3)
ADM - Apparel Des & Merchandising,ADM 2311,Fashion Illustration,(3)
ADM - Apparel Des & Merchandising,ADM 2311,Fashion Illustration,(3)
ADM - Apparel Des & Merchandising,ADM 2373,Intermediate Apparel Studio,(3)
ADM - Apparel Des & Merchandising,ADM 2V9R,Research,(3)
ADM - Apparel Des & Merchandising,ADM 3301,Contemporary Tailoring and Design,(3)
ADM - Apparel Des & Merchandising,ADM 3340,Digital Retailing Strategies,(3)
ADM - Apparel Des & Merchandising,ADM 3361,Apparel Merchandising Technology,(3)
ADM - Apparel Des & Merchandising,ADM 3363,Product Development & Pattern Design Technology,(3)
ADM - Apparel Des & Merchandising,ADM 3364,History of Dress,(3)
ADM - Apparel Des & Merchandising,ADM 3365,Global Dress and Culture,(3)
ADM - Apparel Des & Merchandising,ADM 3373,Advanced Apparel Studio,(3)
ADM - Apparel Des & Merchandising,ADM 3391,Retail Buying I,(3)
ADM - Apparel Des & Merchandising,ADM 3393,Visual Merchandising and Promotion,(3)
ADM - Apparel Des & Merchandising,ADM 3396,International Fashion Forecasting,(3)
ADM - Apparel Des & Merchandising,ADM 3V90,Pre-Professional Internship,(1-3)
ADM - Apparel Des & Merchandising,ADM 3V9R,Research,(3)
ADM - Apparel Des & Merchandising,ADM 4132,Apparel Industry Field Study,(1)
ADM - Apparel Des & Merchandising,ADM 4132,Pre-Internship Seminar for Apparel Merchandising and Apparel Design Majors,(1)
ADM - Apparel Des & Merchandising,ADM 4232,Apparel Field Study,(2)
ADM - Apparel Des & Merchandising,ADM 4310,Textiles and Apparel in a Global Economy,(3)
ADM - Apparel Des & Merchandising,ADM 4310,Textiles and Apparel in a Global Economy,(3)
ADM - Apparel Des & Merchandising,ADM 4363,Apparel Design Technology,(3)
ADM - Apparel Des & Merchandising,ADM 4371,Advanced Collection Development,(3)
ADM - Apparel Des & Merchandising,ADM 4392,Apparel Merchandising Internship,(3)
ADM - Apparel Des & Merchandising,ADM 4396,Fashion Trend Analysis and Forecasting,(3)
AIRP - Air Pilot,AIRP 1175,Intermediate Flight,(1)
AIRP - Air Pilot,AIRP 1175,Intermediate Flight,(1)
AIRP - Air Pilot,AIRP 1175,Intermediate Flight,(1)
AIRP - Air Pilot,AIRP 1215,Private Pilot Flight,(2)
AIRP - Air Pilot,AIRP 1301,Air Navigation,(3)
AIRP - Air Pilot,AIRP 1307,Aviation Meteorology,(3)
AIRP - Air Pilot,AIRP 1372,Dispatch Resource Management,(3)
AIRP - Air Pilot,AIRP 1417,Private Pilot Ground School,(4)
AIRP - Air Pilot,AIRP 2151,Multiengine Flight,(1)
AIRP - Air Pilot,AIRP 2172,Flight Instructor - Instrument Helicopter,(1)
AIRP - Air Pilot,AIRP 2236,Certified Flight Instructor - Airplane,(2)
AIRP - Air Pilot,AIRP 2239,Commercial Flight,(2)
AIRP - Air Pilot,AIRP 2242,Flight Instructor - Instrument Airplane,(2)
AIRP - Air Pilot,AIRP 2243,Flight Instruction-Multiengine Airplane,(2)
AIRP - Air Pilot,AIRP 2250,Instrument Flight,(2)
AIRP - Air Pilot,AIRP 2331,Advanced Aviation Meteorology,(3)
AIRP - Air Pilot,AIRP 2337,Commercial Ground School,(3)
AIRP - Air Pilot,AIRP 2349,Instructor Ground School,(3)
AKK - Akkadian,AKK 4306,Introductory Akkadian,(3)
AKK - Akkadian,AKK 4306,Introductory Akkadian,(3)
AMS - American Studies,AMS 4385,Seminar in American Studies,(3)
AMS - American Studies,AMS 4385,Seminar in American Studies,(3)
AMS - American Studies,AMS 4385,Seminar in American Studies,(3)
AMS - American Studies,AMS 5304,Bibliography and Research Methods,(3)
AMS - American Studies,AMS 5306,Literary Criticism: Seminar,(3)
AMS - American Studies,AMS 5308,Independent Study in Literature,(3)
AMS - American Studies,AMS 5310,Research Methods in Mass Communication,(3)
AMS - American Studies,AMS 5315,Foundations of the American Economy,(3)
AMS - American Studies,AMS 5316,Basic American Documents,(3)
AMS - American Studies,AMS 5320,Theory of Mass Communication,(3)
AMS - American Studies,AMS 5330,American Political Development,(3)
AMS - American Studies,AMS 5332,Human Growth and Development,(3)
AMS - American Studies,AMS 5333,"Psychology of Learning, Cognition, and Affect",(3)
AMS - American Studies,AMS 5336,History of American Christianity,(3)
AMS - American Studies,AMS 5340,The American Founding,(3)
AMS - American Studies,AMS 5350,Seminar in Mass Communication,(3)
AMS - American Studies,AMS 5360,Seminar in United States History,(3)
AMS - American Studies,AMS 5365,Seminar in Public History,(3)
AMS - American Studies,AMS 5367,Seminar in Oral History,(3)
AMS - American Studies,AMS 5370,Advanced Graduate Research and Writing,(3)
AMS - American Studies,AMS 5389,Contemporary American Literature,(3)
AMS - American Studies,AMS 5391,Early American Literature,(3)
AMS - American Studies,AMS 5393,Nineteenth Century American Literature,(3)
AMS - American Studies,AMS 5394,Modern American Literature,(3)
AMS - American Studies,AMS 5395,Seminar in American Educational Thought,(3)
AMS - American Studies,AMS 5396,American Studies: Seminar,(3)
ANT - Anthropology,ANT 1305,Introduction to Anthropology,(3)
ANT - Anthropology,ANT 1305,Introduction to Anthropology,(3)
ANT - Anthropology,ANT 1305,Introduction to Anthropology,(3)
ANT - Anthropology,ANT 1306,Cultural Anthropology in Global Context,(3)
ANT - Anthropology,ANT 1307,The Evolution of Human Societies: An Interdisciplinary Perspective,(3)
ANT - Anthropology,ANT 1310,Cultural Geography,(3)
ANT - Anthropology,ANT 1310,Introduction to Global Health,(3)
ANT - Anthropology,ANT 1360,"Religion, Magic and Witchcraft",(3)
ANT - Anthropology,ANT 1404,Introduction to Human Evolution,(4)
ANT - Anthropology,ANT 1407,Introduction to Archaeology,(4)
ANT - Anthropology,ANT 1V9R,Research,(3)
ANT - Anthropology,ANT 2304,Introduction to Biological Anthropology,(3)
ANT - Anthropology,ANT 2V9R,Research,(3)
ANT - Anthropology,ANT 3301,"Science, Society, and Culture",(3)
ANT - Anthropology,ANT 3301,Historical Archaeology,(3)
ANT - Anthropology,ANT 3307,Historical Archaeology,(3)
ANT - Anthropology,ANT 3310,Introduction to Linguistics,(3)
ANT - Anthropology,ANT 3320,Environment and Human Behavior,(3)
ANT - Anthropology,ANT 3331,Human Osteology,(3)
ANT - Anthropology,ANT 3340,Indigenous Cultures of Modern Mexico and Central America,(3)
ANT - Anthropology,ANT 3350,Native North Americans,(3)
