name,subject,code
Financial Analytics,ACC - Accounting,ACC 610
Tax Planning and Strategy,ACC - Accounting,ACC 625
Accounting Information Systems,ACC - Accounting,ACC 630
Introduction to Accounting Research,ACC - Accounting,ACC 640
Sustainability Accounting and Accountability,ACC - Accounting,ACC 645
Assurance Services in a Big Data Environment,ACC - Accounting,ACC 650
Selected Topics in Accounting,ACC - Accounting,ACC 655
International Accounting Issues,ACC - Accounting,ACC 660
Seminar in Management Accounting,ACC - Accounting,ACC 665
Pedagogical and Practice Research in Accounting,ACC - Accounting,ACC 670
Advanced Accounting Research I,ACC - Accounting,ACC 671
Advanced Accounting Research II,ACC - Accounting,ACC 672
Seminar in Financial Accounting,ACC - Accounting,ACC 675
Accounting Research Methods,ACC - Accounting,ACC 680
Seminar in Professional Issues,ACC - Accounting,ACC 690
Accounting Capstone,ACC - Accounting,ACC 695
Independent Study in Accounting,ACC - Accounting,ACC 697
Research in Accounting,ACC - Accounting,ACC 699
Internship in Athletic Coaching Education,ACE - Athletic Coachng Ed,ACE 600
Physical Preparation and Conditioning,ACE - Athletic Coachng Ed,ACE 604
Psychology of Coaching,ACE - Athletic Coachng Ed,ACE 610
Growth and Development for Coaches,ACE - Athletic Coachng Ed,ACE 612
Skills and Tactics for Coaches,ACE - Athletic Coachng Ed,ACE 618
Evaluation in Coaching,ACE - Athletic Coachng Ed,ACE 625
Philosophy and Ethics,ACE - Athletic Coachng Ed,ACE 632
Sport Safety and Injury Prevention,ACE - Athletic Coachng Ed,ACE 670
Teaching and Motivation for Coaches,ACE - Athletic Coachng Ed,ACE 675
Current Issues in Coaching Research,ACE - Athletic Coachng Ed,ACE 688
Organization and Administration for Coaches,ACE - Athletic Coachng Ed,ACE 692
Advanced Ceramics,ACR - Art:  Crafts,ACR 511
Advanced Metals,ACR - Art:  Crafts,ACR 521
Advanced Glass,ACR - Art:  Crafts,ACR 531
Neon,ACR - Art:  Crafts,ACR 532
Ceramics Studio,ACR - Art:  Crafts,ACR 611
Metals Studio,ACR - Art:  Crafts,ACR 621
Glass Studio,ACR - Art:  Crafts,ACR 631
Teaching Studio Art,AED - Art:  Education,AED 604
Topics in Advanced Art Education,AED - Art:  Education,AED 608
Special Topics in Studio Art,AFA - Art:  Fine Arts,AFA 500
Advanced Drawing,AFA - Art:  Fine Arts,AFA 501
Advanced Painting,AFA - Art:  Fine Arts,AFA 511
Advanced Sculpture/Intermedia,AFA - Art:  Fine Arts,AFA 521
Advanced Printmaking,AFA - Art:  Fine Arts,AFA 531
Bookmaking,AFA - Art:  Fine Arts,AFA 581
Sculpture/Intermedia Studio,AFA - Art:  Fine Arts,AFA 621
Special Topics in the History of Art,AHS - Art:  History,AHS 501
Art History Seminar,AHS - Art:  History,AHS 554
Human Gross Anatomy,ANAT - Anatomy,ANAT 601
Human Neuroanatomy,ANAT - Anatomy,ANAT 605
Human Embryology and Histology,ANAT - Anatomy,ANAT 625
Special Studies in Anatomy,ANAT - Anatomy,ANAT 690
Topics in Biological Anthropology,ANTH - Anthropology,ANTH 505
The Anthropology of Physical Growth and Development,ANTH - Anthropology,ANTH 506
Applied Anthropology,ANTH - Anthropology,ANTH 507
Digital Anthropology,ANTH - Anthropology,ANTH 509
Ecological Dimensions of Culture,ANTH - Anthropology,ANTH 512
Human Osteology,ANTH - Anthropology,ANTH 516
Forensic Anthropology,ANTH - Anthropology,ANTH 517
Evolutionary Adaptation and Human Diversity,ANTH - Anthropology,ANTH 525
Culture and Medicine,ANTH - Anthropology,ANTH 527
Laboratory Methods in Material Culture,ANTH - Anthropology,ANTH 529
Topics in Native North American Cultures,ANTH - Anthropology,ANTH 530
Native Americans of North America,ANTH - Anthropology,ANTH 531
"Native Americans of the Eastern Woodlands, 16th-20th Century",ANTH - Anthropology,ANTH 532
Midwestern Archaeology,ANTH - Anthropology,ANTH 534
Anthropological Field Trip,ANTH - Anthropology,ANTH 540
Historical Archaeology of Eastern United States,ANTH - Anthropology,ANTH 543
Archaeological Field School,ANTH - Anthropology,ANTH 545
Ethnographic Field Study,ANTH - Anthropology,ANTH 550
"Witchcraft, Magic, and Religion",ANTH - Anthropology,ANTH 551
Anthropology of Technology,ANTH - Anthropology,ANTH 552
Primatology,ANTH - Anthropology,ANTH 555
Applied Archaeology,ANTH - Anthropology,ANTH 557
Ethnographic Methods,ANTH - Anthropology,ANTH 559
Special Topics in Cultural Anthropology,ANTH - Anthropology,ANTH 560
Special Topics in Archaeology,ANTH - Anthropology,ANTH 561
Special Topics in Biological Anthropology,ANTH - Anthropology,ANTH 562
Theory and Method in Historical Archaeology,ANTH - Anthropology,ANTH 563
European Prehistory,ANTH - Anthropology,ANTH 564
Ethnohistory,ANTH - Anthropology,ANTH 571
Topics in Museum Operations,ANTH - Anthropology,ANTH 577
Topics in Archaeology,ANTH - Anthropology,ANTH 580
Topics in Cultural Change,ANTH - Anthropology,ANTH 590
Proposal Writing and Professional Development,ANTH - Anthropology,ANTH 600
Topics in Contemporary Applied Cultural Anthropology,ANTH - Anthropology,ANTH 601
Quantitative Research Methods in Anthropology,ANTH - Anthropology,ANTH 602
Anthropological Archaeology Seminar,ANTH - Anthropology,ANTH 603
Applications of Biological Anthropology,ANTH - Anthropology,ANTH 605
Ethnographic Methods and Qualitative Research in Anthropology,ANTH - Anthropology,ANTH 606
Anthropology of Gender,ANTH - Anthropology,ANTH 641
Independent Study in Anthropology,ANTH - Anthropology,ANTH 690
Research Methods in Anthropology,ANTH - Anthropology,ANTH 695
Internship in Anthropology,ANTH - Anthropology,ANTH 696
Introduction to Nanoscience and Technology,APHY - Applied Physics,APHY 510
Fundamentals of Nanomaterials Growth and Device Fabrication,APHY - Applied Physics,APHY 512
Medical Physics 1,APHY - Applied Physics,APHY 515
Medical Physics 2,APHY - Applied Physics,APHY 516
Solar Thermal Systems,APHY - Applied Physics,APHY 520
Photovoltaics,APHY - Applied Physics,APHY 522
Design Thinking and Visualization Workshop,ARCH - Architecture,ARCH 500
Design Thinking and Foundations Studio,ARCH - Architecture,ARCH 501
Environmental Design and Site Context Studio,ARCH - Architecture,ARCH 502
Design Application Workshop,ARCH - Architecture,ARCH 503
Fourth World Theory,ARCH - Architecture,ARCH 507
Architects of Hope,ARCH - Architecture,ARCH 508
Introduction to Architectural Building Technology,ARCH - Architecture,ARCH 514
Introduction to Structural Systems,ARCH - Architecture,ARCH 518
Introduction to Professional Practice,ARCH - Architecture,ARCH 520
