course_code,course_title,course_description,course_credits
Accounting for Non-Accounting Majors,ACC310,"This accounting course is designed for non-accounting majors. Students learn the basic structure of accounting, how to maintain accounts, use account balances to prepare financial statements, complete the accounting cycle, and begin to learn about internal control and accounting for assets. Students will explore accounting examples from their major area of study.",4
Financial Accounting,ACC340,"This course covers the concepts and standards underlying the preparation and analysis of external reports.  Students will review the elements, structure, interrelationships of financial statements and the tools necessary to understand and interpret them.",4
Special Topics in Accounting,ACCT199,This course addresses issues of current interest in accounting.  Course content will vary as determined by student interest and evolution of the discipline.,1-6
Accounting I,ACCT201,"This course introduces accounting concepts. Emphasis is on understanding, summarizing, , and interpreting financial information. Upon successful completion, students should be able to recognize and use financial statements, understand the role of financial information in decisionâmaking, and discuss ethical considerations specific to accounting.",4
Accounting II,ACCT202,"This course covers accounting for balance sheet items for partnerships and corporate entities. In addition, students are exposed to accounting for the capital structure, inventory, long-term liabilities, payroll, investments and international operations of a firm.",4
Accounting III,ACCT203,"This course is designed to provide practical application of technical skills aligned to the concepts from introductory accounting courses. The technical skills reviewed in this course include debits and credits, T account analysis, and financial statement development and analysis along with logic and critical thinking skills.",4
Computerized Accounting,ACCT210,"The course provides an introduction to utilizing the computer in maintaining accounting records, making management decisions, and processing common business applications with primary emphasis on a general ledger package. Students will utilize an integrated general ledger software package, including accounts receivable, accounts payable, inventories, and payroll systems.",4
Introduction to Managerial & Cost Accounting,ACCT220,"This course introduces the student to the fundamentals of managerial and cost accounting concepts. It discusses the determination and the study of financial data required by management for budgeting, reporting, and analyzing performance.",4
Introduction to Tax,ACCT225,"This course introduces students to basic tax concepts such as: tax rate structure, losses, tax credits, withholding, and computation of the personal and corporate income tax.",4
Individual Tax,ACCT226,"This course introduces the principles of individual taxation, covering topics such as income determination, deductions, credits, and the preparation of tax returns.  Students will be introduced to the structure of the tax code and its implications for individuals.  The ethical implications of tax planning strategies and decisions will be explored.",4
Intermediate Accounting I,ACCT260,"This course covers the basic financial statements with emphasis on the accounting principles related to accounts receivables, revenue and expense recognition, and inventory.",4
Special Topics in Accounting,ACCT299,This course addresses issues of current interest in accounting.  Course content will vary as determined by student interest and evolution of the discipline.,1-6
Intermediate Accounting I,ACCT300,This course covers basic financial statements with emphasis on accounting principles and procedures relating to current and long-term assets.,4
Intermediate Accounting II,ACCT305,"This course focuses on the financing and investing activities of business enterprises, as well as special accounting topics, e.g., earnings per share, pensions, employee compensation, error corrections, and income taxes.",4
Intermediate Accounting II,ACCT306,"This course focuses on accounting for long-term assets, stockholders’ equity, earnings-per-share and bonds.",4
Intermediate Accounting III,ACCT307,"This course focuses on accounting for debt and equity securities, pension accounting, the statement of cashflows,   operating and financing leases, and reporting error corrections and changes in accounting principles.",4
Auditing,ACCT325,This course is an introduction to the primary work of the certified public accountant. It covers examination of financial statements for the purpose of rendering an opinion on the fairness with which they present an entityâs financial position and the results of its operations.,4
Auditing Lab,ACCT330,This lab represents a simulation of audit planning and implementation.  Students will plan for and then audit various balance sheet and income statement accounts.  The lab will conclude with the preparation of audited financial statements including audit opinion and appropriate footnotes.,1
Advanced Accounting,ACCT340,"This course covers special accounting problems related to the preparation of combined and consolidated financial statements for accounting entities with branch offices and subsidiaries, both domestic and foreign. This course also covers accounting for partnerships.",4
Accounting Analytics,ACCT350,"This course focuses on integrating analytics into accounting practices to improve decision-making and operational efficiency. Students will have the opportunity to apply analytics to real-world problems, evaluate data visualization techniques, and assess their impact on accounting functions. The course also covers the ethical implications and risks of using data in accounting.",4
Cost Accounting,ACCT351,This course focuses on accounting for costs in a manufacturing environment. The course covers various techniques for estimating and accounting for costs. Students will be involved in the budgeting and cost allocation processes.,4
