"subject","course_code","course_name","description","credits"
"AAP—Architecture, Art, and Planning","AAP 1100","The Worlds We Make","Fall S/U grades only (no audit)    Enrollment limited to: first-year undergraduate AAP students.  Satisfies AAP Diversity requirement.   Staff.   This co-taught class brings together faculty members from across the college and all first-year students in AAP to develop the skills necessary to work toward a more just, sustainable, equitable, and compassionate future. The Worlds We Make examines structural racism, colonialism, injustice, bias and their manifestations through the lens of architecture, art, and urban studies. Students will engage with how to identify bias, structural inequity, and systems of oppression, learn about restorative justice and harm reduction in our fields and beyond, practice allyship and make space for marginalized and historically minoritized identities. The class will emphasize communicating and advocating across differences via challenging discussion, analytical drawing, creative practice, and writing.","3 credits"
"AAP—Architecture, Art, and Planning","AAP 3099","[Special Topics in AAP]","Fall or Spring Not offered: 2024-2025 Next offered: 2025-2026 Student option grading    Satisfies free elective credit only.   Staff.   Topics TBA.","3 credits"
"AAS—Asian American Studies","AAS 1100","Introduction to Asian American Studies","(ALC-AS, SCD-AS) (CA-AG, D-AG, LA-AG)  (EC-SAP, EC-SEAP)  Spring Student option grading    D. Chang.   This interdisciplinary course offers an introduction to the study of Asian/Pacific Islanders in the U.S. This course will examine, through a range of disciplines (including history, literary studies, film/media, performance, anthropology, sociology), issues and methods that have emerged from Asian American Studies since its inception in the late 1960s, including the types of research questions and methods that the study of Asians & Pacific Islander peoples in the U.S. as well as politics and historical relations in the Asia/Pacific region have to offer. In this course, we will pay particular attention to the role of culture and its production in documenting histories, formulating critical practices, and galvanizing political efforts. Topics and themes include: war & empire; queer & feminist lives and histories; refugee, adoptees, transnational families, and other forms of kinship & belonging; anti-Asian violence; settler colonialism and postcolonial critique.","4 credits"
"AAS—Asian American Studies","AAS 2043","Asian American Oral History","(crosslisted) AMST 2043  , HIST 2043   (HST-AS, SCD-AS) (D-AG, HA-AG)  Spring Student option grading    D. Chang.   For description see HIST 2043  .","4 credits"
"AAS—Asian American Studies","AAS 2100","South Asian Diaspora","(crosslisted) ANTHR 2410  , SHUM 2101   (ALC-AS, GLC-AS) (CA-AG, LA-AG)  (CU-ITL, EC-SAP)  Fall Student option grading    V. Munasinghe.   This interdisciplinary course (with an emphasis in anthropology) will introduce students to the multiple routes/roots, lived experiences, and imagined worlds of South Asians who have traveled to various lands at different historical moments spanning Fiji, South Africa, Mauritius, Britain, Malaysia, United States, Trinidad, and even within South Asia itself such as the Tamil-speaking population of Sri Lanka. The course will begin with the labor migrations of the 1830s and continue up to the present period. The primary exercise will be to compare and contrast the varied expressions of the South Asian Diaspora globally in order to critically evaluate this transnational identity. Thus, we will ask what, if any, are the ties that bind a fifth-generation Indo-Trinidadian whose ancestor came to the New World as an indentured laborer or “coolie” in the mid-19th century to labor in the cane fields, to a Pakistani medical doctor who migrated to the United States in the late 1980s. If Diaspora violates a sense of identity based on territorial integrity, then could “culture” serve as the basis for a shared identity?","3 credits"
"AAS—Asian American Studies","AAS 2130","Introduction to Asian American History","(crosslisted) AMST 2640  , HIST 2640   (HST-AS, SCD-AS) (D-AG, HA-AG)  Fall Student option grading    D. Chang.   For description, see HIST 2640  .","4 credits"
"AAS—Asian American Studies","AAS 2269","[Korean Popular Culture]","(crosslisted) ASIAN 2269  , PMA 2465  , SHUM 2269   (ALC-AS) (CA-AG, LA-AG)  Fall Not offered: 2024-2025 Next offered: 2025-2026 Student option grading    I. Yi.   For description, see ASIAN 2269  . (SC)","3 credits"
"AAS—Asian American Studies","AAS 2295","Orientalism and East Asia","(crosslisted) ASIAN 2295   (HST-AS)  Spring Student option grading (no audit)    H. Joo.   For description, see ASIAN 2295  .","3 credits"
"AAS—Asian American Studies","AAS 2620","Introduction to Asian American Literature","(crosslisted) AMST 2620  , ENGL 2620   (ALC-AS, SCD-AS) (CA-AG, D-AG, LA-AG)  (EC-SAP)  Fall Student option grading    A. Kim.   For description, see ENGL 2620  .","3 credits"
"AAS—Asian American Studies","AAS 2623","Introduction to Asian American Performance","(crosslisted) AMST 2622  , PMA 2621   (ALC-AS, SCD-AS) (CA-AG, D-AG, LA-AG)  Spring Student option grading    C. Balance.   For description, see PMA 2621  .","3 credits"
"AAS—Asian American Studies","AAS 2641","Race and Modern US History","(crosslisted) AMST 2645  , ASRC 2631  , HIST 2641   (HST-AS, SCD-AS) (D-AG, HA-AG)  Spring Student option grading    D. Chang.   For description, see HIST 2641  .","3 credits"
"AAS—Asian American Studies","AAS 3020","Asian Americans and Popular Culture","(crosslisted) AMST 3025  , PMA 3420   (ALC-AS, SCD-AS)  (EC-SAP, EC-SEAP)  Spring Student option grading    C. Balance.   This course examines both mainstream representations of and independent media made by, for, and about Asians and Asian Americans throughout U.S. cultural history. In this course, we will analyze popular cultural genres & forms such as: documentary & narrative films, musical theatre & live performance revues, television, zines & blogs, YouTube/online performances, karaoke & cover performances, stand-up comedy, and popular music. Employing theories of cultural studies, media studies, and performance studies, we will discuss the cultural, discursive, and political impact of these various popular cultural forms and representations from the turn of the 20th century to the present.","4 credits"
"AAS—Asian American Studies","AAS 3030","[Asians in the Americas: A Comparative Perspective]","(crosslisted) AMST 3703  , ANTHR 3703   (GLC-AS) (CA-AG, D-AG)  (EC-SAP)  Spring Not offered: 2024-2025 Next offered: 2025-2026 Student option grading    Co-meets with AMST 6703  / ANTHR 6703  .   V. Munasinghe.   For description, see ANTHR 3703  .","3 credits"
