"course_code","course_title","department","credits","description"
"ACCT 201","Introduction to Financial Accounting","Accounting (ACCT)","3 Units",""
"ACCT 202","Introduction to Managerial Accounting","Accounting (ACCT)","3 Units",""
"ACCT 298","Special Accounting Topics","Accounting (ACCT)","1-3 Units",""
"ACCT 320","Cost Management Accounting I","Accounting (ACCT)","3 Units",""
"ACCT 325","Intermediate Accounting I","Accounting (ACCT)","3 Units",""
"ACCT 326","Intermediate Accounting II","Accounting (ACCT)","3 Units",""
"ACCT 327","Intermediate Accounting III","Accounting (ACCT)","3 Units",""
"ACCT 359","Directed Mentorship","Accounting (ACCT)","6 Units",""
"ACCT 365","Not-for-Profit Accounting","Accounting (ACCT)","3 Units",""
"ACCT 389","Accounting Intern/Cooperative Education","Accounting (ACCT)","1-6 Units",""
"ACCT 398","Special Accounting Topics","Accounting (ACCT)","1-3 Units",""
"ACCT 399","Special Accounting Problems","Accounting (ACCT)","1-3 Units",""
"ACCT 421W","Auditing and Assurance (W)","Accounting (ACCT)","3 Units  W",""
"ACCT 425","Advanced Accounting","Accounting (ACCT)","3 Units",""
"ACCT 437","Federal Income Taxation I","Accounting (ACCT)","3 Units",""
"ACCT 451","Simulation Accounting Laboratory","Accounting (ACCT)","1-6 Units",""
"ACCT 456","Professional Development in Accounting","Accounting (ACCT)","3 Units",""
"ACCT 489","Accounting Internship/Cooperative Education","Accounting (ACCT)","1-3 Units",""
"ACCT 498","Special Accounting Topics","Accounting (ACCT)","1-3 Units",""
"ACCT 499","Special Accounting Problems","Accounting (ACCT)","1-3 Units",""
"ACCT 499H","Honors Seminar in Accounting","Accounting (ACCT)","1-6 Units",""
"ACCT 537","Federal Income Taxation II","Accounting (ACCT)","3 Units",""
"ACCT 551","Information Technology in Accounting","Accounting (ACCT)","3 Units",""
"ACCT 558","Accounting Ethics","Accounting (ACCT)","3 Units",""
"ACCT 568","Forensic Accounting","Accounting (ACCT)","3 Units",""
"ACCT 598","Special Accounting Topics","Accounting (ACCT)","1-3 Units",""
"ACCT 615","Accounting for Managers","Accounting (ACCT)","3 Units",""
"ACCT 689","Directed Internship","Accounting (ACCT)","1-3 Units",""
"ACCT 691","Simulation Laboratory in Accounting","Accounting (ACCT)","1-6 Units",""
"ACCT 697","Independent Study","Accounting (ACCT)","1-4 Units",""
"ACCT 699T","Master's Thesis","Accounting (ACCT)","1-3 Units",""
"AMAR 160","Manufacturing Processes","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units",""
"AMAR 198","Special Topic","Advanced Manufacturing and Applied Robotics (AMAR)","1-3 Units",""
"AMAR 260","Applied Advanced Manufacturing","Advanced Manufacturing and Applied Robotics (AMAR)","4 Units",""
"AMAR 298","Special Topic","Advanced Manufacturing and Applied Robotics (AMAR)","1 Unit",""
"AMAR 300","Applied Mathematics and Programming for Advanced Manufacturing","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units",""
"AMAR 316","Introduction to Plastics","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units",""
"AMAR 318","Advanced Plastics & Composites","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units",""
"AMAR 347","Sustainable Polymer Composites","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units",""
"AMAR 352W","Industrial Management (W)","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units  W, GW",""
"AMAR 360","Computer Integrated Manufacturing","Advanced Manufacturing and Applied Robotics (AMAR)","4 Units",""
"AMAR 389","Directed Manufacturing Experience","Advanced Manufacturing and Applied Robotics (AMAR)","1-3 Units",""
"AMAR 395","Manufacturing Laboratory Practice","Advanced Manufacturing and Applied Robotics (AMAR)","1 Unit",""
"AMAR 398","Special Topic","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units",""
"AMAR 399","Special Problems","Advanced Manufacturing and Applied Robotics (AMAR)","1-3 Units",""
"AMAR 420","Robotics for Advanced Manufacturing","Advanced Manufacturing and Applied Robotics (AMAR)","4 Units",""
"AMAR 440AW","Capstone Design I","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units  W, GW",""
"AMAR 440B","Capstone Design II","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units",""
"AMAR 451","Quality Management","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units",""
