"course_code","course_title","department","credits","description","level"
"ACC 101","INTRODUCTION TO ACCOUNTING I","Accountancy (ACC)","4 quarter hours","Introduction to Accounting I provides an introduction to financial accounting as the means of recording, storing and summarizing economic events of the business enterprise to meet external reporting needs. Emphasis is placed on the preparation and analysis of financial statements and other financial reports to the public based on the accounting equation, accrual accounting concepts, and data gathering techniques. Topics include corporate accounting for current and long term assets and current liabilities, and the corporate income statement. MAT 130is a prerequisite for this class. ","(Undergraduate)"
"ACC 102","INTRODUCTION TO ACCOUNTING II","Accountancy (ACC)","4 quarter hours","Introduction to Accounting II, a companion and sequel course to Accounting 101, continues to explore basic accounting fundamentals and concepts. The course provides an introduction to managerial accounting and internal reporting. Topics include financial accounting for long-term liabilities, the components of stockholders equity, the statement of cash flows, financial statement analysis, budgeting and variance analysis, job costing for the service sector and cost analysis for decision-making. A grade of C- or better inACC 101is a prerequisite for this class. ","(Undergraduate)"
"ACC 105","ACCOUNTING & FINANCIAL DECISION MAKING  FOR NON-BUSINESS MAJORS","Accountancy (ACC)","4 quarter hours","This course introduces the language and techniques used to evaluate company performance and explains why it important for all members of an organization to understand these basic concepts. The first half of the course introduces financial statements. Students will analyze multiple sets of real-world financial statements from organizations in a variety of industries and learn how to interpret the various numbers within them. The second half of the course introduces the concepts of time value of money and managerial accounting. In the time value of money unit, students will first discuss the underlying concepts and then learn how to calculate present values and future values in Excel, with a focus on how these concepts can inform both personal and corporate financial decision making. The managerial accounting topics describe important techniques used to analyze financial information related to internal operations and decision making within companies. Specifically, students will learn how to prepare and interpret financial budgets and profitability measures, how to determine a product's cost and how to determine the number of units a company needs to sell to break even or meet certain profit targets. ","(Undergraduate)"
"ACC 211","RED FLAG MANIA INVESTIGATIONS","Accountancy (ACC)","2 quarter hours","Gain an understanding of fraud with this hands-on course that gives you an in-depth look at fraud in an organization. Utilizing the Red Flag Mania investigative platform, you will be placed in a real-life dilemma and will be tasked with using your knowledge of business theory to solve this case. This fun, interactive course will improve your critical thinking and investigative skills. Are you ready to investigate?. ","(Undergraduate)"
"ACC 212","PRACTICAL APPLICATION OF INDIVIDUAL TAX SKILLS","Accountancy (ACC)","2 quarter hours","This course is a 2 credit course designed to provide deeper understanding and hands on application of US and Illinois tax filing requirements for individual taxpayers. The course will provide formal instruction in addressing these requirements, and then provide field experience in conjunction with a local volunteer income tax assistance program (VITA). At the conclusion of the course, the students will submit a reflection paper summarizing their experiences and lessons learned. ","(Undergraduate)"
"ACC 250","CAREER MANAGEMENT FOR ACCOUNTANTS","Accountancy (ACC)","2 quarter hours","This course is designed to explore and manage the professional expectations and career potential of an accountancy major. Students will participate in hands-on resume building activities, practice interviews and apply research and evaluation skills to execute job search and career management strategies. Students will learn about Career Center resources and internship opportunities as ways to prepare for successful job searches and to maximize their potential for long term professional growth.(2 quarter hours) A grade of C- or better inACC 101is a prerequisite for this class. ","(Undergraduate)"
"ACC 300","ACCOUNTING ANALYTICS","Accountancy (ACC)","4 quarter hours","The course will familiarize students with basic concepts and steps used in accounting data analytics. With an emphasis on hands-on problem-solving capabilities, this course will develop students analytics mindset and critical thinking skills in the context of accounting. BUS 102,MAT 137andACC 101are prerequisites for this course. ","(Undergraduate)"
"ACC 301","ACCOUNTING INFORMATION SYSTEMS","Accountancy (ACC)","4 quarter hours","Students will learn the fundamentals of accounting information systems and their role in accounting functions and business decision-making. The course focuses on the responsibilities of accountants as users of information technology, as translators between IT function and operations, and as auditors. Major themes throughout the course include objectives and procedures of internal control, system documentation through flowcharts and other techniques, systems analysis and design methodologies. ACC 102andBUS 202are prerequisites for this class. ","(Undergraduate)"
"ACC 303","COST & MANAGERIAL ACCOUNTING","Accountancy (ACC)","4 quarter hours","Managerial Accounting provides a thorough grounding in manufacturing accounting, cost allocation techniques, and the evaluation of management control systems. Students will examine manufacturing cost systems including job order costing, process costing, and activity-based costing. Tools for management control systems will be covered to enable the student to evaluate and compare various systems. A grade of C- or better inACC 102is a prerequisite for this class. ","(Undergraduate)"
"ACC 304","FINANCIAL REPORTING I","Accountancy (ACC)","4 quarter hours","Financial Reporting I includes a study of the environment and conceptual framework for financial reporting, the accounting information system, and basic financial statements. Accounting for cash, receivables, inventories, depreciable assets (property, plant and equipment), and intangible assets will also be examined. Problem solving using data analytics tools will be incorporated in the course. A grade of C- or better inACC 102is a prerequisite for this class. ","(Undergraduate)"
