title,description,course_code
The Black Radical Tradition,"Cedric Robinson's 'Black Marxism' (1983) has long been taken as foundational to the Black Radical Tradition and specifically Black people's enduring resistances to racial oppression. For Robinson such resistances have not only been legible as class struggle, but as forms of political, spiritual, artistic, intellectual opposition and underground activism. What his work has left unaddressed is the nature of such resistances in gendered terms and in terms that move beyond the United States. This course attempts to expand the definition of what is 'Black' 'Radical' and a 'Tradition' conjoining histories of struggle in South Africa and the US while attentive to their gendered sensibilities.",AAAS 503S
Black Women and Worldmaking,"The experiences and processes of colonization and empire have been central to the formation and transformation of black lives and worlds in the modern period. This course grapples with the question: how have black women imagined and struggled for alternative worlds not bound by empire and its classed, gendered and racialized strictures? Focusing on black women as worldmakers this course shifts the focus on black imaginaries of freedom away from the masculinist purviews that have predominated to not only center black women but to also ask questions about how this transforms how we understand the very project of black freedom and worldmaking.",AAAS 505S
Atlantic Worlds Workshop,"This seminar explores the ties of interdependence between Europe, Africa, and the Americas that created an 'Atlantic world' beginning in the fifteenth century. Major topics include European settlement and colonization of the Americas; cultural exchanges among Europeans, Africans, and Indigenous peoples; the rise of the Atlantic slave trade and the transformative effects slavery had on Atlantic societies; the aspirations of the democratic revolutions of the late eighteenth century; and the abolition of slavery and the limits of emancipation. The course is connected to an ongoing workshop series that will give students the opportunity to regularly interact with prominent visiting scholars who will present their current research. Open to both graduate students and advanced undergraduates.",AAAS 507S
Global Africa,"Africa's participation in globalization has not simply been a matter of 'joining the world economy.' Rather, Africa's inclusion has been selective, uneven, and partial. This is quite a different proposition than arguing, as many social theorists, economists, and journalists have suggested that the Continent is somehow structurally irrelevant to the process of globalization. This course responds to this debate by retracing the history of globalization, beginning with the Atlantic trade in human beings and concluding with an account of Africa's place in the global circulation of people things, ideas, and currencies in early twenty-first century.",AAAS 510S
"Dystopia, Speculation, and the Transhuman: Octavia Butler","This course will examine the work of science fiction writer, Octavia Butler. Critically engaging her novels and short stories, we will discover and work through a series of themes and tropes - dys(u)topia, the transhuman, temporality, the apocalyptic, survival, and hierarchical thinking as the root of racism and sexism. We will ask questions in this course about the relationship between sci-fi, speculative fiction, and the imagination of the present. In addition, Butler's fiction, which imagines various forms of miscegenation and interspecial contact, will invite us to deconstruct and re-imagine the figure of the human.",AAAS 511S
"The Fetish: The Role of Things in Spiritual, Economic, and Sexual Life","This course explores the social relationships produced by debates over the value and agency of material things ranging from the cross and the Eucharist to black leather, fur, dildos and even the more mundane commodities through which capitalism and socialism have defined their rivalry. Thus we will examine the highly charged role of things in religion, economics, and spiritualized erotic relationships, as well as the centrality of the fetish concept in the mutual transformation of modern Africa and the West.",AAAS 512S
Harlem Renaissance,"Variously called the 'New Negro Arts Movement,' 'Negro Renaissance,' or 'Harlem Renaissance,' the blossoming of African American arts and letters in the 1920s and 1930s stemmed from multiple sources, motives, and cultural circumstances. The predominantly African American, NYC neighborhood of Harlem became the symbolic capital of the 'New Negro.' But other cities, especially Chicago and Paris, France, were also sites for black creativity in these years. This seminar explores this branch of early 20th century modernism – emanating out of a flowing black cultural diaspora – in its various permutations and artistic forms, with a special emphasis on the visual arts.",AAAS 520S
Black Ethnographers,"What is ethnography, broadly defined? How is a scholar's ethnographic product shaped by their racialized experience? We will use books, articles, podcasts, documentaries, music, dance, and poetry for an in-depth study of the various ways that U.S.-based Black intellectuals in the social sciences have used ethnography to make sense of and theorize our and their everyday social worlds. We will pay special attention to questions of sexism, anti-Black racism, white supremacy, and colonialism, as these become relevant to the scholars' work, relationships to their disciplinary homes, and lived experiences.",AAAS 521S
Third Cinema,"Exploration of the geopolitics of situatedness and distance as they refer to the film industry, investigating processes of production, distribution, and reception of Hollywood, Third World, and diasporic films, and studying classical and artisanal modes of production in film. Addresses questions of authorship and embodiment; human rights and interventionist filmmaking as they refer themselves to human states of liminality, global movements of populations and capital. Traces the experience of globalization, urbanization, alienation, violence, nostalgia for nature and homeland as represented in the filmic image.",AAAS 530S
Black Camera: Still and Moving Images,"This course interrogates still and moving images by and about people of African descent. Graduate students enrolled in this course will consider film, photography, and media art. Together, we will examine documentary film, daguerreotype and archival photography, black cinema, and the cultural politics that render production, reception and circulation particular for black subjects.",AAAS 531S
Atlantic Worlds,"Atlantic Worlds examines the conditions under which a specific kind of capitalism emerges in the 21st Century. Organized through speculation and new forms of exploitation beyond the industrial workplace; in prison and military industrial complexes; where debt accrues to a growing global precariat. This new moment in a much longer history of capital is approached in several ways: one, through attention to 1492; two, the legacy of Atlantic slavery; three, current accumulation by dispossession, inclusive of land grab, ecological devastation, and violence.",AAAS 532S
Black Camera: Still and Moving Images,"This course interrogates still and moving images by and about people of African descent. Students enrolled in this course will consider film, photography, and media art. Together, we will examine documentary film, daguerreotype and archival photography, black cinema, and the cultural politics that render production, reception and circulation particular for black subjects.",AAAS 539
Race and American Politics,A broad overview of the salience of race in the American political fabric and how it structures racial attitudes on a number of political and policy dimensions.,AAAS 544S
"Race, Racism, and Democracy","The paradox of racial inequality in societies that articulate principles of equality, democratic freedom, and justice for all.",AAAS 545S
Black Culture and Performance,"What is black embodiment? Black feeling? Black performance? This course explores these questions, among others, by taking up three major cultural movements: New Negro/Harlem Renaissance; Black Arts Movement; and contemporary 'post-blackness.' We will study black drama, performance art, visual art, and film. Major writers and artists might include Marita Bonner, Zora Neale Hurson, Adrienne Kennedy, Alice Childress, Ntozake Shange, Amiri Baraka, Aleshea Harris, Brendan Jacobs-Jenkins, Barry Jenkins, and Jackie Sibblies Drury. We will also read theories of identity formation, racialized experience, and black life, among other prevailing concerns in Black (Performance) Studies.",AAAS 550S
Global Critical Race Theory and History: Brazil and the USA,"Critical Race Theory emerged in US law schools in the 1980s and has inspired young scholars and activists with its focus on the systemic nature of racism entrenched within the U.S. judicial system. Yet CRT has also been relentlessly modern and focused on the U.S.A. Given varying dynamics of racial subalternization and divergent legal systems, how is one to grasp the distinctive features as well as shared similarities between systems of racial domination in the USA and Brazil, two core regions of the New World African Diaspora? More broadly, how might one encompass 'race' and 'race-like' forms of domination in other societies in light of the sweep of history over the past millennia?",AAAS 565S
Understanding Sickle Cell Disease: A Biopsychosocial Approach,"This course provides students with an overview of sickle cell disease, including its genetics, epidemiology, pathophysiology, medical complications, psychosocial challenges, and health service utilization from a global perspective. Students will engage in an exploration of the role of discrimination and stigmatization as they affect people with sickle cell disease, as well as differences in how the disease is viewed and managed in various countries.",AAAS 569
"Philosophy in Motion: Corporeality, Gesture, and Movement in Modern Thought","In an age where the circulation of knowledge across media is paramount, what role can be ascribed to the mobile body? This seminar will investigate the central role played by the body, movement, and gesture in modern French, Caribbean, and African philosophy. We will examine their relation to questions of aesthetics and politics, as well as theories of community and practices of resistance. We will explore the body as an epistemological interface producing, encoding, and transmitting knowledge. We will also work interdisciplinarily in the fields of cinema and performing arts, addressing each as forms of intelligibility in motion. Taught in English with an optional preceptorial.",AAAS 570S
Introduction to Contemporary African Philosophy,"The objective of this course is to provide a critical overview of contemporary African thought as expressed in philosophical discourse, social sciences, literature and the humanities. The course will explore the questions raised by contemporary thinkers from the African continent and its diasporas, by raising the stakes of a philosophizing in and about Africa, starting from Africa and its diasporas. We will examine the extent to which these thoughts shed light on the political, cultural and civilizational problems of Africa and the contemporary world. Taught in French.",AAAS 571S
Sylvia Wynter and the Question of Caribbean Philosophy,"A course on Sylvia Wynter, alongside an archipelago of Caribbean oeuvres by Firmin, Césaire, Fanon, Glissant, etc. How to map Caribbean philosophy, when it has long been critical of modern philosophy as a discourse of critical exceptionalism; a mode of bourgeois rationalist production dividing labor between the intellectuals and the workers? Wynter makes use of a Latin American paradigm of autopoiesis and embodied cognition, proposing a 'ceremony able epistemologically to emancipate humankind's knowledge of the physical and purely biological levels of reality from our order-stabilizing / legitimating symbolic codes.' More readings by McKittrick, Henry, Bogues, Casimir, Chancy, Nesbitt, etc.",AAAS 581S
Black Visual Theory,"Approaches to studying and theorizing of African diasporal arts and black subjectivity, with a special emphasis on art historiography, iconology, and criticism, and a particular focus on slavery, emancipation, freedom, and cultural nationalism, as pertaining to peoples of African descent and as manifested in such visual forms as paintings, sculptures, graphics, and media arts from the early modern period to the present, as well as the political edicts, philosophical tracts, autobiographies, and theoretical writings of individuals similarly preoccupied with these ideas. Consent of instructor required.",AAAS 589S
Special Topics,Topics vary from semester to semester.,AAAS 590S
Independent Study,Students will work closely with the instructor on completing an independent study.,AAAS 591
"Blackness, Social Death, and the Volatile Sacred","In recent years, we have witnessed a renewed energy around theorizing blackness and its unsettling presence in the world. In addition to endeavors to think through the antagonistic relationship between blackness and the ideal human, authors have addressed topics such as black gender, the affinities and tensions between blackness and queerness, the ways in which blackness interrupts the logic of property, and the particular qualities of anti-black violence. In this course, we will pursue an aspect of contemporary black thought that has been central but undeveloped -- how blackness reimagines the religious and the sacred. Authors: Spillers, Wynter, Hartman, Sharpe, Moten, Glissant, Gumbs.",AAAS 602S
"Africa, Cuba, Brazil: Great Powers of the Black Atlantic","Explores shared cultural history of three great populations separated by oceans but linked by slave trade. Course will offer lively, mutually transformative dialogue in religion, music, and political ideas. This case study in the Africanization of the Americas and the Americanization of Africa challenges a range of conventional assumptions about transnationalism, race, class, gender, and their artistic expression.",AAAS 610S
"Climate Change, Decolonization, and Global Blackness","Decolonization and the Climate Crisis seeks to explore the linkages among three pivotal and simultaneously occurring catastrophes—criminality, displacement, pandemics—toward developing a set of principles regarding decolonization as an ethical approach to climate change. The class in operation with an FHI lab will view climate justice from the point of view of historical faultlines, exploring the the socioeconomic and political machinery that produce these projects of disaster in the first place.",AAAS 611S
Black Sonic Culture—Analog to Digital,"The course will examine the production, reproduction and distribution Black (African Diasporic) 'Sound'--inclusive of, but not exclusive of various musical cultures--in the creation of Black Sonic Culture(s) that were in conversation with and counter to Black Literary Culture, Black Visual Culture and Black Performance traditions. The course, in particular, will examine the impact on the transition from analog sound to digital sound.",AAAS 622S
