title,description,course_code
General African American Studies,Pre-matriculation credit awarded for a score of 4 or 5 on the College Board AP Examination (or the equivalent),AAAS 20
First-Year Seminar,Topics vary each semester offered.,AAAS 89S
Introduction to African American Studies,"A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy.",AAAS 102
Introduction to African Studies (DS3 or DS4),"A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.",AAAS 103
Introduction to Latino/a Studies in the Global South,"Introduction to the interdisciplinary field of Latino/a Studies, and how it reconfigures the study of the United States and the Americas. Considers literature, history, sociology, economics, politics, culture and language in examining terms such as: Latino, latinidad, Global South, transnational, globalization, and multiculturalism. Exploration of alignments and divergences of Latino/a Studies with African and African American Studies, Latin American and Caribbean Studies, and Critical US Studies. Classroom learning will connect with the community outside of Duke. Required introductory course for students in the Latino/a Studies in the Global South certificate program.",AAAS 104
Introduction to Latino/a Studies in the Global South,"Intro to the interdisciplinary field of Latino/a Studies, and how it reconfigures the study of the United States and the Americas. Considers literature, history, sociology, economics, politics, culture and language in examining terms such as: Latino, latinidad, Global South, transnational, globalization, and multiculturalism. Exploration of alignments and divergences of Latino/a Studies with African and African American Studies, Latin American and Caribbean Studies, and Critical US Studies. Classroom learning will connect with the community outside of Duke. Required intro course for students in the Latino/a Studies in the Global South certificate program.",AAAS 104S
Embodied Blackness,"How is race embodied and how are bodies racialized? How do gender, sexuality, class, size, perceived beauty, and ability mutually influence embodiment? This course considers anthropological and historical studies of the body, with a critical focus on Blackness. We investigate how Black human bodies are othered, valued, dehumanized, and experienced, across time and space, with a particular focus on the United States.",AAAS 110S
Djembe Class,Group lessons focused on the development of basic technique for djembe. Students will observe their peers during lessons and will perform literature appropriate to each individual's skill level. Instructor consent required.,AAAS 111
Race and Language,"We will examine the relationship between race and language by interrogating texts in medical ethics, gleaning from them wider lessons for navigating prior controversies at the juncture of racial and social difference and medicine (for instance, phrenology and eugenics). We will also examine features of medical and scientific practice that overlap with the study of language, such as contract, disclosure, survey design and policymaking, and how the medical profession and medical practice work to correct past mistakes in interactions with different communities of race.",AAAS 117FS
Black Psychology,"The purpose of this course is to critically examine psychological concepts, theories, and methods from perspectives grounded in 'the Black experience.' We will examine psychological phenomena and issues that specifically emerge in the social and historical context of African-descended peoples living in the African Diaspora (primarily, the United States) and we will reflect on a variety of psychological topics (e.g., self & identity, motivation, language, racism) through African and Black-centered lenses. Throughout the course, we will deconstruct, challenge, and revisit various assumptions about the psychologies of people racialized as Black.",AAAS 128CN
