"course_code","course_title","credits","department","description"
"AE 000","AE Pre-Registration","0 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theNot Gradeable (NG) scale."
"AE 002","Core Foundations","10 credits.","Academic English (AE)","Focuses on reading and writing in daily life. Develops basic writing (forming accurate simple sentences) and basic reading (identifying main ideas and explicit details in very short functional texts) on familiar, personally relevant topics. Introduces vocabulary and grammar at the CEFR A1+ level. Designed for non-native English speakers at a mid-beginning level in written skills. Offered byINTO Mason. May be repeated within the degree for a maximum 20 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 003","Oral Communication Skills Foundations","6-8 credits.","Academic English (AE)","Focuses on listening and speaking skills in everyday settings. Develops functions, vocabulary, grammar, and pronunciation at the CEFR A1+ level. Designed for non-native English speakers at a mid-beginning level in listening and speaking. Offered byINTO Mason. May be repeated within the degree for a maximum 12 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 010","Level 1 Core","10 credits.","Academic English (AE)","Focuses on reading and writing in daily life. Develops basic writing (transitioning from sentence-level to paragraph-level) and basic reading (identifying main ideas and explicit details in short expository and functional texts) on familiar, personally relevant topics. Introduces vocabulary and grammar at the CEFR A2 level. Designed for non-native English speakers at a high-beginning level in written skills. Offered byINTO Mason. May be repeated within the degree for a maximum 20 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 011","Level 1 Oral Comm Skills","6-8 credits.","Academic English (AE)","Focuses on listening and speaking skills in everyday settings. Develops functions, vocabulary, grammar, and pronunciation at the CEFR A2 level. Designed for non-native English speakers at a high-beginning level in listening and speaking. Offered byINTO Mason. May be repeated within the degree for a maximum 16 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 012","Level 1-2 Special Topics","1-10 credits.","Academic English (AE)","Notes: Topic may vary. Offered byINTO Mason. May be repeated within the term for a maximum 30 credits. Specialized Designation:Topic Varies Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 013","Vocabulary in Daily Life","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 014","Listening in Daily Life","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 015","Writing Daily Life","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 017","Listening and Speaking","6 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
