"course_code","course_title","department","credits","description"
"ACA 5099","Variable Topics","Academy for Classical Acting (ACA)","1-99 Credits.",""
"ACA 6201","Acting I","Academy for Classical Acting (ACA)","3 Credits.",""
"ACA 6202","Acting II","Academy for Classical Acting (ACA)","2,3 Credits.",""
"ACA 6203","Acting: Classical Comedy","Academy for Classical Acting (ACA)","2,3 Credits.",""
"ACA 6204","Acting: Master Class","Academy for Classical Acting (ACA)","2,3 Credits.",""
"ACA 6205","Topics in Classical Drama and Culture","Academy for Classical Acting (ACA)","2 Credits.",""
"ACA 6206","Topics in Classical Drama and Culture","Academy for Classical Acting (ACA)","2 Credits.",""
"ACA 6207","Topics in Classical Drama and Culture","Academy for Classical Acting (ACA)","2 Credits.",""
"ACA 6208","Topics in Classical Drama and Culture","Academy for Classical Acting (ACA)","1 Credit.",""
"ACA 6209","Text I","Academy for Classical Acting (ACA)","2 Credits.",""
"ACA 6210","Text II","Academy for Classical Acting (ACA)","2 Credits.",""
"ACA 6211","Voice and Speech I","Academy for Classical Acting (ACA)","3 Credits.",""
"ACA 6212","Voice and Speech II","Academy for Classical Acting (ACA)","2,3 Credits.",""
"ACA 6213","Voice and Speech III","Academy for Classical Acting (ACA)","3 Credits.",""
"ACA 6214","Voice and Speech IV","Academy for Classical Acting (ACA)","2 Credits.",""
"ACA 6215","Movement I","Academy for Classical Acting (ACA)","1,2 Credit.",""
"ACA 6216","Movement II","Academy for Classical Acting (ACA)","1,2 Credit.",""
"ACA 6217","Movement III","Academy for Classical Acting (ACA)","1,2 Credit.",""
"ACA 6218","Movement IV","Academy for Classical Acting (ACA)","1,2 Credit.",""
"ACA 6219","Alexander Technique I","Academy for Classical Acting (ACA)","1,2 Credit.",""
"ACA 6220","Alexander Technique II","Academy for Classical Acting (ACA)","1,2 Credit.",""
"ACA 6221","Alexander Technique III","Academy for Classical Acting (ACA)","1,2 Credit.",""
"ACA 6222","Alexander Technique IV","Academy for Classical Acting (ACA)","1,2 Credit.",""
"ACA 6223","Stage Combat I","Academy for Classical Acting (ACA)","2 Credits.",""
"ACA 6224","Stage Combat II","Academy for Classical Acting (ACA)","2 Credits.",""
"ACA 6225","Practicum I","Academy for Classical Acting (ACA)","2 Credits.",""
"ACA 6226","Practicum II","Academy for Classical Acting (ACA)","1-6 Credits.",""
"ACA 6227","Practicum III","Academy for Classical Acting (ACA)","1-6 Credits.",""
"ACA 6228","Practicum IV","Academy for Classical Acting (ACA)","1-6 Credits.",""
"ACA 6229","Audition Techniques","Academy for Classical Acting (ACA)","3 Credits.",""
"ACA 6595","Selected Topics","Academy for Classical Acting (ACA)","1 Credit.",""
"ACCY 1099","Variable Topics","Accountancy (ACCY)","1-36 Credits.",""
"ACCY 2001","Introduction to Financial Accounting","Accountancy (ACCY)","3 Credits.",""
"ACCY 2002","Introductory Managerial Accounting","Accountancy (ACCY)","3 Credits.",""
"ACCY 3101","Intermediate Accounting I","Accountancy (ACCY)","3 Credits.",""
"ACCY 3102","Intermediate Accounting II","Accountancy (ACCY)","3 Credits.",""
"ACCY 3106","Financial Statement Analysis","Accountancy (ACCY)","3 Credits.",""
"ACCY 3401","Federal Income Tax: Individuals","Accountancy (ACCY)","3 Credits.",""
"ACCY 3403","Advanced Tax","Accountancy (ACCY)","3 Credits.",""
"ACCY 3601","Business Law: Contracts, Torts, and Property","Accountancy (ACCY)","3 Credits.",""
"ACCY 4107","Advanced Accounting","Accountancy (ACCY)","3 Credits.",""
"ACCY 4301","Auditing","Accountancy (ACCY)","3 Credits.",""
"ACCY 4501","Accounting Systems","Accountancy (ACCY)","3 Credits.",""
"ACCY 4601","Business Law: Enterprise Organization","Accountancy (ACCY)","3 Credits.",""
"ACCY 4801","Financial Accounting Capstone","Accountancy (ACCY)","3 Credits.",""
"ACCY 4900","Special Topics","Accountancy (ACCY)","3 Credits.",""
"ACCY 4995","Independent Study","Accountancy (ACCY)","1-4 Credits.",""
"ACCY 5099","Variable Topics","Accountancy (ACCY)","1-99 Credits.",""
"ACCY 6101","Financial Accounting","Accountancy (ACCY)","3 Credits.",""
"ACCY 6104","Intermediate Accounting I","Accountancy (ACCY)","3 Credits.",""
"ACCY 6105","Intermediate Accounting II","Accountancy (ACCY)","3 Credits.",""
"ACCY 6106","Financial Statement Analysis","Accountancy (ACCY)","3 Credits.",""
"ACCY 6112","International Financial Reporting Standards","Accountancy (ACCY)","1.5 Credit.",""
"ACCY 6113","Financial Decision Making by Consumers and Professionals","Accountancy (ACCY)","3 Credits.",""
"ACCY 6201","Accounting for Internal Decision Making","Accountancy (ACCY)","1.5 Credit.",""
"ACCY 6202","Advanced Strategic Cost Management","Accountancy (ACCY)","1.5 Credit.",""
"ACCY 6203","Controls, Alignment, and the Organization","Accountancy (ACCY)","3 Credits.",""
"ACCY 6301","Contemporary Auditing Theory","Accountancy (ACCY)","3 Credits.",""
"ACCY 6302","Fraud Examination and Forensic Accounting","Accountancy (ACCY)","3 Credits.",""
"ACCY 6401","Federal Income Taxation","Accountancy (ACCY)","3 Credits.",""
"ACCY 6402","Federal Income Taxation of Partnerships","Accountancy (ACCY)","3 Credits.",""
"ACCY 6403","Federal Income Taxation of Corporations","Accountancy (ACCY)","3 Credits.",""
"ACCY 6404","Taxation of Financial Instruments","Accountancy (ACCY)","3 Credits.",""
"ACCY 6501","Accounting Information Systems and Electronic Data Processing","Accountancy (ACCY)","3 Credits.",""
"ACCY 6521","Data Analytics for Accounting","Accountancy (ACCY)","3 Credits.",""
"ACCY 6601","Business Law: Contracts, Torts, and Property","Accountancy (ACCY)","3 Credits.",""
"ACCY 6602","Business Law: Enterprise Organization","Accountancy (ACCY)","3 Credits.",""
"ACCY 6701","Government Accounting","Accountancy (ACCY)","3 Credits.",""
"ACCY 6705","Nonprofit Accounting","Accountancy (ACCY)","1.5 Credit.",""
"ACCY 6801","Corporate Governance and Ethics","Accountancy (ACCY)","3 Credits.",""
"ACCY 6802","Accounting Ethics","Accountancy (ACCY)","3 Credits.",""
"ACCY 6900","Special Topics","Accountancy (ACCY)","3 Credits.",""
"ACCY 6998","Directed Readings and Research","Accountancy (ACCY)","1-3 Credits.",""
"ACCY 8001","Doctoral Seminar","Accountancy (ACCY)","1-12 Credits.",""
"ACCY 8009","Dissertation Research","Accountancy (ACCY)","1-12 Credits.",""
"ACCY 8999","Advanced Reading and Research","Accountancy (ACCY)","1-12 Credits.",""
"AFST 1001","Introduction to Africana Studies","Africana Studies (AFST)","3 Credits.",""
"AFST 1099","Variable Topics","Africana Studies (AFST)","36 Credits.",""
"AFST 2001","The Black Radical Tradition","Africana Studies (AFST)","3 Credits.",""
"AFST 2002","Black Internationalism","Africana Studies (AFST)","3 Credits.",""
"AFST 3001","Documenting Black Lives","Africana Studies (AFST)","3 Credits.",""
