Course Code,Course Name,Credits,Level
COMSC 77109,0-3:At Risk Infant &Toddler,3,Graduate
PHYS 853U0,.056 Class Guage Fld,3,Graduate
IMA 78326,16mm Alternative Processing,1,Graduate
FREN 79102,17th Cent French Literature,3,Graduate
ENGL 77551,17th Century Women's Lit,3,Graduate
HIST 77469,18 & 19 C Am Soc Hist,3,Graduate
MUS 74256,1826-8:Yrs of Genius,3,Graduate
FREN 79600,18th Cen Art Pr:Mont-Cham,3,Graduate
ENGL 70290,18th Cent Women Writers,3,Graduate
ARTH 78003,18th Century Architecture,3,Graduate
ARTH 7803V,18th Century Art,3,Graduate
ARTH 78001,18th Century French Art,3,Graduate
ARTH 78046,18th Century Genre Painting,3,Graduate
FREN 74500,18th Century Novel & Theatre,3,Graduate
FREN 79523,18th-Century French Literature,3,Graduate
HIST 77421,19 C US Social Hist,3,Graduate
HIST 77424,19 Century East Asia,3,Graduate
ARTH 78096,1930s: Art in America,3,Graduate
RAS 74101,19th C Russ Lit:Russ,3,Graduate
ENGL 77683,19th Cen Afro Amer Literature,3,Graduate
ENGL 75150,19th Cen Afro American Lit,3,Graduate
ENGL 77596,19th Cen Amer Woman Writers,3,Graduate
FREN 79101,19th Cen French Lit 1850-1900,3,Graduate
ENGL 77571,19th Cent British Literature and Culture,3,Graduate
ENGL 74951,19th Cent Prose of US,3,Graduate
ENGL 77157,19th Century African American Narratives,3,Graduate
ARTH 78026,19th Century American Sculpture,3,Graduate
ARTH 63200,19th Century Art,3,Graduate
ENGL 77597,19th Century British & American Poets,3,Graduate
ENGL 75251,19th Century British Novel,3,Graduate
FREN 79104,19th Century French Literature 1800-1850,3,Graduate
FREN 75600,19th Century French Theatre,3,Graduate
MUS 76072,19th Century Italian Opera,3,Graduate
ARTH 7803B,19th Century Theories of Art,3,Graduate
HIST 77449,19th Century U.S.,3,Graduate
THC 72557,20 C Ensemble Theatre:American,3,Graduate
HIST 70500,20 C Europe,3,Graduate
HIST 77415,20 Cent East Asia,3,Graduate
ITAL 79379,20th & 21st Century Narratives of Early Modern Italy,3,Graduate
ENGL 75410,20th and 21st Century British and Irish Fiction,3,Graduate
THC 72584,20th C Acting Traing,3,Graduate
RAS 74200,20th C Russ Lit,3,Graduate
ENGL 77550,20th Cen Amer Women Poets,3,Graduate
ENGL 75154,20th Cen American Fiction,3,Graduate
THC 72551,20th Cen German Thea,3,Graduate
ENGL 75700,20th Cen Poetry US,3,Graduate
ENGL 70266,20th Century Amer Women Poets,3,Graduate
ENGL 78250,20th Century American Poetry by Women,3,Graduate
ENGL 75754,20th Century And 21st Century American Poetry,3,Graduate
ARTH 78092,20th Century Architecture,3,Graduate
ARTH 78027,20th Century Art,3,Graduate
ENGL 77598,20th Century British and Postcolonial Literature,3,Graduate
FREN 79103,20th Century French Literature (1900-1950),3,Graduate
ENGL 77653,20th Century Global Poets: English,3,Graduate
MUS 76080,20th Century Music and Technique,3,Graduate
ITAL 79301,20th Century Perspectives on the Renaissance,3,Graduate
HIST 77215,20th Century US - War and Society,3,Graduate
THC 76063,20th CTheatrcl Desgn,3,Graduate
HIST 76601,20th-Century Latin American Revolutions,3,Graduate
ENGL 75600,20th-century Prose of the United States,3,Graduate
ENGL 76152,21st Century Literature & Theory,3,Graduate
MUS 74268,2D Viennese School,3,Graduate
IMA 78046,3-D Animation,3,Graduate
ARTCR 75173,3-D Painting Seminar,3,Graduate
PHYS 852U0,.33 Quantum Optics,4,Graduate
IMA 76400,3D Animation and Modeling,3,Graduate
IMA 78082,3D Character Animation,3,Graduate
IMA 78045,3D Modeling&Composit,3,Graduate
IMA 78049,3D Virtual Environ,3,Graduate
THC 72582,40 Years of Experiment,3,Graduate
PHYS 852U1,45 Mod Optics Sem,2,Graduate
PHYS 852U2,.49 Quantum Electronics,4,Graduate
PHYS 856U1,.53 Non-Linear/Chaos,4,Graduate
PHYS 856U0,54 Gp Th:Quantum Mechanics,4,Graduate
PHYS 854U0,54 Non Equi Stat Mec,4,Graduate
ARTH 7802V,60's Global,3,Graduate
SSW 73300,-613 Social Group Work 3 (For Oyr Students),3,Graduate
MUS 76077,A Century of Russian Music: 1835-1935,3,Graduate
ENGL 75351,A Hemispherc Am Poet,3,Graduate
CLA 70400,A Survey of Classical Literature in Translation,3,Graduate
CLA 70300,A Survey of Classical Literature in Translation,3,Graduate
EDUC 79200,A-V Inst-Clsrm Tchr,3,Graduate
EDABA 79700,A.B.A. Res Mthd/Ethics,3,Graduate
URBG 78742,AA Hist: Labor & Pol,3,Graduate
SPED 79908,Aba App to Learning,3,Graduate
EDABA 79800,ABA App to Learning,3,Graduate
EDABA 79900,ABA Autism Intervent,3,Graduate
SPED 79909,Aba Autism Intervent,3,Graduate
SPED 79907,Aba Res Mthd/Ethics,3,Graduate
ENGL 75953,Abc's of Modernism,3,Graduate
ENGL 75463,Abc's of Modernism,3,Graduate
PSYCH 60500,Abnormal Psychology: Advanced Course (A),3,Graduate
ARTH 78030,Absct Exprss:Art 40s,3,Graduate
ARTH 78033,Abstract Painting,3,Graduate
ACC 78000,Academic Accounting Research Methodology and Project,3,Graduate
NURS 69968,Access Child Bearing Women,3,Graduate
IMA 78073,"Access Interference: Documentary, Performance & Virtual Classroom",3,Graduate
IMA 78378,Accident That Pricks: Family & Photography,1,Graduate
ACC 77200,Accounting Information Systems,3,Graduate
ECO 77200,Accounting Information Systems,3,Graduate
COMSC 70500,"Acoustics, Physiologic and Auditory Phonetics",3,Graduate
THC 76070,Acting: Period Drama,3,Graduate
THC 76068,Acting:Non-Realism,3,Graduate
EDUC 80800,Action Research,3,Doctoral
EDLIT 76000,Action Research and Leadership for Equity-based Literacies (KC),3,Graduate
DAN 74662,Activating Dance in Culture,3,Graduate
NURS 87000,Acute Care DNP Practice,6,Doctoral
NURS 75900,Ad Pr Pri Cre:Old Ad,5,Graduate
IMA 78078,Adaptation,3,Graduate
SPEDE 77400,Adaptations for Individual Learners Across the K-2 Curriculum (KC),3,Graduate
THC 72579,Adaption:Thea & Film,3,Graduate
PSYCH 75073,"Addict, Depend & Abse",3,Graduate
PSYCH 75090,Addiction Behavioral Biology,3,Graduate
COMHE 71300,Addictions and Dependencies,3,Graduate
HED 62000,Admin Of Sch Hlth Ed,3,Graduate
ADSUP 72400,Admin Sup Spec Ed,3,Graduate
SSW 79179,Administration,2,Graduate
SEDF 71400,Adol Dev & Lrng,3,Graduate
SEDC 74100,Adolescent Fieldwork (KC),1,Graduate
COMHE 77083,Adolescent Health,3,Graduate
COMHE 77083,Adolescent Health,3,Graduate
SEDC 72000,Adolescent Health and Safety,1,Graduate
SEDC 72050,Adolescent Health and Safety and DASA,-,Graduate
PH 77034,"Adolescent Health, Development and Interventions",3,Graduate
SPED 79902,Adolescents With Asd,3,Graduate
SPED 75600,"(Adsup 756, Cedc 756, Cedf 756) Professional Discourse and Leadership In Gifted Education",3,Graduate
EDESL 78968,Adult Assessment,3,Graduate
EDESL 78960,Adult Based Literacy,3,Graduate
