Course Code,Course Name,Credits,Level
ITAL 34700,16th-Century Italian Literature,3,Undergraduate
ITAL 34800,17th and18th Century Literature,3,Undergraduate
FREN 34400,17th-Century French Literature,3,Undergraduate
HIST 38355,18 &19 Cent Amer Soc Hist,3,Undergraduate
WGS 25855,18 C Women Writers,3,Undergraduate
HIST 48356,18&19 C Am Soc Hist,3,Undergraduate
ARTH 27400,18-19th Cent. African American Art,3,Undergraduate
MUSHL 26171,1826-8:Yrs of Gens,3,Undergraduate
WGSA 31969,18C Brit Wmn Writr,3,Undergraduate
ENGL 31669,18th Cen British Women Writers,3,Undergraduate
ENGL 25862,18th Cent Britan Women Writ,3,Undergraduate
ENGL 31964,18th Cent Women Writers,3,Undergraduate
ENGL 25071,18th Century British Gothic,3,Undergraduate
ENGL 31969,18th Century British Women Writers,3,Undergraduate
WGS 25862,18th Century British Women's Writers,3,Undergraduate
ENGL 38457,18th Century Idea of Freedom,3,Undergraduate
ENGL 38790,18th Century Literature from Moll Flanders to Frankenstein,3,Undergraduate
ENGL 38455,18th Century Poetry,3,Undergraduate
ENGL 25855,18th Century Women Writers,3,Undergraduate
ENGL 38452,18th Century Women Writers,3,Undergraduate
WGSA 31964,18th Century Women Writers,3,Undergraduate
FREN 34600,18th-Century French Literature,3,Undergraduate
COMPL 38085,19 & 20 Cent Ital Women Writrs,3,Undergraduate
WGS 20010,19 Cen Women Writers,3,Undergraduate
ENGL 38855,19&20 C Br Wom Novlst,3,Undergraduate
ENGL 25199,1968: Literature of American Revolution,3,Undergraduate
HIST 38301,19C Amer Civic Life,3,Undergraduate
WGSA 31959,19C Amer Wmn Wrtrs,3,Undergraduate
ENGL 32165,19th and 20th Century African American Narratives,3,Undergraduate
HIST 12200,19th and 20th Century Europe,3,Undergraduate
WGSA 30022,19th and 20th Century Italian Women Writers,3,Undergraduate
ITAL 33800,"19th and 20th-Century Italian Women Writers, in Translation",3,Undergraduate
ENGL 38778,19th C Novels & Poems,3,Undergraduate
ENGL 39894,19th Cen Amer Women Fiction,3,Undergraduate
ENGL 38557,19th Cen Amer.Women Fiction,3,Undergraduate
ENGL 38550,19th Cen Topics: Monstr,3,Undergraduate
ENGL 31959,19th Cent Amer Women Writers,3,Undergraduate
ANTHC 40166,19th Cent Intl Roots Sosci,3,Undergraduate
ENGL 32161,19th Century African American Narratives,3,Undergraduate
ENGL 39841,19th Century American Novel,3,Undergraduate
WGS 30016,19th Century American Women's Fiction,3,Undergraduate
ENGL 25079,19th Century Britain Literature and Art,3,Undergraduate
ENGL 25054,19th Century British Literature,3,Undergraduate
ENGL 38673,19th Century British Literature and Art,3,Undergraduate
ENGL 49001,19th Century City and the Birth of the Flaneur,3,Undergraduate
ENGL 49447,19th Century City and the Birth of the Flaneur,3,Undergraduate
WGS 30049,19th Century French Literature,3,Undergraduate
ENGL 38677,19th Century Independant Womn,3,Undergraduate
RUSS 34000,19th Century Russian Literature,3,Undergraduate
HIST 34145,19th Century United Stated Social History,3,Undergraduate
ENGL 25069,19th Century Women Writers,3,Undergraduate
FREN 34800,19th-Century French Literature (1800-1850),3,Undergraduate
FREN 34900,19th-Century French Literature (1850-1900),3,Undergraduate
RUSS 25000,19th-Century Russian Literature in English Translation,3,Undergraduate
ARTCR 36038,2-D Studio Intensive,3,Undergraduate
ARTLA 40600,"2-D, 3-D, 4-D Capstone Seminar",3,Undergraduate
ENGL 49046,20/20: The American 1920's One Hundred Years Later,3,Undergraduate
ENGL 39946,20/20: The American 1920's One Hundred Years Later,3,Undergraduate
WGS 30047,20C Amer Wmns Fict,3,Undergraduate
WGSA 31956,20C Black Wmn Lit,3,Undergraduate
HIST 34162,20C Latin Amer Rev,3,Undergraduate
WGS 30056,20C les & Gay Wtg/Rdg,3,Undergraduate
WGSA 31975,20C Poetry Amr Wom,3,Undergraduate
ENGL 39099,20cles&Gay Wtg/Rdg,3,Undergraduate
ENGL 32158,20th & 21st Century Black Aesthics,3,Undergraduate
ITAL 37079,20th & 21st Century Narratives of Early Modern Italy,3,Undergraduate
ENGL 31756,20th and 21st Century African Writers,3,Undergraduate
ENGL 37900,20th and 21st Century American Drama,3,Undergraduate
ENGL 37700,20th and 21st Century American Fiction,3,Undergraduate
ENGL 37500,20th and 21st Century American Poetry,3,Undergraduate
ENGL 37800,20th and 21st Century British and Irish Drama,3,Undergraduate
ENGL 37600,20th and 21st Century British and Irish Fiction,3,Undergraduate
ENGL 37400,20th and 21st Century British and Irish Poetry,3,Undergraduate
