"subject","course_code","course_name","description","credits"
"Other Courses","HSPS 164","Fire Inspection/Code Enforcement 2","PREREQUISITES: HSPS 163  PROGRAM: Homeland Security and Public Safety  CREDIT HOURS MAX: 3  LECTURE HOURS MIN: 40 LECTURE HOURS MAX: 8  LAB HOURS MIN: 8 LAB HOURS MAX: 40  TOTAL CONTACT HOURS MIN: 48 TOTAL CONTACT HOURS MAX: 48  DATE OF LAST REVISION: Fall 2022   Continues to examine the function of the fire inspector and the organization of the fire prevention unit. Emphasis is continued where HSPS 163 ended at Inspector 1 on the identification of the various codes and regulations utilized by the inspector, with special attention given to the Indiana Fire Code and IFSTA Fire Inspection and Code Enforcement. Includes the legal authority governing fire prevention, applications of the fire code, and management’s principles as applied to a bureau.  Students will also learn how to read blueprints and other system design documents and have the opportunity at the end of the course to sit for the IDHS Fire Inspector 2 certification practical and written test.   MAJOR COURSE LEARNING OBJECTIVES: Explain the types of laws, legal status, and liability that impact inspections.Recognize an inspector’s role in developing, maintaining, and revising policies or procedures and forms..Explain the role of an inspector 2 in the local code development process.Describe the role of an inspector 2 in the permitting process.Identify multiple-use occupancies.Describe Building construction and occupancy classification.Describe the hazards solar panels pose for firefighters.Describe building service characteristics that require inspector evaluations.Explain the ways an Inspector 2 will participate in code modification and appeals procedures.Explain water supply testing.Explain inspection and testing of fire suppression systems and components.Identify portable fire extinguishers, special agents extinguishing systems, and fire detection.Explain the application of hazardous materials regulations.Describe proper selection, distribution, inspection, and maintenance of portable fire extinguishers.Describe what makes a complaint complex.Explain the impact of local codes and ordinances on the plans review process.Students will know how to effectively read construction plans and blueprints.   COURSE CONTENT: Topical areas of study include - Fire inspector roles                                        Site access and means of egress State laws                                                      Sprinkler and standpipe systems Legal responsibilities                                     Portable fire extinguishers Records and reports                                       Special agents extinguishing systems Inspection process                                         Fire detection Combustion and fire growth                         Fixed fire systems Fire hazards                                                   Blueprints Building construction                                    Hazardous materials Occupancy classification                              Blueprint reading","3"
"Other Courses","VETN 100","Intro to Vet Profession","CREDIT HOURS MAX: 3  LECTURE HOURS MIN: 3 LECTURE HOURS MAX: 3  TOTAL CONTACT HOURS MIN: 48 TOTAL CONTACT HOURS MAX: 48  This course introduces students to the field of veterinary medicine and describes the responsibilities and expectations for students enrolled in the program. Topics to be covered include: roles of the veterinary team members, legal and ethical aspects of veterinary practice, breeds of companion animals, veterinary medical terminology & abbreviations, safety, sanitation and waste-disposal protocols, and career opportunities in veterinary medicine.   MAJOR COURSE LEARNING OBJECTIVES: Upon successful completion of this course, student will be expected to:  Describe the roles and legal boundaries of veterinary health care team members and discuss the legality of the veterinary-client-patient relationship.Identify and describe common workplace hazards, including zoonotic diseases.Establish and maintain appropriate sanitation, nosocomial, and waste-disposal protocols.Identify common breeds of companion animals.Define and use veterinary medical terminology appropriatelyRecognize and define common medical and pharmacological abbreviations.   COURSE CONTENT: Topical areas of study include - Roles and legal boundaries of veterinary medicineVeterinary client/patient relationshipZoonotic diseasesBiosecurity and workplace hazardsSanitation and waste disposal protocolsCommon breeds of companion animalsMedical terminologyMedical and pharmacological abbreviations  GRADING POLICY  A = 90-100  B = 80-89 C = 70-79 D = 60-69 F= <60","3"
"Other Courses","VETN 105","Vet Assist Techniques","PREREQUISITES: VETN100- Introduction to Veterinary Professions and Program Chair Approval  CREDIT HOURS MAX: 4  LECTURE HOURS MIN: 3 LECTURE HOURS MAX: 3  LAB HOURS MIN: 2 LAB HOURS MAX: 2  TOTAL CONTACT HOURS MIN: 80 TOTAL CONTACT HOURS MAX: 80  This course introduces students to the husbandry and medical care of companion animals. Topics covered include safe animal handling techniques, medical records and obtaining patient information, professional communication, nursing tasks such as bandaging, administering medications, sample collection, disinfection and infection control. Students will identify the basic principles of immunology, disease transmission, pathology, and prevention.   MAJOR COURSE LEARNING OBJECTIVES: Upon successful completion of this course the student will be expected to:  1. Describe the foundations of immunology as they apply to veterinary medicine.2. Explain the disease transmission process as well as pathology and prevention.3. Compare and contrast methods of disinfection and infection control.4. Demonstrate safe animal capture, handling and restraint techniques.5. Practice professional communication through medical record keeping, history taking and patient discharge.6.&nbsp;Demonstrate veterinary assisting procedures such as basic patient care and grooming, bandaging, collecting, handling & storage of diagnostic sample collections, administration of medications and treatments, and appropriate disinfection techniques.COURSE CONTENT: Topical areas of study include - * Fundamentals of immunology and disease transmission * Disinfection, sanitation, and biosecurity * Handling and restraint techniques for veterinary patients * Communication skills regarding medical management of patients * Practice of professional and ethical behavior, judgement, and communication in medical situations * Grooming techniques for animals * Safe and efficient collection and handling of diagnostic specimens * Dispensing and administration of medications * Nursing care including bandaging, patient monitoring, and record keepingGRADING POLICYGrading Policy: A = 90-100 B = 80-89 C = 70-79 D = 60-69 F = <60","4"
"Other Courses","VETN 110","Vet Office Skills","PREREQUISITES: VETN100 - Introduction to Veterinary Professions and Program Chair Approval  CREDIT HOURS MAX: 2  LECTURE HOURS MIN: 2 LECTURE HOURS MAX: 2  TOTAL CONTACT HOURS MIN: 32 TOTAL CONTACT HOURS MAX: 32  This course covers the support skills needed in a veterinary practice setting. This course will emphasize the following: client communication, public relations, ethical and legal procedures, bookkeeping functions, scheduling, records management, and communication skills using different modalities. Students will be introduced to one or more industry-standard veterinary software programs as well as word processing and spreadsheet software.   MAJOR COURSE LEARNING OBJECTIVES: Upon successful completion of this course the student will be expected to:  1. Contribute to a welcoming work environment that demonstrates positive interactions with patients and diverse clients.2. Demonstrate how to provide service in an ethical and compassionate manner, following the Veterinary Technician Code of Ethics developed by the National Association of Veterinary Technicians Association Ethics Committee.3. Perform introductory office administrative duties to insure up-to-date filing and retrieval of documents, data entry, billing and receipts, and inventory.4. Demonstrate knowledge of an industry-standard veterinary software program.5. Demonstrate introductory skills for a word processing and spreadsheet program.COURSE CONTENT: Topical areas of study include - * Communication skills regarding: medical history of patients, client communication, reporting on medical condition of patients, medical record keeping, patient discharge * Interpersonal communication skills * Customer service skills * Practice of professional and ethical behavior, judgement, and communication in medical situations * Office skills: Filing, record-keeping, retrieval of documents, data entry, billing, receipts * Office Skills: Computer skills including word-processing and spreadsheet creation, organization, file retrieval, and managing appointments * Phone etiquetteGRADING POLICYA = 90-100 B = 80-89 C = 70-79 D = 60-69 F = <60","2"
"Other Courses","VETN 115","Anat Phys Domestic Animals","PREREQUISITES: VETN100 - Introduction to Veterinary Professions and Program Chair Approval  CREDIT HOURS MAX: 4.5  LECTURE HOURS MIN: 3 LECTURE HOURS MAX: 3  LAB HOURS MIN: 3 LAB HOURS MAX: 3  TOTAL CONTACT HOURS MIN: 96 TOTAL CONTACT HOURS MAX: 96  This course covers the form and function of animal bodies and examines the anatomical and physiological differences between selected species. This course includes a lab where skeletons and cadaver specimens are studied. There is a focus on microscopic anatomy and anatomy and physiology of bones, muscles, and skin as well as the digestive, nervous, urinary, reproductive, and endocrine systems. This course also involves the study of the special sense organs.   MAJOR COURSE LEARNING OBJECTIVES: Upon successful completion of this course the student will be expected to:  1. Discuss the chemical building blocks of major biological molecules.2. Describe the link between cells, tissues, organs, and organ systems.3. Contrast the structure and function of major body systems (e.g., skeletal, circulatory, respiratory, and reproductive) among companion animals and selected livestock species.4. Explain how disease and disorders disrupt the homeostasis of each of the above body systems and discuss how common veterinary medical treatments are used to restore homeostasis.5. Identify and describe the anatomy of the major body systems for cats, dogs and horses using prepared slides, skeletons, models and dissections.6. Use standard anatomical terms to describe body directions, regions and sectioning planes.7. Identify major anatomical landmarks used to assess patient health during physical exams.8. Demonstrate proficiency at the use of the microscope as a clinical instrument.COURSE CONTENT: Topical areas of study include - * Macromolecules * Cells, cellular structure * Levels of biological organization: cells, tissues, organs, organ systems, organism * Stucture and function of major body systems: skeletal, circulatory, respiratory, digestive, reproductive, endocrine, nervous * Comparative anatomy and physiology between companion animals and selected livestock species * Homeostasis * Disease processes and resulting pathology * Cellular signaling * Cellular transport * Dissection, identification and description of anatomy of major body systems * Dissection techniques * Lab safety * Microscope usage and maintenance * Anatomical directions and terminologyGRADING POLICYA = 90-100 B = 80-89 C = 70-79 D = 60-69 F = <60","4.5"
"Other Courses","VETN 130","Comp Animal Nursing","PREREQUISITES: VETN 100- Intro to Vet Professions, VETN 115- Anatomy & Physiology of Domestic Animals, VETN 105- Vet Assisting Techniques, VETN 110- Vet Office Skills. VETN 178- Veterinary Externship I  CREDIT HOURS MAX: 4.5  LECTURE HOURS MIN: 3 LECTURE HOURS MAX: 3  LAB HOURS MIN: 3 LAB HOURS MAX: 3  TOTAL CONTACT HOURS MIN: 96 TOTAL CONTACT HOURS MAX: 96  This course is an introduction to husbandry, medical care, behavior, and nutrition of companion animals. Topics to be covered include safe animal restraint methods, medical recordkeeping, obtaining patient information, patient exam procedures, specimen collection techniques, administration of medication, basic grooming, and husbandry. This course also discusses nutritional requirements for companion animals in all life stages. In addition, this course covers basic concepts relating to companion animal behavior including normal behavior, how animals learn, behavioral modification techniques, and common behavioral issues.   MAJOR COURSE LEARNING OBJECTIVES: Upon successful completion of this course the student will be expected to:  Discuss energy and nutrient requirements for various life stages of companion animals and list substances that, when ingested, result in toxicityDescribe how animal anatomy and physiology are integrated with animal behavior; compare normal, abnormal, and aggressive animal behavior; and discuss low-stress animal handling techniquesOutline nursing procedures including basic patient care and grooming, bandaging, sample collection, and administering medications and treatmentsSafely and effectively restrain companion animalsGather subjective and objective patient information efficientlyPerform venipuncture and collect diagnostic samples of skin, blood, urine, and fecesPerform basic grooming such as bathing, nail trims, and ear cleaningApply emergency splints and bandages & administer medications by various routes (IV, IM, SQ, & PO)   COURSE CONTENT: Topical areas of study include - * Nutrition for various stages of life and health situations  * Animal toxicology * Animal behavior * Low-stress handling *Anatomy and Physiology related to nutrition and behavior *Venipuncture *Managing fliuid therapy *Clinical management and monitoring of hospitalized patients *Communication skills regarding: medical history of patients, client communication, reporting on medical condition of patients, medical record keeping, patient discharge *Practice of professional and ethical behavior, judgement, and communication in medical situations *Grooming techniques for animals *Collection and handling of diagnostic specimens *Administration and dispensing of medications *Nursing care including bandaging, and record keepingGRADING POLICYA = 90-100 B = 80-89 C = 70-79 D = 60-69 F = <60","4.5"
"Other Courses","VETN 178","Vet Externship I","PREREQUISITES: VETN 100- Introduction to Veterinary Profession, VETN 105- Veterinary Assisting Techniques, VETN 110- Veterinary Office Skills, VETN 115- Anatomy and Physiology of Domestic Animals  CREDIT HOURS MAX: 1.25  INTERNSHIP/EXTERNSHIP HOURS MIN: 6.25 INTERNSHIP/EXTERNSHIP HOURS MAX: 6.25  TOTAL CONTACT HOURS MIN: 100 TOTAL CONTACT HOURS MAX: 100  This course explores the dynamic field of veterinary assisting through our hands-on externship course. Designed to complement classroom learning, this experience offers students the opportunity to apply theoretical knowledge in real-world veterinary settings. Under the guidance of experienced veterinary professionals, participants will gain practical skills in animal care, medical procedures, and client interaction. Through a structured and immersive experience, students will enhance their clinical competencies, develop teamwork and communication skills, and gain insight into the day-to-day responsibilities of a veterinary assistant. This externship serves as a valuable bridge between academic study and professional practice, preparing aspiring veterinary assistants for a successful and fulfilling career in the veterinary healthcare industry.   MAJOR COURSE LEARNING OBJECTIVES: Upon successful completion of this course the student will be expected to:  1. Apply fundamental principles of veterinary assisting in a clinical setting, demonstrating proficiency in handling and restraining animals for various medical procedures2. Analyze and assess patient vital signs, recognizing deviations from normal parameters and implementing appropriate nursing interventions under the supervision of experienced veterinary professionals3. Evaluate diagnostic imaging results, laboratory reports, and patient histories to contribute to the formulation of comprehensive care plans for diverse cases4. Demonstrate effective communication and teamwork skills by collaborating with veterinary staff, interacting with clients, and providing clear and concise updates on patient status and care5. Create and maintain accurate medical records, ensuring adherence to legal and ethical standards in veterinary practice6. Differentiate between common veterinary medications, calculate dosages, and safely administer medications to patients following established protocols7. Appraise the importance of professional development and lifelong learning in veterinary practice, reflecting on personal experiences and identifying areas for continued growth and improvementCOURSE CONTENT: Topical areas of study include - * Fundamentals of immunology and disease transmission * Disinfection, sanitation, and biosecurity * Handling and restraint techniques for veterinary patients * Communication skills regarding: medical history of patients, client communication, reporting on medical condition of patients, medical record keeping, patient discharge * Practice of professional and ethical behavior, judgement, and communication in medical situations * Grooming techniques for animals * Collection and handling of diagnostic specimens * Administration and dispensing of medications * Nursing care including bandaging, patient monitoring, and record keepingGRADING POLICYA = 90-100 B = 80-89 C = 70-79 D = 60-69 F = <60","1.25"
"Other Courses","VETN 179","Vet Externship II","PREREQUISITES: VETN 178- Veterinary Externship I , VETN 205 - Diagnostic Imaging Techniques, VETN 130 - Companion Animal Nursing, Behavior, & Nutrition  PREREQUISITES/COREQUISITE: VETN 235 &ndash; Anesthesia & Surgical Nursing   CREDIT HOURS MAX: 1.25  INTERNSHIP/EXTERNSHIP HOURS MIN: 6.25 INTERNSHIP/EXTERNSHIP HOURS MAX: 6.25  TOTAL CONTACT HOURS MIN: 100 TOTAL CONTACT HOURS MAX: 100  This course explores the dynamic field of veterinary assisting through a hands-on externship. Designed to complement classroom learning, this experience offers students the opportunity to apply theoretical knowledge in real-world veterinary settings. Under the guidance of experienced veterinary professionals, participants will gain practical skills in animal care, medical procedures, and client interaction. Through a structured and immersive experience, students will enhance their clinical competencies, develop teamwork and communication skills, and gain insight into the day-to-day responsibilities of a veterinary assistant. This externship serves as a valuable bridge between academic study and professional practice, preparing aspiring veterinary assistants for a successful and fulfilling career in the veterinary healthcare industry.   MAJOR COURSE LEARNING OBJECTIVES: Upon successful completion of this course the student will be expected to:  1. Apply fundamental principles of veterinary assisting in a clinical setting, demonstrating proficiency in handling and restraining animals for various medical procedures2. Analyze and assess patient vital signs, recognizing deviations from normal parameters and implementing appropriate nursing interventions under the supervision of experienced veterinary professionals3. Evaluate diagnostic imaging results, laboratory reports, and patient histories to contribute to the formulation of comprehensive care plans for diverse cases4. Demonstrate effective communication and teamwork skills by collaborating with veterinary staff, interacting with clients, and providing clear and concise updates on patient status and care5. Create and maintain accurate medical records, ensuring adherence to legal and ethical standards in veterinary practice6. Differentiate between common veterinary medications, calculate dosages, and safely administer medications to patients following established protocols7. Appraise the importance of professional development and lifelong learning in veterinary practice, reflecting on personal experiences and identifying areas for continued growth and improvementCOURSE CONTENT: Topical areas of study include - * Fundamentals of immunology and disease transmission * Disinfection, sanitation, and biosecurity * Handling and restraint techniques for veterinary patients * Communication skills regarding: medical history of patients, client communication, reporting on medical condition of patients, medical record keeping, patient discharge * Practice of professional and ethical behavior, judgement, and communication in medical situations * Grooming techniques for animals * Collection and handling of diagnostic specimens * Administration and dispensing of medications * Nursing care including bandaging, patient monitoring, and record keepingGRADING POLICYA = 90-100 B = 80-89 C = 70-79 D = 60-69 F = <60","1.25"
"Other Courses","VETN 200","Pharmacology for Vet Nurse","PREREQUISITES: Program Chair Approval  CREDIT HOURS MAX: 3  LECTURE HOURS MIN: 3 LECTURE HOURS MAX: 3  LAB HOURS MIN: 0 LAB HOURS MAX: 0  INTERNSHIP/EXTERNSHIP HOURS MIN: 0 INTERNSHIP/EXTERNSHIP HOURS MAX: 0  CO-OP/INTERNSHIP HOURS MIN: 0 CO-OP/INTERNSHIP HOURS MAX: 0  CLINICAL - NURSING HOURS MIN: 0 CLINICAL - NURSING HOURS MAX: 0  CLINICAL - HEALTH SCIENCES HOURS MIN: 0 CLINICAL - HEALTH SCIENCES HOURS MAX: 0  STUDIO HOURS MIN: 0 STUDIO HOURS MAX: 0  PRACTICUM HOURS MIN: 0 PRACTICUM HOURS MAX: 0  CLINICAL APPLICATION HOURS MIN: 0 CLINICAL APPLICATION HOURS MAX: 0  ON THE JOB TRAINING MIN: 0 ON THE JOB TRAINING MAX: 0  TOTAL CONTACT HOURS MIN: 48 TOTAL CONTACT HOURS MAX: 48  This course is designed to give students a practical knowledge of drugs used in veterinary medicine. Topics include drug classification, methods of action, calculations, administration, effects and side effects. This course also includes a discussion of client education, drug safety, and federal regulations governing the purchase and storage of controlled drugs. Upon successful completion, students will be able to properly calculate, dispense, and administer medications, recognize adverse reactions and maintain pharmaceutical inventory and administrative records.   MAJOR COURSE LEARNING OBJECTIVES: Upon successful completion of this course the student will be expected to:  1. Recognize groups of veterinary drugs, their mechanisms and actions, and clinically relevant side effects.2. Correctly interpret a veterinarian’s pharmacy orders.3. Accurately calculate, dispense, and administer the correct form and dose of a medication.4. Describe the safe and effective manner in which vaccines must be administered.5. Maintain a controlled substances logbook in accordance with local and federal laws.6. Explain federal and state regulatory guidelines for drug purchase, storage, administration, withdrawal, disposal, and inventory control.7. Accurately communicate drug information and dosing instructions to clients in order to maximize safety, compliance with prescribed therapy, and successful treatment of the patient.COURSE CONTENT: Topical areas of study include - * Identification of drug families * Pharmacology of drug families including mechanism of action and side effects * Drug calculations * Dispensing and administration of medications * Packaging, labeling, and recording of medications * Legal, ethical, and professional guidelines of proper prescription protocols * Controlled substance log maintenance * Client communication about prescriptionsGRADING POLICYA = 90-100 B = 80-89 C = 70-79 D = 60-69 F = <60","3"
"Other Courses","VETN 205","Diag Imag Techniques","PREREQUISITES: Program Chair Approval  CREDIT HOURS MIN:3CREDIT HOURS MAX:3LECTURE HOURS MIN: 2 LECTURE HOURS MAX: 2LAB HOURS MIN: 2 LAB HOURS MAX: 2INTERNSHIP/EXTERNSHIP HOURS MIN: 0 INTERNSHIP/EXTERNSHIP HOURS MAX: 0CO-OP/INTERNSHIP HOURS MIN: 0 CO-OP/INTERNSHIP HOURS MAX: 0CLINICAL - NURSING HOURS MIN: 0 CLINICAL - NURSING HOURS MAX: 0CLINICAL - HEALTH SCIENCES HOURS MIN: 0 CLINICAL - HEALTH SCIENCES HOURS MAX: 0STUDIO HOURS MIN: 0 STUDIO HOURS MAX: 0PRACTICUM HOURS MIN: 0 PRACTICUM HOURS MAX: 0CLINICAL APPLICATION HOURS MIN: 0 CLINICAL APPLICATION HOURS MAX: 0ON THE JOB TRAINING MIN: 0 ON THE JOB TRAINING MAX: 0TOTAL CONTACT HOURS MIN: 64 TOTAL CONTACT HOURS MAX: 64This course introduces radiation and safety principles involved in using x-ray machines. This course covers the practical application of radiography in the veterinary profession and includes principles of x-ray production, the operation and uses of x-ray machines, the care and development of films, and radiographic positioning of animals.MAJOR COURSE LEARNING OBJECTIVES: Upon successful completion of this course the student will be expected to: 1. Describe the uses and functioning of various types of medical imaging equipment.2. Implement and observe recommended radiation safety measures.3. Evaluate radiographic images for proper radiographic technique and patient positioning.4. Explain the clinical uses of alternative imaging technologies.5. Utilize radiographic equipment to expose and develop radiographic films in order to create diagnostic radiographic images.6. Properly label and file radiographic films and complete radiographic logs and reports.7. Utilize radiographic contrast agents to produce diagnostic images of urinary and GI organs.8. Perform radiographic techniques utilized in screening for canine hip dysplasia.9. Demonstrate proper maintenance and troubleshooting of radiographic equipment.10. Position companion animals safely and humanely for radiographic studies.COURSE CONTENT: Topical areas of study include - * Use of medical imaging equipment * Maintenance and quality control of medical imaging equipment * Maintaining radiation saftey measures for people and patients * Evaluation of radiographic images for proper technique and positioning * Labeling, filing, and maintenance of medical imaging records * Use of radiographic contrast agents * Restraint and positioning of animal patientsGRADING POLICYA = 90-100 B = 80-89 C = 70-79 D = 60-69 F = <60",""
