"course_code","course_title","department","credits","description"
"AS.001.100.","FYS: What is the Common Good?.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.101.","FYS: The Hospital.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.102.","FYS: Japanese Robots.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.103.","FYS: When Worlds Collide - Science Goes Global.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.104.","FYS: The Science of Color.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.105.","FYS: The Science Behind the Fiction.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.106.","FYS: Legal Fictions - Law and Humanities.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.108.","FYS: Heart Matters.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.109.","FYS: Why'd Your Brain Sign You up for This?.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.110.","FYS: How We Read.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.111.","FYS: What's Music Do?.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.112.","FYS: Story, Song, Food, And Film - A Thousand Years Of Jewish Culture.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.113.","FYS: The Poetry of Music - Lyrics and the Art of Songwriting.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.114.","FYS: The Politics of Reproduction.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.115.","FYS: Illusions, Delusions, and Other Confusions.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.116.","FYS: Literature of the Everyday: The Nineteenth-Century Realist Novel.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.117.","FYS: Composer Biographies in Film.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.118.","FYS: Imagined Worlds - Science, Technology and Society.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.119.","FYS: The Nature of Nature.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.120.","FYS: U.S. History of the Present.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.121.","FYS: Socrates and his Intellectual Context.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.122.","FYS: Global Cinema in the 21st Century.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.123.","FYS: Wired to Read: the Science and the Art.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.124.","FYS: Monuments and Memorials: Shaping Historical Memory.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.125.","FYS: Matchmaker, Matchmaker! Love, Marriage, and Modern Jewish Identity.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.127.","FYS: Public Opinion and Democracy.","AS.001 (AS First Year Seminars)","3 Credits.",""
"AS.001.128.","FYS: Deep Listening and Multimedia Sound Art.","AS.001 (AS First Year Seminars)","3 Credits.",""
