"course_code","course_title","department","credits","description"
"ACCT 23020","INTRODUCTION TO FINANCIAL ACCOUNTING","Accounting (ACCT)","3 Credit Hours","(Equivalent toACTT 11000) Introduction to the basic concepts and standards underlying financial accounting. Topics to be covered include revenue recognition, receivables, inventory, long-lived assets, liabilities and stockholders' equity. The impact of transactions on the accounting equation and financial statements (balance sheet, income statement and cash flows) is emphasized.Prerequisite:None.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard LetterAttributes:TAG Business"
"ACCT 23021","INTRODUCTION TO MANAGERIAL ACCOUNTING","Accounting (ACCT)","3 Credit Hours","(Equivalent toACTT 11001) Introduction to managerial accounting concepts and tools that can be used to support decision-making in organizations. Includes coverage of cost systems, cost behavior, cost-volume-profit analysis, relevant costs and budgets.Prerequisite:ACCT 23020orACTT 11000.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard LetterAttributes:TAG Business"
"ACCT 33001","INTERMEDIATE FINANCIAL ACCOUNTING I","Accounting (ACCT)","3 Credit Hours","Review of the accounting cycle; financial statement preparation, accounting for sales, receivables, inventory, current liabilities and long-term assets. Professional accounting research skills are emphasized.Prerequisite:MATH 11012orMATH 12002orMATH 10051orPHIL 21002; and minimum B- grade inACCT 23020(orACTT 11000) andACCT 23021(orACTT 11001); and minimum C grade inENG 21011andCOMM 15000andMATH 11010; and minimum 2.000 overall GPA; and Accounting major or minor.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"ACCT 33004","INTRODUCTION TO ACCOUNTING SYSTEMS","Accounting (ACCT)","3 Credit Hours","Overview of accounting information systems with emphasis on internal controls. Course explores how the integrity and efficiency of business process are supported by information systems. Interpersonal skills and computer applications are emphasized.Prerequisite:CIS 24053; andMATH 11012orMATH 12002orMATH 10051orPHIL 21002; and minimum B- grade inACCT 23021(orACTT 11001) andACCT 23020(orACTT 11000); and minimum C grade inENG 21011,COMM 15000andMATH 11010; and minimum 2.000 overall GPA; and Accounting  major or minor.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"ACCT 33010","COST ACCOUNTING","Accounting (ACCT)","3 Credit Hours","Cost accounting for manufacturing and service organizations, including cost determination, cost analysis, costing systems, cost-volume-profit analysis, budgeting, cost allocation, activity-based costing, capital investment and performance measurement. Computer application skills are emphasized.Prerequisite:Minimum C grade inACCT 33001; and minimum 2.000 overall GPA; and Accounting major or minor.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"ACCT 33012","INTERMEDIATE FINANCIAL ACCOUNTING II","Accounting (ACCT)","3 Credit Hours","Accounting for long-term liabilities, debt and equity investments, leases, pensions and other post-retirement benefits, income tax allocation, owners' equity and statement of cash flows. Professional accounting research skills and written communication skills are emphasized.Prerequisite:Minimum C grade inACCT 33001; and minimum 2.000 overall GPA; and Accounting major and minor.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"ACCT 33013","TAX FOR ENTREPRENEURS","Accounting (ACCT)","3 Credit Hours","This course explores contemporary tax issues faced by entrepreneurs.  Topical coverage includes the tax implications of business and financial decisions throughout the business life cycle and required tax compliance for various taxes including income, payroll and sales taxes.   Analytical skills are emphasized through modeling tax outcomes.Prerequisite:Minimum 2.000 overall GPA; not open to students declared in the Accounting major.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"ACCT 33061","FINANCIAL REPORTING ISSUES AND ANALYSIS","Accounting (ACCT)","3 Credit Hours","Financial analysis and interpretation of issues relative to the balance sheet, income statement and cash flow statement. Topics include assets, liabilities, owner's equity, inter-corporate investments, revenue and expense recognition and ratio analysis. Course may not be used to fulfill requirements in the Accounting major.Prerequisite:ACCT 23021orACTT 11001; and minimum 2.000 overall GPA; not open to students declared in Accounting major.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"ACCT 33063","COST CONTROL AND ANALYSIS FOR MANAGEMENT","Accounting (ACCT)","3 Credit Hours","An in-depth study of cost accounting, focusing on the use of cost accounting information in planning, control and decision-making. Topics include cost terminology, costing systems, cost-volume-profit analysis, budgeting, cost allocation, activity-based costing, variance analysis, ethics and performance measurement. Course may not be used to fulfill requirements in the Accounting major.Prerequisite:ACCT 23021orACTT 11001; and minimum 2.000 overall GPA; not open to students declared in Accounting major.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"ACCT 43009","ACCOUNTING DATA ANALYTICS","Accounting (ACCT)","3 Credit Hours","(Slashed with ACCT 53009) Students apply data analytical concepts, tools and techniques in an accounting context. Course explores how to acquire, cleanse and analyze accounting and other data in accounting-related settings. Students complete cases in financial accounting, managerial accounting, auditing and tax. Critical thinking and application of both general and accounting-specific data analytics software are emphasized.Prerequisite:Minimum C grade inACCT 33004,ACCT 33010andACCT 33012; and minimum 2.000 overall GPA; and Accounting major.Corequisite:ACCT 43010.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
