"subject","course_code","course_name","description","credits"
"","AAI 301","Career Readiness for Applied and Technical Professions","This course will allow students to synthesize career and academic opportunities related to their technical coursework into viable career pathways. Exploration of career interests and values will be accomplished through selected assessments, applied learning projects, and online resources. Identification of defined academic and career pathways are curated through evaluation, decision-making, and defining short and long-term career goals. Since the course is foundational for the degree completion program in Applied and Interdisciplinary Studies, it is assumed that a student will already have completed 30 credit hours or an associate’s degree completed.   Repeat for Credit  N   Requisites  Requisite: Completed 30 Hours of Undergraduate Coursework and enrolled as an Applied and Interdisciplinary Studies student (AIS)   Typically Offered  Fall or Spring    KSIS Course Search","3"
"","AAI 395","Undergraduate Topics in Applied and Interdisciplinary Studies","Selected undergraduate topics in applied and interdisciplinary studies.   Repeat for Credit  Y   Typically Offered  Fall, Spring, Summer    KSIS Course Search",".5-3"
"","AAI 495","Undergraduate Special Topics in Applied and Interdisciplinary Studies","Special Topics in Applied and Interdisciplinary Studies.   Repeat for Credit  Y   Typically Offered  Fall, Spring, Summer    KSIS Course Search",".5-3"
"","AAI 501","Internship in Applied and Interdisciplinary Studies","This internship course provides students in interdisciplinary fields with hands-on experience in a professional setting. Students are responsible for finding their own internship site(s) prior to enrolling in the course. The course includes reflections and discussions where students can share their experiences and insights by integrating their academic knowledge with practical application.   Note  Required of all Applied and Interdisciplinary Studies Majors.   Repeat for Credit  Y   Requisites  Students should have senior standing and have completed AAI 301: Career Readiness for Applied and Technical Professionals. Permission to enroll will be granted when the student has verified an internship location has been secured.   Typically Offered  Fall, Spring, Summer    KSIS Course Search","3"
"","AAI 502","Applied Studies Seminar","This applied studies seminar is designed to bridge the gap between undergraduate academic experiences and the professional world. Students will connect their research, writing, and exploration with real-world issues in their intended career fields. The course also focuses on expanding the critical skills necessary for new employees, with topics ranging from professional communication to navigating employment challenges in an evolving landscape.   Repeat for Credit  N   Requisites  A student must have completed AAI 301: Career Readiness for the Applied and Technical Professions and be senior standing to register for this course. While not required for this course, it is recommended that student have take AAI 501: Internship in Applied and Interdisciplinary Studies prior to this course.   Typically Offered  Fall, Spring, Summer    KSIS Course Search","3"
"","AAI 595","Undergraduate Advanced Topics in Applied and Interdisciplinary Studies","Advanced undergraduate topics in Applied and Interdisciplinary Studies.   Repeat for Credit  Y   Typically Offered  Fall, Spring, Summer    KSIS Course Search",".5-3"
"","AAI 695","Special Topics in Applied and Interdisciplinary Studies","Special topics in Applied and Interdisciplinary Studies.   Repeat for Credit  Y   Typically Offered  Fall, Spring, Summer    KSIS Course Search",".5-3"
"","AAI 795","Topics in Applied and Interdisciplinary Studies","Selected topics in applied and interdisciplinary studies.   Note  100% Lecture   Repeat for Credit  Y   Typically Offered  Fall, Spring, Summer    KSIS Course Search",".5-6"
"","AAI 797","U.S. Animal Politics and Policymaking","The goal of this course is for students to become familiar with basic concepts of politics and policymaking related to animals in the United States. The course will examine the role of interest groups, elected representatives, and government agencies in the creation and implementation of policies involving companion animals, wildlife, farm animals, and animals used in research.   Repeat for Credit  N   Typically Offered  Spring    KSIS Course Search","2"
"","AAI 801","Interdisciplinary Process","The overall goal of this course is for students to develop an understanding of and practice in interdisciplinary and multidisciplinary thinking, problem solving, and team based leadership, using models that allow interdisciplinary and cross-function teams to work together and to generate imaginative and creative solutions to complex challenges and problems.   Repeat for Credit  N   Typically Offered  Fall, Spring, Summer    KSIS Course Search","3"
"","AAI 840","Regulatory Aspects of Drug and Vaccine Development in the Animal Health Industry","This course explores the topic of regulations associated with animal health product development and manufacturing. Topics for discussion will include an overview of the regulatory affairs process in the U.S. and other countries, drug and vaccine classifications and the approval process, GCP/GLP guidelines, drug and vaccine efficacy and safety testing, human and environmental safety issues, and future challenges and current industry needs.   Note  100% Lecture   Repeat for Credit  N   Typically Offered  Fall, Spring    KSIS Course Search","2"
"","AAI 841","Strategies in Pre-Clinical and Clinical Research for Regulatory Affairs in Animal Science","In this course, students will review the history of regulations as well as gain an understanding of the integration of science into successful product approval outcomes. Students will learn how to achieve target claims for developing new products while ensuring safety. Students will also be introduced to the planning, design, and conduct of preclinical and clinical studies. The topics covered include protocol design and the evaluation and assessment of regulatory submissions. The course will consider practical issues in regulatory affairs. Students may participate in case study exercises.   Repeat for Credit  N   Typically Offered  Fall, Spring, Summer    KSIS Course Search","2"
"","AAI 842","Strategies in the Stewardship of Licensed Pharmaceuticals and Biologics in Animal Health","In this course, students will learn about the role of regulatory affairs in the stewardship of animal health products. The topics covered include expected activities primarily post product approval, compliance, strategies for supply management, product life cycle management, risk management, and the role of industry in policy development. Communication with various stakeholders, including regulatory agencies, research and development, manufacturing, and marketing and sales are covered. The course will consider practical issues in regulatory affairs. Students may participate in case study exercises.   Repeat for Credit  N   Typically Offered  Fall, Spring, Summer    KSIS Course Search","1"
"","AAI 843","Regulatory Development of Animal Pharmaceuticals - FDA",":2In this course, students will focus on the regulatory strategies that support product development and maintenance regulated by the Food and Drug Administration (FDA) Center for Veterinary Medicine (CVM).  This includes product development strategies based on clinical and nonclinical data, key manufacturing and supply chain regulations, and post approval product life cycle management, including pharmacovigilance. Variances between food animal and non-food animal targets in developing regulatory strategies will be reviewed.  Special topics, current topics and FDA enforcement actions will be covered. Repeat for CreditNRequisitesPrerequisite: AAI 840, STAT 703Typically OfferedSummer  KSIS Course Search",""
"","AAI 844","Regulatory Development of Animal Pesticides - EPA","In this course, students will focus on the regulatory strategies for the development of products deemed to be regulated by the Environmental Protection Agency (EPA).  This course will focus on product development strategies, manufacturing and supply chain regulations, and post marketing product life cycle management, including pharmacovigilance.  Environmental laws and risk assessment will also be covered.   Repeat for Credit  N   Requisites  Prerequisite: AAI 840, STAT 703   Typically Offered  Fall    KSIS Course Search","2"
"","AAI 845","Regulatory Development of Animal Biologicals and Diagnostics - USDA","In this course, students will focus on the  structure and detailed approach for developing animal biologicals and diagnostics regulated by the United States Department of Agriculture (USDA).  Students will gain solid understanding of the critical pathway to successful product development, manufacturing, compliance, and product life cycle management, including post marketing surveillance.  The course also addresses adapting new technology to emerging and re-emerging diseases.   Repeat for Credit  N   Requisites  Prerequisite: AAI 840, STAT 703   Typically Offered  Fall    KSIS Course Search","2"
"","AAI 846","Special Topics: Regulatory Affairs in Animal Health","This course will be used as the final culminating experience in the Animal Health Regulatory Affairs (AHRA) graduate certificate program, where it will require the completion of a final project that integrates learning following the completion of program courses.   Repeat for Credit  N   Requisites  Prerequisites: AAI 840, AAI 841, AAI 842, AAI 843, AAI 844, AAI 845, and STAT 703 or advisor approval.   Typically Offered  Fall, Spring, Summer    KSIS Course Search","1"
"","AAI 852","Vaccinology","This multidisciplinary course is designed to provide the student with an understanding of vaccine development (including technology) from conceptualization through development, testing, and utilization. This course will specifically cover topics on the principles of pathogenesis of infectious diseases, immune protection, and eliciting protective immunity by vaccination; application of traditional and new technologies to vaccine development; principles of pre-clinical development, manufacturing, and clinical evaluation of a vaccine; importance of the regulatory process to vaccine development; and utilization of epidemiology to measure vaccine need and effectiveness.   Repeat for Credit  N   Typically Offered  Spring    KSIS Course Search","3"
"","AAI 858","Capstone Experience I","This course provides students the opportunity to synthesize and integrate knowledge in its application to professional practice. It is designed for students who intend to work in an applied professional setting where they are expected to critically apply existing knowledge and methods to solve problems. Students will complete a project proposal on a topic of interest and related assignments, in consultation with the instructor.   Note  100% Individual Instruction   Repeat for Credit  Y   Requisites  Prerequisite: Only Professional Science Master’s degree students may enroll in this course.   Typically Offered  Fall, Spring, Summer    KSIS Course Search","1"
"","AAI 859","Capstone Experience II","This course provides students the opportunity to synthesize and integrate knowledge in its application to professional practice. It is designed for students who intend to work in an applied professional setting where they are expected to critically apply existing knowledge and methods to solve problems. Students will produce written reports and oral presentations on their project of focus.   Note  100% Individual Instruction   Repeat for Credit  Y   Requisites  Prerequisite: AAI 858. Only Professional Science Master’s degree students can enroll in AAI 859. Instructor approval is required.   Typically Offered  Fall, Spring, Summer    KSIS Course Search","2"
"","AAI 860","Introduction to Systems and Data in Animal Health",":2 The field of Animal Health data analytics is comprised of the application of data systems, data computing, and data programming. This course is focused on data systems and data acquisition within animal health systems.This is an interdisciplinary course for students interested in data insights and digital technologies in animal health that explores life cycle and data collection systems encountered in Animal Health for both production and companion species, including the realities of data acquisition, data types, and analytics that may exist within those systems.   Repeat for Credit  N   Typically Offered  Fall     KSIS Course Search",""
"","AAI 861","Research Strategies to Drive Development of Animal Health Products","Develop a working knowledge of the product development pipeline and continuous discovery techniques using both research and market insights as drivers for innovation in the Animal Health industry.    Repeat for Credit  N   Typically Offered  Spring    KSIS Course Search","2"
"","AAI 862","Applied Analytics in Animal Health",":3The field of Animal Health data analytics is comprised of the application of data systems, data computing, and data programming. This course will cover all three areas of data systems, data computing, and data programming in an applied format that is specific to the animal health industry. This is an applied course for students interested in developing skills in analytics and data science as they apply to animal health. Students will be expected to assess relevant outcomes in animal health systems while deducing proper methods for data preparation and manipulation, extrapolating understanding of data analytics to select  the appropriate analysis approach, performing supervised and unsupervised machine learning, and effectively communicating  both analysis and interpretation of outcomes as they apply to the field of animal health. Students will be asked to use Python and other software systems. Students will formulate reasons why working in interdisciplinary teams benefits analytic projects in animal health.NoteCourse does not have prerequisites but it is recommended that students take AAI 864 or similar course for those without a data analytics or data programming background.Repeat for CreditNRequisitesPrerequisite: Recommend AAI 864 or similar course for those without a data analytics or data programming background.Typically OfferedSpring  KSIS Course Search",""
"","AAI 863","Special Topics: Data Analytics and Insights in Animal Health","This course is the final component of the Data Analytics and Insights in Animal Health Graduate Certificate program. Students will demonstrate core certificate objectives by completing a project proposing a new data analytic and insight technology for the animal health industry. Students will describe the necessary components for project execution, requirements to develop the analytic tool or technology, and how the analytic tool or technology will be used in animal health.   Repeat for Credit  N   Requisites  AAI 860, AAI 861, and AAI 862   Typically Offered  Fall, Spring, Summer    KSIS Course Search","1"
"","AAI 864","Introduction to Computing for Animal Health",":3The field of Animal Health data analytics is comprised of applications of data systems, data computing, and data programming. The focus of this course is on data computing and programming as applied to animal health data. The purpose of this course is to introduce students to the application of essential data-driven approaches to tackle the challenges facing animal health. The use of computational approaches is considered to be more valuable in helping scientists study specific hypotheses in animal health. The Introduction to Computing for Animal Health course will focus on intuitive computational methods to address animal health questions with interdisciplinary philosophy. Students will understand the analysis workflows and computational methods that unravel and translate complicated data from animal health into a comprehensive demonstration.Repeat for CreditNTypically OfferedSpring  KSIS Course Search",""
"","AAI 865","Assessing Effectiveness of Animal Therapeutics and Vaccines","This interdisciplinary course is designed for students working with data derived from animal health systems to expand their knowledge and understanding of the pathophysiology of common animal diseases. This course will familiarize students with animal disease processes and basic principles behind the use of clinical laboratory assays, including their use in assessing efficacy of drugs or vaccines. Laboratory data from animal studies will be used to apply principles discussed during the course.   Repeat for Credit  N   Typically Offered  Fall    KSIS Course Search","1"
"","AAI 867","Zoonotic Pathogens in the Food Chain","This interdisciplinary course is designed for students to expand their knowledge of how modern food production systems contribute to the risk of zoonotic diseases, and where mitigation strategies need to be focused. Through case study discussions, students will examine attributes of microorganisms that allow potential contamination of food sources, as well as how new trends in animal production, such as organic livestock farming and raw milk consumption, influence safety in the food chain.   Repeat for Credit  N   Typically Offered  Summer    KSIS Course Search","2"
"","AAI 870","Seminar in Applied and Interdisciplinary Studies","Student presentations and discussion of current topics and recent findings in applied and interdisciplinary studies.   Note  100% Seminar   Repeat for Credit  Y   Typically Offered  Fall, Spring, Summer    KSIS Course Search","1-6"
"","AAI 880","Problems in Applied and Interdisciplinary Studies","Opportunity for advanced independent study of a specific problem or technique in applied and interdisciplinary studies. Topics selected jointly by student and instructor.   Note  10% Independent Study   Repeat for Credit  Y   Typically Offered  Fall, Spring, Summer    KSIS Course Search","1-6"
"","AAI 895","Advanced Topics in Applied and Interdisciplinary Studies","Focus on advanced topics in applied and interdisciplinary studies.   Note  100% Lecture   Repeat for Credit  Y   Typically Offered  Fall, Spring, Summer    KSIS Course Search","5-6"
"","AAI 899","Research in Applied and Interdisciplinary Studies.","Research with a focus on applied science and interdisciplinary studies.   Note  100% Research   Repeat for Credit  Y   Typically Offered  Fall, Spring, Summer    KSIS Course Search","1-6"
"","AAM 472","Large Fixed-Wing Operations Flight Lab","In this course, students will learn to fly a larger than small UAS. This will require students to fly within a regulatory environment outside of 14 CFR Part 107. Course delivery will focus on safety and crew resource management. Emphasis is on experiential learning.   Note  3 hours of lab per week. Students are required to travel to an area designated for flight operations.   Repeat for Credit  N   Requisites  Prerequisite: UAS 471 and UAS 367   Typically Offered  Spring    KSIS Course Search","2"
"","AAM 601","Introduction to Advanced Air Mobility Systems","Students will be introduced to the Urban Air Mobility and Uncrewed Traffic Management ecosystem. Additional learning areas will include an overview of regulations, airspace structures, enabling technologies and subsystems, and principles of systems engineering.   Repeat for Credit  N   Typically Offered  Fall    KSIS Course Search","1"
"","AAM 605","System Architectures in Advanced Air Mobility Systems","Using a Systems Engineering approach, students will be introduced to the major technical components of Advanced Air Mobility frameworks and critical subsystems such as Autonomous Systems, Guidance and Navigation, Cyber-Physical Systems, Sensory Platforms, Ground Systems, and Uncrewed Traffic Management Systems. Other emerging topics will be included.   Repeat for Credit  N   Typically Offered  Fall    KSIS Course Search","2"
"","AAM 732","Aerospace Communication Systems","Students will be introduced to radio systems, air-to-air, air-to-ground communications, and an overview of current approaches to line-of-sight and beyond-line-of-sight techniques. Additional learning areas include Airspace integration UAS/UAM/ATM/ATC Technologies, BLOS and Satellite Data Link Connectivity, Communications system design, Review of models and techniques (e.g. Uplink/Downlink Model, Noise, SNR), Antennas design and propagation, and Cyber-attack challenges and mitigations.   Repeat for Credit  N   Typically Offered  Fall    KSIS Course Search","3"
"","AAM 762","Guidance and Navigation Systems","Students will develop an understanding of classical and advanced guidance and navigation theories to critically select design guidance and navigation systems.  Topics include corridor planning, uncrewed guidance, conventional and advanced guidance approaches, such as proportional navigation, geometric guidance, optimal guidance, GNSS (Global Navigation Satellite Systems), terrain-based navigation, SLAM (Simultaneous Localization and Mapping), cooperative guidance and collision avoidance.   Repeat for Credit  N   Typically Offered  Spring    KSIS Course Search","3"
"","AAM 801","Electromagnetic Threats and Mitigation Design for Advanced Air Mobility Systems","Fundamentals of Electromagnetic Environmental Effects (E3) for AAM systems and mitigation using analytical and software tools. Emphasis will be placed on understanding and hazard mitigation of electromagnetic (EM) energy coupling processes through various transfer paths to onboard receptor devices. E3 sources to be studied include lightning, high-intensity radiated fields (HIRF), portable electronic devices (PED), and precipitation static (P-static).   Repeat for Credit  N   Typically Offered  Spring    KSIS Course Search","3"
"","ACCTG 231","Introduction to Managerial Accounting","Introduces the concepts associated with managerial accounting including cost accounting, job order costing, activity-based costing, cost-volume profit, and incremental analysis.  Introduction to budgetary planning, variance analysis, and data analysis is included.   Repeat for Credit  N   Requisites  Prerequisite or Corequisite: MATH 100.   Typically Offered  Fall, Spring, Summer   K-State 8  Empirical and Quantitative Reasoning   KSIS Course Search","3"
"","ACCTG 241","Introduction to Financial Accounting","Introduces the concepts associated with the accounting cycle, the revenue cycle, the expenditure cycle (including business investments), and the financing cycle.  Included is introduction to financial statements and data analysis.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 231.   Typically Offered  Fall, Spring, Summer   K-State 8  Empirical and Quantitative Reasoning   KSIS Course Search","3"
"","ACCTG 331","Intermediate Accounting and Analytics I","Enhances the understanding of the conceptual framework, the accounting information system, the financial statements, revenue recognition, and current assets. These topics will be enhanced using analytics.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 241.   Typically Offered  Fall, Spring   K-State 8  Empirical and Quantitative Reasoning   KSIS Course Search","3"
"","ACCTG 342","Taxation I","Fundamental concepts of income determination in federal and state income tax regulations; examination of the impact of tax regulation on business and personal financial planning and decision making.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 331 or [ACCTG 241 and Senior Standing (90 credit hours)]   Typically Offered  Fall, Spring   K-State 8  Empirical and Quantitative Reasoning  Social Sciences  KSIS Course Search","3"
"","ACCTG 413","Accounting Information Systems","This course describes how information flows through an enterprise, the sources and nature of documents, and the controls necessary to insure the accuracy and reliability of information. The course will also incorporate information technology controls, current computer systems, data analytics, and software applications into the course.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 241.   Typically Offered  Fall, Spring   K-State 8  Empirical and Quantitative Reasoning   KSIS Course Search","3"
"","ACCTG 431","Problems in Accounting","Problems in Accounting   Repeat for Credit  Y   Requisites  Prerequisite: Background of courses needed for the problems undertaken in accounting and consent of instructor.   Typically Offered  Fall, Spring    KSIS Course Search","1-18"
"","ACCTG 432","Cost Accounting","Identifying relevant accounting data and organizing, summarizing, and analyzing that data into information useful for planning and budgeting, decision making, controlling, and evaluating functions of management.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 331, MANGT 421.   Typically Offered  Fall, Spring   K-State 8  Empirical and Quantitative Reasoning   KSIS Course Search","3"
"","ACCTG 433","Intermediate Accounting and Analytics II","Enhances the understanding of long-term assets, current liabilities, long-term liabilities, and stockholders’ equity concepts. These topics will be enhanced using analytics.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 331.   Typically Offered  Fall, Spring   K-State 8  Empirical and Quantitative Reasoning  Social Sciences  KSIS Course Search","3"
"","ACCTG 442","Auditing I","An introduction to the environment of auditing and the objectives and techniques of both financial and operational auditing.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 433 and Restricted to Accounting majors   Typically Offered  Fall, Spring, Summer   K-State 8  Empirical and Quantitative Reasoning  Social Sciences  KSIS Course Search","3"
"","ACCTG 445","Financial Statement Analysis","This course will develop a student’s skills and knowledge in the analysis and interpretation of corporate financial statements and their related footnotes.  The class will encourage the student to think logically and creatively about the strengths and weaknesses of accounting information available to investors and shareholders.  The main course objective is for the student to be capable of doing an in-depth analysis of a company’s financial and operating performance from several financial statements.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 231 and ACCTG 241, and FINAN 450.   Typically Offered  Spring   K-State 8  Empirical and Quantitative Reasoning   KSIS Course Search","3"
"","ACCTG 490","Accounting Analytics",":3This course will develop in-depth knowledge of the use of Microsoft Excel and other technology to analyze complex accounting information.  The course will focus on using large volume data sets to simulate real world analytical problem solving. .Repeat for CreditNRequisitesPrerequisite: ACCTG 241.Typically OfferedFall, Spring, Summer  KSIS Course Search",""
"","ACCTG 494","Law for Accountants","An intensive study of an accountant’s professional responsibilities to the public and the profession and the knowledge of the legal implications of business transactions, particularly as they relate to accounting and auditing.   Repeat for Credit  N   Requisites  Prerequisite: Senior standing.   Typically Offered  On sufficient demand   K-State 8  Ethical Reasoning and Responsibility  Social Sciences  KSIS Course Search","3"
"","ACCTG 622","Fraud and Forensics","This is a full semester course focused on the tools needed to conduct a fraud-sensitive audit or to conduct a fraud investigation.  As a part of this course, the student will learn numerous techniques used by fraudsters to deceive their victims as they misappropriate resources. In addition, the student will learn how to investigate accusations or suspicions of fraud from the initial gathering of evidence to the ultimate resolution of the investigation which could include criminal and/or civil lawsuits. Such understandings are important to the practicing auditor. Given the recent scandals in financial reporting, the auditor needs to be alert to signals of fraud in order to discharge his or her responsibilities to the profession, client, and public.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 331   Typically Offered  Spring    KSIS Course Search","3"
"","ACCTG 625","International and Multijurisdictional Taxation","Explores the fundamental principles underpinning the US tax law with regard to multijurisdictional activity (primarily international, some interstate).   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 342.   Typically Offered  Spring    KSIS Course Search","3"
"","ACCTG 631","Accounting Internship","Provides a full semester of practical accounting experience prior to entering graduate accounting program.   Repeat for Credit  N   Typically Offered  Fall, Spring    KSIS Course Search","0-3"
"","ACCTG 641","Intermediate Accounting and Analytics III","Builds on the second intermediate class. Enhances the understanding of investments, accounting for income taxes, pensions and post-retirement benefits, leases, accounting changes (including errors), the statement of cash flows, and disclosures.  These topics will be enhanced using analytics.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 331   Typically Offered  Fall, Spring   K-State 8  Empirical and Quantitative Reasoning   KSIS Course Search","3"
"","ACCTG 642","Accounting Research and Communication","Use of the sources of authoritative guidance in resolving complex, professionally oriented problems that include auditing, financial reporting, and tax reporting. Students analyze numerous unstructured cases and present their conclusion with written reports and oral presentations.   Note  Students may be enrolled concurrent in ACCTG 442. For accounting majors only.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 342, 433, and 442.   Typically Offered  Fall, Spring, Summer   K-State 8  Empirical and Quantitative Reasoning  Social Sciences  KSIS Course Search","3"
"","ACCTG 710","Foundations of Accounting","A study of business transactions, including identification of relevant economic events and how those events are recorded in financial statements, and a study of managerial accounting information for decision making, planning, and control.   Note  Not open to Master of Accountancy students.   Repeat for Credit  Y   Requisites  Prerequisite: MATH 205.   Typically Offered  Fall    KSIS Course Search","3"
"","ACCTG 811","Advanced Financial Reporting","An examination of the reporting requirements of large (often multinational) corporations, e.g., foreign currency translation, interim and segment reporting, and business combinations.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 433.   Typically Offered  Fall, Spring    KSIS Course Search","3"
"","ACCTG 830","Professional Ethics in Accounting",":03Examination of ethical issues in industry and public accounting, including auditing standards, code of professional conduct, fraud, and internal controls. Repeat for CreditNRequisitesMust be admitted to Master of Accountancy (MAcc) program.Typically OfferedSpring  KSIS Course Search",""
"","ACCTG 831","Fraud and Forensics","This is a full semester course focused on the tools needed to conduct a fraud-sensitive audit or to conduct a fraud investigation.  As a part of this course, the student will learn numerous techniques used by fraudsters to deceive their victims as they misappropriate resources. In addition, the student will learn how to investigate accusations or suspicions of fraud from the initial gathering of evidence to the ultimate resolution of the investigation which could include criminal and/or civil lawsuits. Such understandings are important to the practicing auditor. Given the recent scandals in financial reporting, the auditor needs to be alert to signals of fraud in order to discharge his or her responsibilities to the profession, client, and public.   Repeat for Credit  N   Requisites  Prerequisite: Must have graduate school status.   Typically Offered  Summer    KSIS Course Search","3"
"","ACCTG 832","Advanced Auditing","An in-depth exposure to authoritative auditing pronouncements and specialized topics, e.g., statistical methods, EDP auditing, internal auditing, operational auditing, and audit management.   Repeat for Credit  Y   Requisites  Prerequisite: ACCTG 442 and ACCTG 642.   Typically Offered  Fall    KSIS Course Search","3"
"","ACCTG 833","Corporate Taxation","A study of the federal taxation of corporations with emphasis on tax planning.   Repeat for Credit  Y   Requisites  Prerequisite: ACCTG 342 and ACCTG 642.   Typically Offered  Fall, Spring    KSIS Course Search","3"
"","ACCTG 834","Partnership Taxation","Intensive study of the federal taxation of partnerships.   Repeat for Credit  Y   Requisites  Prerequisite: ACCTG 342 and  ACCTG 642.   Typically Offered  Fall    KSIS Course Search","3"
"","ACCTG 835","Business Consulting & Advanced Managerial Accounting","This class develops skills in consulting and advising businesses using advanced managerial accounting techniques and practices   Repeat for Credit  Y   Requisites  Prerequisite: ACCTG 432.   Typically Offered  Fall    KSIS Course Search","3"
"","ACCTG 840","Introduction to Academic Accounting Research","An introduction to academic accounting research, with an emphasis on educational/pedagogical research; practitioner research and basic research (archival, behavioral, and qualitative).   Repeat for Credit  N   Requisites  Prerequisites: ACCTG 642 Accounting Research.   Typically Offered  Spring    KSIS Course Search","3"
"","ACCTG 841","Advanced Accounting Theory","A critical examination of accounting theory with emphasis upon information economics, agency theory, and capital market information.   Repeat for Credit  Y   Requisites  Prerequisite: ACCTG 641.   Typically Offered  On sufficient demand    KSIS Course Search","3"
"","ACCTG 842","Advanced Topics in Taxation","Intensive examination of selected topics in taxation.   Repeat for Credit  Y   Requisites  Prerequisite: ACCTG 342 and ACCTG 642.   Typically Offered  On sufficient demand    KSIS Course Search","3"
"","ACCTG 844","Design of Accounting and Business Information Processes","This course focuses on understanding and designing contemporary business and information processes in organizations, providing an introduction to database systems, project management and information systems controls and technology.   Repeat for Credit  Y   Requisites  Prerequisite: ACCTG 810, MANGT 830 and instructor permissions for MBA students or ACCTG 331 for Masters of Accountancy students or instructor permission.   Typically Offered  Fall    KSIS Course Search","3"
"","ACCTG 845","International Accounting","An examination of comparative international accounting systems, efforts to harmonize accounting standards internationally, problems of international financial analysis, accounting and tax issues of particular relevance to U.S. multinational enterprises.   Repeat for Credit  Y   Requisites  Prerequisite: ACCTG 342 and ACCTG 641.   Typically Offered  On sufficient demand    KSIS Course Search","3"
"","ACCTG 846","International and Multijurisdictional Taxation","To explore the fundamental principles underpinning the US tax law with regard to multijurisdictional activity (international, interstate).  At the conclusion of the course, students should be able to identify, analyze and evaluate the following: The theoretical basis of the U.S. approach to international taxation; the U.S. tax treatment of the foreign activity of U.S. citizens, residents and domestic corporations; the U.S. tax treatment of foreigners engaged in business or investment activity in the U.S.; the key issues surrounding state and local taxation.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 342.   Typically Offered  Spring, Summer    KSIS Course Search","3"
"","ACCTG 847","Merger and Acquisition Taxation","A study of the federal taxation of corporations, with an emphasis on tax planning related to mergers and acquisition.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 342 and ACCTG 642.   Typically Offered  Fall    KSIS Course Search","3"
"","ACCTG 852","Accounting Research and Communication","This is a team taught course that focuses on developing skills at the higher levels of Bloom’s Taxonomy (analysis, synthesis and evaluation) to conduct technical research and communicate the results of that research in both oral and written forms.   Repeat for Credit  N   Requisites  Prerequisite: ACCTG 342 and ACCTG 443.  May be taken currently with ACCTG 442.   Typically Offered  Fall, Spring, Summer    KSIS Course Search","3"
"","ACCTG 855","Financial Statement Analysis and Business Valuation","This course is about the analysis of financial information for making decisions to invest in businesses.  The methods of fundamental analysis will be examined in detail and applied in cases and projects involving listed companies.  Topics include models of shareholder value, a comparison of accrual accounting and discounted cash flow approaches to valuation, the analysis of profitability, growth and value generation in a firm, diagnosing accounting quality, forecasting earnings and cash flows, pro-forma analysis for strategy and planning, and the determination of price/earnings (P/E) and market-to-book (P/B) ratios.   Repeat for Credit  N   Requisites  Prerequisite: Must have graduate school status.   Typically Offered  Fall, Spring, Summer    KSIS Course Search","3"
"","ACCTG 856","Accounting Analytics","This course will develop in-depth knowledge of the use of Microsoft Excel and other technology to analyze complex accounting information.  The course will focus on using large volume data sets to simulate real world analytical problem solving.    Repeat for Credit  N   Requisites  Prerequisite: Must have graduate school status.   Typically Offered  Spring, Summer    KSIS Course Search","3"
