"course_title","code","subject","description"
"Applied English Center Special Topics:  _____","AESP 160","AESP - Applied English Center","These courses are designed by the Applied English Center to meet the needs of domestic students or international students of varying majors. They are offered in a variety of topic areas."
"Short Term Program with Applied English Center Course Enrollment:  _____","AEC 5","AEC - Applied English Center","Skill-based special topics at appropriate level(s) for short term program students attending core AEC courses for a partial term.  Prerequisite:  Placement in this course by the Applied English Center."
"Anticipated Future Applied English Center Credit Hours","AEC 6","AEC - Applied English Center","This course is a placeholder for future anticipated Applied English Center credit hour enrollment.  Prerequisite:  Placement in this course by the Applied English Center."
"Short Term Programs Self-Contained Enrollment:  _____","AEC 7","AEC - Applied English Center","Specialized English language courses for short term program students.  Courses focus on the use of English in particular fields of study or employment based on program objectives.  Prerequisite:  Placement in this course by the Applied English Center."
"English Proficiency Test","AEC 90","AEC - Applied English Center","Final proficiency test.  Required of all students enrolled in one or more Applied English Center courses, exceptAEC 82.  Graded on a satisfactory/unsatisfactory basis."
"Reading, Writing and Grammar for Academic Purposes 1","AECR 10","AECR - Applied English Center","Students in Level 1 Reading/Writing/Grammar are at the beginning of English for Academic Purposes study. The purpose of this course is to help students develop and strengthen their English skills in reading, writing, grammar and vocabulary, and to prepare them for academic English learning at higher levels.  By the end of this course, students will be able to produce written language at the A2 CEFR proficiency level.  Specifically, students will be able to communicate and understand simple, foundational English relevant to academic study.  Prerequisite: Placement in this course by the Applied English Center."
"Reading, Writing and Grammar for Academic Purposes 4","AECR 140","AECR - Applied English Center","Students in Level 4 Reading/Writing/Grammar are at a low advanced level of English for Academic Purposes study. The purpose of this course is to help students develop and strengthen their English skills in reading, writing, grammar and vocabulary, and to prepare them for academic English learning at higher levels.  By the end of this course, students will be able to produce language at the B2 CEFR proficiency level.  Specifically, students will be able to understand the main ideas of complex text on both concrete and abstract topics and begin to recognize implicit meaning. Students will also be able to produce clear, detailed text on a wide range of subjects and begin to demonstrate control of organizational patterns, connectors and cohesive devices.  Prerequisite: Placement in this course by the Applied English Center."
"Reading, Writing and Grammar for Academic Purposes 5","AECR 151","AECR - Applied English Center","Students in Level 5 Reading/Writing/Grammar are at an advanced and final level of English for Academic Purposes study. The purpose of this course is to help students strengthen and refine their English skills in reading, writing, grammar and vocabulary.  By the end of this course, students will be able to produce language at the B2+ CEFR proficiency level.  Specifically, students will be able to understand a wide range of demanding, longer texts, and recognize implicit meaning and will be able to use language flexibly and effectively for academic purposes.  Students will also be able to produce clear, well-structured detailed texts showing controlled use of organizational patterns, connectors and cohesive devices.  Prerequisite: Placement in this course by the Applied English Center."
"Reading, Writing and Grammar for Academic Purposes 2","AECR 20","AECR - Applied English Center","Students in Level 2 Reading/Writing/Grammar are at a high-beginning/low-intermediate level of English for Academic Purposes study. The purpose of this course is to help students develop and strengthen their English skills in reading, writing, grammar and vocabulary, and to prepare them for academic English learning at higher levels.  By the end of this course, students will be able to produce language at the B1 CEFR proficiency level.  Specifically, students will be able to understand the main points of clear standard input regularly encountered in academic study and produce simple connected text on relevant topics.  Prerequisite: Placement in this course by the Applied English Center."
"Reading, Writing and Grammar for Academic Purposes 3","AECR 30","AECR - Applied English Center","Students in Level 3 Reading/Writing/Grammar are at an intermediate level of English for Academic Purposes study. The purpose of this course is to help students develop and strengthen their English skills in reading, writing, grammar and vocabulary, and to prepare them for academic English learning at higher levels.  By the end of this course, students will be able to produce language at the B1+ CEFR proficiency level.  Specifically, students will be able to understand the main ideas of complex text on both concrete and abstract topics and will be able to produce clear, detailed text on a wide range of subjects.  Prerequisite: Placement in this course by the Applied English Center."
"Accompanying","ACMP 527","ACMP - Music","Individual instruction in vocal and/or instrumental accompanying.  Open to junior, senior, and graduate pianists with permission of instructor."
"Performance Class in Accompanying","ACMP 529","ACMP - Music","A class in the performance of vocal and instrumental accompaniment.  Prerequisite:  Completion ofACMP 527or permission of instructor."
"Accompanying","ACMP 727","ACMP - Music","Individual instruction in vocal and or instrumental accompanying. Prerequisite:  Consent of instructor."
"Advanced Accompanying","ACMP 811","ACMP - Music","For graduate students majoring in accompanying.  May be repeated for credit.  Summer session limit one to three hours."
"The Accompanist's Literature","ACMP 822","ACMP - Music","A course in which major vocal and instrumental works are studied with vocal or instrumental participants."
"Listening, Speaking and Grammar for Academic Purposes 1","AECL 10","AECL - Applied English Center","Students in Level 1 Listening/Speaking/Grammar are at the beginning of English for Academic Purposes study. The purpose of this course is to help students develop and strengthen their English skills in listening, speaking, grammar and vocabulary, and to prepare them for academic English learning at higher levels.  By the end of this course, students will be able to produce language at the A2 CEFR proficiency level.  Specifically, students will be able to communicate and understand simple, foundational English relevant to academic study.  Prerequisite:  Placement in this course by the Applied English Center."
"Listening, Speaking and Grammar for Academic Purposes 4","AECL 140","AECL - Applied English Center","Students in Level 4 Listening/Speaking/Grammar are at a low-advanced level of English for Academic Purposes study. The purpose of this course is to help students develop and strengthen their English skills in listening, speaking, grammar and vocabulary, and to prepare them for academic English learning at higher levels.  By the end of this course, students will be able to produce language at the B2 CEFR proficiency level.  Specifically, students will be able to understand the main ideas and begin to recognize implicit meaning in lectures on both concrete and abstract topics, and will be able to begin to express themselves fluently and spontaneously for academic purposes.  Prerequisite:  Placement in this course by the Applied English Center."
"Listening, Speaking and Grammar for Academic Purposes 5","AECL 151","AECL - Applied English Center","Students in Level 5 Listening/Speaking/Grammar are at an advanced and final level of English for Academic Purposes study. The purpose of this course is to help students strengthen and refine their English skills in listening, speaking, grammar and vocabulary.  By the end of this course, students will be able to produce language at the B2+ CEFR proficiency level.  Specifically, students will be able to understand a wide range of demanding, longer speech and recognize implicit meaning in lectures on both concrete and abstract topics. Students will also be able to express themselves fluently and spontaneously and use language flexibly and effectively for academic purposes.  Prerequisite: Placement in this course by the Applied English Center."
"Listening, Speaking and Grammar for Academic Purposes 2","AECL 20","AECL - Applied English Center","Students in Level 2 Listening/Speaking/Grammar are at a high-beginning/low-intermediate level of English for Academic Purposes study. The purpose of this course is to help students develop and strengthen their English skills in listening, speaking, grammar and vocabulary, and to prepare them for academic English learning at higher levels.  By the end of this course, students will be able to produce language at the B1 CEFR proficiency level.  Specifically, students will be able to understand the main points of clear standard input regularly encountered in academic study and can produce simple connected speech on relevant topics.  Prerequisite:  Placement in this course by the Applied English Center."
"Listening, Speaking and Grammar for Academic Purposes 3","AECL 30","AECL - Applied English Center","Students in Level 3 Listening/Speaking/Grammar are at an intermediate level of English for Academic Purposes study. The purpose of this course is to help students develop and strengthen their English skills in listening, speaking, grammar and vocabulary, and to prepare them for academic English learning at higher levels.  By the end of this course, students will be able to produce language at the B1+ CEFR proficiency level.  Specifically, students will be able to understand the main ideas of lectures on both concrete and abstract topics and will be able to interact with a degree of fluency and spontaneity that makes regular interaction with native speakers possible.  Prerequisite:  Placement in this course by the Applied English Center."
"Anesthesiology","ANSL 976","ANSL - Anesthesiology","This course will acquaint students with various aspects of Anesthesiology.  Students will learn essentials of the pharmacology of the various potent anesthetic agents, narcotics, barbiturates, tranquilizers, muscle relaxants and local anesthetics.  They will acquire knowledge of pharmacology, physiology, anatomy, and biochemistry as they relate to anesthesia and some knowledge in the mechanics and physics of anesthesia machines and gas physiology in general.  Student will receive training in Critical Care Medicine learning  mechanics of ventilators and indications for use of ventilatory support among other critical care topics.  Students will learn pulmonary and cardiovascular physiology and the use of diuretics and cardiotonic agents as they pertain to cardio-respiratory support in the patient with acute critical illness.  Students will also be exposed to regional and spinal anesthesia, learning drug doses, techniques and indications for use.  Prerequisite: Medical Basic Sciences and Departmental Consent."
"Special Topics in Anesthesia","ANSL 995","ANSL - Anesthesiology","This elective is designed to provide the clinical and/or research experience in topics of special interest not otherwise represented in the curriculum.  The student will design, in consultation with department faculty, specific objectives, reading assignments, and the mechanism for course evaluation. Prerequisite:  Medical Basic Sciences and departmental consent."
"Anesthesiology","ANES 910","ANES - Anesthesiology","Students will work in the operating room suites daily under the direct supervision of an instructor in anesthesia and will be made to feel that they are part of the cooperative, expert team caring for each patient. In addition, the fundamentals of anesthesiology will be taught by means of lectures, seminars, and conferences in the afternoons, as well as through clinical situations. Students will have a required project/presentation at the end of the rotation.  Prerequisite: Medical Basic Sciences."
"Critical Care: Post-Anesthesia Unit","ANES 911","ANES - Anesthesiology","The objective of this clerkship is to provide students with experience in the management of critically ill patients.  Students will participate in the diagnosis and treatment of patients in the KUMC Post-Anesthesia Unit.  Clinical work will be supplemented by conferences and other educational activities.  This clerkship fulfills the Critical Care Selective requirement."
"Special Topics in Anesthesiology","ANES 912","ANES - Anesthesiology","This elective is designed to provide clinical and/or research experience in topics of special interest not otherwise represented in the curriculum. The student will design, in consultation with department research and clinical faculty, specific objectives, reading assignments, and the mechanism for student evaluation. Medical basic sciences and departmental approved application and consent. Please contact Dr. Erin Young for the application and approval process at eyoung6@kumc.edu.  Prerequisite: Medical basic sciences and departmental consent."
"Leadership Laboratory","AIR 100","AIR - ROTC: Air and Space Studies","TheAS 100andAS 200Leadership Laboratory courses (LLABs) include a study of Air Force customs and courtesies, drill and ceremonies, and military commands.  The LLAB also includes studying the environment of an Air Force officer and learning about areas of opportunity available to commissioned officers.  TheAS 300andAS 400LLABs consist of activities classified as leadership and management experiences.  They involve the planning and controlling of military activities of the cadet corps and the preparation and presentation of briefings and other oral and written communications.  LLABs also include interviews, guidance, and information which will increase the understanding, motivation, and performance of other cadets.  Graded on a satisfactory/unsatisfactory basis."
"Heritage and Values of the United States Air Force I","AIR 144","AIR - ROTC: Air and Space Studies","Survey course designed to introduce students to the United States Air Force and Air Force Reserve Officer Training Corps (ROTC). Featured topics include: Air Force Leadership, opportunities and benefits in the Air Force, our heritage and values, Air Force operations, principles of war, and an introduction to communication skills. Leadership Laboratory is mandatory for AFROTC cadets and complements this course by providing cadets with followership experiences."
"Heritage and Values of the United States Air Force II","AIR 148","AIR - ROTC: Air and Space Studies","Survey course designed to introduce students to the United States Air Force and Air Force Reserve Officer Training Corps (ROTC). Featured topics include: Air Force Leadership, opportunities and benefits in the Air Force, our heritage and values, Air Force operations, principles of war, and an introduction to communication skills. Leadership Laboratory is mandatory for AFROTC cadets and complements this course by providing cadets with followership experiences."
"Team and Leadership Fundamentals I","AIR 284","AIR - ROTC: Air and Space Studies","A course designed to provide a fundamental understanding of both leadership and team building. It examines many layers to leadership, including aspects that don't always jump to mind such as listening, understanding, being a good follower and problem solving efficiently. The students will apply these leadership perspectives when completing team building activities and discussing things like conflict management, motivation, standards and accountability, and stress management.  Leadership Laboratory is mandatory for AFROTC cadets and complements this course by providing cadets with followership experiences."
"Team and Leadership Fundamentals II","AIR 288","AIR - ROTC: Air and Space Studies","A course designed to provide a fundamental understanding of both leadership and team building. It examines many layers to leadership, including aspects that don't always jump to mind such as listening, understanding, being a good follower and problem solving efficiently. The students will apply these leadership perspectives when completing team building activities and discussing things like conflict management, motivation, standards and accountability, and stress management.  Leadership Laboratory is mandatory for AFROTC cadets and complements this course by providing cadets with followership experiences."
"Leading People and Effective Communication I","AIR 344","AIR - ROTC: Air and Space Studies","This course designed to build on the leadership fundamentals taught inAIR 284and 288.  The goal is for students to have a more in-depth understanding of how to effectively lead people, and provide them with the tools to use in leadership roles. The class is centered on leadership and ethics, and is mostly guided discussion with the intent of helping students think about leadership through their own lens.  Additionally, students will hone their writing and briefing skills, and this class is designed to get them used to public speaking.  Leadership Laboratory is mandatory for AFROTC cadets and complements this course by providing advanced leadership experiences in officer-type activities, giving students the opportunity to apply the leadership principles taught in this course."
"Leading People and Effective Communication II","AIR 348","AIR - ROTC: Air and Space Studies","This course designed to build on the leadership fundamentals taught inAIR 284and 288.  The goal is for students to have a more in-depth understanding of how to effectively lead people, and provide them with the tools to use in leadership roles. The class is centered on leadership and ethics, and is mostly guided discussion with the intent of helping students think about leadership through their own lens.  Additionally, students will hone their writing and briefing skills, and this class is designed to get them used to public speaking.  Leadership Laboratory is mandatory for AFROTC cadets and complements this course by providing advanced leadership experiences in officer-type activities, giving students the opportunity to apply the leadership principles taught in this course."
"National Security/Leadership Responsibilities and Commissioning Preparation I","AIR 404","AIR - ROTC: Air and Space Studies","This course will teach students to comprehend the basic elements of national security policy and process.  The student should know basic air force domain operations as well as understand selected roles of the military in society and current domestic and international issues affecting the military profession. Students should understand the responsibility, authority, and functions of an Air Force commander and selected provisions of the military justice system. The final portion of this course is designed to prepare AFROTC cadets for life as a second lieutenant, and prepare them to transition from civilian life to military life. Leadership Laboratory complements this course by providing advanced leadership experiences giving students the opportunity to apply leadership principles in a dynamic setting."
"National Security/Leadership Responsibilities and Commissioning Preparation II","AIR 408","AIR - ROTC: Air and Space Studies","This course will teach students to comprehend the basic elements of national security policy and process.  The student should know basic air force domain operations as well as understand selected roles of the military in society and current domestic and international issues affecting the military profession. Students should understand the responsibility, authority, and functions of an Air Force commander and selected provisions of the military justice system. The final portion of this course is designed to prepare AFROTC cadets for life as a second lieutenant, and prepare them to transition from civilian life to military life. Leadership Laboratory complements this course by providing advanced leadership experiences giving students the opportunity to apply leadership principles in a dynamic setting."
