"course_code","course_title","department","credits","description"
"ACCT 500","Fundamentals of Accounting3 Units","Accounting (ACCT)","3 Units","Description:Fundamental principles of accounting needed by the manager. Topics include the assumptions of accounting, recording and reporting transactions; interpretation of data for decision-making purposes."
"ACCT 501","Intermediate Accounting I3 Units","Accounting (ACCT)","3 Units","Description:The first of two courses dealing with financial reporting as reflected in Generally Accepted Accounting Principles. The course will discuss the theoretical underpinnings and the practical applications of income determination and balance sheet valuations. Focus is on the accounting cycle and the nature of the financial statements."
"ACCT 526","Finance and Accounting Applications in Logistics and Distribution3 Units","Accounting (ACCT)","3 Units","Description:Fundamental principles of accounting and finance as applied to logistics and distribution as needed by managers."
"ACCT 611","Cost and Operations Management3 Units","Accounting (ACCT)","3 Units","Description:An integrated course using traditional and innovative cost accounting and production management techniques and concepts to analyze decisions necessary to produce goods and provide service."
"ACCT 615","Advanced Financial and Governmental Accounting3 Units","Accounting (ACCT)","3 Units","Description:Coverage of financial reporting rules and processes for business combinations and governmental and not-for-profit organizations from both a reporting and decision - making perspective."
"ACCT 620","Management Control Systems3 Units","Accounting (ACCT)","3 Units","Description:Uses of accounting systems in aiding management control. Transfer pricing, managed costs, cost centers, performance centers, investment centers, activity based management."
"ACCT 631","Federal Taxation3 Units","Accounting (ACCT)","3 Units","Description:Focus is on the individual taxpayer. Coverage includes federal income tax of the individual, income taxation of estates and trusts, retirement and family tax planning, and the estate and gift tax."
"ACCT 641","Financial Accounting and Professionalism3 Units","Accounting (ACCT)","3 Units","Description:Covers the standard setting process for generally accepted accounting principles. Includes application of GAAP to create financial statements.  Additional focus on the ethical and professional expectations of the CPA."
"ACCT 651","Auditing and Systems6 Units","Accounting (ACCT)","6 Units","Description:Focuses on the design, implementation and documentation of accounting information systems. Emphasis also placed on the internal control system and proper audit trails."
"ACCT 655","Special Topics in Accounting3 Units","Accounting (ACCT)","3 Units","Description:Explores a variety of topics in accounting, auditing, or taxation."
"ACCT 661","Enterprise Resource Planning Systems3 Units","Accounting (ACCT)","3 Units","Description:Focuses on the features of an ERP system, the implementation of ERP systems, and internal control issues related to ERP systems. The use of ERP systems in conjunction with electronic commerce will be featured."
"ACCT 680","Special Topics in Accounting1-6 Units","Accounting (ACCT)","1-6 Units","Description:An advanced study of one or more selected topics or issues related to the study of Accounting."
"ACCT 698","Research Seminar in Accounting1-3 Units","Accounting (ACCT)","1-3 Units",""
"ASNB 502","Fundamentals of Neuroscience3 Units","Anatomical Sciences & Neurobiology (ASNB)","3 Units","Description:Basics of cellular and systems neuroscience are taught through a combination of lectures and laboratories. Topics include: electrical potentials in the nervous system, synaptic transmission, somatosensory pathways, special senses (vision, hearing, balance, taste, and smell), eye movements, motor systems and higher functions (language, sleep and wakefulness, cognition, emotion and memory)."
"ASNB 514","Molecular Neuroscience  -CUE3 Units","Anatomical Sciences & Neurobiology (ASNB)","3 Units","Description:Prerequisites or corequisites:ASNB 502,BIOL 241,BIOL 329,BIOL 415, Instructor Permission  The purpose of this course in Molecular Neuroscience is to explore the molecular and cellular basis of nervous system development, function and diseases. The course will provide intellectual tools and skills to evaluate novel hypotheses and mechanisms in neuroscience. Special emphasis of the course will be to provide basic technical knowledge and tools to apply molecular biology concepts in the ongoing research in any area of neuroscience."
"ASNB 517","Seminar on Developmental Neurobiology  -CUE3 Units","Anatomical Sciences & Neurobiology (ASNB)","3 Units","Description:The purpose of this course is to provide the student with a basic understanding of the processes and mechanisms of neural development. Specific topics include emergence of the neural primordium, patterning and growth of the nervous system, neuronal determination, axonal navigation and targeting, neuron survival and death, synapse formation, synaptic refinement and the formation of specific connections."
"ASNB 530","Origin of Mammalian Sensory Systems and Comparative Neurobiology  -CUE3 Units","Anatomical Sciences & Neurobiology (ASNB)","3 Units","Description:This course examines the phylogenetic and developmental history of the mammalian senses with a focus on the integration of anatomy, neurobiology, and fossil evidence. We will study how our understanding of non-human vertebrates (both model and non-model organisms) can provide important insights into the structure and function of the modern mammalian senses and their brain correlates."
"ASNB 566","Synaptic Organization of the Central Nervous System  -CUE3 Units","Anatomical Sciences & Neurobiology (ASNB)","3 Units","Description:The purpose of this course is to provide the student with a basic understanding of synaptic circuits and the techniques used to study them. Each week we will focus on a different brain region or circuit. During the first meeting of each week the instructor will provide an overview of the topic which includes both lecture and reading material. During the second meeting of each week, students will meet with  a graduate student teaching assistant to review and discuss the course material presented that week."
"ASNB 601","Gross Anatomy6.5 Units","Anatomical Sciences & Neurobiology (ASNB)","6.5 Units","Description:Primarily a laboratory course. Major emphasis is upon cadaver dissection, but lectures, group discussions, informal laboratory conferences, demonstrations, X-ray presentations are frequent. Correlation of function with structure is stressed in all areas. See Medical School Freshman Schedule for time."
"ASNB 602","Fundamentals of Neuroscience4 Units","Anatomical Sciences & Neurobiology (ASNB)","4 Units","Description:Basics of cellular and systems neuroscience are taught through a combination of lectures, laboratories, and independent study. Lectures concurrent withASNB 502; one added lecture hour each week covers advanced topics through recent article readings and discussion. Topics covered include: electrical potentials in the nervous system, synaptic transmission, somatosensory pathways, special senses (vision, hearing, balance, taste, and smell), eye movements, motor systems, and higher functions (languge, sleep and wakefulness, cognition, emotion and memory)."
"ASNB 605","Human Embryology3 Units","Anatomical Sciences & Neurobiology (ASNB)","3 Units","Description:The 2012 embryology course is trying to emphasize the clinical aspect of embryology and to allow students to better understand the importance of this particular pre-clinical subject in their medical education. The embryology material is divided into 7 modules, organized by anatomical systems. Although embryology course runs over 8 weeks period, as much as possible, we tried to match your embryology material with the gross anatomy and histology. Modules contain: descriptive developmental embryology lectures, clinical lectures."
"ASNB 606","Anatomy Seminar1 Unit","Anatomical Sciences & Neurobiology (ASNB)","1 Unit","Description:Presentations and discussions of individual research or topics of current anatomical interest throughout the year."
"ASNB 608","Neural Systems4 Units","Anatomical Sciences & Neurobiology (ASNB)","4 Units","Description:Topics covered include: electrical potentials in the nervous system, synaptic transmission, somatosensory pathways, special senses (vision,hearing, balance, taste, smell), eye movements, motor systems, higher functions (language, sleep and wakefulness, learning and memory). Emphasis is placed on clinical relevance."
"ASNB 609","Fundementals of Neuroscience Discussion1 Unit","Anatomical Sciences & Neurobiology (ASNB)","1 Unit","Description:The goal is for students to gain a better understanding of techniques used to study the nervous system. Select topic areas will be taught using an interactive approach that enables students to process course material through thinking, talking, writing, and/or problem solving."
