"course_code","course_title","department","credits","description"
"ACCT 200","Principles of Accounting for Non-Majors3 Units","Accounting (ACCT)","3 Units","Description:An introduction to basic accounting objectives and principles and how they relate to modern organizations. Students will be exposed to financial reporting, analysis of financial statements, internal controls and elements of managerial accounting and budgeting. Students will apply critical thinking to how to use financial data in an ethical framework to achieve organizational goals."
"ACCT 201","Principles of Financial Accounting3 Units","Accounting (ACCT)","3 Units","Description:The course focuses on the relevance and interpretation of accounting information for decision making. Preparation of financial statements is also covered."
"ACCT 202","Principles of Managerial Accounting3 Units","Accounting (ACCT)","3 Units","Description:The course focuses on the information needed by management, where this information can be obtained, and how it can be used to carry out management's responsibilities within an organization."
"ACCT 205","Honors Principles of Accounting6 Units","Accounting (ACCT)","6 Units","Description:Students explore financial statement analysis and managerial accounting techniques and use these tools to solve business problems."
"ACCT 301","Intermediate Accounting I3 Units","Accounting (ACCT)","3 Units","Description:The first of two courses dealing with financial reporting as reflected in Generally Accepted Accounting Principles. The course will discuss the theoretical underpinnings and the practical applications of income determination and balance sheet valuations. Focus is on the accounting cycle and the nature of the financial statements."
"ACCT 302","Intermediate Accounting II3 Units","Accounting (ACCT)","3 Units","Description:A continuation of the study of income determination and balance sheet valuations which was begun inACCT 301."
"ACCT 310","Introduction to Accounting Information Systems3 Units","Accounting (ACCT)","3 Units","Description:An introduction to Accounting Information Systems, covering systems and control concepts, procedures and technologies, as well as systems development processes and software applications."
"ACCT 315","Taxation for Business Entities3 Units","Accounting (ACCT)","3 Units","Description:An introduction to federal income taxation with an emphasis on the taxation of business entities, including C Corporations, S Corporations, Partnerships, Limited Liability Companies, and Sole Proprietorships.  Topics include issues relating to the formation, operation, reporting requirements, and termination of entities.  The course will also cover tax consequences resulting from transactions between entities and owners.   Students will also acquire the skills necessary to perform tax research and prepare federal tax returns."
"ACCT 320","Managerial Cost Accounting3 Units","Accounting (ACCT)","3 Units","Description:Accumulating, reporting, and analyzing costs from the point of view of the management accountant. Emphasis is placed on the determination of costs relevant to a specific purpose, whether inventory valuation, control of current operation, or special decisions."
"ACCT 353","Accounting for Not-For-Profit Organizations3 Units","Accounting (ACCT)","3 Units","Description:The application of accounting to governmental units, charitable organizations, hospitals, and universities. Subjects include budgeting, account structure, utilization of accounting in decision making, financial statement presentation, and an introduction to cost-benefit analysis."
