"course_code","course_title","department","credits","description"
"ACCT 201","Introductory Accounting I","Accounting (ACCT)","(3 Credit Hours)  Pre-requisites:   Minimum 15 earned hours  The major emphasis is on the development and reporting of accounting information for use by investors, creditors, and others. The student is required to develop skills in the preparation and use of accounting information and must demonstrate an understanding of the accounting process, and be able to evaluate the impact of estimates, alternative accounting principles, and the limitations of the accounting model on accounting information. Topics include: preparation and use of financial statements; the accounting process; and the measurement and reporting of income, assets, liabilities, and owner's equity.Course equivalencies: ACCT201/201H/CPST310/ACACT201    The student will be able to understand the underlying principles, design, concepts, limitations, and the necessity of accounting systems; The student will gain an appreciation of the uses of financial data and financial statements and their impact on business decisions",""
"ACCT 201H","Introductory Accounting I - Honors","Accounting (ACCT)","(3 Credit Hours)  Restricted to SBA honors students. The major emphasis is on the development and reporting of accounting information for use by investors, creditors, and others. The student is required to develop skills in the preparation and use of accounting information and must demonstrate an understanding of the accounting process, and be able to evaluate the impact of estimates, alternative accounting principles, and the limitations of the accounting model on accounting information. Topics include: preparation and use of financial statements; the accounting process; and the measurement and reporting of income, assets, liabilities, and owners' equity.Course equivalencies: ACCT201/201H/CPST310/ACACT201    The student will be able to understand the underlying principles, design, concepts, limitations, and the necessity of accounting systems; The student will gain an appreciation of the uses of financial data and financial statements and their impact on business decisions",""
"ACCT 202","Introductory Accounting II","Accounting (ACCT)","(3 Credit Hours)  Pre-requisites:  A minimum grade of ""C-"" in ACCT 201  This course highlights the differences between financial accounting and managerial accounting. The course begins by completing the study of transactions and events affecting financial statements. The cash flow statement is then explored in some detail. Finally, financial statement analysis as traditionally practiced, is considered a capstone for financial accounting. The course then focuses on the use of accounting data by management. Product costing in a manufacturing setting, assigning of costs to objects, learning how costs behave, and the use of accounting data by management in planning operations, controlling operations, and in short term decision making are all investigated.Course equivalencies: ACCT202/ACCT202H/ACACT201    The student will be able to understand the differences between cash and accrual accounting, the use of ratio analysis in investing and managing decisions, the value and importance of identifying and allocating costs, and the methods involved in the budgeting process",""
"ACCT 202H","Introductory Accounting II - Honors","Accounting (ACCT)","(3 Credit Hours)  Pre-requisites:   C- or better grade in ACCT 201 or ACCT 201H; Restricted to SBA honors students  This course highlights the differences between financial accounting and managerial accounting. The course begins by completing the study of transactions and events affecting financial statements. The cash flow statement is then explored in some detail. Finally, financial statement analysis as traditionally practiced, is considered a capstone for financial accounting. The course then focuses on the use of accounting data by management. Product costing in a manufacturing setting, assigning of costs to objects, learning how costs behave, and the use of accounting data by management in planning operations, controlling operations, and in short term decision making are all investigated.Course equivalencies: ACCT202/ACCT202H/ACACT201    The student will be able to understand the differences between cash and accrual accounting, the use of ratio analysis in investing and managing decisions, the value and importance of identifying and allocating costs, and the methods involved in the budgeting process",""
"ACCT 303","Intermediate Accounting I","Accounting (ACCT)","(3 Credit Hours)  Pre-requisites:   Sophomore Standing and ACCT 202 with grade of C- or higher; ACCT 202 may also be taken as a corequisite  The first in a series of courses designed to provide in-depth coverage of the generally accepted principles underlying financial statements and financial reporting, from conceptual framework to application. Topics include alternatives for measurement of revenue and asset valuation, and presentation of financial statements. Lectures, discussions, and technical readings are supplemented with extensive problem and written assignments. Students will demonstrate their understanding of the accounting process leading to financial reports; Furthermore students will also develop the ability to apply critical thinking and analytical skills toward the solution of problems concerning valuation of assets, and revenue and expense recognition",""
"ACCT 304","Intermediate Accounting II","Accounting (ACCT)","(3 Credit Hours)  Pre-requisites:  Sophomore standing, a minimum grade of ""C-"" in ACCT 303 or Graduate Business student  This course is an extension of Intermediate I where students use the conceptual framework to consistently evaluate and explain accounting practice. This allows the student to not only understand the accounting methodologies but also recognize why these approaches are generally superior to alternative accounting treatments. Topics include concepts of present and future value, investments in financial instruments (debt and equity), leases, pensions, income taxes, earnings per share, and the statement of cash flow.  Students will be able to demonstrate an understanding of the professional pronouncements as they relate to the measurement, recognition, and reporting of financial information; Students will also be able to demonstrate an understanding of how to research relevant accounting issues to better prepare for professional certification",""
"ACCT 306","Advanced Financial Accounting","Accounting (ACCT)","(3 Credit Hours)  Pre-requisites:  Junior standing; minimum grade of C- in ACCT 304  Topics include accounting for business combinations, cost & equity method investments, consolidated financial statements, governmental & not-for-profit, & accounting for multinational entities.  Course includes extensive problem assignments.Interdisciplinary Option: International Business   Students will understand the accounting for corporate acquisitions, corporate consolidations including intercompany transactions, governmental and not-for-profit and international accounting issues",""
"ACCT 307","Adv Accounting: Not-For-Profit Entities & Adv Financial Accounting Topics","Accounting (ACCT)","(3 Credit Hours)  Pre-requisites:  Sophomore standing, a minimum grade of ""C-"" in ACCT 303  Topics include accounting concepts as applied to state and local government, along with financial reporting for other not-for-profit entities including hospitals, universities, and voluntary health and welfare organizations. Class may be taken prior to ACCT 306. Students will gain a comprehensive knowledge of the reporting requirements of not-for-profit entities",""
"ACCT 308","Accounting Information Systems and Sustainability Reporting","Accounting (ACCT)","(3 Credit Hours)  Pre-requisites:  Minimum grade of ""C-"" in ACCT 303 & INFS 247; Sophomore standing  Enrollment is open to Graduate Business Students. Included among the topics covered in this course are the primary accounting cycles, accounting information system internal controls, and selective fraud issues.  Students will also build flowcharting skills and gain experience working on an enterprise resource planning system (ERP) with real-world company data.  Students develop an application and analysis level of learning regarding the function of an accounting information system in business with specific emphasis on risk management, along with the ability to work with and deploy ERP tools",""
"ACCT 311","Auditing & Internal Control Systems","Accounting (ACCT)","(3 Credit Hours)  Course involves an in-depth investigation of internal control structure and systems and the theory of audit evidence. Theoretical principles and practical issues involved in planning and executing an audit are explored. Internal control policies and procedures and principal evidence techniques for major transaction cycles or account groups are studied in depth. Study of appropriate AICPA professional standards is an integral part of this course.  Students who successfully complete this course will be able to: understand the role of professional standards in the audit of financial statements; demonstrate their ability to research those standards; and demonstrate their understanding of the audit process in particular the roles of evidence and internal control",""
