"course_code","course_title","department","credits","description"
"ACC 211","Principles of Financial Accounting","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 212","Managerial Accounting","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 221","Accelerated Principles of Financial Accounting","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 222","Accelerated Managerial Accounting","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 223","Principles of Financial and Managerial Accounting","Accounting Business Administration (ACC)","4 Credit Hours.",""
"ACC 301","Cost Accounting","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 311","Intermediate Accounting I","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 312","Intermediate Accounting II","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 315","Accounting for Health Care Organizations","Accounting Business Administration (ACC)",".  3 Credit Hours.",""
"ACC 336","Integrated Reporting","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 402","Auditing","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 403","Fundamentals of Taxation","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 404","Advanced Taxation","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 406","Accounting Systems","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 411","Advanced Accounting","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 496","Directed Studies in Accounting","Accounting Business Administration (ACC)","1-3 Credit Hours.",""
"ACC 497","Directed Studies in Accounting","Accounting Business Administration (ACC)","1-3 Credit Hours.",""
"ACC 498","Special Topics in Accounting","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 499","Special Topics in Accounting","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 506","Internal Auditing","Accounting Business Administration (ACC)","2 Credit Hours.",""
"ACC 507","STATEMENT ANALYSIS","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 522","Advanced Issues in Auditing","Accounting Business Administration (ACC)","3 Credit Hours.",""
"ACC 524","Accounting for Governmental and Not-for-Profit Entities","Accounting Business Administration (ACC)","2 Credit Hours.",""
"ACC 530","International Financial Reporting Standards","Accounting Business Administration (ACC)","1 Credit Hour.",""
"ACC 550","Accounting Internship","Accounting Business Administration (ACC)","1-3 Credit Hours.",""
