"course_code","course_title","department","credits","description"
"ACC 177","Independent Studies","Accountancy (ACC)","(0-6; maximum 10)",""
"ACC 211","Accounting for the Non-Business Major","Accountancy (ACC)","(3)",""
"ACC 221","Introduction to Financial Accounting","Accountancy (ACC)","(3)",""
"ACC 222","Introduction to Managerial Accounting","Accountancy (ACC)","(3)",""
"ACC 256","Accountancy Career Exploration and Planning","Accountancy (ACC)","(1)",""
"ACC 277","Independent Studies","Accountancy (ACC)","(0-6; maximum 10)",""
"ACC 305","Information Technology Governance, Risk Management, Security and Audit","Accountancy (ACC)","(3)",""
"ACC 321","Intermediate Financial Accounting","Accountancy (ACC)","(3)",""
"ACC 333","Managerial Accounting","Accountancy (ACC)","(3)",""
"ACC 340","Internship","Accountancy (ACC)","(0-20)",""
"ACC 343","Federal Income Tax Accounting","Accountancy (ACC)","(3)",""
"ACC 361","Accounting Information Systems","Accountancy (ACC)","(3)",""
"ACC 377","Independent Studies","Accountancy (ACC)","(0-6; maximum 10)",""
"ACC 422/ACC 522","Financial Accounting Research","Accountancy (ACC)","(3)",""
"ACC 445/ACC 545","Advanced Tax","Accountancy (ACC)","(3)",""
"ACC 446/ACC 546","Taxes and Business Strategy","Accountancy (ACC)","(3)",""
"ACC 448/ACC 548","Information for Business Valuation and Decisions","Accountancy (ACC)","(3)",""
"ACC 452","Internal Auditing","Accountancy (ACC)","(3)",""
"ACC 453/ACC 553","Financial Statement Auditing","Accountancy (ACC)","(3)",""
"ACC 461/ACC 561","Accounting for Business Combinations","Accountancy (ACC)","(3)",""
"ACC 462/ACC 562","Mergers & Acquisitions","Accountancy (ACC)","(3)",""
"ACC 468/ACC 568","Accounting for Not-for-Profit and Governmental Organizations","Accountancy (ACC)","(3)",""
"ACC 477","Independent Studies","Accountancy (ACC)","(0-6; maximum 10)",""
"ACC 480/ACC 580","Accounting and Business Ethics","Accountancy (ACC)","(3)",""
"ACC 490","Current Topics in Accounting and Auditing","Accountancy (ACC)","(1-3; maximum 6)",""
"ACC 495/ACC 595","Accounting Analysis","Accountancy (ACC)","(3)",""
"ACC 611","Accounting for Managers","Accountancy (ACC)","(3)",""
"ACC 628","Advanced Issues in Financial Accounting and Reporting","Accountancy (ACC)","(3)",""
"ACC 635","Financial Leadership in Organizations","Accountancy (ACC)","(3)",""
"ACC 650","Fraud Examination","Accountancy (ACC)","(3)",""
"ACC 653","Assurance Services","Accountancy (ACC)","(3)",""
"ACC 655","Control of Accounting & Reporting Risk","Accountancy (ACC)","(3)",""
"ACC 677","Independent Studies","Accountancy (ACC)","(0-6; maximum 10)",""
"ACC 695","Integrative Accounting Capstone","Accountancy (ACC)","(3)",""
"AES 110","Leadership Laboratory","Aerospace Studies (AES)","(1)",""
"AES 111","Leadership Laboratory","Aerospace Studies (AES)","(1)",""
"AES 121","Heritage and Values of the United States Air Force","Aerospace Studies (AES)","(1)",""
"AES 122","Heritage and Values of the United States Air Force","Aerospace Studies (AES)","(1)",""
"AES 177","Independent Studies","Aerospace Studies (AES)","(0-6; maximum 10)",""
"AES 210","Leadership Laboratory","Aerospace Studies (AES)","(1)",""
"AES 211","Leadership Laboratory","Aerospace Studies (AES)","(1)",""
"AES 221","Team and Leadership Fundamentals","Aerospace Studies (AES)","(1)",""
"AES 222","Team and Leadership Fundamentals","Aerospace Studies (AES)","(1)",""
"AES 277","Independent Studies","Aerospace Studies (AES)","(0-6; maximum 10)",""
"AES 310","Leadership Laboratory","Aerospace Studies (AES)","(1)",""
"AES 311","Leadership Laboratory","Aerospace Studies (AES)","(1)",""
"AES 331","Leading People and Effective Communication","Aerospace Studies (AES)","(3)",""
"AES 332","Leading People and Effective Communication","Aerospace Studies (AES)","(3)",""
"AES 340","Internship","Aerospace Studies (AES)","(0-20)",""
"AES 377","Independent Studies","Aerospace Studies (AES)","(0-6; maximum 10)",""
"AES 410","Leadership Laboratory","Aerospace Studies (AES)","(1)",""
"AES 411","Leadership Laboratory","Aerospace Studies (AES)","(1)",""
"AES 431","National Security/Leadership Responsibilities/Commissioning Preparation","Aerospace Studies (AES)","(3)",""
"AES 432","National Security/Leadership Responsibilities/Commissioning Preparation","Aerospace Studies (AES)","(3)",""
"AES 477","Independent Studies","Aerospace Studies (AES)","(0-6; maximum 10)",""
"ACE 051","Academic English Structure and Application","American Culture & English Program (ACE)","(4)",""
"ACE 112","Advanced Communications Strategies: Speaking and Listening for Academic Contexts","American Culture & English Program (ACE)","(5)",""
"ACE 113","Reading and Writing in Academic Contexts","American Culture & English Program (ACE)","(4)",""
"ACE 310","Special Topics in American Academic Culture for International Students","American Culture & English Program (ACE)","(1-3; maximum 6)",""
"ACE 612","Advanced Communication Strategies for Graduate International Students","American Culture & English Program (ACE)","(5)",""
"ACE 613","Advanced Reading and Writing for Graduate International Students","American Culture & English Program (ACE)","(4)",""
"ACE 619","Advanced Speaking and Presentation for Graduate International Students","American Culture & English Program (ACE)","(2)",""
"AMS 135","Understanding Jazz, Its History and Context","American Studies (AMS)","(3)",""
"AMS 177","Independent Studies","American Studies (AMS)","(0-6; maximum 10)",""
"AMS 205","Introduction to American Cultures","American Studies (AMS)","(3)",""
"AMS 206","Approaches to American Culture","American Studies (AMS)","(3)",""
"AMS 207","America: Global and Intercultural Perspectives","American Studies (AMS)","(3)",""
"AMS 216","Introduction to Public History","American Studies (AMS)","(3)",""
"AMS 222","Italian American Culture","American Studies (AMS)","(3)",""
"AMS 241","Religions of the American Peoples","American Studies (AMS)","(3)",""
"AMS 248","Asian American Literature","American Studies (AMS)","(3)",""
"AMS 259","Introduction to the Miami Tribe of Oklahoma","American Studies (AMS)","(3)",""
"AMS 277","Independent Studies","American Studies (AMS)","(0-6; maximum 10)",""
"AMS 281","Americans in Berlin: An Interdisciplinary Study-Abroad Workshop","American Studies (AMS)","(6)",""
"AMS 285","Introduction to African American Music","American Studies (AMS)","(3)",""
"AMS 286","Rhythm, Rhyme, and Resistance: Hip Hop Culture in America","American Studies (AMS)","(3)",""
"AMS 301","American Identities","American Studies (AMS)","(3)",""
