"subject","course_code","course_name","description","credits"
"Accounting","ACC 600","Accounting Concepts for Managers","Comprehensive study of the fundamentals of financial and managerial accounting. Designed for graduate students who have not had an undergraduate course in accounting. Cannot be counted toward the hours required for a College of Business graduate degree. Prerequisite: permission of a director of a College of Business graduate program or the director of the Master of Professional Studies program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 601","Intermediate Accounting I","Financial accounting theory applications to the accounting process of corporations. Review of financial statements; accounting for current and long-term assets. Research assignments are required. May be taught concurrently with ACC 301. Cannot receive credit for both ACC 301 and ACC 601. This course cannot be counted towards any graduate degree. Prerequisite: B grade or better in ACC 201 and ACC 211 or B grade or better in ACC 206 or ACC 600; and must be admitted to an accounting graduate certificate program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 602","Intermediate Accounting II","Continuation of intermediate accounting. Accounting for liabilities and equity. Research assignments are required. May be taught concurrently with ACC 302. Cannot receive credit for both ACC 302 and ACC 602. This course cannot be counted towards any graduate degree. Prerequisite: C grade or better in ACC 301 or ACC 601; and must be admitted to an accounting graduate certificate program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 604","Advanced Accounting","Study of accounting for pensions, deferred taxes, business combinations, partnerships, and certain multicurrency accounting issues. Research assignments are required. May be taught concurrently with ACC 504. Cannot receive credit for both ACC 504 and ACC 604. Prerequisite: C grade or better in ACC 302 or ; and admitted to the MAcc Program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 606","International Accounting","Accounting practices in different nations; multi-national corporation and selected accounting problems. Research assignments are required. May be taught concurrently with ACC 506. Cannot receive credit for both ACC 506 and ACC 606. Prerequisite: C grade or better in ACC 302 or ; and admitted to the MAcc Program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 610","Managerial Cost Accounting","Function of cost accounting; means and methods of its applications in specific accounting situations. May be taught concurrently with ACC 311. Cannot receive credit for both ACC 311 and ACC 610. This course cannot be counted towards any graduate degree. Prerequisite: C grade or better in ACC 211 or ACC 206 or ACC 600; and must be admitted to an accounting graduate certificate program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 613","Managerial Cost Accounting II","A continuation of the topics examined in ACC 610. Specific topics covered include activity-based costing, strategic cost management, activity- and strategic-based responsibility accounting, quality costing, measurement and control of productivity, environmental cost management, cost-volume-profit analysis, activity resource usage, relevant costing, pricing and profitability analysis, capital investment decisions, and inventory management topics such as economic order quantity, just-in-time, and the theory of constraints. May be taught concurrently with ACC 513. Cannot receive credit for both ACC 513 and ACC 613. Prerequisite: C grade or better in ACC 311 or ; and admitted to a College of Business graduate program. Lecture Contact Hours: 3 Typically Offered: Spring","3"
"Accounting","ACC 620","Tax Accounting I","Principles of income tax accounting; current laws and income tax problems of individuals. Research assignments are required. May be taught concurrently with ACC 321. Cannot receive credit for both ACC 321 and ACC 620. This course cannot be counted towards any graduate degree. Prerequisite: B grade or better in ACC 201 or ACC 206 or ACC 600; and must be admitted to an accounting graduate certificate program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 624","Tax Accounting II","Principles of federal tax accounting; research in income tax problems of partnerships and corporations; estate and gift tax problems of individuals. Research assignments are required. May be taught concurrently with ACC 524. Cannot receive credit for both ACC 524 and ACC 624. Prerequisite: C grade or better in ACC 321 or within the last five years, or C grade or better in ACC 321 or with evidence of relevant and substantial work experience involving U.S. income tax rules within the last five years; and admitted to the MAcc Program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 625","Individual Income Tax Assistance","To provide students with an opportunity to integrate intermediate tax accounting skills, critical thinking skills, communication skills, and research skills with community service. This course provides service-learning experience in the preparation and review of actual individual income tax returns (both federal and state) as well as the social and ethical issues inherent in U.S. tax policy. May be taught concurrently with ACC 525. Cannot receive credit for both ACC 525 and ACC 625. Prerequisite: C grade or better in ACC 321 or ACC 620; and permission of instructor; and admitted to the MAcc Program. Lecture Contact Hours: 1 Lab Contact Hours: 4 Typically Offered: Spring","3"
"Accounting","ACC 640","Accounting and Management Information Systems","Accounting system examined as a crucial base for the desired comprehensive management information system of an organization. Impact of the computer on accounting systems controls and the auditing of EDP based accounting systems. May be taught concurrently with ACC 341. Cannot receive credit for both ACC 341 and ACC 640. This course cannot be counted towards any graduate degree. Prerequisite: C grade or better in ACC 301 or ACC 601; and must be admitted to an accounting graduate certificate program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 642","Data Analytics in Accounting","This course introduces students to data analytics tools and techniques in accounting. Topics include: statistical techniques, data analysis, and visualization. This course uses Microsoft Excel, Tableau, and other data analysis tools to implement and apply applications of these concepts and techniques. May be taught concurrently with ACC 542. Cannot receive credit for both ACC 542 and ACC 642. Prerequisite: admitted to a College of Business graduate program or permission of the Director of the School of Accountancy. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 653","Auditing","Kinds of audits, the duties and obligations of the auditor, principles and procedures to be followed in conducting an audit. A C grade or better is required in this course in order to take , , , , and . This course has a required assessment component. Research assignments are required. May be taught concurrently with ACC 553. Cannot receive credit for both ACC 553 and ACC 653. Prerequisite: C grade or better in ACC 300; and ACC 301 or ; and ACC 302 or ; and ACC 311 or ; and ACC 321 or ACC 620; and ACC 341 or ; and admitted to the MAcc Program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 655","Internal Auditing","Functions of internal audit, financial audit, and operations audit; importance of the changing professional status of the internal auditor. May be taught concurrently with ACC 555. Cannot receive credit for both ACC 555 and ACC 655. Prerequisite: C grade or better in ACC 341 or ; and admitted to the MAcc Program. Lecture Contact Hours: 3 Typically Offered: Demand","3"
"Accounting","ACC 656","Operational Auditing","Primarily a case study approach covering nonfinancial audits of efficient and effective resource utilization, accomplishment of operational goals, adherence to laws and regulations, fraud prevention and detection, integrity and security of computer systems, and achievement of program goals. May be taught concurrently with ACC 556. Cannot receive credit for both ACC 556 and ACC 656. Prerequisite: admitted to MAcc Program. Lecture Contact Hours: 3 Typically Offered: Demand","3"
"Accounting","ACC 688","Healthcare Accounting Concepts","The role of accounting in the financial and operational management of healthcare organizations is approached via an introduction to healthcare financial and managerial accounting principles. This course addresses the definition of financial accounting; external reporting; development and use of the income statement, balance sheet and statement of cash flows. The course also addresses the managerial accounting topics of cost behavior and allocation; accounting data for pricing and service decisions; planning and budgeting in healthcare organizations; analysis of financial condition; and selected topics in ethics. The course is a core requirement for Master of Health Administration students and may be of interest to students in other graduate programs. Note that ACC 688 cannot be substituted for in the MBA program and cannot be counted in the 33 semester hours required for the MAcc degree. Lecture Contact Hours: 3 Typically Offered: Spring, Summer","3"
"Accounting","ACC 695","Research Issues and Problems: Accounting","Research issues and projects growing from particular needs which may require additional depth or breadth of study. Outline of study must be approved prior to enrolling. May be taught concurrently with ACC 596. Cannot receive credit for both ACC 596 and ACC 695. Prerequisite: permission of the Director of the School of Accountancy; and admitted to the MAcc Program. Typically Offered: Demand","3"
"Accounting","ACC 703","Seminar in Accounting Theory for Financial Executives","Critical evaluation and interpretation of accounting theory. Completion of a significant research project. Prerequisite: C grade or better in ACC 301 or ; and admitted to the MAcc Program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 705","Advanced Financial Accounting Problems","An in-depth study of contemporary advanced financial accounting topics for professional accountants. Prerequisite: C grade or better in ACC 302 or ; and C grade or better in ACC 504 or ; and admitted to MAcc program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 711","Managerial Accounting","Role of accounting in improving the practice of business management; budgeting, accounting analysis, the behavior of costs, accounting control. This course will not be counted in the 33 hours required for the MAcc degree. Prerequisite: C grade or better in ACC 211 or ACC 206 or ; and admitted to MBA or MHA program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
"Accounting","ACC 712","Controllership and Cost Analytics","An in-depth examination of the leadership and communication challenges associated with controllership and chief financial officer (CFO) roles. There will be an emphasis on developing a cost analytics skill set vital for modern day use of emerging technologies by controllers and CFOs. Students will develop written and oral communication skills required for success as a professional accountant. Prerequisite: C grade or better in ACC 311 or ; and admitted to the MAcc Program. Lecture Contact Hours: 3 Typically Offered: Fall","3"
"Accounting","ACC 715","Advanced Cost Accounting","An in-depth study of contemporary topics for cost accountants. Prerequisite: C grade or better in ACC 513 or ; and admitted to the MAcc Program. Lecture Contact Hours: 3 Typically Offered: Spring","3"
"Accounting","ACC 721","Research Techniques and Consulting in Tax","Case study approach to develop tax research, analytical, and communication skills. Incorporated into the case studies are ethical and legal constraints within which tax practitioners are obligated to operate. Prerequisite: C grade or better in ACC 321 or ; and admitted to MAcc program. Lecture Contact Hours: 3 Typically Offered: Spring","3"
"Accounting","ACC 722","Public Service Tax Accounting","Students will learn theoretical foundations in public service tax accounting topics and develop skills; which will apply to practical situations that will help students be better citizens and employees. Students will assist low-income, elderly, and English as Second Language taxpayers in the community in identifying and meeting their tax rights and responsibilities. Prerequisite: permission of instructor; and admitted to MAcc program. Lecture Contact Hours: 2 Lab Contact Hours: 3 Typically Offered: Spring","3"
"Accounting","ACC 723","Tax Considerations for Decision Makers","Tax course with emphasis on recognizing and understanding the importance of tax considerations in the process of making decisions in business and personal matters; developing a tax institution to anticipate and understand the effect of prospective tax law changes; examining U.S. tax policy issues; and motivating students to a lifetime of learning by engaging them in independent study. Prerequisite: C grade or better in ACC 524 or ; and admitted to MAcc program. Lecture Contact Hours: 3 Typically Offered: Fall","3"
"Accounting","ACC 726","Regulation Issues for Accountants","The course is designed to provide students with a focused intensive study of regulation issues particularly relevant to professional accountants. Prerequisite: or ACC 524; and admitted to the MAcc program. Lecture Contact Hours: 3 Typically Offered: Spring","3"
"Accounting","ACC 731","Control of Non-Profit Organizations","Case study approach to financial control in non-profit organizations. Special emphasis is on governmental and health care organizations, although other non-profit organizations are also studied. Prerequisite: C grade or better in ACC 311 or or ; and admitted to MAcc program. Lecture Contact Hours: 3 Typically Offered: Demand","3"
"Accounting","ACC 732","Governmental and Not-For-Profit Organizational Accounting","Governmental and not-for-profit organizational accounting records and funds, budgeting, budget control, analysis and interpretation of financial statements. Research assignments are required. Prerequisite: C grade or better in ACC 301 or ; and admitted to the MAcc Program. Lecture Contact Hours: 3 Typically Offered: Fall, Spring","3"
