"subject","course_code","course_name","description","credits"
"African American Studies","AAS 100","Introduction to African American Studies","General Education Course: Focus on Humanities The course provides a multidisciplinary introduction of the many dimensions of the African American experience, including the African heritage and diaspora, slavery and freedom, African American artistic and literary expression, and the problem of racism in American society. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"African American Studies","AAS 312","Anthropology of Gender","Theories, concepts, and case studies relating to the cultural and social construction of gender from an anthropological perspective. Students will examine gender in relation to sexuality, fertility, child-bearing, self-identification, family, power, status, voice, hegemony/resistance, colonialism, and globalization in cultures and societies around the world. Identical with . Cannot receive credit for both AAS 312 and . Prerequisite: or or permission of instructor. Lecture contact hours: 3 Typically offered: Demand","3"
"African American Studies","AAS 323","Women in Africa","This course will introduce students to women’s participation in Africa’s history and contemporary issues. The readings cover a broad geographical range of North, West, Central and Southern Africa. The course will include five topics: Women and the Family; Women, Politics, and Economics; Religious Women; Women in Colonial Rebellion; and Women and National Revolutions. Identical with . Cannot receive credit for both AAS 323 and . Recommended Prerequisite: or . Lecture contact hours: 3 Typically offered: Demand","3"
"African American Studies","AAS 330","Peoples and Cultures","Anthropological study of a cultural region of the world (such as the Caribbean, Latin America, or Southeastern Indians), including environment, subsistence, technology, economy, social and political organization, and religion. Identical with . Cannot receive credit for both AAS 330 and . Variable content course. May be repeated when topic changes. Typically offered: Demand","1-3"
"African American Studies","AAS 331","African American History I","Survey of the experiences of Americans of African descent to 1865. Emphasis on African heritage; African-American contributions and institutions; slavery and quasi-freedom. Identical with . Cannot receive credit for both AAS 331 and . Recommended Prerequisite: or . Lecture contact hours: 3 Typically offered: Demand","3"
"African American Studies","AAS 332","African American History II","Continuation of , 1865-present. Emphasis on the struggles for racial justice; protest organizations, philosophies and tactics. Identical with . Cannot receive credit for both AAS 332 and . Recommended Prerequisite: or . Lecture contact hours: 3 Typically offered: Demand","3"
"African American Studies","AAS 333","Peoples and Cultures of Africa","An exploration of African societies (especially sub-Saharan), including family structure, gender relations, social and political organization, beliefs, economics, art, oral literature, music, dance, and other aspects of culture. Identical with . Cannot receive credit for both AAS 333 and . Lecture contact hours: 3 Typically offered: Demand","3"
"African American Studies","AAS 334","Conflict and Peace Building in Africa","This course examines the historical roots, dimensions, and causes of conflict in Africa. Thematically organized to capture developments across the different regions in the continent, the course offers critical insights into the preponderance of conflict in Africa since the Cold War. In addition, the course explores the various ways through which Africans, its partners, and international organizations have fostered peace and conflict resolution in Africa over the years. Identical with . Cannot receive credit for both AAS 334 and . Recommended Prerequisite: or or or . Lecture contact hours: 3 Typically offered: Demand","3"
"African American Studies","AAS 335","African Civilization","Historical developments in Africa from antiquity to the present. Emphasis on south Saharan Africa for the period before European contact. Topics in modern nationalism and independence. Africa in the context of world history. Identical with . Cannot receive credit for both AAS 335 and . Recommended Prerequisite: or . Lecture contact hours: 3 Typically offered: Demand","3"
"African American Studies","AAS 336","Race and Ethnicity","This course explores the social construction of race and ethnicity. Issues of differential power between racial and ethnic groups and the economic, political, and social structures which are utilized to maintain these power differences are identified. Social movements and social policies designed to address social inequality, prejudice and discrimination are also examined. Identical with . Cannot receive credit for both AAS 336 and . Lecture contact hours: 3 Typically offered: Demand","3"
