"subject","course_code","course_name","description","credits"
"Accounting","ACTG 2110","Principles of Accounting I","Prerequisites: A college-level math course; ENGL 1010  ; sophomore standing. Financial accounting for proprietorships with emphasis on the accounting cycle for service and merchandising organizations. Additional topics include accounting for receivables; inventories; property, plant, and equipment; and current liabilities. (Not open to students with credit in ACTG 3000  .) [Same as TBR Community Colleges ACCT 1010.]","3 credit hours"
"Accounting","ACTG 2120","Principles of Accounting II","Prerequisite: ACTG 2110  . NOTE: Students majoring in accounting or considering an accounting major/minor should take ACTG 2125  . A continuation of financial accounting concepts with emphasis on debt and equity structures, the statement of cash flows, and ratio analysis. Managerial accounting topics include job, standard- and activity-based costing, cost/volume/profit (CVP) analysis, and budgeting. (Not open to students with credit in ACTG 2125  or ACTG 3000  .) [Same as TBR Community Colleges ACCT 1020.]","3 credit hours"
"Accounting","ACTG 2125","Principles of Accounting II for Accounting Majors","Prerequisite: ACTG 2110  with a minimum grade of C (2.0). Reporting for corporations with emphasis on issues relating to debt and equity, the Statement of Cash Flows, reporting for manufacturing companies, and other issues related to the profession of accounting. (Not open to students with credit in ACTG 2120  ; ACTG 2120 will substitute for ACTG 2125.)","3 credit hours"
"Accounting","ACTG 3000","Survey of Accounting for General Business","Prerequisites: A college-level math course; ENGL 1010  ; sophomore standing. Accounting cycle given minor emphasis; financial statement analysis and managerial uses of accounting given major emphasis. May be used for general business minors or M.B.A. candidates who have had no previous accounting courses. (Not open to Accounting majors and students with credit in ACTG 2110  and ACTG 2120  .)","3 credit hours"
"Accounting","ACTG 3020","Managerial Accounting","Prerequisites: ACTG 2120  or ACTG 3000  ; junior standing; admission into the College of Business. Analysis of costs of products and services, recognition of quantitative techniques relating to management objectives, overview of master budgeting, and planning and control techniques. Designed for nonaccounting majors. (Not open to students with credit in ACTG 3310  or Accounting majors.)","3 credit hours"
"Accounting","ACTG 3110","Intermediate Accounting I","Prerequisites: ACTG 2110  and ACTG 2125  (ACTG 2120 will substitute for ACTG 2125) or ACTG 3000  with minimum grade of C (2.0); GPA of at least 2.00; junior standing; admission into the College of Business; minimum grade on intermediate readiness exam. Introduces professional accounting standards and financial statement preparation. Review of the accounting cycle. Extensive coverage of time value of money concepts and accounting for and reporting of current assets; investments; property, plant, and equipment; and revenue recognition.","3 credit hours"
"Accounting","ACTG 3120","Intermediate Accounting II","Prerequisites: ACTG 3110  and ACTG 4510  with minimum grade of C (2.0); admission into the College of Business. Continuation of Intermediate Accounting I with professional accounting standards and financial statement preparation. Extensive coverage of accounting for and reporting of current and long-term liabilities, owners’ equity and related issues, accounting changes and errors, and cash flows.","3 credit hours"
"Accounting","ACTG 3300","Managerial Accounting with Data Analytics","Prerequisites: ACTG 2120  or ACTG 2125  or ACTG 3000  ; junior standing; admission into the College of Business. Use of data analytics and visualization tools for cost determination, measurement of management objectives, and planning and control. Also covers master budgeting, business strategy, and performance measurement from the perspective of the decision-maker. Not open to students with credit in ACTG 3020  or ACTG 3310  .","3 credit hours"
"Accounting","ACTG 3310","Cost Accounting","Prerequisites: ACTG 2120  or ACTG 2125  with minimum grade of C (2.0); junior standing; admission into the College of Business. Determine costs of products or services, apply quantitative concepts relating to management objectives, prepare master budgets, and perform various techniques for planning and controlling in a business environment.","3 credit hours"
"Accounting","ACTG 4110","Advanced Financial Accounting","Prerequisite: ACTG 3120  with a minimum grade of C (2.0). Extensive coverage of consolidated financial statement preparation. Financial accounting topics including advanced partnerships, interim financial reporting, segment reporting, and foreign currency issues.","3 credit hours"
"Accounting","ACTG 4310","Accounting for Decision Making","Prerequisites: ACTG 3310  with minimum grade of C (2.0); BIA 2610  or MATH 1530  ; admission into the College of Business. In-depth analysis of costs; quantitative concepts relating to management objectives, control, and planning. Cost analysis and management accounting practices and problems using a variety of problem sets, statistical techniques, case studies, computer applications, and other materials.","3 credit hours"
"Accounting","ACTG 4420","Accounting Internship","Prerequisites: Junior standing or consent of department; a plan of activities with the associated firm approved by instructor prior to registration; admission into the College of Business. Active employment with an accounting firm, governmental agency, or business firm for accounting field work; credit given for experience and research upon completion of acceptable work and formal report. (Not counted as part of 27-hour Accounting major requirements or 9-hour Accounting minor requirements.) Pass/Fail.","3 credit hours"
"Accounting","ACTG 4510","Accounting Systems","Prerequisites: ACTG 2120  or ACTG 2125  or ACTG 3000  with minimum grade of C (2.0); junior standing; admission into the College of Business. An introduction to accounting information systems in a variety of technological environments. Emphasis on business process modeling, accounting cycle controls, and database design and implementation.","3 credit hours"
"Accounting","ACTG 4530","Individual Income Tax","Prerequisites: ACTG 2120  or ACTG 3000  with minimum grade of C (2.0); junior standing; admission into the College of Business. Addressed to a determination of taxable income for individuals; federal income tax returns and research methods.","3 credit hours"
"Accounting","ACTG 4550","Introduction to Federal Income Tax","Prerequisite: ACTG 3110  with minimum grade of C (2.0); admission into the College of Business. Federal income tax concepts applicable to business entities (C corporations, S corporations, partnerships, limited liability companies, and sole proprietorships) and individuals. Emphasizes the role taxes play in business and investment decisions.","3 credit hours"
"Accounting","ACTG 4610","Financial Reporting for Governmental and Not-for-Profit Entities","Prerequisites: ACTG 3110  with minimum grade of C (2.0); admission into the College of Business. Accounting principles for state and local governments and not-for-profit entities; financial statement preparation and analysis for government and not-for-profit entities, including specialized industries such as healthcare, education, and utilities; and federal government accounting.","3 credit hours"
"Accounting","ACTG 4620","External Auditing I","Prerequisites: ACTG 3120  and ACTG 4510  with minimum grade of C (2.0). Applications of theory and principles of external auditing. Includes audit planning, risk assessment, evaluations of internal controls and evidence, substantive audit procedures applied to business processes, and preparation of audit reports. (Recommended for CPA exam candidates.)","3 credit hours"
"Accounting","ACTG 4640","Internal Auditing","Prerequisites: ACTG 3110  and ACTG 4510  with a minimum grade of C (2.0); and admission to the College of Business. Application of internal auditing concepts. Includes gathering and analyzing company data, assessing risk, applying professional and ethical standards, performing statistical sampling, and preparing internal audit reports. (Recommended for CIA exam candidates.)","3 credit hours"
