"course_code","course_title","department","credits","description"
"ACCOUNT 201-DL","Introduction to Financial Accounting","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 202-DL","Introduction to Managerial Accounting","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 208-DL","Income Tax I","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 210-DL","Intermediate Accounting I","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 211-DL","Intermediate Accounting II","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 308-DL","Income Tax II","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 310-DL","Managerial Cost Accounting","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 320-DL","Forensic Accounting","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 330-DL","Accounting Information Systems","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 340-CN","Government and Nonprofit Accounting","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 340-DL","Governmental and Nonprofit Accounting","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 350-DL","Auditing I","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 360-DL","Auditing II","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 370-CN","Advanced Accounting","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 380-DL","AI and Data Analytics in Accounting","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 390-CN","Topics in Accounting:","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 390-DL","Topics in Accounting:","Accounting (ACCOUNT)","1 Unit",""
"ACCOUNT 399-CN","Independent Study","Accounting (ACCOUNT)","1 Unit",""
"ADVT 311-CN","Advertising: Creative","Advertising (ADVT)","1 Unit",""
"ADVT 312-CN","Advertising: Intermediate Creative","Advertising (ADVT)","1 Unit",""
"ADVT 313-CN","Advertising: Advanced Creative","Advertising (ADVT)","1 Unit",""
"ADVT 370-CN","Introduction to Public Relations","Advertising (ADVT)","1 Unit",""
"ADVT 370-DL","Introduction to Public Relations","Advertising (ADVT)","1 Unit",""
"ADVT 380-CN","Visual Communication","Advertising (ADVT)","1 Unit",""
"ADVT 390-CN","Topics in Advertising:","Advertising (ADVT)","1 Unit",""
"AFST 390-CN","Topics in African Studies","African Studies (AFST)","1 Unit",""
"ANTHRO 105-CN","The Evolution of Social Behavior","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 211-CN","Culture and Society","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 211-PP","Culture and Society","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 213-CN","Human Origins","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 214-CN","Archaeology: Unearthing History","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 214-PP","Archaeology: Unearthing History","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 215-CN","The Study of Culture Through Language","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 232-CN","Myth and Symbolism","Anthropology (ANTHRO)","1 Unit",""
